# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.375
metadata : {}


# id : NWRW1800000038.375.1.1
[지방부채 100兆 시대, 나라 살림까지 흔든다] "중앙정부가 부실 지자체에 불이익 줘야… 단체장 해임·지자체 지원금 삭감 필요"

[지방부채	[/SS+지방/NNG+부채/NNG
국회 예산정책처 이은경 공공기관 사업평가관은 "지방 공기업 설립 요건을 강화하고 공사채 발행 한도를 낮춰 빚내서 대규모 개발 사업을 하는 구조를 근본적으로 바꿔야 한다"고 했다.

국회	국회/NNG
예산정책처	예산/NNG+정책처/NNG
이은경	이은경/NNP
공공기관	공공/NNG+기관/NNG
사업평가관은	사업/NNG+평가관/NNG+은/JX
"지방	"/SS+지방/NNG
공기업	공기업/NNG
설립	설립/NNG
요건을	요건/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
공사채	공사채/NNG
발행	발행/NNG
한도를	한도/NNG+를/JKO
낮춰	낮추/VV+어/EC
빚내서	빚내/VV+어서/EC
대규모	대/XPN+규모/NNG
개발	개발/NNG
사업을	사업/NNG+을/JKO
하는	하/VV+는/ETM
구조를	구조/NNG+를/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
바꿔야	바꾸/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.7.2
예산정책처 김상우 평가관은 "민자 사업의 적격성을 판정할 때 좀더 엄격한 기준을 적용하면 이용객 없는 전시·공연 시설 난립을 막을 수 있다"고 했다.

예산정책처	예산/NNG+정책처/NNG
김상우	김상우/NNP
평가관은	평가관/NNG+은/JX
"민자	"/SS+민자/NNG
사업의	사업/NNG+의/JKG
적격성을	적격/NNG+성/XSN+을/JKO
판정할	판정/NNG+하/XSV+ㄹ/ETM
때	때/NNG
좀더	좀/MAG+더/MAG
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
기준을	기준/NNG+을/JKO
적용하면	적용/NNG+하/XSV+면/EC
이용객	이용객/NNG
없는	없/VA+는/ETM
전시·공연	전시/NNG+·/SP+공연/NNG
시설	시설/NNG
난립을	난립/NNG+을/JKO
막을	막/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.8.1
③재정 개선 안 하는 지자체 교부금 깎아야

③재정	③/SN+재정/NNG
개선	개선/NNG
안	안/MAG
하는	하/VV+는/ETM
지자체	지자체/NNG
교부금	교부금/NNG
깎아야	깎/VV+아야/EC


# id : NWRW1800000038.375.9.1
예산정책처 김경수 예산분석관은 "지방정부가 일정 규모 이상 투·융자 사업을 할 때는 지방의회 의결을 거치도록 할 필요가 있다"고 했다.

예산정책처	예산/NNG+정책처/NNG
김경수	김경수/NNP
예산분석관은	예산/NNG+분석관/NNG+은/JX
"지방정부가	"/SS+지방/NNG+정부/NNG+가/JKS
일정	일정/NNG
규모	규모/NNG
이상	이상/NNG
투·융자	투·융자/NNG
사업을	사업/NNG+을/JKO
할	하/VX+ㄹ/ETM
때는	때/NNG+는/JX
지방의회	지방/NNG+의회/NNG
의결을	의결/NNG+을/JKO
거치도록	거치/VV+도록/EC
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.9.2
김선빈 수석연구원은 "재정 개선 노력을 많이 하는 지자체에 교부금을 더 주고 아닌 지자체는 교부금을 깎는 식으로 지자체 간 자립 경쟁을 유도하는 것도 좋은 방법"이라고 했다.

김선빈	김선빈/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
"재정	"/SS+재정/NNG
개선	개선/NNG
노력을	노력/NNG+을/JKO
많이	많이/MAG
하는	하/VV+는/ETM
지자체에	지자체/NNG+에/JKB
교부금을	교부금/NNG+을/JKO
더	더/MAG
주고	주/VV+고/EC
아닌	아니/VCN+ㄴ/ETM
지자체는	지자체/NNG+는/JX
깎는	깎/VV+는/ETM
식으로	식/NNB+으로/JKB
지자체	지자체/NNG
간	간/NNB
자립	자립/NNG
경쟁을	경쟁/NNG+을/JKO
유도하는	유도/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
좋은	좋/VA+은/ETM
방법"이라고	방법/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.10.1
④정보 공개·주민 참여 확대해야

④정보	④/SN+정보/NNG
공개·주민	공개/NNG+·/SP+주민/NNG
참여	참여/NNG
확대해야	확대/NNG+하/XSV+아야/EC


# id : NWRW1800000038.375.11.1
전문가들은 지자체가 예산서를 늦게 공개하고, 의회가 심사보고서·회의록·표결 현황 등을 제대로 알리지 않는 관행을 고쳐야 한다고 했다.

전문가들은	전문가/NNG+들/XSN+은/JX
지자체가	지자체/NNG+가/JKS
예산서를	예산서/NNG+를/JKO
늦게	늦/VA+게/EC
공개하고,	공개/NNG+하/XSV+고/EC+,/SP
의회가	의회/NNG+가/JKS
심사보고서·회의록·표결	심사/NNG+보고서/NNG+·/SP+회의록/NNG+·/SP+표결/NNG
현황	현황/NNG
등을	등/NNB+을/JKO
제대로	제대로/MAG
알리지	알리/VV+지/EC
않는	않/VX+는/ETM
관행을	관행/NNG+을/JKO
고쳐야	고치/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.11.2
백흥기 현대경제연구원 수석연구위원은 "지자체의 정보 공개 기준을 만든 뒤 잘하는 지자체에는 인센티브를 주고 못하는 지자체는 벌칙을 줘야 한다"고 했다.

백흥기	백흥기/NNP
현대경제연구원	현대경제연구원/NNP
수석연구위원은	수석/NNG+연구/NNG+위원/NNG+은/JX
"지자체의	"/SS+지자체/NNG+의/JKG
정보	정보/NNG
공개	공개/NNG
기준을	기준/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
뒤	뒤/NNG
잘하는	잘/MAG+하/XSV+는/ETM
지자체에는	지자체/NNG+에/JKB+는/JX
인센티브를	인센티브/NNG+를/JKO
주고	주/VV+고/EC
못하는	못/MAG+하/XSV+는/ETM
지자체는	지자체/NNG+는/JX
벌칙을	벌칙/NNG+을/JKO
줘야	주/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.375.12.1
김태일 고려대 교수는 "공무원의 예산 정보 독점을 깨고 예산 편성·집행·결산 등 모든 단계에서 주민 참여와 감시를 확대할 필요가 있다"고 했다.

김태일	김태일/NNP
고려대	고려대/NNP
교수는	교수/NNG+는/JX
"공무원의	"/SS+공무원/NNG+의/JKG
예산	예산/NNG
정보	정보/NNG
독점을	독점/NNG+을/JKO
깨고	깨/VV+고/EC
편성·집행·결산	편성/NNG+·/SP+집행/NNG+·/SP+결산/NNG
등	등/NNB
모든	모든/MMN
단계에서	단계/NNG+에서/JKB
주민	주민/NNG
참여와	참여/NNG+와/JC
감시를	감시/NNG+를/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


