# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.277
metadata : {}


# id : NWRW1800000056.277.1.1
금의환향 최혜진 “세리, 인비 언니처럼 되고 싶어요”

금의환향	금의환향/NNG
탄생할	탄생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
절호의	절호/NNG+의/JKG
기회를	기회/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.277.9.2
하지만 16번홀(파3)에서 방심하며 티샷을 물에 빠뜨린 뒤 더블보기를 기록해 결국 박성현에 2타 차로 밀리며 아쉽게 대회를 마쳤다.

하지만	하지만/MAJ
16번홀(파3)에서	16/SN+번/NNB+홀/NNG+(/SS+파/NNG+3/SN+)/SS+에서/JKB
방심하며	방심/NNG+하/XSV+며/EC
티샷을	티/NNG+샷/NNG+을/JKO
물에	물/NNG+에/JKB
빠뜨린	빠뜨리/VV+ㄴ/ETM
뒤	뒤/NNG
더블보기를	더블/NNG+보기/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
결국	결국/MAG
박성현에	박성현/NNP+에/JKB
2타	2/SN+타/NNG
차로	차/NNG+로/JKB
밀리며	밀리/VV+며/EC
아쉽게	아쉽/VA+게/EC
대회를	대회/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.9.3
3라운드까지 선두를 달리던 중국의 간판스타 펑산산과 챔피언조에서 경기를 펼치며 버디 4개(보기 1개, 더블보기 1개)를 기록하는 등 놀라운 경기력을 보여줬다.

3라운드까지	3/SN+라운드/NNG+까지/JX
선두를	선두/NNG+를/JKO
달리던	달리/VV+던/ETM
중국의	중국/NNP+의/JKG
간판스타	간판스타/NNG
펑산산과	펑산산/NNP+과/JKB
챔피언조에서	챔피언/NNG+조/NNG+에서/JKB
경기를	경기/NNG+를/JKO
펼치며	펼치/VV+며/EC
버디	버디/NNG
4개(보기	4/SN+개/NNB+(/SS+보기/NNG
1개,	1/SN+개/NNB+,/SP
더블보기	더블/NNG+보기/NNG
1개)를	1/SN+개/NNB+)/SS+를/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
놀라운	놀랍/VA+ㄴ/ETM
경기력을	경기력/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.277.9.4
최혜진은 당시 16번홀 상황에 대해 “치는 순간 ‘빠졌다’는 생각이 들었다.

최혜진은	최혜진/NNP+은/JX
당시	당시/NNG
16번홀	16/SN+번/NNB+홀/NNG
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
“치는	“/SS+치/VV+는/ETM
순간	순간/NNG
‘빠졌다’는	‘/SS+빠지/VV+었/EP+다/EF+’/SS+는/ETM
생각이	생각/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.9.5
15번홀 버디로 공동선두가 됐다는 사실을 알고 있었는데 미스샷이 나왔다”고 설명했다.

15번홀	15/SN+번/NNB+홀/NNG
버디로	버디/NNG+로/JKB
공동선두가	공동/NNG+선두/NNG+가/JKC
됐다는	되/VV+었/EP+다는/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
있었는데	있/VX+었/EP+는데/EC
미스샷이	미스샷/NNG+이/JKS
나왔다”고	나오/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.277.9.6
그는 이어 “비행기를 타고 오면서 처음에는 자느라 정신이 없었는데 이후 16번홀이 자꾸 생각났다.

그는	그/NP+는/JX
이어	이어/MAG
“비행기를	“/SS+비행기/NNG+를/JKO
타고	타/VV+고/EC
오면서	오/VV+면서/EC
처음에는	처음/NNG+에/JKB+는/JX
자느라	자/VV+느라/EC
정신이	정신/NNG+이/JKS
없었는데	없/VA+었/EP+는데/EC
이후	이후/NNG
16번홀이	16/SN+번/NNB+홀/NNG+이/JKS
자꾸	자꾸/MAG
생각났다.	생각나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.277.9.7
다시 쳐보고 싶다는 생각도 들었다”고 했다.

다시	다시/MAG
쳐보고	치/VV+어/EC+보/VX+고/EC
싶다는	싶/VX+다는/ETM
생각도	생각/NNG+도/JX
들었다”고	들/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.277.10.1
그는 또 “앞으로 미국여자프로골프 투어에 진출하려면 체력이 중요하다는 점을 느꼈다.

그는	그/NP+는/JX
또	또/MAG
“앞으로	“/SS+앞/NNG+으로/JKB
미국여자프로골프	미국/NNP+여자/NNG+프로/NNG+골프/NNG
투어에	투어/NNG+에/JKB
진출하려면	진출/NNG+하/XSV+려면/EC
체력이	체력/NNG+이/JKS
중요하다는	중요/NNG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
느꼈다.	느끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.10.2
그린 주위 쇼트게임이나 트러블샷에 대한 연습도 더 해야 할 것 같다”고 자신이 보완할 점을 지적했다.

그린	그린/NNG
주위	주위/NNG
쇼트게임이나	쇼트게임/NNG+이나/JC
트러블샷에	트러블샷/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연습도	연습/NNG+도/JX
더	더/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
자신이	자신/NNG+이/JKS
보완할	보완/NNG+하/XSV+ㄹ/ETM
점을	점/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.277.10.3
“한국과 미국 여자프로골프 투어를 거쳐 박세리, 박인비 선배님처럼 명예의 전당에 오르는 선수가 되겠다”는 포부도 밝혔다.

“한국과	“/SS+한국/NNP+과/JC
미국	미국/NNP
여자프로골프	여자/NNG+프로/NNG+골프/NNG
투어를	투어/NNG+를/JKO
거쳐	거치/VV+어/EC
박세리,	박세리/NNP+,/SP
박인비	박인비/NNP
선배님처럼	선배/NNG+님/XSN+처럼/JKB
명예의	명예/NNG+의/JKG
전당에	전당/NNG+에/JKB
오르는	오르/VV+는/ETM
선수가	선수/NNG+가/JKC
되겠다”는	되/VV+겠/EP+다/EF+”/SS+는/ETM
포부도	포부/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.11.1
키 165㎝인 최혜진은 드라이버샷 평균 비거리가 260~270야드인 장타자이고, 샷이 전반적으로 좋다는 평가를 받고 있다.

키	키/NNG
165㎝인	165/SN+㎝/SW+이/VCP+ㄴ/ETM
최혜진은	최혜진/NNP+은/JX
드라이버샷	드라이버/NNG+샷/NNG
평균	평균/NNG
비거리가	비거리/NNG+가/JKS
260~270야드인	260/SN+~/SO+270/SN+야드/NNB+이/VCP+ㄴ/ETM
장타자이고,	장타자/NNG+이/VCP+고/EC+,/SP
샷이	샷/NNG+이/JKS
전반적으로	전반/NNG+적/XSN+으로/JKB
좋다는	좋/VA+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.277.11.2
약점으로 지적됐던 쇼트게임, 특히 어프로치도 많이 개선됐다.

약점으로	약점/NNG+으로/JKB
지적됐던	지적/NNG+되/XSV+었/EP+던/ETM
쇼트게임,	쇼트게임/NNG+,/SP
특히	특히/MAG
어프로치도	어프로치/NNG+도/JX
많이	많이/MAG
개선됐다.	개선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.11.3
“코스 밖에서는 눈물도 많고 순수한데, 코스 안에서는 굉장히 강하고 대범하다.”

“코스	“/SS+코스/NNG
밖에서는	밖/NNG+에서/JKB+는/JX
눈물도	눈물/NNG+도/JX
많고	많/VA+고/EC
순수한데,	순수/NNG+하/XSA+ㄴ데/EC+,/SP
코스	코스/NNG
안에서는	안/NNG+에서/JKB+는/JX
굉장히	굉장히/MAG
강하고	강하/VA+고/EC
대범하다.”	대범하/VA+다/EF+./SF+”/SS


# id : NWRW1800000056.277.11.4
그를 지도해온 박소영 코치의 평가다.

그를	그/NP+를/JKO
지도해온	지도/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
박소영	박소영/NNP
코치의	코치/NNG+의/JKG
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.277.11.5
“체력이 좋고 멘탈도 강하다.

“체력이	“/SS+체력/NNG+이/JKS
좋고	좋/VA+고/EC
멘탈도	멘탈/NNG+도/JX
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000056.277.11.6
제2의 김효주다.”

제2의	제/XPN+2/SN+의/JKG
김효주다.”	김효주/NNP+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000056.277.11.7
선수강화위원장을 지낸 강형모 대한골프협회 부회장도 거든다.

선수강화위원장을	선수/NNG+강화/NNG+위원장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
강형모	강형모/NNP
대한골프협회	대한골프협회/NNP
부회장도	부회장/NNG+도/JX
거든다.	거들/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.277.12.1
최혜진은 부산 학산여중 3학년 때 처음 태극마크를 달았고 4년 동안 국가대표로 아마추어 국제대회에서 활약했다.

최혜진은	최혜진/NNP+은/JX
부산	부산/NNP
학산여중	학산여중/NNP
3학년	3/SN+학년/NNG
때	때/NNG
처음	처음/NNG
태극마크를	태극/NNG+마크/NNG+를/JKO
달았고	달/VV+았/EP+고/EC
4년	4/SN+년/NNB
동안	동안/NNG
국가대표로	국가/NNG+대표/NNG+로/JKB
아마추어	아마추어/NNG
국제대회에서	국제/NNG+대회/NNG+에서/JKB
활약했다.	활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.277.12.2
2014년 인천아시안게임 여자단체전 은메달, 2015년 세계주니어선수권 여자 개인전과 단체전 우승, 지난해 세계아마추어선수권 여자 개인전과 단체전 우승 등이 그가 일궈낸 성적이다.

2014년	2014/SN+년/NNB
인천아시안게임	인천/NNP+아시안/NNP+게임/NNG
여자단체전	여자/NNG+단체전/NNG
은메달,	은메달/NNG+,/SP
2015년	2015/SN+년/NNB
세계주니어선수권	세계/NNG+주니어/NNG+선수/NNG+권/XSN
여자	여자/NNG
개인전과	개인전/NNG+과/JC
단체전	단체전/NNG
우승,	우승/NNG+,/SP
지난해	지난해/NNG
세계아마추어선수권	세계/NNG+아마추어/NNG+선수/NNG+권/XSN
우승	우승/NNG
등이	등/NNB+이/JKS
그가	그/NP+가/JKS
일궈낸	일구/VV+어/EC+내/VX+ㄴ/ETM
성적이다.	성적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.277.12.3
고1 때 출전한 2015년 한국여자프로골프 투어 롯데마트여자오픈에서는 4위에 올라 주목을 끌었다.

고1	고/NNG+1/SN
때	때/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
2015년	2015/SN+년/NNB
한국여자프로골프	한국/NNP+여자/NNG+프로/NNG+골프/NNG
투어	투어/NNG
롯데마트여자오픈에서는	롯데마트/NNP+여자/NNG+오픈/NNG+에서/JKB+는/JX
4위에	4/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
주목을	주목/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.12.4
올해는 호주여자오픈 7위, 한국여자프로골프 투어 E1 채리티 여자오픈 2위, 한국여자오픈 4위 등 꾸준히 상위권 성적을 냈다.

올해는	올해/NNG+는/JX
호주여자오픈	호주/NNP+여자/NNG+오픈/NNG
7위,	7/SN+위/NNB+,/SP
한국여자프로골프	한국/NNP+여자/NNG+프로/NNG+골프/NNG
투어	투어/NNG
E1	E/SL+1/SN
채리티	채리티/NNG
여자오픈	여자/NNG+오픈/NNG
2위,	2/SN+위/NNB+,/SP
한국여자오픈	한국/NNP+여자/NNG+오픈/NNG
4위	4/SN+위/NNB
등	등/NNB
꾸준히	꾸준히/MAG
상위권	상위/NNG+권/XSN
성적을	성적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.277.12.5
사업을 하는 아버지가 캐디를 오랫동안 맡았으나, 이젠 김효주의 캐디를 맡았던 서정우(33)씨가 그의 백을 메고 있다.

사업을	사업/NNG+을/JKO
하는	하/VV+는/ETM
아버지가	아버지/NNG+가/JKS
캐디를	캐디/NNG+를/JKO
오랫동안	오랫동안/NNG
맡았으나,	맡/VV+았/EP+으나/EC+,/SP
이젠	이제/NNG+ㄴ/JX
김효주의	김효주/NNP+의/JKG
맡았던	맡/VV+았/EP+던/ETM
서정우(33)씨가	서정우/NNP+(/SS+33/SN+)/SS+씨/NNB+가/JKS
그의	그/NP+의/JKG
백을	백/NNG+을/JKO
메고	메/VV+고/EC
있다.	있/VX+다/EF+./SF


