# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.58
metadata : {}


# id : NWRW1800000021.58.1.1
李대통령 “중앙-지방정부 힘 합쳐야”

李대통령	李/SH+대통령/NNG
# id : NWRW1800000021.58.5.1
이 대통령은 세 사람이 11일 ‘경인운하 연계사업의 상호 협력을 위한 공동협약’을 맺은 것을 두고 “경제가 어려운 만큼 중앙과 지방정부가 힘을 합치고, 특히 이웃사촌끼리 힘을 합치는 것이 중요하다”면서 “수도권 광역단체장들이 경인운하를 비롯해 티격태격하지 않고 경제 살리기에 의기투합해 힘을 모으는 모습이 참 좋다”고 말했다고 청와대 관계자는 전했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
세	세/MMN
사람이	사람/NNG+이/JKS
11일	11/SN+일/NNB
‘경인운하	‘/SS+경인운하/NNP
연계사업의	연계/NNG+사업/NNG+의/JKG
상호	상호/NNG
협력을	협력/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동협약’을	공동/NNG+협약/NNG+’/SS+을/JKO
맺은	맺/VV+은/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
“경제가	“/SS+경제/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
만큼	만큼/NNB
중앙과	중앙/NNG+과/JC
지방정부가	지방/NNG+정부/NNG+가/JKS
힘을	힘/NNG+을/JKO
합치고,	합치/VV+고/EC+,/SP
특히	특히/MAG
이웃사촌끼리	이웃사촌/NNG+끼리/XSN
합치는	합치/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”면서	중요/NNG+하/XSA+다/EF+”/SS+면서/EC
“수도권	“/SS+수도/NNG+권/XSN
광역단체장들이	광역/NNG+단체장/NNG+들/XSN+이/JKS
경인운하를	경인운하/NNP+를/JKO
비롯해	비롯하/VV+아/EC
티격태격하지	티격태격/MAG+하/XSV+지/EC
않고	않/VX+고/EC
경제	경제/NNG
살리기에	살리/VV+기/ETN+에/JKB
의기투합해	의기투합/NNG+하/XSV+아/EC
모으는	모으/VV+는/ETM
모습이	모습/NNG+이/JKS
참	참/MAG
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.58.6.1
이날 회동은 세 사람이 11일 만나 공동협약을 맺는 것을 보고 이 대통령이 “청와대에서 저녁이나 하자”고 제안해 이뤄졌다.

이날	이날/NNG
회동은	회동/NNG+은/JX
세	세/MMN
사람이	사람/NNG+이/JKS
11일	11/SN+일/NNB
만나	만나/VV+아/EC
공동협약을	공동/NNG+협약/NNG+을/JKO
맺는	맺/VV+는/ETM
것을	것/NNB+을/JKO
보고	보/VV+고/EC
이	이/NNP
대통령이	대통령/NNG+이/JKS
“청와대에서	“/SS+청와대/NNP+에서/JKB
저녁이나	저녁/NNG+이나/JX
하자”고	하/VV+자/EF+”/SS+고/JKQ
제안해	제안/NNG+하/XSV+아/EC
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.58.7.1
이 대통령이 수도권 3대 광역자치단체장만 따로 불러 만찬을 한 것이 처음인 데다 그동안 관례상 공개해오던 지자체장들과의 만남을 비공개로 진행한 점 등을 미뤄 정치권에서는 이날 회동에 적지 않은 의미를 부여하고 있다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
수도권	수도/NNG+권/XSN
3대	3/SN+대/NNG
광역자치단체장만	광역/NNG+자치/NNG+단체장/NNG+만/JX
따로	따로/MAG
불러	부르/VV+어/EC
만찬을	만찬/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
처음인	처음/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
그동안	그동안/NNG
관례상	관례상/NNG
공개해오던	공개/NNG+하/XSV+아/EC+오/VX+던/ETM
지자체장들과의	지자체장/NNG+들/XSN+과/JKB+의/JKG
만남을	만남/NNG+을/JKO
비공개로	비/XPN+공개/NNG+로/JKB
진행한	진행/NNG+하/XSV+ㄴ/ETM
점	점/NNG
등을	등/NNB+을/JKO
미뤄	미루/VV+어/EC
정치권에서는	정치/NNG+권/XSN+에서/JKB+는/JX
이날	이날/NNG
회동에	회동/NNG+에/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
의미를	의미/NNG+를/JKO
부여하고	부여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.58.8.1
여권 관계자는 “정두언 정몽준 의원을 잇달아 청와대로 불러 독대를 한 뒤 곧바로 수도권 광역단체장 3명을 비공개로 초청한 것을 두고 이 대통령이 차기 대권주자 관리에 나선 게 아니냐는 관측이 나오고 있다”고 말했다.

여권	여권/NNG
관계자는	관계자/NNG+는/JX
“정두언	“/SS+정두언/NNP
정몽준	정몽준/NNP
의원을	의원/NNG+을/JKO
잇달아	잇달/VV+아/EC
청와대로	청와대/NNP+로/JKB
불러	부르/VV+어/EC
독대를	독대/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
곧바로	곧바로/MAG
수도권	수도/NNG+권/XSN
광역단체장	광역/NNG+단체장/NNG
3명을	3/SN+명/NNB+을/JKO
비공개로	비/XPN+공개/NNG+로/JKB
초청한	초청/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
이	이/NNP
대통령이	대통령/NNG+이/JKS
차기	차기/NNG
대권주자	대권/NNG+주자/NNG
관리에	관리/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
관측이	관측/NNG+이/JKS
나오고	나오/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


