# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.210
metadata : {}


# id : NWRW1800000038.210.1.1
'공소장 변경' SK재판부, 量刑엔 영향 없다는데…

'공소장	'/SS+공소장/NNG
위해'로	위하/VV+아/EC+'/SS+로/JKB
알려진	알려지/VV+ㄴ/ETM
기존의	기존/NNG+의/JKG
범행	범행/NNG
동기를	동기/NNG+를/JKO
바꾸라는	바꾸/VV+라는/ETM
'지침'을	'/SS+지침/NNG+'/SS+을/JKO
검찰에	검찰/NNG+에/JKB
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.210.6.2
최 회장이 김원홍(52) 전 SK해운 고문에게 회사 자금을 빼돌리기 전 동생인 최재원(50) 부회장이 김원홍씨와 자금 조달 방안을 논의했던 점과, 김씨가 최 부회장에게 계열사 펀드 출자금 465억원을 송금해달라고 요청한 내용 등을 포함하라는 취지다.

최	최/NNP
회장이	회장/NNG+이/JKS
김원홍(52)	김원홍/NNP+(/SS+52/SN+)/SS
전	전/NNG
SK해운	SK해운/NNP
고문에게	고문/NNG+에게/JKB
회사	회사/NNG
자금을	자금/NNG+을/JKO
빼돌리기	빼돌리/VV+기/ETN
동생인	동생/NNG+이/VCP+ㄴ/ETM
최재원(50)	최재원/NNP+(/SS+50/SN+)/SS
부회장이	부회장/NNG+이/JKS
김원홍씨와	김원홍/NNP+씨/NNB+와/JKB
자금	자금/NNG
조달	조달/NNG
방안을	방안/NNG+을/JKO
논의했던	논의/NNG+하/XSV+았/EP+던/ETM
점과,	점/NNG+과/JC+,/SP
김씨가	김/NNP+씨/NNB+가/JKS
부회장에게	부회장/NNG+에게/JKB
계열사	계열사/NNG
펀드	펀드/NNG
출자금	출자금/NNG
465억원을	465/SN+억/NR+원/NNB+을/JKO
송금해달라고	송금/NNG+하/XSV+아/EC+달/VX+라고/EC
요청한	요청/NNG+하/XSV+ㄴ/ETM
내용	내용/NNG
등을	등/NNB+을/JKO
포함하라는	포함/NNG+하/XSV+라는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.210.6.3
검찰 관계자는 "김 전 고문과 최 부회장의 역할을 좀 더 구체화해 달라는 의미 같다"고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"김	"/SS+김/NNP
전	전/MMD
고문과	고문/NNG+과/JC
최	최/NNP
부회장의	부회장/NNG+의/JKG
역할을	역할/NNG+을/JKO
좀	좀/MAG
더	더/MAG
구체화해	구체/NNG+화/XSN+하/XSV+아/EC
달라는	달/VX+라는/ETM
의미	의미/NNG
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.210.7.1
이 때문에 '양형에 영향 없다'는 재판부의 언급에도 공소장이 변경되면 피고인들의 유·불리가 엇갈릴 수 있다는 분석이 나온다.

이	이/MMD
때문에	때문/NNB+에/JKB
'양형에	'/SS+양형/NNG+에/JKB
영향	영향/NNG
없다'는	없/VA+다/EF+'/SS+는/ETM
재판부의	재판부/NNG+의/JKG
언급에도	언급/NNG+에/JKB+도/JX
공소장이	공소장/NNG+이/JKS
변경되면	변경/NNG+되/XSV+면/EC
피고인들의	피고인/NNG+들/XSN+의/JKG
유·불리가	유·불리/NNG+가/JKS
엇갈릴	엇갈리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.210.7.2
최 부회장은 1심에서 무죄를 선고받았으나, 공소장 변경으로 그의 역할이 부각되면 불리해진다는 얘기가 나온다.

최	최/NNP
부회장은	부회장/NNG+은/JX
1심에서	1심/NNG+에서/JKB
무죄를	무죄/NNG+를/JKO
선고받았으나,	선고/NNG+받/XSV+았/EP+으나/EC+,/SP
공소장	공소장/NNG
변경으로	변경/NNG+으로/JKB
그의	그/NP+의/JKG
역할이	역할/NNG+이/JKS
부각되면	부각/NNG+되/XSV+면/EC
불리해진다는	불리/NNG+하/XSA+아/EC+지/VX+ㄴ다는/ETM
얘기가	얘기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.210.7.3
실제로 재판부는 이날 최 부회장이 최 회장의 주식을 담보로 대출받으려 했던 정황에 대해 김준홍(48) 전 베넥스인베트스먼트 대표를 상대로 집중적으로 캐물었다.

실제로	실제로/MAG
재판부는	재판부/NNG+는/JX
이날	이날/NNG
최	최/NNP
부회장이	부회장/NNG+이/JKS
회장의	회장/NNG+의/JKG
주식을	주식/NNG+을/JKO
담보로	담보/NNG+로/JKB
대출받으려	대출/NNG+받/XSV+으려/EC
했던	하/VX+았/EP+던/ETM
정황에	정황/NNG+에/JKB
대해	대하/VV+아/EC
김준홍(48)	김준홍/NNP+(/SS+48/SN+)/SS
전	전/MMD
베넥스인베트스먼트	베넥스인베트스먼트/NNP
대표를	대표/NNG+를/JKO
상대로	상대/NNG+로/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
캐물었다.	캐묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.210.8.1
반면 최 회장은 다소 유리해졌다는 관측이 나온다.

반면	반면/NNG
최	최/NNP
회장은	회장/NNG+은/JX
다소	다소/MAG
유리해졌다는	유리/NNG+하/XSA+아/EC+지/VX+었/EP+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.210.8.2
횡령을 기획하고 사용한 사람이 김원홍씨이고 '실무 총책'을 최 부회장이 맡았다면, 최 회장의 역할이 축소된다는 것이다.

횡령을	횡령/NNG+을/JKO
기획하고	기획/NNG+하/XSV+고/EC
사용한	사용/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
김원홍씨이고	김원홍/NNP+씨/NNB+이/VCP+고/EC
'실무	'/SS+실무/NNG
총책'을	총책/NNG+'/SS+을/JKO
최	최/NNP
부회장이	부회장/NNG+이/JKS
맡았다면,	맡/VV+았/EP+다면/EC+,/SP
회장의	회장/NNG+의/JKG
역할이	역할/NNG+이/JKS
축소된다는	축소/NNG+되/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.210.9.1
그러나 재판부는 이날 최 회장 측이 '주범'이라고 주장한 김원홍씨에 대해선 증인 채택 요청을 기각했다.

그러나	그러나/MAJ
재판부는	재판부/NNG+는/JX
이날	이날/NNG
최	최/NNP
회장	회장/NNG
측이	측/NNB+이/JKS
'주범'이라고	'/SS+주범/NNG+'/SS+이라고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
김원홍씨에	김원홍/NNP+씨/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
증인	증인/NNG
채택	채택/NNG
요청을	요청/NNG+을/JKO
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.210.9.2
김씨는 현재 대만에서 이민법 위반 등 혐의로 체포돼 강제 송환을 앞두고 있다.

김씨는	김/NNP+씨/NNB+는/JX
현재	현재/MAG
대만에서	대만/NNP+에서/JKB
이민법	이민법/NNG
위반	위반/NNG
등	등/NNB
혐의로	혐의/NNG+로/JKB
체포돼	체포/NNG+되/XSV+어/EC
강제	강제/NNG
송환을	송환/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.210.10.1
재판부는 "당장 내일 김원홍이 온다고 해도 증인으로 채택할 의사가 없다"며 "김원홍의 입장은 녹음파일과 녹취록에 아주 구체적으로 나와 있어 별도의 증언을 들을 필요가 없다"고 했다.

재판부는	재판부/NNG+는/JX
"당장	"/SS+당장/NNG
내일	내일/NNG
김원홍이	김원홍/NNP+이/JKS
온다고	오/VV+ㄴ다고/EC
해도	하/VV+아도/EC
증인으로	증인/NNG+으로/JKB
채택할	채택/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"김원홍의	"/SS+김원홍/NNP+의/JKG
입장은	입장/NNG+은/JX
녹음파일과	녹음/NNG+파일/NNG+과/JC
녹취록에	녹취록/NNG+에/JKB
아주	아주/MAG
구체적으로	구체/NNG+적/XSN+으로/JKB
나와	나오/VV+아/EC
있어	있/VX+어/EC
별도의	별도/NNG+의/JKG
증언을	증언/NNG+을/JKO
들을	듣/VV+을/ETM
필요가	필요/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.210.11.1
이에 SK 관계자는 "재판부가 항소심 재판 과정에서 여러 차례 '김원홍씨가 핵심 증인'이라더니 이제 와서 김씨에 대한 심리를 '녹취록'으로 대신하겠다고 결정한 것을 이해할 수 없다"며 "그동안 재판부는 녹취록에 대해 '독(毒)이라는 생각이 안 들었느냐'며 거꾸로 유죄의 증거로 쓸 것처럼 공박(攻駁)하다가 이제는 김원홍의 증인 신청을 기각하는 사유로 들고 있어 매우 혼란스럽다"고 말했다.

이에	이/NP+에/JKB
SK	SK/SL
관계자는	관계자/NNG+는/JX
"재판부가	"/SS+재판부/NNG+가/JKS
항소심	항소심/NNG
재판	재판/NNG
과정에서	과정/NNG+에서/JKB
여러	여러/MMN
차례	차례/NNG
'김원홍씨가	'/SS+김원홍/NNP+씨/NNB+가/JKS
핵심	핵심/NNG
증인'이라더니	증인/NNG+'/SS+이/VCP+라더니/EC
이제	이제/MAG
와서	오/VV+아서/EC
김씨에	김/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
심리를	심리/NNG+를/JKO
'녹취록'으로	'/SS+녹취록/NNG+'/SS+으로/JKB
대신하겠다고	대신/NNG+하/XSV+겠/EP+다고/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"그동안	"/SS+그동안/NNG
재판부는	재판부/NNG+는/JX
녹취록에	녹취록/NNG+에/JKB
대해	대하/VV+아/EC
'독(毒)이라는	'/SS+독/NNG+(/SS+毒/SH+)/SS+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
안	안/MAG
들었느냐'며	들/VV+었/EP+느냐/EF+'/SS+며/EC
거꾸로	거꾸로/MAG
유죄의	유죄/NNG+의/JKG
증거로	증거/NNG+로/JKB
쓸	쓰/VV+ㄹ/ETM
것처럼	것/NNB+처럼/JKB
공박(攻駁)하다가	공박/NNG+(/SS+攻駁/SH+)/SS+하/XSV+다가/EC
이제는	이제/NNG+는/JX
김원홍의	김원홍/NNP+의/JKG
증인	증인/NNG
신청을	신청/NNG+을/JKO
기각하는	기각/NNG+하/XSV+는/ETM
사유로	사유/NNG+로/JKB
들고	들/VV+고/EC
있어	있/VX+어/EC
매우	매우/MAG
혼란스럽다"고	혼란/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.210.12.1
재판부는 29일 공판을 한 차례 더 열고 특이한 상황이 없으면 다음 달 13일 예정대로 선고하겠다고 밝혔다.

재판부는	재판부/NNG+는/JX
29일	29/SN+일/NNB
공판을	공판/NNG+을/JKO
한	한/MMN
차례	차례/NNG
더	더/MAG
열고	열/VV+고/EC
특이한	특이/NNG+하/XSA+ㄴ/ETM
상황이	상황/NNG+이/JKS
없으면	없/VA+으면/EC
다음	다음/NNG
달	달/NNG
13일	13/SN+일/NNB
예정대로	예정/NNG+대로/JX
선고하겠다고	선고/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


