# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.91
metadata : {}


# id : NWRW1800000037.91.1.1
[Outdoor]컬럼비아, 따뜻하고 안전한 산행의 벗 ‘옴니 히트’

[Outdoor]컬럼비아,	[/SS+Outdoor/SL+]/SS+컬럼비아/NNP+,/SP
백팩’은	백팩/NNG+’/SS+은/JX
탑로딩	탑로딩/NNG
방식의	방식/NNG+의/JKG
배낭이다.	배낭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.91.5.3
배낭과 함께 딸린 무릎 담요에도 옴니 히트가 적용됐다.

배낭과	배낭/NNG+과/JKB
함께	함께/MAG
딸린	딸리/VV+ㄴ/ETM
무릎	무릎/NNG
담요에도	담요/NNG+에/JKB+도/JX
옴니	옴니/NNP
히트가	히트/NNP+가/JKS
적용됐다.	적용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.91.5.4
무릎 담요는 휴대용 간이 숄더백, 보온 방석 등으로 변신 가능한 1석 3조의 아이디어 제품.

무릎	무릎/NNG
담요는	담요/NNG+는/JX
휴대용	휴대/NNG+용/XSN
간이	간이/NNG
숄더백,	숄더백/NNG+,/SP
보온	보온/NNG
방석	방석/NNG
등으로	등/NNB+으로/JKB
변신	변신/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
1석	1/SN+석/NNB
3조의	3/SN+조/NR+의/JKG
아이디어	아이디어/NNG
제품.	제품/NNG+./SF


# id : NWRW1800000037.91.5.5
백팩 하단에는 보온 및 보냉 기능의 음료수 케이스가 내장돼 있다.

백팩	백팩/NNG
하단에는	하단/NNG+에/JKB+는/JX
보온	보온/NNG
및	및/MAG
보냉	보냉/NNG
기능의	기능/NNG+의/JKG
음료수	음료수/NNG
케이스가	케이스/NNG+가/JKS
내장돼	내장/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.91.6.1
‘돔 마스터 인듀로 아웃드라이’ 등산화는 컬럼비아의 최첨단 방투습 테크놀로지가 적용돼 물이 내부로 침투하는 것을 막는 동시에 과도한 땀과 열기를 외부로 배출해 장시간 착용에도 쾌적함을 유지한다.

‘돔	‘/SS+돔/NNP
마스터	마스터/NNP
인듀로	인듀로/NNP
아웃드라이’	아웃드라이/NNP+’/SS
등산화는	등산화/NNG+는/JX
컬럼비아의	컬럼비아/NNP+의/JKG
최첨단	최/XPN+첨단/NNG
방투습	방투습/NNG
테크놀로지가	테크놀로지/NNG+가/JKS
적용돼	적용/NNG+되/XSV+어/EC
물이	물/NNG+이/JKS
내부로	내부/NNG+로/JKB
침투하는	침투/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
막는	막/VV+는/ETM
동시에	동시/NNG+에/JKB
과도한	과도/NNG+하/XSA+ㄴ/ETM
땀과	땀/NNG+과/JC
열기를	열기/NNG+를/JKO
외부로	외부/NNG+로/JKB
배출해	배출/NNG+하/XSV+아/EC
장시간	장시간/NNG
착용에도	착용/NNG+에/JKB+도/JX
쾌적함을	쾌적하/VA+ㅁ/ETN+을/JKO
유지한다.	유지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.91.6.2
우수한 쿠셔닝과 접지력으로 흙과 돌길 등 다양한 트레일 환경에서도 편안함을 준다.

우수한	우수/NNG+하/XSA+ㄴ/ETM
쿠셔닝과	쿠셔닝/NNG+과/JC
접지력으로	접지력/NNG+으로/JKB
흙과	흙/NNG+과/JC
돌길	돌길/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
트레일	트레일/NNG
환경에서도	환경/NNG+에서/JKB+도/JX
편안함을	편안/NNG+하/XSA+ㅁ/ETN+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


