# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.99
metadata : {}


# id : NWRW1800000052.99.1.1
중 vs 미·일, 아세안에선 ‘중 일단 승’

중	중/NNP
“베이징의	“/SS+베이징/NNP+의/JKG
외교	외교/NNG
승리”라고	승리/NNG+”/SS+라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.99.7.3
천강 싱가포르국립대 연구원은 “주최국인 라오스는 친중국 성향이고, 필리핀과 미얀마에 들어선 새 정부는 남중국해 문제에서 비교적 온건한 태도를 보이고 있다.

천강	천강/NNP
싱가포르국립대	싱가포르국립대/NNP
연구원은	연구원/NNG+은/JX
“주최국인	“/SS+주최국/NNG+이/VCP+ㄴ/ETM
라오스는	라오스/NNP+는/JX
친중국	친/XPN+중국/NNP
성향이고,	성향/NNG+이/VCP+고/EC+,/SP
필리핀과	필리핀/NNP+과/JC
미얀마에	미얀마/NNP+에/JKB
들어선	들어서/VV+ㄴ/ETM
새	새/MMA
정부는	정부/NNG+는/JX
남중국해	남중국해/NNP
문제에서	문제/NNG+에서/JKB
비교적	비교/NNG+적/XSN
온건한	온건/NNG+하/XSA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.99.7.4
이런 탓에 긴장 소지가 줄어들었다”고 분석했다고 <사우스차이나모닝포스트>가 전했다.

이런	이런/MMD
탓에	탓/NNG+에/JKB
긴장	긴장/NNG
소지가	소지/NNG+가/JKS
줄어들었다”고	줄어들/VV+었/EP+다/EF+”/SS+고/JKQ
분석했다고	분석/NNG+하/XSV+았/EP+다고/EC
<사우스차이나모닝포스트>가	</SS+사우스차이나모닝포스트/NNP+>/SS+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.99.8.1
특히 중국을 상대로 중재판결을 제기한데다, 서방의 지원 속에 ‘승리’를 거두기까지 한 필리핀의 태도는 주목된다.

특히	특히/MAG
중국을	중국/NNP+을/JKO
상대로	상대/NNG+로/JKB
중재판결을	중재/NNG+판결/NNG+을/JKO
제기한데다,	제기/NNG+하/XSV+ㄴ/ETM+데/NNB+다/JX+,/SP
서방의	서방/NNG+의/JKG
지원	지원/NNG
속에	속/NNG+에/JKB
‘승리’를	‘/SS+승리/NNG+’/SS+를/JKO
거두기까지	거두/VV+기/ETN+까지/JX
한	하/VX+ㄴ/ETM
필리핀의	필리핀/NNP+의/JKG
태도는	태도/NNG+는/JX
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.99.8.2
로드리고 두테르테 대통령은 참석에 앞서 “정상회의에서 남중국해는 거론하지 않겠다”며 중국을 자극시키지 않겠다는 입장을 낸 반면, 미국에 대해선 버락 오바마 대통령을 향한 욕설 파문으로 정상회담이 취소되는 등 극명한 대조를 보였다.

로드리고	로드리고/NNP
두테르테	두테르테/NNP
대통령은	대통령/NNG+은/JX
참석에	참석/NNG+에/JKB
앞서	앞서/VV+어/EC
“정상회의에서	“/SS+정상/NNG+회의/NNG+에서/JKB
남중국해는	남중국해/NNP+는/JX
거론하지	거론/NNG+하/XSV+지/EC
않겠다”며	않/VX+겠/EP+다/EF+”/SS+며/EC
중국을	중국/NNP+을/JKO
자극시키지	자극/NNG+시키/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
낸	내/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
미국에	미국/NNP+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
버락	버락/NNP
오바마	오바마/NNP
대통령을	대통령/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
욕설	욕설/NNG
파문으로	파문/NNG+으로/JKB
정상회담이	정상/NNG+회담/NNG+이/JKS
취소되는	취소/NNG+되/XSV+는/ETM
등	등/NNB
극명한	극명/NNG+하/XSA+ㄴ/ETM
대조를	대조/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.99.8.3
두테르테 대통령은 6일 아베 신조 일본 총리를 만나 “중국은 (남중국해 중재) 재판 결과를 존중해야 한다”면서도 “앞으로도 중국과 대화해 나갈 것”이라는 견해를 밝혔다.

두테르테	두테르테/NNP
대통령은	대통령/NNG+은/JX
6일	6/SN+일/NNB
아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리를	총리/NNG+를/JKO
만나	만나/VV+아/EC
“중국은	“/SS+중국/NNP+은/JX
(남중국해	(/SS+남중국해/NNP
중재)	중재/NNG+)/SS
재판	재판/NNG
결과를	결과/NNG+를/JKO
존중해야	존중/NNG+하/XSV+아야/EC
한다”면서도	하/VX+ㄴ다/EF+”/SS+면서/EC+도/JX
“앞으로도	“/SS+앞/NNG+으로/JKB+도/JX
중국과	중국/NNP+과/JKB
대화해	대화/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
견해를	견해/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.99.9.1
아베 총리는 두테르테 대통령과의 정상회담에서 남중국해 문제 해결을 위한 협력을 강화하겠다는 방침을 확인했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
두테르테	두테르테/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
정상회담에서	정상/NNG+회담/NNG+에서/JKB
남중국해	남중국해/NNP
문제	문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협력을	협력/NNG+을/JKO
강화하겠다는	강화/NNG+하/XSV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.99.9.2
이 자리에서 아베 총리는 남중국해에 대한 필리핀의 경비능력 강화를 위해 길이 90m 급의 대형 순찰선 2척을 엔차관을 통해 공여(최대 금액 164억엔)하겠다는 계획을 밝혔다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
아베	아베/NNP
총리는	총리/NNG+는/JX
남중국해에	남중국해/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
필리핀의	필리핀/NNP+의/JKG
경비능력	경비/NNG+능력/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
길이	길이/NNG
90m	90/SN+m/SW
급의	급/NNG+의/JKG
대형	대형/NNG
순찰선	순찰선/NNG
2척을	2/SN+척/NNB+을/JKO
엔차관을	엔/NNG+차관/NNG+을/JKO
통해	통하/VV+아/EC
공여(최대	공여/NNG+(/SS+최대/NNG
금액	금액/NNG
164억엔)하겠다는	164/SN+억/NR+엔/NNB+)/SS+하/VV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.99.9.3
일본은 그동안 필리핀과 베트남 등 남중국해에서 중국과 대치하고 있는 국가들의 군사역량 강화 사업에 힘을 기울여 왔다.

일본은	일본/NNP+은/JX
그동안	그동안/NNG
필리핀과	필리핀/NNP+과/JC
베트남	베트남/NNP
등	등/NNB
남중국해에서	남중국해/NNP+에서/JKB
중국과	중국/NNP+과/JKB
대치하고	대치/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
국가들의	국가/NNG+들/XSN+의/JKG
군사역량	군사/NNG+역량/NNG
강화	강화/NNG
사업에	사업/NNG+에/JKB
힘을	힘/NNG+을/JKO
기울여	기울이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.99.9.4
일본은 그동안 필리핀에 40m급 중형 순시선 10척의 공여를 결정한 바 있다.

일본은	일본/NNP+은/JX
그동안	그동안/NNG
필리핀에	필리핀/NNP+에/JKB
40m급	40/SN+m/SW+급/NNG
중형	중형/NNG
순시선	순시선/NNG
10척의	10/SN+척/NNB+의/JKG
공여를	공여/NNG+를/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.99.9.5
아베 총리는 이날 지난 5월 합의했던 해상자위대의 연습기 TC-90(최대 5기)의 대여 계획도 함께 공개했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
합의했던	합의/NNG+하/XSV+았/EP+던/ETM
해상자위대의	해상/NNG+자위대/NNG+의/JKG
연습기	연습기/NNG
TC-90(최대	TC/SL+-/SO+90/SN+(/SS+최대/NNG
5기)의	5/SN+기/NNG+)/SS+의/JKG
대여	대여/NNG
계획도	계획/NNG+도/JX
함께	함께/MAG
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.99.9.6
두테르테 대통령은 이에 대해 “(남중국해에 대한 필리핀의) 순찰 능력이 강화될 것”이라고 사의를 표했다고 일본 언론들이 전했다.

두테르테	두테르테/NNP
대통령은	대통령/NNG+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“(남중국해에	“/SS+(/SS+남중국해/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
필리핀의)	필리핀/NNP+의/JKG+)/SS
순찰	순찰/NNG
능력이	능력/NNG+이/JKS
강화될	강화/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
사의를	사의/NNG+를/JKO
표했다고	표/NNG+하/XSV+았/EP+다고/EC
일본	일본/NNP
언론들이	언론/NNG+들/XSN+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


