# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.332
metadata : {}


# id : NWRW1800000026.332.1.1
대형마트도 배추 등 채소 할인판매

대형마트도	대형/NNG+마트/NNG+도/JX
풋고추·부추·깻잎·쑥갓	풋/XPN+고추/NNG+·/SP+부추/NNG+·/SP+깻잎/NNG+·/SP+쑥갓/NNG
등	등/NNB
열	열/NR
가지	가지/NNB
채소류는	채소/NNG+류/XSN+는/JX
저렴하게	저렴하/VA+게/EC
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000026.332.6.1
롯데마트도 전 점포에서 시금치 한 단을 1980원에, 애호박 1개를 1470원에 파는 등 채소류를 최대 60%까지 할인 판매한다.

롯데마트도	롯데마트/NNP+도/JX
전	전/MMN
점포에서	점포/NNG+에서/JKB
시금치	시금치/NNG
한	한/MMN
단을	단/NNG+을/JKO
1980원에,	1980/SN+원/NNB+에/JKB+,/SP
애호박	애호박/NNG
1개를	1/SN+개/NNB+를/JKO
1470원에	1470/SN+원/NNB+에/JKB
파는	팔/VV+는/ETM
등	등/NNB
채소류를	채소/NNG+류/XSN+를/JKO
최대	최대/NNG
60%까지	60/SN+%/SW+까지/JX
할인	할인/NNG
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.332.6.2
또 9~10일 월드점, 서울역점 등 전국 33개 점포에서는 중국산 배추(2~2.5㎏) 5만 포기를 포기당 2500원에 살 수 있다.

또	또/MAG
9~10일	9/SN+~/SO+10/SN+일/NNB
월드점,	월드점/NNG+,/SP
서울역점	서울역점/NNG
등	등/NNB
전국	전국/NNG
33개	33/SN+개/NNB
점포에서는	점포/NNG+에서/JKB+는/JX
중국산	중국/NNP+산/XSN
배추(2~2.5㎏)	배추/NNG+(/SS+2/SN+~/SO+2/SN+./SP+5/SN+㎏/SW+)/SS
5만	5/SN+만/NR
포기를	포기/NNG+를/JKO
포기당	포기/NNG+당/XSN
2500원에	2500/SN+원/NNB+에/JKB
살	살/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.332.6.3
롯데마트는 고객 한 사람이 구입할 수 있는 배추를 3포기로 제한했다.

롯데마트는	롯데마트/NNP+는/JX
고객	고객/NNG
한	한/MMN
사람이	사람/NNG+이/JKS
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
배추를	배추/NNG+를/JKO
3포기로	3/SN+포기/NNG+로/JKB
제한했다.	제한/NNG+하/XSV+았/EP+다/EF+./SF


