# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.149
metadata : {}


# id : NWRW1800000036.149.1.1
다빈치·미켈란젤로…르네상스 천재들이 왔다

다빈치·미켈란젤로…르네상스	다빈치/NNP+·/SP+미켈란젤로/NNP+…/SE+르네상스/NNG
바티칸은 서양 문명에서 최고의 문화 권력이었고, 바티칸이 주문 제작한 작품들이 서양 미술사의 뼈대를 이뤄왔다.

바티칸은	바티칸/NNP+은/JX
서양	서양/NNG
문명에서	문명/NNG+에서/JKB
최고의	최고/NNG+의/JKG
문화	문화/NNG
권력이었고,	권력/NNG+이/VCP+었/EP+고/EC+,/SP
바티칸이	바티칸/NNP+이/JKS
주문	주문/NNG
제작한	제작/NNG+하/XSV+ㄴ/ETM
작품들이	작품/NNG+들/XSN+이/JKS
미술사의	미술사/NNG+의/JKG
뼈대를	뼈대/NNG+를/JKO
이뤄왔다.	이루/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.149.6.2
그 중에서도 가장 유명한 것은 역시 르네상스시대 찬란한 작가들의 작품들이다.

그	그/MMD
중에서도	중/NNB+에서/JKB+도/JX
가장	가장/MAG
유명한	유명/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
역시	역시/MAG
르네상스시대	르네상스/NNG+시대/NNG
찬란한	찬란하/VA+ㄴ/ETM
작가들의	작가/NNG+들/XSN+의/JKG
작품들이다.	작품/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.149.6.3
전시 제목처럼 르네상스를 대표하는 3대 천재인 레오나르도 다 빈치, 미켈란젤로, 라파엘로의 작품도 전시에 포함됐다.

전시	전시/NNG
제목처럼	제목/NNG+처럼/JKB
르네상스를	르네상스/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
3대	3/SN+대/NNG
천재인	천재/NNG+이/VCP+ㄴ/ETM
레오나르도	레오나르도/NNP
다	다/NNP
빈치,	빈치/NNP+,/SP
미켈란젤로,	미켈란젤로/NNP+,/SP
라파엘로의	라파엘로/NNP+의/JKG
작품도	작품/NNG+도/JX
전시에	전시/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.149.7.1
레오나르도 다 빈치의 <광야의 성 히에로니무스>(사진)는 그리스어와 히브리어로 된 성경을 라틴어로 번역해 서양 종교 미술사에서 중요한 인물로 수도 없이 다뤄져 온 성 히에로니무스를 그린 목판화다.

레오나르도	레오나르도/NNP
다	다/NNP
빈치의	빈치/NNP+의/JKG
<광야의	</SS+광야/NNG+의/JKG
성	성/MMA
히에로니무스>(사진)는	히에로니무스/NNP+>/SS+(/SS+사진/NNG+)/SS+는/JX
그리스어와	그리스어/NNP+와/JC
히브리어로	히브리어/NNP+로/JKB
된	되/VV+ㄴ/ETM
성경을	성경/NNG+을/JKO
라틴어로	라틴어/NNP+로/JKB
번역해	번역/NNG+하/XSV+아/EC
서양	서양/NNG
종교	종교/NNG
미술사에서	미술사/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
인물로	인물/NNG+로/JKB
수도	수/NNG+도/JX
없이	없이/MAG
다뤄져	다루/VV+어/EC+지/VX+어/EC
온	오/VX+ㄴ/ETM
히에로니무스를	히에로니무스/NNP+를/JKO
그린	그리/VV+ㄴ/ETM
목판화다.	목판화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.149.7.2
믿음과 진리를 추구한 학자의 형형한 의지와 신념을 보여준다.

믿음과	믿음/NNG+과/JC
진리를	진리/NNG+를/JKO
추구한	추구/NNG+하/XSV+ㄴ/ETM
학자의	학자/NNG+의/JKG
형형한	형형하/VA+ㄴ/ETM
의지와	의지/NNG+와/JC
신념을	신념/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.149.7.3
라파엘로의 작품으로는 <사랑>과 <동정 마리아에게 왕관을 씌움>이 왔다.

라파엘로의	라파엘로/NNP+의/JKG
작품으로는	작품/NNG+으로/JKB+는/JX
<사랑>과	</SS+사랑/NNG+>/SS+과/JC
<동정	</SS+동정/NNG
마리아에게	마리아/NNP+에게/JKB
왕관을	왕관/NNG+을/JKO
씌움>이	씌우/VV+ㅁ/ETN+>/SS+이/JKS
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.149.7.4
미켈란젤로의 대리석 조각작품 <피에타>는 아쉽지만 복제품으로 만날 수 있다.

미켈란젤로의	미켈란젤로/NNP+의/JKG
대리석	대리석/NNG
조각작품	조각/NNG+작품/NNG
<피에타>는	</SS+피에타/NNP+>/SS+는/JX
아쉽지만	아쉽/VA+지만/EC
복제품으로	복제품/NNG+으로/JKB
만날	만나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.149.7.5
‘피에타’는 성모 마리아가 죽은 예수를 안고 있는 모습을 형상화한 작품을 가리킨다.

‘피에타’는	‘/SS+피에타/NNG+’/SS+는/JX
성모	성모/NNG
마리아가	마리아/NNP+가/JKS
죽은	죽/VV+은/ETM
예수를	예수/NNP+를/JKO
안고	안/VV+고/EC
있는	있/VX+는/ETM
모습을	모습/NNG+을/JKO
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
작품을	작품/NNG+을/JKO
가리킨다.	가리키/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.149.7.6
수많은 피에타 중에서도 미켈란젤로의 것이 가장 유명하다.

수많은	수많/VA+은/ETM
피에타	피에타/NNG
중에서도	중/NNB+에서/JKB+도/JX
미켈란젤로의	미켈란젤로/NNP+의/JKG
것이	것/NNB+이/JKS
가장	가장/MAG
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000036.149.7.7
미켈란젤로의 피에타는 1972년 어떤 사람이 작품을 훼손시켜 복원되는 아픔을 겪었다.

미켈란젤로의	미켈란젤로/NNP+의/JKG
피에타는	피에타/NNG+는/JX
1972년	1972/SN+년/NNB
어떤	어떤/MMD
사람이	사람/NNG+이/JKS
작품을	작품/NNG+을/JKO
훼손시켜	훼손/NNG+시키/XSV+어/EC
복원되는	복원/NNG+되/XSV+는/ETM
아픔을	아픔/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.149.7.8
이번에 서울에 온 피에타는 바티칸 박물관에서 전시용으로 복제한 것이다.

이번에	이번/NNG+에/JKB
서울에	서울/NNP+에/JKB
온	오/VV+ㄴ/ETM
피에타는	피에타/NNG+는/JX
바티칸	바티칸/NNP
박물관에서	박물관/NNG+에서/JKB
전시용으로	전시/NNG+용/XSN+으로/JKB
복제한	복제/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.149.8.1
3대 거장들 작품 못잖게 관심을 끄는 것은 국내에 처음 선보이는 작품들이다.

3대	3/SN+대/NNG
거장들	거장/NNG+들/XSN
작품	작품/NNG
못잖게	못잖/VA+게/EC
관심을	관심/NNG+을/JKO
끄는	끌/VV+는/ETM
것은	것/NNB+은/JX
국내에	국내/NNG+에/JKB
처음	처음/NNG
선보이는	선보이/VV+는/ETM
작품들이다.	작품/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.149.8.2
극한에 몰린 인간을 묘사한 <라오콘 군상>, 벨베데레의 <토르소>, 멜로초 다 포를리의 <비올라를 연주하는 천사> 등으로 모두 서양 미술사와 바티칸을 대표해온 작품들이다.

극한에	극한/NNG+에/JKB
몰린	몰리/VV+ㄴ/ETM
인간을	인간/NNG+을/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
<라오콘	</SS+라오콘/NNP
군상>,	군상/NNG+>/SS+,/SP
벨베데레의	벨베데레/NNP+의/JKG
<토르소>,	</SS+토르소/NNG+>/SS+,/SP
멜로초	멜로초/NNP
다	다/NNP
포를리의	포를리/NNP+의/JKG
<비올라를	</SS+비올라/NNG+를/JKO
연주하는	연주/NNG+하/XSV+는/ETM
천사>	천사/NNG+>/SS
등으로	등/NNB+으로/JKB
모두	모두/MAG
서양	서양/NNG
미술사와	미술사/NNG+와/JC
바티칸을	바티칸/NNP+을/JKO
대표해온	대표/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
작품들이다.	작품/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.149.8.3
어른 1만5000원, 청소년 1만원, 어린이 8000원.

어른	어른/NNG
1만5000원,	1/SN+만/NR+5000/SN+원/NNB+,/SP
청소년	청소년/NNG
1만원,	1/SN+만/NR+원/NNB+,/SP
어린이	어린이/NNG
8000원.	8000/SN+원/NNB+./SF


# id : NWRW1800000036.149.8.4
(02)580-1300.

(02)580-1300.	(/SS+02/SN+)/SS+580/SN+-/SO+1300/SN+./SF


