# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.185
metadata : {}


# id : NWRW1800000046.185.1.1
[NOW] 1200명 중 110명이 육아휴직… 한 區廳의 아우성

[NOW]	[/SS+NOW/SL+]/SS
일했다"며	일/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"석	"/SS+석/MMN
달	달/NNG
전	전/NNG
계약직	계약직/NNG
직원	직원/NNG
1명을	1/SN+명/NNB+을/JKO
채용했지만	채용/NNG+하/XSV+았/EP+지만/EC
여권	여권/NNG
업무를	업무/NNG+를/JKO
처리할	처리/NNG+하/XSV+ㄹ/ETM
법적	법/NNG+적/XSN
권한이	권한/NNG+이/JKS
없어서	없/VA+어서/EC
단순	단순/NNG
작업만	작업/NNG+만/JX
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.185.3.6
정원이 1200명인 이 구청에서 출산휴가·육아휴직 등으로 쉬고 있는 사람은 110명(9.2%)이나 된다.

정원이	정원/NNG+이/JKS
1200명인	1200/SN+명/NNB+이/VCP+ㄴ/ETM
이	이/MMD
구청에서	구청/NNG+에서/JKB
출산휴가·육아휴직	출산/NNG+휴가/NNG+·/SP+육아/NNG+휴직/NNG
등으로	등/NNB+으로/JKB
쉬고	쉬/VV+고/EC
있는	있/VX+는/ETM
사람은	사람/NNG+은/JX
110명(9.2%)이나	110/SN+명/NNB+(/SS+9/SN+./SP+2/SN+%/SW+)/SS+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.185.4.1
출산휴가와 육아휴직이 점점 활성화되면서 민원인들을 행정 일선에서 상대하는 전국 기초자치단체들이 인력난에 허덕이고 있다.

출산휴가와	출산/NNG+휴가/NNG+와/JC
육아휴직이	육아/NNG+휴직/NNG+이/JKS
점점	점점/MAG
활성화되면서	활성/NNG+화/XSN+되/XSV+면서/EC
민원인들을	민원인/NNG+들/XSN+을/JKO
행정	행정/NNG
일선에서	일선/NNG+에서/JKB
상대하는	상대/NNG+하/XSV+는/ETM
전국	전국/NNG
기초자치단체들이	기초/NNG+자치/NNG+단체/NNG+들/XSN+이/JKS
인력난에	인력난/NNG+에/JKB
허덕이고	허덕이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.185.4.2
서울시내 구청들의 경우 출산휴가나 육아휴직을 간 직원 비중이 전체 정원의 5% 수준인 60명 정도지만, 일부 구청에선 100명을 넘기도 한다.

서울시내	서울/NNP+시내/NNG
구청들의	구청/NNG+들/XSN+의/JKG
경우	경우/NNG
출산휴가나	출산/NNG+휴가/NNG+나/JC
육아휴직을	육아/NNG+휴직/NNG+을/JKO
간	가/VV+ㄴ/ETM
직원	직원/NNG
비중이	비중/NNG+이/JKS
전체	전체/NNG
정원의	정원/NNG+의/JKG
5%	5/SN+%/SW
수준인	수준/NNG+이/VCP+ㄴ/ETM
60명	60/SN+명/NNB
정도지만,	정도/NNG+이/VCP+지만/EC+,/SP
일부	일부/NNG
구청에선	구청/NNG+에서/JKB+ㄴ/JX
100명을	100/SN+명/NNB+을/JKO
넘기도	넘/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.185.4.3
3~5개 과(課)에 해당하는 인원이 늘 부족한 상태인 것이다.

3~5개	3/SN+~/SO+5/SN+개/NNB
과(課)에	과/NNG+(/SS+課/SH+)/SS+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
인원이	인원/NNG+이/JKS
늘	늘/MAG
부족한	부족/NNG+하/XSA+ㄴ/ETM
상태인	상태/NNG+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.185.4.4
구청 관계자들은 "저출산 시대이니 육아휴직을 장려하고 있지만 이젠 그로 인한 인력 공백에 대한 대책도 필요하다"고 했다.

구청	구청/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"저출산	"/SS+저/XPN+출산/NNG
시대이니	시대/NNG+이/VCP+니/EC
육아휴직을	육아/NNG+휴직/NNG+을/JKO
장려하고	장려/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
이젠	이제/NNG+ㄴ/JX
그로	그/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
인력	인력/NNG
공백에	공백/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대책도	대책/NNG+도/JX
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.185.5.1
지방 중소 도시도 상황은 비슷하다.

지방	지방/NNG
중소	중소/NNG
도시도	도시/NNG+도/JX
상황은	상황/NNG+은/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000046.185.5.2
경북의 한 시(市)는 시청 공무원 정원이 900명 안팎인데 30여명이 출산휴가·육아휴직 중이다.

경북의	경북/NNP+의/JKG
한	한/MMN
시(市)는	시/NNG+(/SS+市/SH+)/SS+는/JX
시청	시청/NNG
공무원	공무원/NNG
정원이	정원/NNG+이/JKS
900명	900/SN+명/NNB
안팎인데	안팎/NNG+이/VCP+ㄴ데/EC
30여명이	30/SN+여/XSN+명/NNB+이/JKS
출산휴가·육아휴직	출산/NNG+휴가/NNG+·/SP+육아/NNG+휴직/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.185.5.3
시 관계자는 "임시로 뽑은 대체 인력이 휴직한 직원만큼의 전문성을 발휘하는 것은 불가능하다"며 "결국 남은 직원들이 그 부담을 떠안을 수밖에 없다"고 했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
"임시로	"/SS+임시/NNG+로/JKB
뽑은	뽑/VV+은/ETM
대체	대체/NNG
인력이	인력/NNG+이/JKS
휴직한	휴직/NNG+하/XSV+ㄴ/ETM
직원만큼의	직원/NNG+만큼/JKB+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
발휘하는	발휘/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
불가능하다"며	불/XPN+가능/NNG+하/XSA+다/EF+"/SS+며/EC
"결국	"/SS+결국/MAG
남은	남/VV+은/ETM
직원들이	직원/NNG+들/XSN+이/JKS
그	그/MMD
부담을	부담/NNG+을/JKO
떠안을	떠안/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.185.5.4
전국 지자체의 육아휴직 신청자 수는 2006년 1826명에서 2010년 5497명, 작년엔 7939명으로 매년 늘고 있다.

전국	전국/NNG
지자체의	지자체/NNG+의/JKG
육아휴직	육아/NNG+휴직/NNG
신청자	신청자/NNG
수는	수/NNG+는/JX
2006년	2006/SN+년/NNB
1826명에서	1826/SN+명/NNB+에서/JKB
2010년	2010/SN+년/NNB
5497명,	5497/SN+명/NNB+,/SP
작년엔	작년/NNG+에/JKB+ㄴ/JX
7939명으로	7939/SN+명/NNB+으로/JKB
매년	매년/MAG
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.185.5.5
작년 기준 지방직 공무원 정원 대비 육아휴직 비율은 4.3%로 중앙 부처 공무원 등 국가직(3.8%·교사 제외)보다 높다.

작년	작년/NNG
기준	기준/NNG
지방직	지방직/NNG
공무원	공무원/NNG
정원	정원/NNG
대비	대비/NNG
육아휴직	육아/NNG+휴직/NNG
비율은	비율/NNG+은/JX
4.3%로	4/SN+./SP+3/SN+%/SW+로/JKB
중앙	중앙/NNG
부처	부처/NNG
등	등/NNB
국가직(3.8%·교사	국가직/NNG+(/SS+3/SN+./SP+8/SN+%/SW+·/SP+교사/NNG
제외)보다	제외/NNG+)/SS+보다/JKB
높다.	높/VA+다/EF+./SF


# id : NWRW1800000046.185.6.1
출산휴가·육아휴직으로 인한 행정력 공백 문제는 여성 공무원 증가 추세에 따라 점점 더 심각해질 전망이다.

출산휴가·육아휴직으로	출산/NNG+휴가/NNG+·/SP+육아/NNG+휴직/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
행정력	행정력/NNG
공백	공백/NNG
문제는	문제/NNG+는/JX
여성	여성/NNG
공무원	공무원/NNG
증가	증가/NNG
추세에	추세/NNG+에/JKB
따라	따르/VV+아/EC
점점	점점/MAG
더	더/MAG
심각해질	심각하/VA+아/EC+지/VX+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.185.6.2
행정자치부에 따르면 1997년 20.7%이던 지자체 여성 공무원 비율은 작년 32.5%까지 늘었다.

행정자치부에	행정/NNG+자치부/NNG+에/JKB
따르면	따르/VV+면/EC
1997년	1997/SN+년/NNB
20.7%이던	20/SN+./SP+7/SN+%/SW+이/VCP+던/ETM
지자체	지자체/NNG
여성	여성/NNG
공무원	공무원/NNG
비율은	비율/NNG+은/JX
작년	작년/NNG
32.5%까지	32/SN+./SP+5/SN+%/SW+까지/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.185.6.3
7~9급 공채 합격자 중 여성 비율이 50%를 넘어선 지 오래이고, 일부 지자체에선 60%를 넘을 때도 있다.

7~9급	7/SN+~/SO+9/SN+급/NNG
공채	공채/NNG
합격자	합격자/NNG
중	중/NNB
여성	여성/NNG
비율이	비율/NNG+이/JKS
50%를	50/SN+%/SW+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
지	지/NNB
오래이고,	오래/MAG+이/VCP+고/EC+,/SP
일부	일부/NNG
지자체에선	지자체/NNG+에서/JKB+ㄴ/JX
60%를	60/SN+%/SW+를/JKO
넘을	넘/VV+을/ETM
때도	때/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.185.6.4
대체 인력 확보가 안 되니 지자체 공무원 사이에선 "남자 공무원을 좀 더 뽑아주면 안 되느냐"는 불만이 적지 않다고 한다.

대체	대체/NNG
인력	인력/NNG
확보가	확보/NNG+가/JKS
안	안/MAG
되니	되/VV+니/EC
지자체	지자체/NNG
공무원	공무원/NNG
사이에선	사이/NNG+에서/JKB+ㄴ/JX
"남자	"/SS+남자/NNG
공무원을	공무원/NNG+을/JKO
좀	좀/MAG
더	더/MAG
뽑아주면	뽑/VV+아/EC+주/VX+면/EC
되느냐"는	되/VV+느냐/EF+"/SS+는/ETM
불만이	불만/NNG+이/JKS
적지	적/VA+지/EC
않다고	않/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.185.7.1
지자체들은 기간이 짧은 출산휴가 때문에 빈자리가 생기면 주변 직원들에게 업무를 대신하게 하고, 육아휴직으로 인한 빈자리는 3~6개월 단위로 일하는 임기제 공무원을 뽑아 쓰고 있지만 인력 보충 효과는 크지 않은 실정이다.

지자체들은	지자체/NNG+들/XSN+은/JX
기간이	기간/NNG+이/JKS
짧은	짧/VA+은/ETM
출산휴가	출산/NNG+휴가/NNG
때문에	때문/NNB+에/JKB
빈자리가	빈자리/NNG+가/JKS
생기면	생기/VV+면/EC
주변	주변/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
업무를	업무/NNG+를/JKO
대신하게	대신/NNG+하/XSV+게/EC
하고,	하/VX+고/EC+,/SP
육아휴직으로	육아/NNG+휴직/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
빈자리는	빈자리/NNG+는/JX
3~6개월	3/SN+~/SO+6/SN+개월/NNB
단위로	단위/NNG+로/JKB
일하는	일/NNG+하/XSV+는/ETM
임기제	임기/NNG+제/XSN
공무원을	공무원/NNG+을/JKO
뽑아	뽑/VV+아/EC
쓰고	쓰/VV+고/EC
있지만	있/VX+지만/EC
인력	인력/NNG
보충	보충/NNG
효과는	효과/NNG+는/JX
크지	크/VA+지/EC
않은	않/VX+은/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.185.7.2
수도권 한 구청에서 일하는 20년차 공무원 김모(여·45)씨는 "대체 인력을 채용해도 정규 직원이 아니다 보니 내가 하던 일을 제대로 맡아 해줄 수가 없다"고 했다.

수도권	수도/NNG+권/XSN
한	한/MMN
구청에서	구청/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
20년차	20/SN+년/NNB+차/NNB
공무원	공무원/NNG
김모(여·45)씨는	김/NNP+모/NP+(/SS+여/NNG+·/SP+45/SN+)/SS+씨/NNB+는/JX
"대체	"/SS+대체/NNG
인력을	인력/NNG+을/JKO
채용해도	채용/NNG+하/XSV+아도/EC
정규	정규/NNG
직원이	직원/NNG+이/JKC
아니다	아니/VCN+다/EC
보니	보/VX+니/EC
내가	내/NP+가/JKS
하던	하/VV+던/ETM
일을	일/NNG+을/JKO
제대로	제대로/MAG
맡아	맡/VV+아/EC
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
수가	수/NNB+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.185.8.1
이 때문에 지자체 인사를 관리하는 행정자치부는 1년 이상 육아휴직 하는 공무원의 빈자리를 임기제가 아닌 공채 공무원으로 채워넣는 방안을 강구하고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
지자체	지자체/NNG
인사를	인사/NNG+를/JKO
관리하는	관리/NNG+하/XSV+는/ETM
행정자치부는	행정/NNG+자치부/NNG+는/JX
1년	1/SN+년/NNB
이상	이상/NNG
육아휴직	육아/NNG+휴직/NNG
하는	하/VV+는/ETM
공무원의	공무원/NNG+의/JKG
빈자리를	빈자리/NNG+를/JKO
임기제가	임기/NNG+제/XSN+가/JKC
아닌	아니/VCN+ㄴ/ETM
공채	공채/NNG
공무원으로	공무원/NNG+으로/JKB
채워넣는	채우/VV+어/EC+넣/VV+는/ETM
방안을	방안/NNG+을/JKO
강구하고	강구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.185.8.2
그러나 당장 공채 공무원 수를 늘릴 수는 없는 실정이어서 대체 인력풀(pool)을 실효성 있게 구성해야 한다는 지적이 나온다.

그러나	그러나/MAJ
당장	당장/NNG
공채	공채/NNG
공무원	공무원/NNG
수를	수/NNG+를/JKO
늘릴	늘리/VV+ㄹ/ETM
수는	수/NNB+는/JX
없는	없/VA+는/ETM
실정이어서	실정/NNG+이/VCP+어서/EC
대체	대체/NNG
인력풀(pool)을	인력/NNG+풀/NNG+(/SS+pool/SL+)/SS+을/JKO
실효성	실효/NNG+성/XSN
있게	있/VA+게/EC
구성해야	구성/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.185.9.1
지자체의 인력 운용 시스템을 좀 더 유연하게 개선해 육아휴직으로 인한 공백을 해당 과에서만 감당하는 게 아니라 지자체 전체가 나눠 부담하는 식으로 합리적 대안을 만들어야 한다는 의견도 있다.

지자체의	지자체/NNG+의/JKG
인력	인력/NNG
운용	운용/NNG
시스템을	시스템/NNG+을/JKO
좀	좀/MAG
더	더/MAG
유연하게	유연하/VA+게/EC
개선해	개선/NNG+하/XSV+아/EC
육아휴직으로	육아/NNG+휴직/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
공백을	공백/NNG+을/JKO
해당	해당/NNG
과에서만	과/NNG+에서/JKB+만/JX
감당하는	감당/NNG+하/XSV+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
지자체	지자체/NNG
전체가	전체/NNG+가/JKS
나눠	나누/VV+어/EC
부담하는	부담/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
합리적	합리/NNG+적/XSN
대안을	대안/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.185.10.1
육아휴직을 사용하는 공무원이 최소한 한 달 전에는 부처에 휴직 사실을 알리는 '사전 예고제'를 제대로 실시해야 한다는 목소리도 높다.

육아휴직을	육아/NNG+휴직/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
공무원이	공무원/NNG+이/JKS
최소한	최소한/MAG
한	한/MMN
달	달/NNG
전에는	전/NNG+에/JKB+는/JX
부처에	부처/NNG+에/JKB
휴직	휴직/NNG
사실을	사실/NNG+을/JKO
알리는	알리/VV+는/ETM
'사전	'/SS+사전/NNG
예고제'를	예고/NNG+제/XSN+'/SS+를/JKO
제대로	제대로/MAG
실시해야	실시/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리도	목소리/NNG+도/JX
높다.	높/VA+다/EF+./SF


