# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.118
metadata : {}


# id : NWRW1800000054.118.1.1
'잘 해라' 대신 '잘 할 수 있어'라 해보세요

'잘	'/SS+잘/MAG
국가대표팀은	국가/NNG+대표/NNG+팀/NNG+은/JX
그해	그해/NNG
7월	7/SN+월/NNB
백	백/NNP
감독	감독/NNG
부임	부임/NNG
이후	이후/NNG
성적이	성적/NNG+이/JKS
꾸준히	꾸준히/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.118.5.3
지난 4월 사상 최초로 톱 디비전(1부 리그)으로 승격됐다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
사상	사상/NNG
최초로	최초/NNG+로/JKB
톱	톱/NNG
디비전(1부	디비전/NNG+(/SS+1부/NNG
리그)으로	리그/NNG+)/SS+으로/JKB
승격됐다.	승격/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.118.5.4
이 때문에 팬들은 2002년 축구 국가대표팀을 우수한 성적으로 이끈 거스 히딩크 감독에 비유해 백 감독을 '빙판 위의 히딩크' '백딩크(백지선+히딩크)'라고 부른다.

이	이/MMD
때문에	때문/NNB+에/JKB
팬들은	팬/NNG+들/XSN+은/JX
2002년	2002/SN+년/NNB
축구	축구/NNG
국가대표팀을	국가/NNG+대표/NNG+팀/NNG+을/JKO
우수한	우수/NNG+하/XSA+ㄴ/ETM
성적으로	성적/NNG+으로/JKB
이끈	이끌/VV+ㄴ/ETM
거스	거스/NNP
히딩크	히딩크/NNP
감독에	감독/NNG+에/JKB
비유해	비유/NNG+하/XSV+아/EC
백	백/NNP
감독을	감독/NNG+을/JKO
'빙판	'/SS+빙판/NNG
위의	위/NNG+의/JKG
히딩크'	히딩크/NNP+'/SS
'백딩크(백지선+히딩크)'라고	'/SS+백딩크/NNP+(/SS+백지선/NNP++/SW+히딩크/NNP+)/SS+'/SS+라고/JKQ
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.118.6.1
백 감독은 한국 대표팀의 성적 상승 비결로 팀워크를 꼽았다.

백	백/NNP
감독은	감독/NNG+은/JX
한국	한국/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
성적	성적/NNG
상승	상승/NNG
비결로	비결/NNG+로/JKB
팀워크를	팀워크/NNG+를/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.118.6.2
"각 선수는 퍼즐의 한 조각과 같습니다.

"각	"/SS+각/MMD
선수는	선수/NNG+는/JX
퍼즐의	퍼즐/NNG+의/JKG
한	한/MMN
조각과	조각/NNG+과/JKB
같습니다.	같/VA+습니다/EF+./SF


# id : NWRW1800000054.118.6.3
함께하는 것이 가장 중요합니다.

함께하는	함께/MAG+하/XSV+는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
중요합니다.	중요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000054.118.6.4
(팀워크가 잘 발휘될 수 있도록) 각 선수 능력에 맞춰 투입하는 것이 내 역할입니다."

(팀워크가	(/SS+팀워크/NNG+가/JKS
잘	잘/MAG
발휘될	발휘/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록)	있/VA+도록/EC+)/SS
각	각/MMD
선수	선수/NNG
능력에	능력/NNG+에/JKB
맞춰	맞추/VV+어/EC
투입하는	투입/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
내	나/NP+의/JKG
역할입니다."	역할/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.118.7.1
백 감독은 "비록 환경이 힘들더라도 절대 포기하자 말라"고 조언했다.

백	백/NNP
감독은	감독/NNG+은/JX
"비록	"/SS+비록/MAG
환경이	환경/NNG+이/JKS
힘들더라도	힘들/VA+더라도/EC
절대	절대/MAG
포기하자	포기/NNG+하/XSV+자/EC
말라"고	말/VX+라/EF+"/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.118.7.2
강연을 들은 학생들은 학업을 마친 뒤 자신들의 나라로 돌아가 스포츠행정가로서 역할을 하게 된다.

강연을	강연/NNG+을/JKO
들은	듣/VV+은/ETM
학생들은	학생/NNG+들/XSN+은/JX
학업을	학업/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
자신들의	자신/NNG+들/XSN+의/JKG
나라로	나라/NNG+로/JKB
돌아가	돌아가/VV+아/EC
스포츠행정가로서	스포츠/NNG+행정가/NNG+로서/JKB
역할을	역할/NNG+을/JKO
하게	하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.118.7.3
그는 "열정(Passion), 연습(Practice), 인내(Perseverance) '3P'를 기억하라"며 "긍정적 태도를 가진다면 어떤 어려움도 극복할 수 있을 것"이라고 했다.

그는	그/NP+는/JX
"열정(Passion),	"/SS+열정/NNG+(/SS+Passion/SL+)/SS+,/SP
연습(Practice),	연습/NNG+(/SS+Practice/SL+)/SS+,/SP
인내(Perseverance)	인내/NNG+(/SS+Perseverance/SL+)/SS
'3P'를	'/SS+3/SN+P/SL+'/SS+를/JKO
기억하라"며	기억/NNG+하/XSV+라/EF+"/SS+며/EC
"긍정적	"/SS+긍정/NNG+적/XSN
태도를	태도/NNG+를/JKO
가진다면	가지/VV+ㄴ다면/EC
어떤	어떤/MMD
어려움도	어려움/NNG+도/JX
극복할	극복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.118.8.1
백 감독은 평창 동계올림픽에 대한 포부도 밝혔다.

백	백/NNP
감독은	감독/NNG+은/JX
평창	평창/NNP
동계올림픽에	동계/NNG+올림픽/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
포부도	포부/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.118.8.2
"평창올림픽 목표는 금메달"이라고 했다.

"평창올림픽	"/SS+평창/NNP+올림픽/NNG
목표는	목표/NNG+는/JX
금메달"이라고	금메달/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.118.8.3
한국이 금메달을 따는 것이 현실적으로 가능한지 묻자 "모든 경기를 우승한다는 마음가짐으로 준비해야 한다"며 "우리는 우승하기 위해 최선을 다할 것"이라고 했다.

한국이	한국/NNP+이/JKS
금메달을	금메달/NNG+을/JKO
따는	따/VV+는/ETM
것이	것/NNB+이/JKS
현실적으로	현실/NNG+적/XSN+으로/JKB
가능한지	가능/NNG+하/XSA+ㄴ지/EC
묻자	묻/VV+자/EC
"모든	"/SS+모든/MMN
경기를	경기/NNG+를/JKO
우승한다는	우승/NNG+하/XSV+ㄴ다는/ETM
마음가짐으로	마음가짐/NNG+으로/JKB
준비해야	준비/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"우리는	"/SS+우리/NP+는/JX
우승하기	우승/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
최선을	최선/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


