# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.379
metadata : {}


# id : NWRW1800000033.379.1.1
[선택 2012 대선 D-21]安 지지층 21.9% “아직 마음 못정해”

[선택	[/SS+선택/NNG
사퇴에	사퇴/NNG+에/JKB
대안	대안/NNG
후보를	후보/NNG+를/JKO
찾기보다	찾/VV+기/ETN+보다/JKB
투표를	투표/NNG+를/JKO
포기할	포기/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.379.4.1
리서치앤리서치(R&R)가 24∼26일 1000명을 대상으로 실시한 여론조사 결과 안 전 후보를 지지했다고 밝힌 434명 가운데 문재인 민주통합당 후보를 지지하겠다는 응답은 56.8%였다.

리서치앤리서치(R&R)가	리서치앤리서치/NNP+(/SS+R/SL+&/SW+R/SL+)/SS+가/JKS
24∼26일	24/SN+∼/SO+26/SN+일/NNB
1000명을	1000/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
여론조사	여론/NNG+조사/NNG
결과	결과/NNG
안	안/NNP
전	전/MMD
후보를	후보/NNG+를/JKO
지지했다고	지지/NNG+하/XSV+았/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
434명	434/SN+명/NNB
가운데	가운데/NNG
문재인	문재인/NNP
민주통합당	민주통합당/NNP
지지하겠다는	지지/NNG+하/XSV+겠/EP+다는/ETM
응답은	응답/NNG+은/JX
56.8%였다.	56/SN+./SP+8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.379.4.2
18.9%는 박근혜 새누리당 후보에게로 옮겨갔다.

18.9%는	18/SN+./SP+9/SN+%/SW+는/JX
박근혜	박근혜/NNP
새누리당	새누리당/NNP
후보에게로	후보/NNG+에게/JKB+로/JKB
옮겨갔다.	옮기/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.379.4.3
기타 후보를 지지하겠다는 응답(2.4%)을 제외한 21.9%는 지지 후보를 정하지 못했다고 밝혔다.

기타	기타/NNG
후보를	후보/NNG+를/JKO
지지하겠다는	지지/NNG+하/XSV+겠/EP+다는/ETM
응답(2.4%)을	응답/NNG+(/SS+2/SN+./SP+4/SN+%/SW+)/SS+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
21.9%는	21/SN+./SP+9/SN+%/SW+는/JX
지지	지지/NNG
정하지	정하/VV+지/EC
못했다고	못하/VX+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.379.5.1
이처럼 대안 후보를 찾지 못하고 ‘안철수앓이’를 하는 응답자의 실체가 존재함에 따라 대선 투표율이 떨어질 가능성도 커졌다.

이처럼	이/NP+처럼/JKB
대안	대안/NNG
후보를	후보/NNG+를/JKO
찾지	찾/VV+지/EC
못하고	못하/VX+고/EC
‘안철수앓이’를	‘/SS+안철수/NNP+앓이/NNG+’/SS+를/JKO
하는	하/VV+는/ETM
응답자의	응답자/NNG+의/JKG
실체가	실체/NNG+가/JKS
존재함에	존재/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
대선	대선/NNG
투표율이	투표/NNG+율/XSN+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.379.5.2
실제 24∼26일 조사에서 ‘반드시 투표하겠다’는 응답은 79.9%였다.

실제	실제/NNG
24∼26일	24/SN+∼/SO+26/SN+일/NNB
조사에서	조사/NNG+에서/JKB
‘반드시	‘/SS+반드시/MAG
투표하겠다’는	투표/NNG+하/XSV+겠/EP+다/EF+’/SS+는/ETM
응답은	응답/NNG+은/JX
79.9%였다.	79/SN+./SP+9/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.379.5.3
안 전 후보가 사퇴하기 전인 21∼23일 R&R 조사 때 84.6%보다 4.7%포인트 떨어졌다.

안	안/NNP
전	전/MMD
후보가	후보/NNG+가/JKS
사퇴하기	사퇴/NNG+하/XSV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
21∼23일	21/SN+∼/SO+23/SN+일/NNB
R&R	R/SL+&/SW+R/SL
조사	조사/NNG
때	때/NNG
84.6%보다	84/SN+./SP+6/SN+%/SW+보다/JKB
4.7%포인트	4/SN+./SP+7/SN+%포인트/NNG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.379.6.1
이는 상당수 유권자가 안 전 후보의 사퇴가 양보라기보다 포기에 가깝다고 보기 때문으로 풀이된다.

이는	이/NP+는/JX
상당수	상당수/NNG
유권자가	유권자/NNG+가/JKS
안	안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
사퇴가	사퇴/NNG+가/JKS
양보라기보다	양보/NNG+이/VCP+라기/ETN+보다/JKB
포기에	포기/NNG+에/JKB
가깝다고	가깝/VA+다고/EC
보기	보/VV+기/ETN
때문으로	때문/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.379.6.2
‘안 전 후보의 사퇴를 어떻게 평가하느냐’는 질문에 52.6%는 ‘민주당의 벽을 넘지 못해 포기한 것’이라고 답했다.

‘안	‘/SS+안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
사퇴를	사퇴/NNG+를/JKO
어떻게	어떻/VA+게/EC
평가하느냐’는	평가/NNG+하/XSV+느냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
52.6%는	52/SN+./SP+6/SN+%/SW+는/JX
‘민주당의	‘/SS+민주당/NNP+의/JKG
벽을	벽/NNG+을/JKO
넘지	넘/VV+지/EC
못해	못하/VX+아/EC
포기한	포기/NNG+하/XSV+ㄴ/ETM
것’이라고	것/NNB+’/SS+이라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.379.6.3
‘정권교체를 위해 양보한 것’이라는 응답은 35.1%였다.

‘정권교체를	‘/SS+정권/NNG+교체/NNG+를/JKO
위해	위하/VV+아/EC
양보한	양보/NNG+하/XSV+ㄴ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
응답은	응답/NNG+은/JX
35.1%였다.	35/SN+./SP+1/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.379.6.4
‘안 전 후보의 사퇴가 어느 후보에게 유리할 것이냐’는 질문에는 문 후보 38.5%, 박 후보 33.5%로 큰 차이가 없었다.

‘안	‘/SS+안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
사퇴가	사퇴/NNG+가/JKS
어느	어느/MMD
후보에게	후보/NNG+에게/JKB
유리할	유리/NNG+하/XSA+ㄹ/ETM
것이냐’는	것/NNB+이/VCP+냐/EF+’/SS+는/ETM
질문에는	질문/NNG+에/JKB+는/JX
문	문/NNP
후보	후보/NNG
38.5%,	38/SN+./SP+5/SN+%/SW+,/SP
박	박/NNP
33.5%로	33/SN+./SP+5/SN+%/SW+로/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.379.6.5
‘별 영향이 없을 것’이라는 응답은 15.3%였다.

‘별	‘/SS+별/MMA
영향이	영향/NNG+이/JKS
없을	없/VA+을/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
응답은	응답/NNG+은/JX
15.3%였다.	15/SN+./SP+3/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.379.7.1
대선후보 지지율에서는 박 후보가 43.1%로 문 후보(40.4%)를 오차범위(±3.1%포인트) 내에서 근소하게 앞섰다.

대선후보	대선/NNG+후보/NNG
지지율에서는	지지/NNG+율/XSN+에서/JKB+는/JX
박	박/NNP
후보가	후보/NNG+가/JKS
43.1%로	43/SN+./SP+1/SN+%/SW+로/JKB
문	문/NNP
후보(40.4%)를	후보/NNG+(/SS+40/SN+./SP+4/SN+%/SW+)/SS+를/JKO
오차범위(±3.1%포인트)	오차/NNG+범위/NNG+(/SS+±/SW+3/SN+./SP+1/SN+%포인트/NNG+)/SS
내에서	내/NNB+에서/JKB
근소하게	근소하/VA+게/EC
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.379.7.2
박 후보의 지지율이 가장 높은 연령대는 50대 후반(55∼59세)으로 65.7%였다.

박	박/NNP
후보의	후보/NNG+의/JKG
지지율이	지지/NNG+율/XSN+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
연령대는	연령대/NNG+는/JX
50대	50/SN+대/NNB
후반(55∼59세)으로	후반/NNG+(/SS+55/SN+∼/SO+59/SN+세/NNB+)/SS+으로/JKB
65.7%였다.	65/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.379.7.3
문 후보의 지지율은 30대 초반(30∼34세)에서 66.4%로 가장 높았다.

문	문/NNP
후보의	후보/NNG+의/JKG
지지율은	지지/NNG+율/XSN+은/JX
30대	30/SN+대/NNB
초반(30∼34세)에서	초반/NNG+(/SS+30/SN+∼/SO+34/SN+세/NNB+)/SS+에서/JKB
66.4%로	66/SN+./SP+4/SN+%/SW+로/JKB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.379.8.1
40대 초반에서는 문 후보(49.6%)가 박 후보(31.9%)를 17.7%포인트 앞섰지만 40대 후반에서는 박 후보의 지지율(50.1%)이 문 후보(32.6%)보다 17.5%포인트 높았다.

40대	40/SN+대/NNB
초반에서는	초반/NNG+에서/JKB+는/JX
문	문/NNP
후보(49.6%)가	후보/NNG+(/SS+49/SN+./SP+6/SN+%/SW+)/SS+가/JKS
박	박/NNP
후보(31.9%)를	후보/NNG+(/SS+31/SN+./SP+9/SN+%/SW+)/SS+를/JKO
17.7%포인트	17/SN+./SP+7/SN+%포인트/NNG
앞섰지만	앞서/VV+었/EP+지만/EC
후반에서는	후반/NNG+에서/JKB+는/JX
후보의	후보/NNG+의/JKG
지지율(50.1%)이	지지/NNG+율/XSN+(/SS+50/SN+./SP+1/SN+%/SW+)/SS+이/JKS
후보(32.6%)보다	후보/NNG+(/SS+32/SN+./SP+6/SN+%/SW+)/SS+보다/JKB
17.5%포인트	17/SN+./SP+5/SN+%포인트/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.379.8.2
‘허리전쟁’이 치열한 40대 안에서도 초반과 후반의 표심이 크게 엇갈리고 있다는 얘기다.

‘허리전쟁’이	‘/SS+허리/NNG+전쟁/NNG+’/SS+이/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
40대	40/SN+대/NNB
안에서도	안/NNG+에서/JKB+도/JX
초반과	초반/NNG+과/JKB
후반의	후반/NNG+의/JKG
표심이	표심/NNG+이/JKS
크게	크/VA+게/EC
엇갈리고	엇갈리/VV+고/EC
있다는	있/VX+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.379.9.1
서울에서는 박 후보와 문 후보가 각각 43.0%, 41.2%로 팽팽히 맞섰고 부산-울산-경남에서는 박 후보 54.1%, 문 후보 32.0%였다.

서울에서는	서울/NNP+에서/JKB+는/JX
박	박/NNP
후보와	후보/NNG+와/JC
문	문/NNP
후보가	후보/NNG+가/JKS
각각	각각/MAG
43.0%,	43/SN+./SP+0/SN+%/SW+,/SP
41.2%로	41/SN+./SP+2/SN+%/SW+로/JKB
팽팽히	팽팽히/MAG
맞섰고	맞서/VV+었/EP+고/EC
부산-울산-경남에서는	부산/NNP+-/SO+울산/NNP+-/SO+경남/NNP+에서/JKB+는/JX
후보	후보/NNG
54.1%,	54/SN+./SP+1/SN+%/SW+,/SP
32.0%였다.	32/SN+./SP+0/SN+%/SW+이/VCP+었/EP+다/EF+./SF


