# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.119
metadata : {}


# id : NWRW1800000038.119.1.1
아들 묻고 온 날에도 일터에 간 김동연 국무조정실장

아들	아들/NNG
동안	동안/NNG
다음	다음/NNG
발표할	발표/NNG+하/XSV+ㄹ/ETM
원전	원전/NNG
대책을	대책/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.119.6.2
김 장관은 13일 국무조정실 전 직원에게 보낸 이메일에서 "고백하자면 스물여덟 해 함께 살아온 애를 이렇게 보낸다는 것이 지금도 견디기 어려울 정도로 힘들다. 가슴을 도려내는 것 같기도 하고 심장에 큰 구멍이 뻥 난 것 같기도 하다"고 했다.

김	김/NNP
장관은	장관/NNG+은/JX
13일	13/SN+일/NNB
국무조정실	국무/NNG+조정실/NNG
전	전/MMN
직원에게	직원/NNG+에게/JKB
보낸	보내/VV+ㄴ/ETM
이메일에서	이메일/NNG+에서/JKB
"고백하자면	"/SS+고백/NNG+하/XSV+자면/EC
스물여덟	스물여덟/NR
해	해/NNB
함께	함께/MAG
살아온	살아오/VV+ㄴ/ETM
애를	애/NNG+를/JKO
이렇게	이렇/VA+게/EC
보낸다는	보내/VV+ㄴ다는/ETM
것이	것/NNB+이/JKS
지금도	지금/NNG+도/JX
견디기	견디/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
힘들다.	힘들/VA+다/EF+./SF
가슴을	가슴/NNG+을/JKO
도려내는	도려내/VV+는/ETM
것	것/NNB
같기도	같/VA+기/ETN+도/JX
하고	하/VX+고/EC
심장에	심장/NNG+에/JKB
큰	크/VA+ㄴ/ETM
구멍이	구멍/NNG+이/JKS
뻥	뻥/MAG
난	나/VV+ㄴ/ETM
하다"고	하/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


