# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.265
metadata : {}


# id : NWRW1800000029.265.1.1
[2011서울국제마라톤- 제 82회 동아마라톤]35세 굼리, 마라톤 전향 5년만에 생애 첫 우승”

[2011서울국제마라톤-	[/SS+2011/SN+서울/NNP+국제/NNG+마라톤/NNG+-/SO
꼬리표를	꼬리표/NNG+를/JKO
떼보겠다”고	떼/VV+어/EC+보/VX+겠/EP+다/EF+”/SS+고/JKQ
각오를	각오/NNG+를/JKO
밝혔던	밝히/VV+었/EP+던/ETM
그는	그/NP+는/JX
처음	처음/NNG
밟은	밟/VV+은/ETM
한국	한국/NNP
땅에서	땅/NNG+에서/JKB
우승	우승/NNG
한을	한/NNG+을/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.265.7.3
우승상금은 8만 달러(약 9030만 원).

우승상금은	우승/NNG+상금/NNG+은/JX
8만	8/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
9030만	9030/SN+만/NR
원).	원/NNB+)/SS+./SF


# id : NWRW1800000029.265.8.1
20대까지 5000m와 1만m 등 장거리를 주로 뛰었던 그는 30세가 된 2007년에야 마라톤선수로 전향했다.

20대까지	20/SN+대/NNB+까지/JX
5000m와	5000/SN+m/SW+와/JC
1만m	1/SN+만/NR+m/SW
등	등/NNB
장거리를	장거리/NNG+를/JKO
주로	주로/MAG
뛰었던	뛰/VV+었/EP+던/ETM
그는	그/NP+는/JX
30세가	30/SN+세/NNB+가/JKC
된	되/VV+ㄴ/ETM
2007년에야	2007/SN+년/NNB+에/JKB+야/JX
마라톤선수로	마라톤/NNG+선수/NNG+로/JKB
전향했다.	전향/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.8.2
그는 “다른 선수들과 마찬가지로 내게도 마라톤은 오랜 꿈이었다.

그는	그/NP+는/JX
“다른	“/SS+다른/MMD
선수들과	선수/NNG+들/XSN+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
내게도	나/NP+에게/JKB+도/JX
마라톤은	마라톤/NNG+은/JX
오랜	오랜/MMA
꿈이었다.	꿈/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.265.8.3
그런데 막상 뛰어 보니 궁합이 정말 잘 맞았다”고 했다.

그런데	그런데/MAJ
막상	막상/MAG
뛰어	뛰/VV+어/EC
보니	보/VX+니/EC
궁합이	궁합/NNG+이/JKS
정말	정말/MAG
잘	잘/MAG
맞았다”고	맞/VV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.9.1
굼리는 “비를 예상하지 못해 우천용 레이스 신발을 준비하지 못했다.

굼리는	굼리/NNP+는/JX
“비를	“/SS+비/NNG+를/JKO
예상하지	예상/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
우천용	우천/NNG+용/XSN
레이스	레이스/NNG
신발을	신발/NNG+을/JKO
준비하지	준비/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.265.9.2
발이 계속 미끄러졌고 25km 지점부터는 허벅지와 종아리에 근육통까지 왔다.

발이	발/NNG+이/JKS
계속	계속/MAG
미끄러졌고	미끄러지/VV+었/EP+고/EC
25km	25/SN+km/SW
지점부터는	지점/NNG+부터/JX+는/JX
허벅지와	허벅지/NNG+와/JC
종아리에	종아리/NNG+에/JKB
근육통까지	근육통/NNG+까지/JX
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.9.3
날씨가 좋았다면 더 좋을 성적으로 우승할 수 있었을 것”이라고 했다.

날씨가	날씨/NNG+가/JKS
좋았다면	좋/VA+았/EP+다면/EC
더	더/MAG
좋을	좋/VA+을/ETM
성적으로	성적/NNG+으로/JKB
우승할	우승/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었을	있/VA+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.9.4
그는 “프로페셔널에게 나이는 그리 중요한 게 아니다.

그는	그/NP+는/JX
“프로페셔널에게	“/SS+프로페셔널/NNG+에게/JKB
나이는	나이/NNG+는/JX
그리	그리/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000029.265.9.5
포기하지 않고 실력 향상에 집중한다면 얼마든지 좋은 성적을 낼 수 있다”고 말했다.

포기하지	포기/NNG+하/XSV+지/EC
않고	않/VX+고/EC
실력	실력/NNG
향상에	향상/NNG+에/JKB
집중한다면	집중/NNG+하/XSV+ㄴ다면/EC
얼마든지	얼마/NNG+든지/JX
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.10.1
▼“두번 참가 모두 우승… 서울과 찰떡궁합”▼

▼“두번	▼/SW+“/SS+두/MMN+번/NNB
참가	참가/NNG
모두	모두/MAG
우승…	우승/NNG+…/SE
서울과	서울/NNP+과/JKB
찰떡궁합”▼	찰떡궁합/NNG+”/SS+▼/SW


# id : NWRW1800000029.265.11.1
엘리트 여자부 우승 구타

엘리트	엘리트/NNG
여자부	여자부/NNG
우승	우승/NNG
구타	구타/NNP


# id : NWRW1800000029.265.12.1
두 번 참가해서 모두 우승.

두	두/MMN
번	번/NNB
참가해서	참가/NNG+하/XSV+아서/EC
모두	모두/MAG
우승.	우승/NNG+./SF


# id : NWRW1800000029.265.12.2
100% 우승 확률이다.

100%	100/SN+%/SW
우승	우승/NNG
확률이다.	확률/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.265.12.3
여자부 우승을 차지한 로베 구타(26·에티오피아) 얘기다.

여자부	여자부/NNG
우승을	우승/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
로베	로베/NNP
구타(26·에티오피아)	구타/NNP+(/SS+26/SN+·/SP+에티오피아/NNP+)/SS
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.265.13.1
여자 엘리트 선수 중 가장 먼저 결승선을 통과한 구타는 심하게 몸을 떨었다.

여자	여자/NNG
엘리트	엘리트/NNG
선수	선수/NNG
중	중/NNB
가장	가장/MAG
먼저	먼저/MAG
결승선을	결승선/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
구타는	구타/NNP+는/JX
심하게	심하/VA+게/EC
몸을	몸/NNG+을/JKO
떨었다.	떨/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.265.13.2
경기 내내 내린 비 때문에 극심한 추위를 호소했다.

경기	경기/NNG
내내	내내/MAG
내린	내리/VV+ㄴ/ETM
비	비/NNG
때문에	때문/NNB+에/JKB
극심한	극심하/VA+ㄴ/ETM
추위를	추위/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.13.3
젖은 옷을 마른 옷으로 갈아입을 때는 추위로 손이 떨렸다.

젖은	젖/VV+은/ETM
옷을	옷/NNG+을/JKO
마른	마르/VV+ㄴ/ETM
옷으로	옷/NNG+으로/JKB
갈아입을	갈아입/VV+을/ETM
때는	때/NNG+는/JX
추위로	추위/NNG+로/JKB
손이	손/NNG+이/JKS
떨렸다.	떨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.265.13.4
하지만 얼굴은 환한 표정이었다.

하지만	하지만/MAJ
얼굴은	얼굴/NNG+은/JX
환한	환하/VA+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.265.13.5
에이전트와 통역사를 쳐다보며 “행복해요”를 연발했다.

에이전트와	에이전트/NNG+와/JC
통역사를	통역사/NNG+를/JKO
쳐다보며	쳐다보/VV+며/EC
“행복해요”를	“/SS+행복/NNG+하/XSA+아요/EF+”/SS+를/JKO
연발했다.	연발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.14.1
구타는 서울국제마라톤과 특별한 인연이 있다.

구타는	구타/NNP+는/JX
서울국제마라톤과	서울/NNP+국제/NNG+마라톤/NNG+과/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
인연이	인연/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.265.14.2
그는 2009년 대회에서 2시간25분37초의 기록으로 가장 먼저 결승선을 통과했다.

그는	그/NP+는/JX
2009년	2009/SN+년/NNB
대회에서	대회/NNG+에서/JKB
2시간25분37초의	2/SN+시간/NNB+25/SN+분/NNB+37/SN+초/NNB+의/JKG
기록으로	기록/NNG+으로/JKB
가장	가장/MAG
먼저	먼저/MAG
결승선을	결승선/NNG+을/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.14.3
지난해 대회에는 참가하지 않았지만 1년을 건너뛰고 참가한 올해 대회에서 2시간26분51초로 다시 정상에 올랐다.

지난해	지난해/NNG
대회에는	대회/NNG+에/JKB+는/JX
참가하지	참가/NNG+하/XSV+지/EC
않았지만	않/VX+았/EP+지만/EC
1년을	1/SN+년/NNB+을/JKO
건너뛰고	건너뛰/VV+고/EC
참가한	참가/NNG+하/XSV+ㄴ/ETM
올해	올해/NNG
대회에서	대회/NNG+에서/JKB
2시간26분51초로	2/SN+시간/NNB+26/SN+분/NNB+51/SN+초/NNB+로/JKB
다시	다시/MAG
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.14.4
두 번 참가해 두 번 모두 우승을 차지하며 특별한 인연을 이어갔다.

두	두/MMN
번	번/NNB
참가해	참가/NNG+하/XSV+아/EC
모두	모두/MAG
우승을	우승/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
인연을	인연/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.265.15.1
“우승해서 정말 행복하다”고 웃음 짓던 구타는 “지난 대회에서도 출발할 때 날씨가 상당히 추워 고생했다.

“우승해서	“/SS+우승/NNG+하/XSV+아서/EC
정말	정말/MAG
행복하다”고	행복/NNG+하/XSA+다/EF+”/SS+고/JKQ
웃음	웃음/NNG
짓던	짓/VV+던/ETM
구타는	구타/NNP+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
대회에서도	대회/NNG+에서/JKB+도/JX
출발할	출발/NNG+하/XSV+ㄹ/ETM
때	때/NNG
날씨가	날씨/NNG+가/JKS
상당히	상당히/MAG
추워	춥/VA+어/EC
고생했다.	고생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.15.2
올해는 경기 내내 더 추웠다.

올해는	올해/NNG+는/JX
경기	경기/NNG
내내	내내/MAG
더	더/MAG
추웠다.	춥/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.265.15.3
기록이 지난번보다 떨어진 것 같지만 기억에 남을 것 같다”고 말했다.

기록이	기록/NNG+이/JKS
지난번보다	지난번/NNG+보다/JKB
떨어진	떨어지/VV+ㄴ/ETM
것	것/NNB
같지만	같/VA+지만/EC
기억에	기억/NNG+에/JKB
남을	남/VV+을/ETM
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.265.15.4
구타의 최고 기록은 2006년 함부르크 마라톤 대회에서 작성한 2시간24분35초다.

구타의	구타/NNP+의/JKG
최고	최고/NNG
기록은	기록/NNG+은/JX
2006년	2006/SN+년/NNB
함부르크	함부르크/NNP
마라톤	마라톤/NNG
대회에서	대회/NNG+에서/JKB
작성한	작성/NNG+하/XSV+ㄴ/ETM
2시간24분35초다.	2/SN+시간/NNB+24/SN+분/NNB+35/SN+초/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.265.15.5
유독 서울국제마라톤에서 강한 이유에 대해 구타는 “서울 시내를 관통하는 코스가 평탄하고 한 번 뛰어봐서 그런지 페이스 조절에 성공한 것 같다”며 “나와 잘 맞는 코스라고 생각한다”며 웃었다.

유독	유독/MAG
서울국제마라톤에서	서울/NNP+국제/NNG+마라톤/NNG+에서/JKB
강한	강하/VA+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
구타는	구타/NNP+는/JX
“서울	“/SS+서울/NNP
시내를	시내/NNG+를/JKO
관통하는	관통/NNG+하/XSV+는/ETM
코스가	코스/NNG+가/JKS
평탄하고	평탄/NNG+하/XSA+고/EC
한	한/MMN
번	번/NNB
뛰어봐서	뛰/VV+어/EC+보/VX+아서/EC
그런지	그렇/VA+ㄴ지/EC
페이스	페이스/NNG
조절에	조절/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“나와	“/SS+나/NP+와/JKB
잘	잘/MAG
맞는	맞/VV+는/ETM
코스라고	코스/NNG+이/VCP+라고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.265.15.6
구타는 “외국인 선수 중 2회 우승자는 많지만 3회 우승자는 없는 것으로 알고 있다.

구타는	구타/NNP+는/JX
“외국인	“/SS+외국인/NNG
선수	선수/NNG
중	중/NNB
2회	2/SN+회/NNB
우승자는	우승자/NNG+는/JX
많지만	많/VA+지만/EC
3회	3/SN+회/NNB
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.265.15.7
내년 대회에도 참가해 외국인 선수로는 처음으로 대회 3회 우승을 차지하고 싶다”고 말했다.

내년	내년/NNG
대회에도	대회/NNG+에/JKB+도/JX
참가해	참가/NNG+하/XSV+아/EC
외국인	외국인/NNG
선수로는	선수/NNG+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
대회	대회/NNG
3회	3/SN+회/NNB
우승을	우승/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


