# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.59
metadata : {}


# id : NWRW1800000030.59.1.1
다리 저리고 아프면 무조건 디스크?

다리	다리/NNG
혈압을	혈압/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
재기	재/VV+기/ETN
어려우므로	어렵/VA+으므로/EC
가까운	가깝/VA+ㄴ/ETM
병·의원에	병·의원/NNG+에/JKB
가서	가/VV+아서/EC
재는	재/VV+는/ETM
것이	것/NNB+이/JKS
확실하다.	확실하/VA+다/EF+./SF


# id : NWRW1800000030.59.9.3
이와 같은 기본 검사로 말초동맥 질환이 의심되면 혈관 초음파 검사, 혈관 단층 촬영, 혈관조영술과 같은 정밀 검사를 시행한다.

이와	이/NP+와/JKB
같은	같/VA+은/ETM
기본	기본/NNG
검사로	검사/NNG+로/JKB
말초동맥	말초/NNG+동맥/NNG
질환이	질환/NNG+이/JKS
의심되면	의심/NNG+되/XSV+면/EC
혈관	혈관/NNG
초음파	초/XPN+음파/NNG
검사,	검사/NNG+,/SP
단층	단층/NNG
촬영,	촬영/NNG+,/SP
혈관조영술과	혈관/NNG+조영술/NNG+과/JKB
정밀	정밀/NNG
검사를	검사/NNG+를/JKO
시행한다.	시행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.59.9.4
윤치순 교수는 "3차원 혈관 단층 촬영은 피부를 절개하지 않고도 말초동맥이 막힌 곳과 폐쇄된 정도를 정확하게 진단할 수 있다"고 말했다.

윤치순	윤치순/NNP
교수는	교수/NNG+는/JX
"3차원	"/SS+3/SN+차원/NNG
혈관	혈관/NNG
단층	단층/NNG
촬영은	촬영/NNG+은/JX
피부를	피부/NNG+를/JKO
절개하지	절개/NNG+하/XSV+지/EC
않고도	않/VX+고/EC+도/JX
말초동맥이	말초/NNG+동맥/NNG+이/JKS
막힌	막히/VV+ㄴ/ETM
곳과	곳/NNG+과/JC
폐쇄된	폐쇄/NNG+되/XSV+ㄴ/ETM
정도를	정도/NNG+를/JKO
정확하게	정확/NNG+하/XSA+게/EC
진단할	진단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


