# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.96
metadata : {}


# id : NWRW1800000045.96.1.1
순천향대, 학생부교과전형, 2개 교과에 가중치 10% 부여

순천향대,	순천향대/NNP+,/SP
# id : NWRW1800000045.96.4.3
수능 최저학력기준 적용 시 A, B형 제한은 없으나 의예과는 국어, 수학 중 1개 과목은 반드시 B형을 응시해야 한다.

수능	수능/NNG
최저학력기준	최저/NNG+학력/NNG+기준/NNG
적용	적용/NNG
시	시/NNB
A,	A/SL+,/SP
B형	B/SL+형/XSN
제한은	제한/NNG+은/JX
없으나	없/VA+으나/EC
의예과는	의예과/NNG+는/JX
국어,	국어/NNG+,/SP
수학	수학/NNG
중	중/NNB
1개	1/SN+개/NNB
과목은	과목/NNG+은/JX
반드시	반드시/MAG
B형을	B/SL+형/XSN+을/JKO
응시해야	응시/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.96.4.4
의예과와 간호학과는 직업탐구를 반영하지 않는다.

의예과와	의예과/NNG+와/JC
간호학과는	간호학과/NNG+는/JX
직업탐구를	직업/NNG+탐구/NNG+를/JKO
반영하지	반영/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.96.5.1
학생부종합전형은 학생부와 자기소개서를 종합적으로 평가하며 수능 최저학력기준을 적용하지 않는다.

학생부종합전형은	학생부/NNG+종합/NNG+전형/NNG+은/JX
학생부와	학생부/NNG+와/JC
자기소개서를	자기소개서/NNG+를/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
평가하며	평가/NNG+하/XSV+며/EC
수능	수능/NNG
최저학력기준을	최저/NNG+학력/NNG+기준/NNG+을/JKO
적용하지	적용/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.96.5.2
학생부 교과 성적에 대한 정량평가 없이 모든 평가가 정성적·종합적으로 이루어진다.

학생부	학생부/NNG
교과	교과/NNG
성적에	성적/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정량평가	정량/NNG+평가/NNG
없이	없이/MAG
모든	모든/MMN
평가가	평가/NNG+가/JKS
정성적·종합적으로	정성/NNG+적/XSN+·/SP+종합/NNG+적/XSN+으로/JKB
이루어진다.	이루어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.5.3
일반학생Ⅱ, 지역인재Ⅱ 전형만 면접을 시행한다.

일반학생Ⅱ,	일반/NNG+학생/NNG+Ⅱ/SW+,/SP
지역인재Ⅱ	지역/NNG+인재/NNG+Ⅱ/SW
전형만	전형/NNG+만/JX
면접을	면접/NNG+을/JKO
시행한다.	시행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.6.1
일반학생Ⅱ, 지역인재Ⅱ 전형은 단계별 전형으로, 1단계에서는 학생부와 자기소개서를 바탕으로 학생부종합(서류평가) 100%로 모집인원의 3배수를 선발한다.

일반학생Ⅱ,	일반/NNG+학생/NNG+Ⅱ/SW+,/SP
지역인재Ⅱ	지역/NNG+인재/NNG+Ⅱ/SW
전형은	전형/NNG+은/JX
단계별	단계/NNG+별/XSN
전형으로,	전형/NNG+으로/JKB+,/SP
1단계에서는	1/SN+단계/NNG+에서/JKB+는/JX
학생부와	학생부/NNG+와/JC
자기소개서를	자기소개서/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
학생부종합(서류평가)	학생부/NNG+종합/NNG+(/SS+서류/NNG+평가/NNG+)/SS
100%로	100/SN+%/SW+로/JKB
모집인원의	모집/NNG+인원/NNG+의/JKG
3배수를	3/SN+배수/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.6.2
2단계에서는 학생부종합(확인면접) 100%로 선발한다.

2단계에서는	2/SN+단계/NNG+에서/JKB+는/JX
학생부종합(확인면접)	학생부/NNG+종합/NNG+(/SS+확인/NNG+면접/NNG+)/SS
100%로	100/SN+%/SW+로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.6.3
고른기회 전형과 정원 외 전형(농어촌학생, 특성화고교졸업자, 기초생활수급자 및 차상위계층, 단원고)은 확인면접을 실시하지 않고 학생부종합(서류평가) 100%로 최종 합격자를 선발한다.

고른기회	고르/VA+ㄴ/ETM+기회/NNG
전형과	전형/NNG+과/JC
정원	정원/NNG
외	외/NNB
전형(농어촌학생,	전형/NNG+(/SS+농어촌/NNG+학생/NNG+,/SP
특성화고교졸업자,	특성/NNG+화/XSN+고교/NNG+졸업자/NNG+,/SP
기초생활수급자	기초/NNG+생활/NNG+수급자/NNG
및	및/MAG
차상위계층,	차상위/NNG+계층/NNG+,/SP
단원고)은	단원고/NNP+)/SS+은/JX
확인면접을	확인/NNG+면접/NNG+을/JKO
실시하지	실시/NNG+하/XSV+지/EC
않고	않/VX+고/EC
학생부종합(서류평가)	학생부/NNG+종합/NNG+(/SS+서류/NNG+평가/NNG+)/SS
100%로	100/SN+%/SW+로/JKB
최종	최종/NNG
합격자를	합격자/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.7.1
정원 내 학생부 종합전형에서는 인성역량(자기주도성, 공동체의식), 전공역량(기초학업능력, 전공적합성), 성장 가능성을 정성적으로 종합평가하며, 정원 외 전형은 성장 가능성에 전형 취지 부합 여부를 추가해 평가한다.

정원	정원/NNG
내	내/NNB
학생부	학생부/NNG
종합전형에서는	종합/NNG+전형/NNG+에서/JKB+는/JX
인성역량(자기주도성,	인성/NNG+역량/NNG+(/SS+자기/NNG+주도/NNG+성/XSN+,/SP
공동체의식),	공동체/NNG+의식/NNG+)/SS+,/SP
전공역량(기초학업능력,	전공/NNG+역량/NNG+(/SS+기초/NNG+학업/NNG+능력/NNG+,/SP
전공적합성),	전공/NNG+적합/NNG+성/XSN+)/SS+,/SP
성장	성장/NNG
가능성을	가능/NNG+성/XSN+을/JKO
정성적으로	정성/NNG+적/XSN+으로/JKB
종합평가하며,	종합/NNG+평가/NNG+하/XSV+며/EC+,/SP
외	외/NNB
전형은	전형/NNG+은/JX
가능성에	가능/NNG+성/XSN+에/JKB
전형	전형/NNG
취지	취지/NNG
부합	부합/NNG
여부를	여부/NNG+를/JKO
추가해	추가/NNG+하/XSV+아/EC
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.8.1
제출 서류는 학생부와 자기소개서(대교협 공통양식 활용)만을 평가 자료로 활용함으로써 수험생의 부담을 최소화하고 있다.

제출	제출/NNG
서류는	서류/NNG+는/JX
학생부와	학생부/NNG+와/JC
자기소개서(대교협	자기소개서/NNG+(/SS+대교협/NNP
공통양식	공통/NNG+양식/NNG
활용)만을	활용/NNG+)/SS+만/JX+을/JKO
평가	평가/NNG
자료로	자료/NNG+로/JKB
활용함으로써	활용/NNG+하/XSV+ㅁ/ETN+으로써/JKB
수험생의	수험/NNG+생/XSN+의/JKG
부담을	부담/NNG+을/JKO
최소화하고	최소/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.96.8.2
특성화고졸재직자특별전형의 경우 학생부만 평가 자료로 활용한다.

특성화고졸재직자특별전형의	특성화고/NNG+졸/NNG+재직자/NNG+특별/NNG+전형/NNG+의/JKG
경우	경우/NNG
학생부만	학생부/NNG+만/JX
평가	평가/NNG
자료로	자료/NNG+로/JKB
활용한다.	활용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.96.9.1
학생부교과전형의 일반학생Ⅰ, 지역인재Ⅰ 전형은 중복 지원이 불가능하고, 학생부종합전형의 일반학생Ⅱ, 지역인재Ⅱ 전형 간에도 중복 지원이 되지 않는다.

학생부교과전형의	학생부/NNG+교과/NNG+전형/NNG+의/JKG
일반학생Ⅰ,	일반/NNG+학생/NNG+Ⅰ/SW+,/SP
지역인재Ⅰ	지역/NNG+인재/NNG+Ⅰ/SW
전형은	전형/NNG+은/JX
중복	중복/NNG
지원이	지원/NNG+이/JKC
불가능하고,	불/XPN+가능/NNG+하/XSA+고/EC+,/SP
학생부종합전형의	학생부/NNG+종합/NNG+전형/NNG+의/JKG
일반학생Ⅱ,	일반/NNG+학생/NNG+Ⅱ/SW+,/SP
지역인재Ⅱ	지역/NNG+인재/NNG+Ⅱ/SW
전형	전형/NNG
간에도	간/NNB+에/JKB+도/JX
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.96.9.2
학생부종합전형과 학생부교과전형은 중복 지원과 상관없이 지원할 수 있다.

학생부종합전형과	학생부/NNG+종합/NNG+전형/NNG+과/JC
학생부교과전형은	학생부/NNG+교과/NNG+전형/NNG+은/JX
중복	중복/NNG
지원과	지원/NNG+과/JKB
상관없이	상관없이/MAG
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.96.9.3
예를 들어 지역인재Ⅰ, 일반학생Ⅱ 또는 일반학생Ⅰ, 일반학생Ⅱ는 지원이 가능하다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
지역인재Ⅰ,	지역/NNG+인재/NNG+Ⅰ/SW+,/SP
일반학생Ⅱ	일반/NNG+학생/NNG+Ⅱ/SW
또는	또는/MAG
일반학생Ⅰ,	일반/NNG+학생/NNG+Ⅰ/SW+,/SP
일반학생Ⅱ는	일반/NNG+학생/NNG+Ⅱ/SW+는/JX
지원이	지원/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.96.9.4
학생부종합전형의 면접 일자가 학과별로 다르기 때문에 면접 일정을 꼭 확인하고 지원해야 한다.

학생부종합전형의	학생부/NNG+종합/NNG+전형/NNG+의/JKG
면접	면접/NNG
일자가	일자/NNG+가/JKS
학과별로	학과/NNG+별/XSN+로/JKB
다르기	다르/VA+기/ETN
때문에	때문/NNB+에/JKB
일정을	일정/NNG+을/JKO
꼭	꼭/MAG
확인하고	확인/NNG+하/XSV+고/EC
지원해야	지원/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.96.10.1
조정기 순천향대 입학처장은 “우리 대학 입학 전형의 특징은 전형 유형에 최대한 부합되는 전형을 실시한다는 점”이라며 “학생부종합전형의 경우 지원자의 고등학교 생활 전반을 평가하는 전형이므로 현재 고3이라면 자신의 학생부 및 고등학교 때 활동한 기록물을 다시 한 번 살펴보면서 나의 강점은 충분하게, 약점은 이를 개선하기 위한 자신만의 노력을 담아 자기소개서를 쓰는 게 좋다”고 말했다.

조정기	조정기/NNP
순천향대	순천향대/NNP
입학처장은	입학처장/NNG+은/JX
“우리	“/SS+우리/NP
대학	대학/NNG
입학	입학/NNG
전형의	전형/NNG+의/JKG
특징은	특징/NNG+은/JX
전형	전형/NNG
유형에	유형/NNG+에/JKB
최대한	최대한/MAG
부합되는	부합/NNG+되/XSV+는/ETM
전형을	전형/NNG+을/JKO
실시한다는	실시/NNG+하/XSV+ㄴ다는/ETM
점”이라며	점/NNG+”/SS+이/VCP+라며/EC
“학생부종합전형의	“/SS+학생부/NNG+종합/NNG+전형/NNG+의/JKG
경우	경우/NNG
지원자의	지원자/NNG+의/JKG
고등학교	고등학교/NNG
생활	생활/NNG
전반을	전반/NNG+을/JKO
평가하는	평가/NNG+하/XSV+는/ETM
전형이므로	전형/NNG+이/VCP+므로/EC
현재	현재/MAG
고3이라면	고/NNG+3/SN+이/VCP+라면/EC
자신의	자신/NNG+의/JKG
학생부	학생부/NNG
및	및/MAG
때	때/NNG
활동한	활동/NNG+하/XSV+ㄴ/ETM
기록물을	기록물/NNG+을/JKO
다시	다시/MAG
한	한/MMN
번	번/NNB
살펴보면서	살펴보/VV+면서/EC
나의	나/NP+의/JKG
강점은	강점/NNG+은/JX
충분하게,	충분하/VA+게/EC+,/SP
약점은	약점/NNG+은/JX
이를	이/NP+를/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
자신만의	자신/NNG+만/JX+의/JKG
노력을	노력/NNG+을/JKO
담아	담/VV+아/EC
자기소개서를	자기소개서/NNG+를/JKO
쓰는	쓰/VV+는/ETM
게	거/NNB+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.96.11.1
순천향대는 학부교육선도대학(ACE), 지방대학특성화사업(CK-1), 산학협력선도대학(LINC) 등에 선정되어 다양한 정부 재정지원을 받고 있다.

순천향대는	순천향대/NNP+는/JX
학부교육선도대학(ACE),	학부/NNG+교육/NNG+선도/NNG+대학/NNG+(/SS+ACE/SL+)/SS+,/SP
지방대학특성화사업(CK-1),	지방/NNG+대학/NNG+특성/NNG+화/XSN+사업/NNG+(/SS+CK/SL+-/SO+1/SN+)/SS+,/SP
산학협력선도대학(LINC)	산학/NNG+협력/NNG+선도/NNG+대학/NNG+(/SS+LINC/SL+)/SS
등에	등/NNB+에/JKB
선정되어	선정/NNG+되/XSV+어/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
정부	정부/NNG
재정지원을	재정/NNG+지원/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.96.11.2
올해부터 기숙형학습공동체 SRC(Soonchunhyang Residential College)를 운영함으로써 희망하는 신입생은 모두 기숙사 생활을 통해 특화된 인재양성 시스템을 이수하고 있다.

올해부터	올해/NNG+부터/JX
기숙형학습공동체	기숙/NNG+형/XSN+학습/NNG+공동체/NNG
SRC(Soonchunhyang	SRC/SL+(/SS+Soonchunhyang/SL
Residential	Residential/SL
College)를	College/SL+)/SS+를/JKO
운영함으로써	운영/NNG+하/XSV+ㅁ/ETN+으로써/JKB
희망하는	희망/NNG+하/XSV+는/ETM
신입생은	신입/NNG+생/XSN+은/JX
모두	모두/MAG
기숙사	기숙사/NNG
생활을	생활/NNG+을/JKO
통해	통하/VV+아/EC
특화된	특화/NNG+되/XSV+ㄴ/ETM
인재양성	인재/NNG+양성/NNG
시스템을	시스템/NNG+을/JKO
이수하고	이수/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


