# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.96
metadata : {}


# id : NWRW1800000028.96.1.1
험한 세상 다리가 된 휠체어컬링 7년 사랑

험한	험하/VA+ㄴ/ETM
겨울장애인올림픽(패럴림픽)	겨울/NNG+장애인/NNG+올림픽/NNG+(/SS+패럴림픽/NNG+)/SS
휠체어컬링	휠체어/NNG+컬링/NNG
예선	예선/NNG
풀리그	풀/NNG+리그/NNG
마지막	마지막/NNG
9차전에서	9/SN+차전/NNB+에서/JKB
독일을	독일/NNP+을/JKO
9-2로	9/SN+-/SO+2/SN+로/JKB
완파하고	완파/NNG+하/XSV+고/EC
3위(6승3패)로	3/SN+위/NNB+(/SS+6/SN+승/NNB+3/SN+패/NNB+)/SS+로/JKB
4강에	4/SN+강/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.96.3.2
이들은 21일 예선을 2위로 통과한 미국(7승2패)과 결승 진출을 다툰다.

이들은	이/NP+들/XSN+은/JX
21일	21/SN+일/NNB
예선을	예선/NNG+을/JKO
2위로	2/SN+위/NNB+로/JKB
통과한	통과/NNG+하/XSV+ㄴ/ETM
미국(7승2패)과	미국/NNP+(/SS+7/SN+승/NNB+2/SN+패/NNB+)/SS+과/JKB
결승	결승/NNG
진출을	진출/NNG+을/JKO
다툰다.	다투/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.96.3.3
김우택 감독은 이날 <한겨레>와의 통화에서 “무관심이 더 서러웠다.

김우택	김우택/NNP
감독은	감독/NNG+은/JX
이날	이날/NNG
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“무관심이	“/SS+무/XPN+관심/NNG+이/JKS
더	더/MAG
서러웠다.	서럽/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.96.3.4
어려운 분들이 잘돼서 기쁘다”고 말했다.

어려운	어렵/VA+ㄴ/ETM
분들이	분/NNB+들/XSN+이/JKS
잘돼서	잘/MAG+되/XSV+어서/EC
기쁘다”고	기쁘/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.96.3.5
김 감독은 원주에서 치과를 운영하면서 보수도 전혀 받지 않고 연세드림팀과 대표팀 감독을 맡아 왔다.

김	김/NNP
감독은	감독/NNG+은/JX
원주에서	원주/NNP+에서/JKB
치과를	치과/NNG+를/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
보수도	보수/NNG+도/JX
전혀	전혀/MAG
받지	받/VV+지/EC
않고	않/VX+고/EC
연세드림팀과	연세드림팀/NNP+과/JC
대표팀	대표/NNG+팀/NNG
감독을	감독/NNG+을/JKO
맡아	맡/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.96.3.6
국내 15개 팀이 국가대표 선발전을 치러 단일팀(원주 연세드림)으로 함께 태극마크를 단 이들은 “눈빛만 봐도 작전이 통하는 조직력이 있기에 열악한 환경도 딛고 일어설 수 있었다”고 했다.

국내	국내/NNG
15개	15/SN+개/NNB
팀이	팀/NNG+이/JKS
국가대표	국가/NNG+대표/NNG
선발전을	선발전/NNG+을/JKO
치러	치르/VV+어/EC
단일팀(원주	단일팀/NNG+(/SS+원주/NNP
연세드림)으로	연세드림/NNP+)/SS+으로/JKB
함께	함께/MAG
태극마크를	태극/NNG+마크/NNG+를/JKO
단	달/VV+ㄴ/ETM
이들은	이/NP+들/XSN+은/JX
“눈빛만	“/SS+눈빛/NNG+만/JX
봐도	보/VV+아도/EC
작전이	작전/NNG+이/JKS
통하는	통하/VV+는/ETM
조직력이	조직력/NNG+이/JKS
있기에	있/VA+기에/EC
열악한	열악하/VA+ㄴ/ETM
환경도	환경/NNG+도/JX
딛고	딛/VV+고/EC
일어설	일어서/VV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.96.4.1
선수들은 대부분 재해연금이나 생활보호 지원금으로 생계를 꾸려가면서도 휠체어컬링을 포기하지 않았다.

선수들은	선수/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
재해연금이나	재해/NNG+연금/NNG+이나/JC
생활보호	생활/NNG+보호/NNG
지원금으로	지원금/NNG+으로/JKB
생계를	생계/NNG+를/JKO
꾸려가면서도	꾸리/VV+어/EC+가/VX+면서/EC+도/JX
휠체어컬링을	휠체어/NNG+컬링/NNG+을/JKO
포기하지	포기/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.96.4.2
우리나라 컬링 전용경기장은 태릉선수촌과 경북 의성 등 두 곳밖에 없고, 그마저 대여가 쉽지 않았다.

우리나라	우리나라/NNG
컬링	컬링/NNG
전용경기장은	전용/NNG+경기장/NNG+은/JX
태릉선수촌과	태릉선수촌/NNP+과/JC
경북	경북/NNP
의성	의성/NNP
등	등/NNB
두	두/MMN
곳밖에	곳/NNG+밖에/JX
없고,	없/VA+고/EC+,/SP
그마저	그/NP+마저/JX
대여가	대여/NNG+가/JKS
쉽지	쉽/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.96.4.3
이번 패럴림픽을 앞두고도 전용 컬링장을 빌리지 못해 이천 장애인종합훈련원 수영장에 특설 컬링장을 만들어 훈련했다.

이번	이번/NNG
패럴림픽을	패럴림픽/NNG+을/JKO
앞두고도	앞두/VV+고/EC+도/JX
전용	전용/NNG
컬링장을	컬링장/NNG+을/JKO
빌리지	빌리/VV+지/EC
못해	못하/VX+아/EC
이천	이천/NNP
장애인종합훈련원	장애인/NNG+종합/NNG+훈련원/NNG
수영장에	수영장/NNG+에/JKB
특설	특설/NNG
만들어	만들/VV+어/EC
훈련했다.	훈련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.96.5.1
김우택 감독은 “우리가 세계 순위 4위라고 누누이 말했는데도 이제 와서 새삼 관심을 보이는 것이 4강보다 더 큰 성과”라며 “이제 우리의 목표는 결승 진출이 아니라 금메달”이라고 당차게 말했다.

김우택	김우택/NNP
감독은	감독/NNG+은/JX
“우리가	“/SS+우리/NP+가/JKS
세계	세계/NNG
순위	순위/NNG
4위라고	4/SN+위/NNB+이/VCP+라고/EC
누누이	누누이/MAG
말했는데도	말/NNG+하/XSV+았/EP+는데/EC+도/JX
이제	이제/MAG
와서	오/VV+아서/EC
새삼	새삼/MAG
관심을	관심/NNG+을/JKO
보이는	보이/VV+는/ETM
것이	것/NNB+이/JKS
4강보다	4/SN+강/NNB+보다/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
성과”라며	성과/NNG+”/SS+이/VCP+라며/EC
“이제	“/SS+이제/MAG
우리의	우리/NP+의/JKG
목표는	목표/NNG+는/JX
결승	결승/NNG
진출이	진출/NNG+이/JKC
아니라	아니/VCN+라/EC
금메달”이라고	금메달/NNG+”/SS+이라고/JKQ
당차게	당차/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


