# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.385
metadata : {}


# id : NWRW1800000046.385.1.1
朴대통령 訪中에 경제사절단 대거 동행

朴대통령	朴/SH+대통령/NNG
중견·중소기업	중견/NNG+·/SP+중소기업/NNG
대표단은	대표단/NNG+은/JX
105개	105/SN+개/NNB
사로	사/NNG+로/JKB
전체의	전체/NNG+의/JKG
82.2%를	82/SN+./SP+2/SN+%/SW+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.385.4.4
특히 바이오·의료, 정보기술, 환경, 안보 분야 등 신산업 분야에서 중국 진출을 모색하는 기업이 다수 참여할 것으로 알려졌다.

특히	특히/MAG
바이오·의료,	바이오/NNG+·/SP+의료/NNG+,/SP
정보기술,	정보/NNG+기술/NNG+,/SP
환경,	환경/NNG+,/SP
안보	안보/NNG
분야	분야/NNG
등	등/NNB
신산업	신/XPN+산업/NNG
분야에서	분야/NNG+에서/JKB
중국	중국/NNP
진출을	진출/NNG+을/JKO
모색하는	모색/NNG+하/XSV+는/ETM
기업이	기업/NNG+이/JKS
다수	다수/NNG
참여할	참여/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.385.4.5
이외에 경제 단체 및 협회에서 21명, 공공기관 및 연구소에서 7명이 참석한다.

이외에	이외/NNG+에/JKB
경제	경제/NNG
단체	단체/NNG
및	및/MAG
협회에서	협회/NNG+에서/JKB
21명,	21/SN+명/NNB+,/SP
공공기관	공공/NNG+기관/NNG
연구소에서	연구소/NNG+에서/JKB
7명이	7/SN+명/NNB+이/JKS
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.385.5.1
경제 사절단에 참여한 기업들은 4일 상하이 셰러턴호텔에서 열리는 한·중 비즈니스포럼에서 현지 기업과 1대1 상담회를 갖는다.

경제	경제/NNG
사절단에	사절단/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
기업들은	기업/NNG+들/XSN+은/JX
4일	4/SN+일/NNB
상하이	상하이/NNP
셰러턴호텔에서	셰러턴호텔/NNP+에서/JKB
열리는	열리/VV+는/ETM
한·중	한·중/NNP
비즈니스포럼에서	비즈니스/NNG+포럼/NNG+에서/JKB
현지	현지/NNG
기업과	기업/NNG+과/JKB
1대1	1/SN+대/NNB+1/SN
상담회를	상담회/NNG+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000046.385.5.2
또 현지에서 자체 마케팅 활동도 벌일 것으로 전해졌다.

또	또/MAG
현지에서	현지/NNG+에서/JKB
자체	자체/NNG
마케팅	마케팅/NNG
활동도	활동/NNG+도/JX
벌일	벌이/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.385.5.3
정부는 우리 기업들이 중국 기업들과 실질적인 사업 연계망을 구축할 수 있도록 지원하겠다는 방침이다.

정부는	정부/NNG+는/JX
우리	우리/NP
기업들이	기업/NNG+들/XSN+이/JKS
중국	중국/NNP
기업들과	기업/NNG+들/XSN+과/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
사업	사업/NNG
연계망을	연계망/NNG+을/JKO
구축할	구축/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원하겠다는	지원/NNG+하/XSV+겠/EP+다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.385.6.1
안종범 경제수석은 브리핑에서 현재 국회에 계류 중인 한·중 FTA 비준 동의안과 관련, "중국에선 9월 중 비준이 완료될 예정"이라며 "우리가 얻을 것이 더 많기 때문에 하루빨리 비준되는 것이 절대적으로 유리하다"고 말했다.

안종범	안종범/NNP
경제수석은	경제/NNG+수석/NNG+은/JX
브리핑에서	브리핑/NNG+에서/JKB
현재	현재/MAG
국회에	국회/NNG+에/JKB
계류	계류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
한·중	한·중/NNP
FTA	FTA/SL
비준	비준/NNG
동의안과	동의안/NNG+과/JKB
관련,	관련/NNG+,/SP
"중국에선	"/SS+중국/NNP+에서/JKB+ㄴ/JX
9월	9/SN+월/NNB
중	중/NNB
비준이	비준/NNG+이/JKS
완료될	완료/NNG+되/XSV+ㄹ/ETM
예정"이라며	예정/NNG+"/SS+이/VCP+라며/EC
"우리가	"/SS+우리/NP+가/JKS
얻을	얻/VV+을/ETM
것이	것/NNB+이/JKS
더	더/MAG
많기	많/VA+기/ETN
때문에	때문/NNB+에/JKB
하루빨리	하루빨리/MAG
비준되는	비준/NNG+되/XSV+는/ETM
절대적으로	절대/NNG+적/XSN+으로/JKB
유리하다"고	유리/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.385.7.1
안 수석은 "국산 전기밥솥이 중국에서 인기인데, (FTA 발효 시) 10년간 15%의 관세가 철폐된다"고도 했다.

안	안/NNP
수석은	수석/NNG+은/JX
"국산	"/SS+국산/NNG
전기밥솥이	전기밥솥/NNG+이/JKS
중국에서	중국/NNP+에서/JKB
인기인데,	인기/NNG+이/VCP+ㄴ데/EC+,/SP
(FTA	(/SS+FTA/SL
발효	발효/NNG
시)	시/NNB+)/SS
10년간	10/SN+년/NNB+간/XSN
15%의	15/SN+%/SW+의/JKG
관세가	관세/NNG+가/JKS
철폐된다"고도	철폐/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.385.7.2
안 수석은 또 "만약 FTA가 내년에야 발효된다면 FTA 1년 차 무역 효과인 27억달러(수출 13억5000만달러·수입 13억4000만달러) 증가 기회를 상실하게 된다. 비준이 하루만 늦어져도 매일 40억원씩 손해를 보는 셈"이라고 말했다.

안	안/NNP
수석은	수석/NNG+은/JX
또	또/MAG
"만약	"/SS+만약/MAG
FTA가	FTA/SL+가/JKS
내년에야	내년/NNG+에/JKB+야/JX
발효된다면	발효/NNG+되/XSV+ㄴ다면/EC
FTA	FTA/SL
1년	1/SN+년/NNB
차	차/NNB
무역	무역/NNG
효과인	효과/NNG+이/VCP+ㄴ/ETM
27억달러(수출	27/SN+억/NR+달러/NNB+(/SS+수출/NNG
13억5000만달러·수입	13/SN+억/NR+5000/SN+만/NR+달러/NNB+·/SP+수입/NNG
13억4000만달러)	13/SN+억/NR+4000/SN+만/NR+달러/NNB+)/SS
증가	증가/NNG
기회를	기회/NNG+를/JKO
상실하게	상실/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF
비준이	비준/NNG+이/JKS
하루만	하루/NNG+만/JX
늦어져도	늦어지/VV+어도/EC
매일	매일/MAG
40억원씩	40/SN+억/NR+원/NNB+씩/XSN
손해를	손해/NNG+를/JKO
보는	보/VV+는/ETM
셈"이라고	셈/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.385.8.1
청와대는 이번 방중을 계기로 경제 분야에서 ▲로봇·보건의료·문화·환경·금융·인프라 등 신산업 분야로의 협력 다변화 ▲중국 주도 국제금융기구인 아시아인프라투자은행(AIIB)을 통한 인프라 협력 논의 ▲양국 금융시장 안정화 및 발전 방향 협의 등의 성과가 기대된다고 밝혔다.

청와대는	청와대/NNP+는/JX
이번	이번/NNG
방중을	방중/NNG+을/JKO
계기로	계기/NNG+로/JKB
경제	경제/NNG
분야에서	분야/NNG+에서/JKB
▲로봇·보건의료·문화·환경·금융·인프라	▲/SW+로봇/NNG+·/SP+보건/NNG+의료/NNG+·/SP+문화/NNG+·/SP+환경/NNG+·/SP+금융/NNG+·/SP+인프라/NNG
등	등/NNB
신산업	신/XPN+산업/NNG
분야로의	분야/NNG+로/JKB+의/JKG
협력	협력/NNG
다변화	다변/NNG+화/XSN
▲중국	▲/SW+중국/NNP
주도	주도/NNG
국제금융기구인	국제/NNG+금융/NNG+기구/NNG+이/VCP+ㄴ/ETM
아시아인프라투자은행(AIIB)을	아시아인프라투자은행/NNP+(/SS+AIIB/SL+)/SS+을/JKO
통한	통하/VV+ㄴ/ETM
인프라	인프라/NNG
논의	논의/NNG
▲양국	▲/SW+양국/NNG
금융시장	금융/NNG+시장/NNG
안정화	안정/NNG+화/XSN
및	및/MAG
발전	발전/NNG
방향	방향/NNG
협의	협의/NNG
등의	등/NNB+의/JKG
성과가	성과/NNG+가/JKS
기대된다고	기대/NNG+되/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.385.9.1
청와대는 또 이날 "박 대통령 취임 이후 세일즈 정상 외교 성과를 집계한 결과 중동과 중앙아시아 등 주요 신흥 시장에서 675억달러 규모의 대형 프로젝트를 수주했다"고 했다.

청와대는	청와대/NNP+는/JX
또	또/MAG
이날	이날/NNG
"박	"/SS+박/NNP
대통령	대통령/NNG
취임	취임/NNG
이후	이후/NNG
세일즈	세일즈/NNG
정상	정상/NNG
외교	외교/NNG
성과를	성과/NNG+를/JKO
집계한	집계/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
중동과	중동/NNP+과/JC
중앙아시아	중앙아시아/NNP
등	등/NNB
주요	주요/NNG
신흥	신흥/NNG
시장에서	시장/NNG+에서/JKB
675억달러	675/SN+억/NR+달러/NNB
규모의	규모/NNG+의/JKG
대형	대형/NNG
프로젝트를	프로젝트/NNG+를/JKO
수주했다"고	수주/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


