# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.54
metadata : {}


# id : NWRW1800000049.54.1.1
시진핑 위협하는 ‘태상왕 장쩌민’

시진핑	시진핑/NNP
이렇게 해야 한다”고 간섭할 정도의 힘은 남아 있는 것으로 보고 있다.

이렇게	이렇/VA+게/EC
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
간섭할	간섭/NNG+하/XSV+ㄹ/ETM
정도의	정도/NNG+의/JKG
힘은	힘/NNG+은/JX
남아	남/VV+아/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.54.6.1
군부 장악을 통해 영구 집권 가능성까지 제기되는 시 주석에게 장 전 주석은 견제해야 할 대상이다.

군부	군부/NNG
장악을	장악/NNG+을/JKO
통해	통하/VV+아/EC
영구	영구/NNG
집권	집권/NNG
가능성까지	가능/NNG+성/XSN+까지/JX
제기되는	제기/NNG+되/XSV+는/ETM
시	시/NNP
주석에게	주석/NNG+에게/JKB
장	장/NNP
전	전/MMD
주석은	주석/NNG+은/JX
견제해야	견제/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.54.6.2
지난해 8월 공산당 기관지 런민(人民)일보는 논평에서 은퇴한 당 간부 일부가 영향력을 행사하려고 한다며 맹비난했다.

지난해	지난해/NNG
8월	8/SN+월/NNB
공산당	공산당/NNP
기관지	기관지/NNG
런민(人民)일보는	런민/NNP+(/SS+人民/SH+)/SS+일보/NNG+는/JX
논평에서	논평/NNG+에서/JKB
은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
당	당/NNG
간부	간부/NNG
일부가	일부/NNG+가/JKS
영향력을	영향력/NNG+을/JKO
행사하려고	행사/NNG+하/XSV+려고/EC
한다며	하/VX+ㄴ다며/EC
맹비난했다.	맹비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.54.6.3
이는 시 주석의 공산당이 장 전 국가주석을 에둘러 비판한 것이라는 해석이 나왔다.

이는	이/NP+는/JX
시	시/NNP
주석의	주석/NNG+의/JKG
공산당이	공산당/NNP+이/JKS
장	장/NNP
전	전/MMD
국가주석을	국가주석/NNG+을/JKO
에둘러	에두르/VV+어/EC
비판한	비판/NNG+하/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
해석이	해석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.54.7.1
최근 폐막한 전현직 지도자들의 비밀회의인 베이다이허(北戴河) 회의 기간 시 주석은 대규모 인사 계획을 마무리했는데, 인사를 포함해 국가 중대사를 전임 지도자들에게 자문하는 관례를 이번에는 따르지 않은 것으로 알려졌다.

최근	최근/MAG
폐막한	폐막/NNG+하/XSV+ㄴ/ETM
전현직	전현직/NNG
지도자들의	지도자/NNG+들/XSN+의/JKG
비밀회의인	비밀회의/NNG+이/VCP+ㄴ/ETM
베이다이허(北戴河)	베이다이허/NNG+(/SS+北戴河/SH+)/SS
회의	회의/NNG
기간	기간/NNG
시	시/NNP
주석은	주석/NNG+은/JX
대규모	대/XPN+규모/NNG
인사	인사/NNG
계획을	계획/NNG+을/JKO
마무리했는데,	마무리/NNG+하/XSV+았/EP+는데/EC+,/SP
인사를	인사/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
국가	국가/NNG
중대사를	중대사/NNG+를/JKO
전임	전임/NNG
지도자들에게	지도자/NNG+들/XSN+에게/JKB
자문하는	자문/NNG+하/XSV+는/ETM
관례를	관례/NNG+를/JKO
이번에는	이번/NNG+에/JKB+는/JX
따르지	따르/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


