# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.356
metadata : {}


# id : NWRW1800000033.356.1.1
美의회 보고서 “日에 넘겨준건 시정권… 영유권과 무관”

美의회	美/SH+의회/NNG
# id : NWRW1800000033.356.4.2
CRS는 2010년에도 같은 내용을 담은 보고서를 발표했다.

CRS는	CRS/SL+는/JX
2010년에도	2010/SN+년/NNB+에/JKB+도/JX
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
보고서를	보고서/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.356.5.1
보고서에 따르면 미국은 1951년 샌프란시스코 강화조약에 따라 1953년부터 오키나와(沖繩) 제도 등 북위 29도 이남의 난세이(南西) 제도를 신탁통치하게 된다.

보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
미국은	미국/NNP+은/JX
1951년	1951/SN+년/NNB
샌프란시스코	샌프란시스코/NNP
강화조약에	강화/NNG+조약/NNG+에/JKB
따라	따르/VV+아/EC
1953년부터	1953/SN+년/NNB+부터/JX
오키나와(沖繩)	오키나와/NNP+(/SS+沖繩/SH+)/SS
제도	제도/NNG
등	등/NNB
북위	북위/NNG
29도	29/SN+도/NNB
이남의	이남/NNG+의/JKG
난세이(南西)	난세이/NNP+(/SS+南西/SH+)/SS
제도를	제도/NNG+를/JKO
신탁통치하게	신탁/NNG+통치/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.356.5.2
강화조약에는 센카쿠 열도에 대한 직접적인 언급은 없지만 미국은 1953년 미 군정령으로 센카쿠 열도를 난세이 제도에 포함시켰다.

강화조약에는	강화/NNG+조약/NNG+에/JKB+는/JX
센카쿠	센카쿠/NNP
열도에	열도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
언급은	언급/NNG+은/JX
없지만	없/VA+지만/EC
미국은	미국/NNP+은/JX
1953년	1953/SN+년/NNB
미	미/NNP
군정령으로	군정령/NNG+으로/JKB
열도를	열도/NNG+를/JKO
난세이	난세이/NNP
제도에	제도/NNG+에/JKB
포함시켰다.	포함/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.356.5.3
미국은 이후 1971년 일본과 체결한 오키나와 반환협정에 따라 오키나와와 센카쿠 열도에 대한 시정권을 1972년 일본에 돌려줬다.

미국은	미국/NNP+은/JX
이후	이후/NNG
1971년	1971/SN+년/NNB
일본과	일본/NNP+과/JC
체결한	체결/NNG+하/XSV+ㄴ/ETM
오키나와	오키나와/NNP
반환협정에	반환/NNG+협정/NNG+에/JKB
따라	따르/VV+아/EC
오키나와와	오키나와/NNP+와/JC
센카쿠	센카쿠/NNP
열도에	열도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시정권을	시정/NNG+권/XSN+을/JKO
1972년	1972/SN+년/NNB
일본에	일본/NNP+에/JKB
돌려줬다.	돌려주/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.356.6.1
오키나와 반환협정 체결 당시 미 국무부는 ‘오키나와 반환협정이 센카쿠 영유권에 영향을 주느냐’는 의회의 질문에 “미국은 일본에 시정권을 넘겨주지만 일본과 중국 대만의 영유권 다툼에 대해 중립적인 입장을 취한다”고 답변했다.

오키나와	오키나와/NNP
반환협정	반환/NNG+협정/NNG
체결	체결/NNG
당시	당시/NNG
미	미/NNP
국무부는	국무부/NNG+는/JX
‘오키나와	‘/SS+오키나와/NNP
반환협정이	반환/NNG+협정/NNG+이/JKS
센카쿠	센카쿠/NNP
영유권에	영유/NNG+권/XSN+에/JKB
영향을	영향/NNG+을/JKO
주느냐’는	주/VV+느냐/EF+’/SS+는/ETM
의회의	의회/NNG+의/JKG
질문에	질문/NNG+에/JKB
“미국은	“/SS+미국/NNP+은/JX
일본에	일본/NNP+에/JKB
시정권을	시정/NNG+권/XSN+을/JKO
넘겨주지만	넘겨주/VV+지만/EC
일본과	일본/NNP+과/JC
중국	중국/NNP
대만의	대만/NNP+의/JKG
영유권	영유/NNG+권/XSN
다툼에	다툼/NNG+에/JKB
대해	대하/VV+아/EC
중립적인	중립/NNG+적/XSN+이/VCP+ㄴ/ETM
입장을	입장/NNG+을/JKO
취한다”고	취하/VV+ㄴ다/EF+”/SS+고/JKQ
답변했다.	답변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.356.6.2
윌리엄 로저스 당시 국무장관은 “반환 협정은 센카쿠 열도의 법적 지위에 전혀 영향을 끼치지 않는다”고 밝혔다.

윌리엄	윌리엄/NNP
로저스	로저스/NNP
당시	당시/NNG
국무장관은	국무/NNG+장관/NNG+은/JX
“반환	“/SS+반환/NNG
협정은	협정/NNG+은/JX
센카쿠	센카쿠/NNP
열도의	열도/NNG+의/JKG
법적	법/NNG+적/XSN
지위에	지위/NNG+에/JKB
전혀	전혀/MAG
영향을	영향/NNG+을/JKO
끼치지	끼치/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.356.6.3
로버트 스타 미 국무부 법률자문관은 의회에 보낸 서한에서 “미국은 일본이 이 섬에 대한 시정권을 우리에게 넘기기 전 가졌던 법적 권한을 늘릴 수도 없고, 이 섬을 돌려주면서 영유권을 주장하는 다른 나라들의 권리를 줄일 수도 없다”고 답했다.

로버트	로버트/NNP
스타	스타/NNG
미	미/NNP
국무부	국무부/NNG
법률자문관은	법률/NNG+자문관/NNG+은/JX
의회에	의회/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
서한에서	서한/NNG+에서/JKB
“미국은	“/SS+미국/NNP+은/JX
일본이	일본/NNP+이/JKS
이	이/MMD
섬에	섬/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시정권을	시정/NNG+권/XSN+을/JKO
우리에게	우리/NP+에게/JKB
넘기기	넘기/VV+기/ETN
전	전/NNG
가졌던	가지/VV+었/EP+던/ETM
법적	법/NNG+적/XSN
권한을	권한/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
수도	수/NNB+도/JX
없고,	없/VA+고/EC+,/SP
섬을	섬/NNG+을/JKO
돌려주면서	돌려주/VV+면서/EC
영유권을	영유/NNG+권/XSN+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
다른	다른/MMD
나라들의	나라/NNG+들/XSN+의/JKG
권리를	권리/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
없다”고	없/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.356.7.1
오키나와 반환협정은 센카쿠 열도는 물론이고 오키나와 본섬에 대해서도 ‘행정·입법·사법권을 일본에 넘겨준다’고 규정돼 있다.

오키나와	오키나와/NNP
반환협정은	반환/NNG+협정/NNG+은/JX
센카쿠	센카쿠/NNP
열도는	열도/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
본섬에	본섬/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
‘행정·입법·사법권을	‘/SS+행정/NNG+·/SP+입법/NNG+·/SP+사법/NNG+권/XSN+을/JKO
일본에	일본/NNP+에/JKB
넘겨준다’고	넘겨주/VV+ㄴ다/EF+’/SS+고/JKQ
규정돼	규정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.356.7.2
영유권이 아니라 시정권을 반환한다는 의미다.

영유권이	영유/NNG+권/XSN+이/JKS
아니라	아니/VCN+라/EC
시정권을	시정/NNG+권/XSN+을/JKO
반환한다는	반환/NNG+하/XSV+ㄴ다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.356.7.3
이에 대해 일본 외무성 관계자는 “오키나와는 원래 일본의 영토로 샌프란시스코 강화조약에서 미국이 영유권이 아니라 시정권만 위임받았던 만큼 이를 돌려받은 것”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
일본	일본/NNP
외무성	외무성/NNG
관계자는	관계자/NNG+는/JX
“오키나와는	“/SS+오키나와/NNP+는/JX
원래	원래/MAG
일본의	일본/NNP+의/JKG
영토로	영토/NNG+로/JKB
샌프란시스코	샌프란시스코/NNP
강화조약에서	강화/NNG+조약/NNG+에서/JKB
미국이	미국/NNP+이/JKS
영유권이	영유/NNG+권/XSN+이/JKS
아니라	아니/VCN+라/EC
시정권만	시정/NNG+권/XSN+만/JX
위임받았던	위임/NNG+받/XSV+았/EP+던/ETM
만큼	만큼/NNB
이를	이/NP+를/JKO
돌려받은	돌려받/VV+은/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.356.7.4
하지만 중국 학자들은 1945년 7월 포츠담선언 제8조 보충규정에 따라 일본은 대만은 물론이고 류큐(琉球) 제도(현 일본의 오키나와)도 중국에 반환하도록 돼 있다고 주장하고 있다.

하지만	하지만/MAJ
중국	중국/NNP
학자들은	학자/NNG+들/XSN+은/JX
1945년	1945/SN+년/NNB
7월	7/SN+월/NNB
포츠담선언	포츠담/NNP+선언/NNG
제8조	제/XPN+8/SN+조/NNB
보충규정에	보충/NNG+규정/NNG+에/JKB
따라	따르/VV+아/EC
일본은	일본/NNP+은/JX
대만은	대만/NNP+은/JX
물론이고	물론/NNG+이/VCP+고/EC
류큐(琉球)	류큐/NNP+(/SS+琉球/SH+)/SS
제도(현	제도/NNG+(/SS+현/MMD
일본의	일본/NNP+의/JKG
오키나와)도	오키나와/NNP+)/SS+도/JX
중국에	중국/NNP+에/JKB
반환하도록	반환/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다고	있/VX+다고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.356.8.1
일본 언론은 미 정부가 시정권에 근거해 센카쿠를 미일 안보조약 적용 대상으로 인정하고 있으나 적극적이지 않다고 보고 있다.

일본	일본/NNP
언론은	언론/NNG+은/JX
미	미/NNP
정부가	정부/NNG+가/JKS
시정권에	시정/NNG+권/XSN+에/JKB
근거해	근거/NNG+하/XSV+아/EC
센카쿠를	센카쿠/NNP+를/JKO
미일	미일/NNP
안보조약	안보/NNG+조약/NNG
적용	적용/NNG
대상으로	대상/NNG+으로/JKB
인정하고	인정/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
적극적이지	적극/NNG+적/XSN+이/VCP+지/EC
않다고	않/VX+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.356.8.2
아사히신문은 최근 기사에서 “미국이 오키나와 반환협정 당시 센카쿠 영유권에 대해 명확한 입장을 취하지 않은 것은 공산진영에 대한 방파제로 대만도 중요했기 때문이다.

아사히신문은	아사히신문/NNP+은/JX
최근	최근/MAG
기사에서	기사/NNG+에서/JKB
“미국이	“/SS+미국/NNP+이/JKS
오키나와	오키나와/NNP
반환협정	반환/NNG+협정/NNG
당시	당시/NNG
센카쿠	센카쿠/NNP
영유권에	영유/NNG+권/XSN+에/JKB
대해	대하/VV+아/EC
명확한	명확하/VA+ㄴ/ETM
입장을	입장/NNG+을/JKO
취하지	취하/VV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
공산진영에	공산/NNG+진영/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
방파제로	방파제/NNG+로/JKB
대만도	대만/NNP+도/JX
중요했기	중요/NNG+하/XSA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.356.8.3
아울러 미국은 옛 소련과 반목이 심해지고 있던 중국과의 국교 정상화도 시야에 넣고 있었다”고 분석했다.

아울러	아울러/MAG
미국은	미국/NNP+은/JX
옛	옛/MMA
소련과	소련/NNP+과/JC
반목이	반목/NNG+이/JKS
심해지고	심하/VA+아/EC+지/VX+고/EC
있던	있/VX+던/ETM
중국과의	중국/NNP+과/JKB+의/JKG
국교	국교/NNG
정상화도	정상/NNG+화/XSN+도/JX
시야에	시야/NNG+에/JKB
넣고	넣/VV+고/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.356.8.4
이와 함께 “미국은 어떤 때건 자국의 국익을 최대한 강구했고, 이 정책이 분쟁의 불씨를 남겼다”고 지적했다.

이와	이/NP+와/JKB
함께	함께/MAG
“미국은	“/SS+미국/NNP+은/JX
어떤	어떤/MMD
때건	때/NNG+이/VCP+건/EC
자국의	자국/NNG+의/JKG
국익을	국익/NNG+을/JKO
최대한	최대한/MAG
강구했고,	강구/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/MMD
정책이	정책/NNG+이/JKS
분쟁의	분쟁/NNG+의/JKG
불씨를	불씨/NNG+를/JKO
남겼다”고	남기/VV+었/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


