# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.291
metadata : {}


# id : NWRW1800000040.291.1.1
판페르시 21호골…수아레스 1골차 추격

판페르시	판페르시/NNP
우승을	우승/NNG+을/JKO
확정한다.	확정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.291.4.5
맨시티는 이날 안방에서 카를로스 테베스의 후반 38분 결승골로 1-0으로 이겼으나 맨유와 승점은 13점 차.

맨시티는	맨시티/NNP+는/JX
이날	이날/NNG
안방에서	안방/NNG+에서/JKB
카를로스	카를로스/NNP
테베스의	테베스/NNP+의/JKG
후반	후반/NNG
38분	38/SN+분/NNB
결승골로	결승/NNG+골/NNG+로/JKB
1-0으로	1/SN+-/SO+0/SN+으로/JKB
이겼으나	이기/VV+었/EP+으나/EC
맨유와	맨유/NNP+와/JKB
승점은	승점/NNG+은/JX
13점	13/SN+점/NNB
차.	차/NNG+./SF


# id : NWRW1800000040.291.4.6
맨시티는 남은 6경기에서 다 이겨도 승점 86이 된다.

맨시티는	맨시티/NNP+는/JX
남은	남/VV+은/ETM
6경기에서	6/SN+경기/NNG+에서/JKB
다	다/MAG
이겨도	이기/VV+어도/EC
승점	승점/NNG
86이	86/SN+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.291.4.7
맨유로선 승점 6만 추가하면 맨시티의 추격을 따돌리게 된다.

맨유로선	맨유/NNP+로서/JKB+ㄴ/JX
승점	승점/NNG
6만	6/SN+만/NR
추가하면	추가/NNG+하/XSV+면/EC
맨시티의	맨시티/NNP+의/JKG
추격을	추격/NNG+을/JKO
따돌리게	따돌리/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.291.5.1
맨유는 이날 전반 16분 리카르도 바즈 테한테 먼저 골을 내주며 불안하게 출발했다.

맨유는	맨유/NNP+는/JX
이날	이날/NNG
전반	전반/NNG
16분	16/SN+분/NNB
리카르도	리카르도/NNP
바즈	바즈/NNP
테한테	테/NNP+한테/JKB
먼저	먼저/MAG
골을	골/NNG+을/JKO
내주며	내주/VV+며/EC
불안하게	불안/NNG+하/XSA+게/EC
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.291.5.2
하지만 전반 31분 안토니오 발렌시아의 골로 승부를 원점으로 돌렸다.

하지만	하지만/MAJ
전반	전반/NNG
31분	31/SN+분/NNB
안토니오	안토니오/NNP
발렌시아의	발렌시아/NNP+의/JKG
골로	골/NNG+로/JKB
승부를	승부/NNG+를/JKO
원점으로	원점/NNG+으로/JKB
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.291.5.3
가가와 신지의 측면 패스가 결정적 도움이었다.

가가와	가가와/NNP
신지의	신지/NNP+의/JKG
측면	측면/NNG
패스가	패스/NNG+가/JKS
결정적	결정/NNG+적/XSN
도움이었다.	도움/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.291.5.4
맨유는 후반 10분 웨스트햄의 모하메드 디아메에게 다시 골을 허용해 패배 위기에 몰렸다.

맨유는	맨유/NNP+는/JX
후반	후반/NNG
10분	10/SN+분/NNB
웨스트햄의	웨스트햄/NNP+의/JKG
모하메드	모하메드/NNP
디아메에게	디아메/NNP+에게/JKB
다시	다시/MAG
골을	골/NNG+을/JKO
허용해	허용/NNG+하/XSV+아/EC
패배	패배/NNG
위기에	위기/NNG+에/JKB
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.291.5.5
위기의 순간 해결사는 판페르시였다.

위기의	위기/NNG+의/JKG
순간	순간/NNG
해결사는	해결사/NNG+는/JX
판페르시였다.	판페르시/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.291.5.6
웨스트햄 문전에서 가가와 신지의 슈팅이 상대 수비수와 골포스트를 맞고 굴절된 순간, 판페르시가 이를 놓치지 않고 골로 연결했다.

웨스트햄	웨스트햄/NNP
문전에서	문전/NNG+에서/JKB
가가와	가가와/NNP
신지의	신지/NNP+의/JKG
슈팅이	슈팅/NNG+이/JKS
상대	상대/NNG
수비수와	수비수/NNG+와/JC
골포스트를	골포스트/NNG+를/JKO
맞고	맞/VV+고/EC
굴절된	굴절/NNG+되/XSV+ㄴ/ETM
순간,	순간/NNG+,/SP
판페르시가	판페르시/NNP+가/JKS
이를	이/NP+를/JKO
놓치지	놓치/VV+지/EC
않고	않/VX+고/EC
골로	골/NNG+로/JKB
연결했다.	연결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.291.6.1
판페르시는 2경기 연속골을 기록하며 리그 21골로, 득점 선두인 루이스 수아레스(22골·리버풀)에 1골 차로 따라붙었다.

판페르시는	판페르시/NNP+는/JX
2경기	2/SN+경기/NNG
연속골을	연속/NNG+골/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
리그	리그/NNG
21골로,	21/SN+골/NNG+로/JKB+,/SP
득점	득점/NNG
선두인	선두/NNG+이/VCP+ㄴ/ETM
루이스	루이스/NNP
수아레스(22골·리버풀)에	수아레스/NNP+(/SS+22/SN+골/NNG+·/SP+리버풀/NNP+)/SS+에/JKB
1골	1/SN+골/NNG
차로	차/NNG+로/JKB
따라붙었다.	따라붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.291.6.2
득점왕 경쟁은 앞으로 남은 5라운드에서 판가름난다.

득점왕	득점왕/NNG
경쟁은	경쟁/NNG+은/JX
앞으로	앞/NNG+으로/JKB
남은	남/VV+은/ETM
5라운드에서	5/SN+라운드/NNG+에서/JKB
판가름난다.	판가름/NNG+나/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.291.6.3
가레스 베일(토트넘)과 미추(스완지시티)가 17골로 공동 3위를 달리고 있다.

가레스	가레스/NNP
베일(토트넘)과	베일/NNP+(/SS+토트넘/NNP+)/SS+과/JC
미추(스완지시티)가	미추/NNP+(/SS+스완지시티/NNP+)/SS+가/JKS
17골로	17/SN+골/NNG+로/JKB
공동	공동/NNG
3위를	3/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


