# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.200
metadata : {}


# id : NWRW1800000029.200.1.1
故장자연 친필 추정 편지 23장 압수

故장자연	故/SH+장자연/NNP
경찰은 이 가운데 장 씨가 직접 써서 보낸 것으로 추정되는 편지와 편지봉투는 곧바로 밀봉한 뒤 국립과학수사연구원(국과수)으로 보내 필적 감정과 지문감식을 의뢰했다.

경찰은	경찰/NNG+은/JX
이	이/MMD
가운데	가운데/NNG
장	장/NNP
씨가	씨/NNB+가/JKS
직접	직접/MAG
써서	쓰/VV+어서/EC
보낸	보내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
편지와	편지/NNG+와/JC
편지봉투는	편지/NNG+봉투/NNG+는/JX
곧바로	곧바로/MAG
밀봉한	밀봉/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
국립과학수사연구원(국과수)으로	국립과학수사연구원/NNP+(/SS+국과수/NNP+)/SS+으로/JKB
보내	보내/VV+어/EC
필적	필적/NNG
감정과	감정/NNG+과/JC
지문감식을	지문/NNG+감식/NNG+을/JKO
의뢰했다.	의뢰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.200.5.1
경찰 관계자는 “그동안 확보했던 장 씨의 친필 문건 3개, 전 씨의 친필 문건 3개를 이날 압수한 편지와 함께 보내 긴급 감정을 의뢰했다”며 “통상 2주가 걸리지만 5∼7일이면 감정 결과가 나올 것으로 예상한다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“그동안	“/SS+그동안/NNG
확보했던	확보/NNG+하/XSV+았/EP+던/ETM
장	장/NNP
씨의	씨/NNB+의/JKG
친필	친필/NNG
문건	문건/NNG
3개,	3/SN+개/NNB+,/SP
전	전/NNP
3개를	3/SN+개/NNB+를/JKO
이날	이날/NNG
압수한	압수/NNG+하/XSV+ㄴ/ETM
편지와	편지/NNG+와/JKB
함께	함께/MAG
보내	보내/VV+어/EC
긴급	긴급/NNG
감정을	감정/NNG+을/JKO
의뢰했다”며	의뢰/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“통상	“/SS+통상/MAG
2주가	2/SN+주/NNB+가/JKS
걸리지만	걸리/VV+지만/EC
5∼7일이면	5/SN+∼/SO+7/SN+일/NNB+이/VCP+면/EC
감정	감정/NNG
결과가	결과/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상한다”고	예상/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.200.5.2
또 “압수한 편지는 전 씨가 장 씨로부터 받았다고 주장한 것으로 수기(手記)로 작성돼 있다”며 “편지봉투 20여 개 가운데 3, 4개 정도만 우체국 소인이 있다”고 말했다.

또	또/MAG
“압수한	“/SS+압수/NNG+하/XSV+ㄴ/ETM
편지는	편지/NNG+는/JX
전	전/NNP
씨가	씨/NNB+가/JKS
장	장/NNP
씨로부터	씨/NNB+로부터/JKB
받았다고	받/VV+았/EP+다고/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
수기(手記)로	수기/NNG+(/SS+手記/SH+)/SS+로/JKB
작성돼	작성/NNG+되/XSV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“편지봉투	“/SS+편지/NNG+봉투/NNG
20여	20/SN+여/XSN
개	개/NNB
가운데	가운데/NNG
3,	3/SN+,/SP
4개	4/SN+개/NNB
정도만	정도/NNG+만/JX
우체국	우체국/NNG
소인이	소인/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.200.6.1
신문 스크랩은 대부분 장 씨 사건과 관련한 내용들로 기사 상당수에 형광펜으로 표시돼 있는 것으로 확인됐다.

신문	신문/NNG
스크랩은	스크랩/NNG+은/JX
대부분	대/XPN+부분/NNG
장	장/NNP
씨	씨/NNB
사건과	사건/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
내용들로	내용/NNG+들/XSN+로/JKB
기사	기사/NNG
상당수에	상당수/NNG+에/JKB
형광펜으로	형광펜/NNG+으로/JKB
표시돼	표시/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.200.6.2
경찰은 전 씨가 교도소에서 우편으로 편지를 받았는지를 판단할 수 있는 근거가 될 편지봉투 발신지 및 우체국 소인 존재 여부에 대해서는 “압수하자마자 압수물품함에 넣고 밀봉해 확인하지 못했다”고 설명했다.

경찰은	경찰/NNG+은/JX
전	전/NNP
씨가	씨/NNB+가/JKS
교도소에서	교도소/NNG+에서/JKB
우편으로	우편/NNG+으로/JKB
편지를	편지/NNG+를/JKO
받았는지를	받/VV+았/EP+는지/EF+를/JKO
판단할	판단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
근거가	근거/NNG+가/JKC
될	되/VV+ㄹ/ETM
편지봉투	편지/NNG+봉투/NNG
발신지	발신지/NNG
및	및/MAG
우체국	우체국/NNG
소인	소인/NNG
존재	존재/NNG
여부에	여부/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“압수하자마자	“/SS+압수/NNG+하/XSV+자마자/EC
압수물품함에	압수/NNG+물품/NNG+함/NNG+에/JKB
넣고	넣/VV+고/EC
밀봉해	밀봉/NNG+하/XSV+아/EC
확인하지	확인/NNG+하/XSV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.200.7.1
경찰은 국과수 감정이 진행되는 동안 압수한 신문스크랩과 전 씨가 장 씨 사건 재판부인 수원지법 성남지원에 탄원서 형식으로 제출했던 50여 통의 편지사본을 비교 분석해 인용된 부분이 있는지 확인할 방침이다.

경찰은	경찰/NNG+은/JX
국과수	국과수/NNP
감정이	감정/NNG+이/JKS
진행되는	진행/NNG+되/XSV+는/ETM
동안	동안/NNG
압수한	압수/NNG+하/XSV+ㄴ/ETM
신문스크랩과	신문/NNG+스크랩/NNG+과/JC
전	전/NNP
씨가	씨/NNB+가/JKS
장	장/NNP
씨	씨/NNB
사건	사건/NNG
재판부인	재판부/NNG+이/VCP+ㄴ/ETM
수원지법	수원지법/NNP
성남지원에	성남지원/NNP+에/JKB
탄원서	탄원서/NNG
형식으로	형식/NNG+으로/JKB
제출했던	제출/NNG+하/XSV+았/EP+던/ETM
50여	50/SN+여/XSN
통의	통/NNB+의/JKG
편지사본을	편지/NNG+사본/NNG+을/JKO
비교	비교/NNG
분석해	분석/NNG+하/XSV+아/EC
인용된	인용/NNG+되/XSV+ㄴ/ETM
부분이	부분/NNG+이/JKS
있는지	있/VA+는지/EF
확인할	확인/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.200.7.2
경찰은 또 이날 프로파일러(범죄심리관) 1명을 광주교도소로 보내 전 씨를 상대로 심리상태 및 전 씨 주장의 진위를 분석했다.

경찰은	경찰/NNG+은/JX
또	또/MAG
이날	이날/NNG
프로파일러(범죄심리관)	프로파일러/NNG+(/SS+범죄/NNG+심리관/NNG+)/SS
1명을	1/SN+명/NNB+을/JKO
광주교도소로	광주교도소/NNP+로/JKB
보내	보내/VV+어/EC
전	전/NNP
씨를	씨/NNB+를/JKO
상대로	상대/NNG+로/JKB
심리상태	심리/NNG+상태/NNG
및	및/MAG
씨	씨/NNB
주장의	주장/NNG+의/JKG
진위를	진위/NNG+를/JKO
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.200.7.3
이와 함께 2009년 당시 이 사건을 수사했던 이명균 삼척경찰서장 등을 불러 이번 조사에 참여시켰다.

이와	이/NP+와/JKB
함께	함께/MAG
2009년	2009/SN+년/NNB
당시	당시/NNG
이	이/MMD
사건을	사건/NNG+을/JKO
수사했던	수사/NNG+하/XSV+았/EP+던/ETM
이명균	이명균/NNP
삼척경찰서장	삼척경찰서장/NNG
등을	등/NNB+을/JKO
불러	부르/VV+어/EC
이번	이번/NNG
조사에	조사/NNG+에/JKB
참여시켰다.	참여/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.200.7.4
경찰은 국과수 감정 결과 이 편지가 장 씨의 친필로 확인되면 편지 내용에 대한 사실을 확인한 뒤 재수사 여부를 결정할 방침이다.

경찰은	경찰/NNG+은/JX
국과수	국과수/NNP
감정	감정/NNG
결과	결과/NNG
이	이/MMD
편지가	편지/NNG+가/JKS
장	장/NNP
씨의	씨/NNB+의/JKG
친필로	친필/NNG+로/JKB
확인되면	확인/NNG+되/XSV+면/EC
편지	편지/NNG
내용에	내용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
재수사	재/XPN+수사/NNG
여부를	여부/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.200.8.1
한편 전 씨가 보낸 탄원서에 적혀 있는 장 씨 주민등록번호가 실제 번호와 일치하는 것으로 확인됐다.

한편	한편/MAG
전	전/NNP
씨가	씨/NNB+가/JKS
보낸	보내/VV+ㄴ/ETM
탄원서에	탄원서/NNG+에/JKB
적혀	적히/VV+어/EC
있는	있/VX+는/ETM
장	장/NNP
씨	씨/NNB
주민등록번호가	주민/NNG+등록/NNG+번호/NNG+가/JKS
실제	실제/NNG
번호와	번호/NNG+와/JKB
일치하는	일치/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.200.8.2
경찰은 2009년 수사 당시 장 씨와 전 씨가 일면식도 없는 만큼 수사 가치가 없다고 발표했다.

경찰은	경찰/NNG+은/JX
2009년	2009/SN+년/NNB
수사	수사/NNG
당시	당시/NNG
장	장/NNP
씨와	씨/NNB+와/JC
전	전/NNP
씨가	씨/NNB+가/JKS
일면식도	일면식/NNG+도/JX
없는	없/VA+는/ETM
만큼	만큼/NNB
가치가	가치/NNG+가/JKS
없다고	없/VA+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.200.8.3
하지만 전 씨가 장 씨 주민등록번호를 알고 있었던 것으로 판명된 만큼 두 사람이 가까운 사이였을 가능성도 배제할 수 없게 됐다.

하지만	하지만/MAJ
전	전/NNP
씨가	씨/NNB+가/JKS
장	장/NNP
씨	씨/NNB
주민등록번호를	주민/NNG+등록/NNG+번호/NNG+를/JKO
알고	알/VV+고/EC
있었던	있/VX+었/EP+던/ETM
것으로	것/NNB+으로/JKB
판명된	판명/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
두	두/MMN
사람이	사람/NNG+이/JKS
가까운	가깝/VA+ㄴ/ETM
사이였을	사이/NNG+이/VCP+었/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


