# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.340
metadata : {}


# id : NWRW1800000054.340.1.1
손학규, 국민의당에 이달 중 합류할 듯

손학규,	손학규/NNP+,/SP
입당을	입당/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
'문재인	'/SS+문재인/NNP
대세론'을	대세/NNG+론/XSN+'/SS+을/JKO
꺾으려면	꺾/VV+으려면/EC
정운찬	정운찬/NNP
국무총리	국무총리/NNG
등의	등/NNB+의/JKG
세력까지	세력/NNG+까지/JX
합쳐	합치/VV+어/EC
시너지를	시너지/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
큰	크/VA+ㄴ/ETM
그림을	그림/NNG+을/JKO
그려야	그리/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.340.4.6
최근 안철수 국민의당 의원과 만나 연대에 뜻을 같이한 정운찬 전 국무총리는 본지 통화에서 "일단은 자강(自强)을 하다가 '동반성장' 가치 구현 세력과 연대하겠다"고만 했다.

최근	최근/MAG
안철수	안철수/NNP
국민의당	국민의당/NNP
의원과	의원/NNG+과/JKB
만나	만나/VV+아/EC
연대에	연대/NNG+에/JKB
뜻을	뜻/NNG+을/JKO
같이한	같이/MAG+하/XSV+ㄴ/ETM
정운찬	정운찬/NNP
전	전/MMD
국무총리는	국무총리/NNG+는/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"일단은	"/SS+일단/MAG+은/JX
자강(自强)을	자강/NNG+(/SS+自强/SH+)/SS+을/JKO
하다가	하/VV+다가/EC
'동반성장'	'/SS+동반/NNG+성장/NNG+'/SS
가치	가치/NNG
구현	구현/NNG
세력과	세력/NNG+과/JKB
연대하겠다"고만	연대/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ+만/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.340.4.7
다만 정 전 총리 측근은 "지금으로선 국민의당 합류가 가장 유력하지만 확정된 것은 없다"고 했다.

다만	다만/MAG
정	정/NNP
전	전/MMD
총리	총리/NNG
측근은	측근/NNG+은/JX
"지금으로선	"/SS+지금/NNG+으로서/JKB+ㄴ/JX
국민의당	국민의당/NNP
합류가	합류/NNG+가/JKS
가장	가장/MAG
유력하지만	유력/NNG+하/XSA+지만/EC
확정된	확정/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.340.5.1
이에 국민의당은 6일 최고위원회의와 7일 의원총회에서 손 전 대표와 정 전 총리 등의 합류 문제를 논의하기로 했다.

이에	이/NP+에/JKB
국민의당은	국민의당/NNP+은/JX
6일	6/SN+일/NNB
최고위원회의와	최고/NNG+위원/NNG+회의/NNG+와/JC
7일	7/SN+일/NNB
의원총회에서	의원/NNG+총회/NNG+에서/JKB
손	손/NNP
전	전/MMD
대표와	대표/NNG+와/JC
정	정/NNP
총리	총리/NNG
등의	등/NNB+의/JKG
합류	합류/NNG
문제를	문제/NNG+를/JKO
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.340.5.2
당 관계자는 "일부 의원은 '안철수당'이란 비판을 없애기 위해 이번 기회에 당명까지 바꾸자는 주장도 하는 반면 지분 나눠먹기식의 통합은 구정치라는 의견도 있다"고 했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
"일부	"/SS+일부/NNG
의원은	의원/NNG+은/JX
'안철수당'이란	'/SS+안철수/NNP+당/NNG+'/SS+이/VCP+란/ETM
비판을	비판/NNG+을/JKO
없애기	없애/VV+기/ETN
위해	위하/VV+아/EC
이번	이번/NNG
기회에	기회/NNG+에/JKB
당명까지	당명/NNG+까지/JX
바꾸자는	바꾸/VV+자는/ETM
주장도	주장/NNG+도/JX
하는	하/VV+는/ETM
반면	반면/NNG
지분	지분/NNG
나눠먹기식의	나누/VV+어/EC+먹/VV+기/ETN+식/NNB+의/JKG
통합은	통합/NNG+은/JX
구정치라는	구/XPN+정치/NNG+이/VCP+라는/ETM
의견도	의견/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


