# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.170
metadata : {}


# id : NWRW1800000022.170.1.1
[수도권Ⅲ] 용인 "노인이 살기 편한 곳 만들겠다";복지관 잇달아 개설… 곳곳에 게이트볼장 조성

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.3.5
이곳에선 치매중풍주간보호실, 진료실, 물리치료실, 교육실 등이 들어서고 바둑, 당구 등을 즐길 수 있는 공간도 마련된다.

이곳에선	이곳/NP+에서/JKB+ㄴ/JX
치매중풍주간보호실,	치매/NNG+중풍/NNG+주간/NNG+보호실/NNG+,/SP
진료실,	진료실/NNG+,/SP
물리치료실,	물리/NNG+치료실/NNG+,/SP
교육실	교육실/NNG
등이	등/NNB+이/JKS
들어서고	들어서/VV+고/EC
바둑,	바둑/NNG+,/SP
당구	당구/NNG
등을	등/NNB+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간도	공간/NNG+도/JX
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.3.6
수지구 풍덕천동 수지문화복지종합청사 내에도 1786㎡ 규모의 노인복지관이 내년에 생긴다.

수지구	수지구/NNP
풍덕천동	풍덕천동/NNP
수지문화복지종합청사	수지문화복지종합청사/NNP
내에도	내/NNB+에/JKB+도/JX
1786㎡	1786/SN+㎡/SW
규모의	규모/NNG+의/JKG
노인복지관이	노인/NNG+복지관/NNG+이/JKS
내년에	내년/NNG+에/JKB
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.4.1
노인을 위한 요양센터는 올해 3개 확충된다.

노인을	노인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
요양센터는	요양/NNG+센터/NNG+는/JX
올해	올해/NNG
3개	3/SN+개/NNB
확충된다.	확충/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.4.2
오는 14일엔 처인구 양지면 주북리에 노인요양시설 '온누리요양센터'가 문을 연다.

오는	오/VV+는/ETM
14일엔	14/SN+일/NNB+에/JKB+ㄴ/JX
처인구	처인구/NNP
양지면	양지면/NNP
주북리에	주북리/NNP+에/JKB
노인요양시설	노인/NNG+요양/NNG+시설/NNG
'온누리요양센터'가	'/SS+온누리요양센터/NNP+'/SS+가/JKS
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.4.3
경증 치매, 중풍 질환을 앓고 있는 65세 노인 60여명을 수용하는 시설로 저렴한 비용으로 재활치료와 간병서비스를 받을 수 있다.

경증	경증/NNG
치매,	치매/NNG+,/SP
중풍	중풍/NNG
질환을	질환/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
65세	65/SN+세/NNB
노인	노인/NNG
60여명을	60/SN+여/XSN+명/NNB+을/JKO
수용하는	수용/NNG+하/XSV+는/ETM
시설로	시설/NNG+로/JKB
저렴한	저렴하/VA+ㄴ/ETM
비용으로	비용/NNG+으로/JKB
재활치료와	재활/NNG+치료/NNG+와/JC
간병서비스를	간병/NNG+서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.170.4.4
또 '즐거운 우리집'이 운영하는 요양센터도 양지면 주북리에 연면적 1564㎡, 지상 4층, 66개 병상 규모로 올해 말 들어선다.

또	또/MAG
'즐거운	'/SS+즐겁/VA+ㄴ/ETM
우리집'이	우리/NP+집/NNG+'/SS+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
요양센터도	요양/NNG+센터/NNG+도/JX
양지면	양지면/NNP
주북리에	주북리/NNP+에/JKB
연면적	연면적/NNG
1564㎡,	1564/SN+㎡/SW+,/SP
지상	지상/NNG
4층,	4/SN+층/NNG+,/SP
66개	66/SN+개/NNB
병상	병상/NNG
규모로	규모/NNG+로/JKB
올해	올해/NNG
말	말/NNB
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.4.5
처인구 백암면에도 올래 말 연꽃마을이 운영하는 요양센터가 생긴다.

처인구	처인구/NNP
백암면에도	백암면/NNP+에/JKB+도/JX
올래	올래/NNG
말	말/NNB
연꽃마을이	연꽃마을/NNP+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
요양센터가	요양/NNG+센터/NNG+가/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.4.6
연면적 2459㎡에 단기보호병상 20개, 100여개 병상 규모.

연면적	연면적/NNG
2459㎡에	2459/SN+㎡/SW+에/JKB
단기보호병상	단기/NNG+보호/NNG+병상/NNG
20개,	20/SN+개/NNB+,/SP
100여개	100/SN+여/XSN+개/NNB
병상	병상/NNG
규모.	규모/NNG+./SF


# id : NWRW1800000022.170.4.7
안병렬 가족여성과장은 이들 요양센터에 대해 "용인시에 사는 노인은 물론 인근 지역 노인들까지 싼값에 이용할 수 있는 요양시설"이라고 말했다.

안병렬	안병렬/NNP
가족여성과장은	가족/NNG+여성과장/NNG+은/JX
이들	이/NP+들/XSN
요양센터에	요양/NNG+센터/NNG+에/JKB
대해	대하/VV+아/EC
"용인시에	"/SS+용인시/NNP+에/JKB
사는	살/VV+는/ETM
노인은	노인/NNG+은/JX
물론	물론/MAG
인근	인근/NNG
지역	지역/NNG
노인들까지	노인/NNG+들/XSN+까지/JX
싼값에	싼값/NNG+에/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
요양시설"이라고	요양/NNG+시설/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.170.5.1
용인시는 노인 건강 증진을 위해 생활체육 시설에도 29억원을 들인다.

용인시는	용인시/NNP+는/JX
노인	노인/NNG
건강	건강/NNG
증진을	증진/NNG+을/JKO
위해	위하/VV+아/EC
생활체육	생활/NNG+체육/NNG
시설에도	시설/NNG+에/JKB+도/JX
29억원을	29/SN+억/NR+원/NNB+을/JKO
들인다.	들이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.5.2
특히 어르신들의 스포츠로 자리 잡은 게이트볼장이 내년 말 새로 생긴다.

특히	특히/MAG
어르신들의	어르신/NNG+들/XSN+의/JKG
스포츠로	스포츠/NNG+로/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
게이트볼장이	게이트볼장/NNG+이/JKS
내년	내년/NNG
말	말/NNB
새로	새로/MAG
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.5.3
수지구 동천동, 기흥구 구갈동, 기흥구 상하동, 처인구 마평동 종합운동장에 각각 게이트볼장이 새로 문을 연다.

수지구	수지구/NNP
동천동,	동천동/NNP+,/SP
기흥구	기흥구/NNP
구갈동,	구갈동/NNP+,/SP
상하동,	상하동/NNP+,/SP
처인구	처인구/NNP
마평동	마평동/NNP
종합운동장에	종합/NNG+운동장/NNP+에/JKB
각각	각각/MAG
게이트볼장이	게이트볼장/NNG+이/JKS
새로	새로/MAG
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.5.4
또 기흥구 구갈동 구갈레스피아와 수지구 죽전동 수지레스피아에도 게이트볼장이 조성된다.

또	또/MAG
기흥구	기흥구/NNP
구갈동	구갈동/NNP
구갈레스피아와	구갈레스피아/NNP+와/JC
수지구	수지구/NNP
죽전동	죽전동/NNP
수지레스피아에도	수지레스피아/NNP+에/JKB+도/JX
게이트볼장이	게이트볼장/NNG+이/JKS
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.170.5.5
서정석 용인시장은 "용인을 어르신들이 살기 좋은 도시로 만들겠다"라며 "용인시는 2007년 정부합동평가결과 노인복지사업부문 우수 시군으로 선정됐다"라고 말했다.

서정석	서정석/NNP
용인시장은	용인시장/NNG+은/JX
"용인을	"/SS+용인/NNP+을/JKO
어르신들이	어르신/NNG+들/XSN+이/JKS
살기	살/VV+기/ETN
좋은	좋/VA+은/ETM
도시로	도시/NNG+로/JKB
만들겠다"라며	만들/VV+겠/EP+다/EF+"/SS+이/VCP+라며/EC
"용인시는	"/SS+용인시/NNP+는/JX
2007년	2007/SN+년/NNB
정부합동평가결과	정부/NNG+합동/NNG+평가/NNG+결과/NNG
노인복지사업부문	노인/NNG+복지/NNG+사업/NNG+부문/NNG
우수	우수/NNG
시군으로	시군/NNG+으로/JKB
선정됐다"라고	선정/NNG+되/XSV+었/EP+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


