# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.414
metadata : {}


# id : NWRW1800000038.414.1.1
'대화 재개론' 동시에 꺼낸 황우여·김한길

'대화	'/SS+대화/NNG
것인	것/NNB+이/VCP+ㄴ/ETM
만큼	만큼/NNB
양당	양당/NNG
간	간/NNB
대화가	대화/NNG+가/JKS
중심이	중심/NNG+이/JKC
돼야	되/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.414.4.4
황 대표는 "3자 회담에서 민주당이 요구한 국회 내 국정원 개혁특위 설치와 대통령 사과 문제를 제외하면 양당 간 큰 이견은 없었다"고 했다.

황	황/NNP
대표는	대표/NNG+는/JX
"3자	"/SS+3/SN+자/NNB
회담에서	회담/NNG+에서/JKB
민주당이	민주당/NNP+이/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
국회	국회/NNG
내	내/NNB
국정원	국정원/NNG
개혁특위	개혁/NNG+특위/NNG
설치와	설치/NNG+와/JC
대통령	대통령/NNG
사과	사과/NNG
문제를	문제/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
양당	양당/NNG
간	간/NNB
큰	크/VA+ㄴ/ETM
이견은	이견/NNG+은/JX
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.414.5.1
김 대표도 이날 3자 회담에 대해 본지 통화에서 "대통령과 대화의 문은 언제든 열려있다"며 "박 대통령의 현실 인식에 근본적 변화가 없다면 (3자 회담을 다시 열어도) 국민에게 또다시 상처를 주는 자리가 될 뿐"이라고 했다.

김	김/NNP
대표도	대표/NNG+도/JX
이날	이날/NNG
3자	3/SN+자/NNB
회담에	회담/NNG+에/JKB
대해	대하/VV+아/EC
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"대통령과	"/SS+대통령/NNG+과/JKB
대화의	대화/NNG+의/JKG
문은	문/NNG+은/JX
언제든	언제/NP+든/JX
열려있다"며	열리/VV+어/EC+있/VX+다/EF+"/SS+며/EC
"박	"/SS+박/NNP
대통령의	대통령/NNG+의/JKG
현실	현실/NNG
인식에	인식/NNG+에/JKB
근본적	근본/NNG+적/XSN
변화가	변화/NNG+가/JKS
없다면	없/VA+다면/EC
(3자	(/SS+3/SN+자/NNB
회담을	회담/NNG+을/JKO
다시	다시/MAG
열어도)	열/VV+어도/EC+)/SS
국민에게	국민/NNG+에게/JKB
또다시	또다시/MAG
상처를	상처/NNG+를/JKO
주는	주/VV+는/ETM
자리가	자리/NNG+가/JKC
될	되/VV+ㄹ/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.414.5.2
박 대통령의 인식 변화가 있어야 회담을 할 수 있다는 얘기다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
인식	인식/NNG
변화가	변화/NNG+가/JKS
있어야	있/VA+어야/EC
회담을	회담/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.414.5.3
김 대표는 "박 대통령은 경제 민주화와 복지라는 시대정신을 따르겠다는 조건부로 대통령이 된 것인데 나중에 미안하게 됐다는 식으로 마무리해선 안 된다"며 "국정원 사건 등에 대해서도 인정하고 예방해야 한다"고 했다.

김	김/NNP
대표는	대표/NNG+는/JX
"박	"/SS+박/NNP
대통령은	대통령/NNG+은/JX
경제	경제/NNG
민주화와	민주/NNG+화/XSN+와/JC
복지라는	복지/NNG+이/VCP+라는/ETM
시대정신을	시대정신/NNG+을/JKO
따르겠다는	따르/VV+겠/EP+다는/ETM
조건부로	조건/NNG+부/XSN+로/JKB
대통령이	대통령/NNG+이/JKC
된	되/VV+ㄴ/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
나중에	나중/NNG+에/JKB
미안하게	미안/NNG+하/XSA+게/EC
됐다는	되/VV+었/EP+다는/ETM
식으로	식/NNB+으로/JKB
마무리해선	마무리/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"국정원	"/SS+국정원/NNG
사건	사건/NNG
등에	등/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
인정하고	인정/NNG+하/XSV+고/EC
예방해야	예방/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.414.6.1
김한길 대표의 노웅래 비서실장은 "대화의 원칙을 밝힌 것일 뿐 아직 3자 회담과 관련해 구체적 제안이 오가진 않았다"고 했다.

김한길	김한길/NNP
대표의	대표/NNG+의/JKG
노웅래	노웅래/NNP
비서실장은	비서실장/NNG+은/JX
"대화의	"/SS+대화/NNG+의/JKG
원칙을	원칙/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐	뿐/NNB
아직	아직/MAG
3자	3/SN+자/NNB
회담과	회담/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
구체적	구체/NNG+적/XSN
제안이	제안/NNG+이/JKS
오가진	오가/VV+지/EC+ㄴ/JX
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.414.6.2
여권 고위 관계자도 "3자 회담과 관련해 당장 청와대와 조율이 진행되는 것은 없다"고 했다.

여권	여권/NNG
고위	고위/NNG
관계자도	관계자/NNG+도/JX
"3자	"/SS+3/SN+자/NNB
회담과	회담/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
당장	당장/NNG
청와대와	청와대/NNP+와/JKB
조율이	조율/NNG+이/JKS
진행되는	진행/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


