# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.288
metadata : {}


# id : NWRW1800000048.288.1.1
“국사교과서 국정화 반대” 교육감들도 나섰다

“국사교과서	“/SS+국사/NNG+교과서/NNG
대한	대하/VV+ㄴ/ETM
심각한	심각하/VA+ㄴ/ETM
우려의	우려/NNG+의/JKG
표명이다.	표명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.288.7.1
교육감들은 성명서에서 “국사 교과서 국정화는 우리 사회가 이룩해 온 민주주의의 가치와 부합하지 않으며, 자율성과 다원성의 가치에도 맞지 않다”고 밝혔다.

교육감들은	교육감/NNG+들/XSN+은/JX
성명서에서	성명서/NNG+에서/JKB
“국사	“/SS+국사/NNG
교과서	교과서/NNG
국정화는	국정/NNG+화/XSN+는/JX
우리	우리/NP
사회가	사회/NNG+가/JKS
이룩해	이룩하/VV+아/EC
온	오/VX+ㄴ/ETM
민주주의의	민주주의/NNG+의/JKG
가치와	가치/NNG+와/JKB
부합하지	부합/NNG+하/XSV+지/EC
않으며,	않/VX+으며/EC+,/SP
자율성과	자율/NNG+성/XSN+과/JC
다원성의	다원/NNG+성/XSN+의/JKG
가치에도	가치/NNG+에/JKB+도/JX
맞지	맞/VV+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.288.7.2
이어 “지금은 국가 주도적 관리와 규제 대신 민간 자율과 자치의 시대로 이행하고 있다”며 “(이는) 존중과 배려 속에 다양한 가치가 상생하는 세계시민교육의 시대로 나아가고 있고, 국가 주도의 획일적 교육을 탈피하여 교육 주체들의 다양한 목소리가 존중되는 자율적 교육으로 변화하고 있다는 것을 의미한다”고 덧붙였다.

이어	이어/MAG
“지금은	“/SS+지금/NNG+은/JX
국가	국가/NNG
주도적	주도/NNG+적/XSN
관리와	관리/NNG+와/JC
규제	규제/NNG
대신	대신/NNG
민간	민간/NNG
자율과	자율/NNG+과/JC
자치의	자치/NNG+의/JKG
시대로	시대/NNG+로/JKB
이행하고	이행/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“(이는)	“/SS+(/SS+이/NP+는/JX+)/SS
존중과	존중/NNG+과/JC
배려	배려/NNG
속에	속/NNG+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
가치가	가치/NNG+가/JKS
상생하는	상생/NNG+하/XSV+는/ETM
세계시민교육의	세계/NNG+시민/NNG+교육/NNG+의/JKG
나아가고	나아가/VV+고/EC
있고,	있/VX+고/EC+,/SP
주도의	주도/NNG+의/JKG
획일적	획일적/NNG
교육을	교육/NNG+을/JKO
탈피하여	탈피/NNG+하/XSV+아/EC
교육	교육/NNG
주체들의	주체/NNG+들/XSN+의/JKG
목소리가	목소리/NNG+가/JKS
존중되는	존중/NNG+되/XSV+는/ETM
자율적	자율/NNG+적/XSN
교육으로	교육/NNG+으로/JKB
변화하고	변화/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
의미한다”고	의미/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.288.8.1
바람직한 역사 교육과 관련한 의견도 내놨다.

바람직한	바람직하/VA+ㄴ/ETM
역사	역사/NNG
교육과	교육/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
의견도	의견/NNG+도/JX
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.288.8.2
교육감들은 “서로 존중할 수 있는 다양한 관점과 시선이 때로는 선의의 경쟁도 하고, 때로는 진지하게 토론도 하며 조화롭게 공존할 때 비로소 교육 내용의 질적 발전을 도모할 수 있고 오히려 더 높은 수준의 바른 역사관이 수립될 수 있다”고 밝혔다.

교육감들은	교육감/NNG+들/XSN+은/JX
“서로	“/SS+서로/MAG
존중할	존중/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
관점과	관점/NNG+과/JC
시선이	시선/NNG+이/JKS
때로는	때로/MAG+는/JX
선의의	선의/NNG+의/JKG
경쟁도	경쟁/NNG+도/JX
하고,	하/VV+고/EC+,/SP
진지하게	진지하/VA+게/EC
토론도	토론/NNG+도/JX
하며	하/VV+며/EC
조화롭게	조화/NNG+롭/XSA+게/EC
공존할	공존/NNG+하/XSV+ㄹ/ETM
때	때/NNG
비로소	비로소/MAG
교육	교육/NNG
내용의	내용/NNG+의/JKG
질적	질/NNG+적/XSN
발전을	발전/NNG+을/JKO
도모할	도모/NNG+하/XSV+ㄹ/ETM
있고	있/VA+고/EC
오히려	오히려/MAG
더	더/MAG
높은	높/VA+은/ETM
수준의	수준/NNG+의/JKG
바른	바르/VA+ㄴ/ETM
역사관이	역사관/NNG+이/JKS
수립될	수립/NNG+되/XSV+ㄹ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.288.9.1
교육감들은 정부와 새누리당이 민심에 귀를 기울여야 한다고 촉구했다.

교육감들은	교육감/NNG+들/XSN+은/JX
정부와	정부/NNG+와/JC
새누리당이	새누리당/NNP+이/JKS
민심에	민심/NNG+에/JKB
귀를	귀/NNG+를/JKO
기울여야	기울이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.288.9.2
이들은 “국사 교과서 국정화 시도에 대해 많은 국민들이 우려하고 있고, 특히 서울대 역사학 관련 교수의 절대다수와 역사 교사 2255명이 국사 교과서 국정화에 반대하는 등 학계와 교육계에서도 반대의 목소리가 높다”고 강조했다.

이들은	이/NP+들/XSN+은/JX
“국사	“/SS+국사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
시도에	시도/NNG+에/JKB
대해	대하/VV+아/EC
많은	많/VA+은/ETM
국민들이	국민/NNG+들/XSN+이/JKS
우려하고	우려/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
특히	특히/MAG
서울대	서울대/NNP
역사학	역사학/NNG
관련	관련/NNG
교수의	교수/NNG+의/JKG
절대다수와	절대다수/NNG+와/JC
역사	역사/NNG
교사	교사/NNG
2255명이	2255/SN+명/NNB+이/JKS
국사	국사/NNG
국정화에	국정/NNG+화/XSN+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
등	등/NNB
학계와	학계/NNG+와/JC
교육계에서도	교육/NNG+계/XSN+에서/JKB+도/JX
반대의	반대/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.288.10.1
끝으로 교육감들은 “(올바른 역사 교육) 노력이 국사 교과서 국정화라고 하는 불필요한 제도적 역행으로 훼손되지 않기를 간절히 바란다”며 “정부는 국사 교과서 국정화 추진을 중단하고 어떻게 하면 좀더 올바르고 풍부한 역사 교육이 잘 이뤄질 수 있을지 함께 고민해달라”고 요청했다.

끝으로	끝/NNG+으로/JKB
교육감들은	교육감/NNG+들/XSN+은/JX
“(올바른	“/SS+(/SS+올바르/VA+ㄴ/ETM
역사	역사/NNG
교육)	교육/NNG+)/SS
노력이	노력/NNG+이/JKS
국사	국사/NNG
교과서	교과서/NNG
국정화라고	국정/NNG+화/XSN+이/VCP+라고/EC
하는	하/VV+는/ETM
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
제도적	제도/NNG+적/XSN
역행으로	역행/NNG+으로/JKB
훼손되지	훼손/NNG+되/XSV+지/EC
않기를	않/VX+기/ETN+를/JKO
간절히	간절히/MAG
바란다”며	바라/VV+ㄴ다/EF+”/SS+며/EC
“정부는	“/SS+정부/NNG+는/JX
국정화	국정/NNG+화/XSN
추진을	추진/NNG+을/JKO
중단하고	중단/NNG+하/XSV+고/EC
어떻게	어떻/VA+게/EC
하면	하/VV+면/EC
좀더	좀/MAG+더/MAG
올바르고	올바르/VA+고/EC
풍부한	풍부하/VA+ㄴ/ETM
교육이	교육/NNG+이/JKS
잘	잘/MAG
이뤄질	이뤄지/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
함께	함께/MAG
고민해달라”고	고민/NNG+하/XSV+아/EC+달/VX+라/EF+”/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


