# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.43
metadata : {}


# id : NWRW1800000033.43.1.1
도요타, 부활인가 반짝회복인가

도요타,	도요타/NNP+,/SP
순손실은	순손실/NNG+은/JX
60년	60/SN+년/NNB
만에	만/NNB+에/JKB
처음이었다.	처음/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.43.6.1
2010년에는 리콜 사태가 터졌다.

2010년에는	2010/SN+년/NNB+에/JKB+는/JX
리콜	리콜/NNG
사태가	사태/NNG+가/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.6.2
북미 지역의 800만 대를 포함해 전 세계에서 약 1000만 대를 리콜했다.

북미	북미/NNP
지역의	지역/NNG+의/JKG
800만	800/SN+만/NR
대를	대/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
전	전/MMN
세계에서	세계/NNG+에서/JKB
약	약/MMA
1000만	1000/SN+만/NR
리콜했다.	리콜/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.6.3
지난해 동일본 대지진과 부품업체가 몰려 있는 태국 홍수로 부품 공급이 중단돼 제대로 차를 생산하지 못하면서 세계 판매 1위 자리도 경쟁사에 내줬다.

지난해	지난해/NNG
동일본	동일본/NNP
대지진과	대/XPN+지진/NNG+과/JC
부품업체가	부품업체/NNG+가/JKS
몰려	몰리/VV+어/EC
있는	있/VX+는/ETM
태국	태국/NNP
홍수로	홍수/NNG+로/JKB
부품	부품/NNG
공급이	공급/NNG+이/JKS
중단돼	중단/NNG+되/XSV+어/EC
제대로	제대로/MAG
차를	차/NNG+를/JKO
생산하지	생산/NNG+하/XSV+지/EC
못하면서	못하/VX+면서/EC
세계	세계/NNG
판매	판매/NNG
1위	1/SN+위/NNB
자리도	자리/NNG+도/JX
경쟁사에	경쟁사/NNG+에/JKB
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.6.4
시장에서는 “도요타 시대는 끝났다”는 이야기마저 나왔다.

시장에서는	시장/NNG+에서/JKB+는/JX
“도요타	“/SS+도요타/NNP
시대는	시대/NNG+는/JX
끝났다”는	끝나/VV+았/EP+다/EF+”/SS+는/ETM
이야기마저	이야기/NNG+마저/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.7.1
도요타의 위기의식이 커지기 시작하던 2009년 창업주 3세 도요다 아키오(豊田章男)가 구원투수로 등장했다.

도요타의	도요타/NNP+의/JKG
위기의식이	위기의식/NNG+이/JKS
커지기	커지/VV+기/ETN
시작하던	시작/NNG+하/XSV+던/ETM
2009년	2009/SN+년/NNB
창업주	창업주/NNG
3세	3/SN+세/NNB
도요다	도요다/NNP
아키오(豊田章男)가	아키오/NNP+(/SS+豊田章男/SH+)/SS+가/JKS
구원투수로	구원/NNG+투수/NNG+로/JKB
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.7.2
끝없는 시련이 이어졌지만 그는 원칙에 집중했다.

끝없는	끝없/VA+는/ETM
시련이	시련/NNG+이/JKS
이어졌지만	이어지/VV+었/EP+지만/EC
그는	그/NP+는/JX
원칙에	원칙/NNG+에/JKB
집중했다.	집중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.7.3
‘도요타 방식’으로 불리는 협력사와의 협력과 부품 체계 통합으로 원가 절감에 나섰다.

‘도요타	‘/SS+도요타/NNP
방식’으로	방식/NNG+’/SS+으로/JKB
불리는	불리/VV+는/ETM
협력사와의	협력사/NNG+와/JKB+의/JKG
협력과	협력/NNG+과/JC
부품	부품/NNG
체계	체계/NNG
통합으로	통합/NNG+으로/JKB
원가	원가/NNG
절감에	절감/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.7.4
생산과 구매, 연구개발, 해외판매 조직의 개편을 통해 전방위적으로 군살을 뺐다.

생산과	생산/NNG+과/JC
구매,	구매/NNG+,/SP
연구개발,	연구/NNG+개발/NNG+,/SP
해외판매	해외/NNG+판매/NNG
조직의	조직/NNG+의/JKG
개편을	개편/NNG+을/JKO
통해	통하/VV+아/EC
전방위적으로	전방위/NNG+적/XSN+으로/JKB
군살을	군살/NNG+을/JKO
뺐다.	빼/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.7.5
그룹 이사진은 27명에서 11명으로 줄였다.

그룹	그룹/NNG
이사진은	이사진/NNG+은/JX
27명에서	27/SN+명/NNB+에서/JKB
11명으로	11/SN+명/NNB+으로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.7.6
임원진도 20%가량 줄었다.

임원진도	임원진/NNG+도/JX
20%가량	20/SN+%/SW+가량/XSN
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.8.1
도요타의 뚝심은 올해 들어 힘을 발휘했다.

도요타의	도요타/NNP+의/JKG
뚝심은	뚝심/NNG+은/JX
올해	올해/NNG
들어	들/VV+어/EC
힘을	힘/NNG+을/JKO
발휘했다.	발휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.8.2
도요타는 올 1분기(1∼3월)부터 세계 판매량 1위로 올라섰다.

도요타는	도요타/NNP+는/JX
올	올/NNG
1분기(1∼3월)부터	1/SN+분기/NNG+(/SS+1/SN+∼/SO+3/SN+월/NNB+)/SS+부터/JX
세계	세계/NNG
판매량	판매량/NNG
1위로	1/SN+위/NNB+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.8.3
올해 총 19종의 신차를 내놓고 5년 만에 영업이익도 1조 엔을 돌파하겠다는 목표를 밝혔다.

올해	올해/NNG
총	총/MMA
19종의	19/SN+종/NNG+의/JKG
신차를	신차/NNG+를/JKO
내놓고	내놓/VV+고/EC
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
영업이익도	영업/NNG+이익/NNG+도/JX
1조	1/SN+조/NR
엔을	엔/NNB+을/JKO
돌파하겠다는	돌파/NNG+하/XSV+겠/EP+다는/ETM
목표를	목표/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.43.9.1
하지만 신중론도 많다.

하지만	하지만/MAJ
신중론도	신중/NNG+론/XSN+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.43.9.2
도요타는 올해 순익을 7600억 엔으로 예상하고 있지만 이는 글로벌 금융위기 이전의 절반에도 미치지 못한다.

도요타는	도요타/NNP+는/JX
올해	올해/NNG
순익을	순익/NNG+을/JKO
7600억	7600/SN+억/NR
엔으로	엔/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
이는	이/NP+는/JX
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이전의	이전/NNG+의/JKG
절반에도	절반/NNG+에/JKB+도/JX
미치지	미치/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.43.9.3
엔화 강세도 도요타 부활의 발목을 잡고 있다.

엔화	엔화/NNG
강세도	강세/NNG+도/JX
도요타	도요타/NNP
부활의	부활/NNG+의/JKG
발목을	발목/NNG+을/JKO
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.43.10.1
중국 시장에 기대하기도 힘들다.

중국	중국/NNP
시장에	시장/NNG+에/JKB
기대하기도	기대/NNG+하/XSV+기/ETN+도/JX
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000033.43.10.2
일본 정부의 센카쿠(尖閣) 열도(중국명 댜오위다오·釣魚島) 국유화 선언 이후 중국 국민의 반일 감정이 커지자 도요타는 중국 수출용 고급 차종 ‘렉서스’를 감산하기로 했다고 교도통신이 25일 보도했다.

일본	일본/NNP
정부의	정부/NNG+의/JKG
센카쿠(尖閣)	센카쿠/NNP+(/SS+尖閣/SH+)/SS
열도(중국명	열도/NNG+(/SS+중국/NNP+명/NNG
댜오위다오·釣魚島)	댜오위다오/NNP+·/SP+釣魚島/SH+)/SS
국유화	국유/NNG+화/XSN
선언	선언/NNG
이후	이후/NNG
중국	중국/NNP
국민의	국민/NNG+의/JKG
반일	반일/NNG
감정이	감정/NNG+이/JKS
커지자	커지/VV+자/EC
도요타는	도요타/NNP+는/JX
수출용	수출/NNG+용/XSN
고급	고급/NNG
차종	차종/NNG
‘렉서스’를	‘/SS+렉서스/NNP+’/SS+를/JKO
감산하기로	감산/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
교도통신이	교도통신/NNP+이/JKS
25일	25/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.43.11.1
무리한 원가절감도 부메랑이 돼 도요타를 어렵게 만들 수 있다.

무리한	무리/NNG+하/XSV+ㄴ/ETM
원가절감도	원가/NNG+절감/NNG+도/JX
부메랑이	부메랑/NNG+이/JKC
돼	되/VV+어/EC
도요타를	도요타/NNP+를/JKO
어렵게	어렵/VA+게/EC
만들	만들/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.43.11.2
2010년 대규모 리콜을 불러온 것도 무리한 원가 절감과 부품 조달의 글로벌화로 품질을 제대로 유지하지 못했기 때문이다.

2010년	2010/SN+년/NNB
대규모	대/XPN+규모/NNG
리콜을	리콜/NNG+을/JKO
불러온	불러오/VV+ㄴ/ETM
것도	것/NNB+도/JX
무리한	무리/NNG+하/XSV+ㄴ/ETM
원가	원가/NNG
절감과	절감/NNG+과/JC
부품	부품/NNG
조달의	조달/NNG+의/JKG
글로벌화로	글로벌/NNG+화/XSN+로/JKB
품질을	품질/NNG+을/JKO
제대로	제대로/MAG
유지하지	유지/NNG+하/XSV+지/EC
못했기	못하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


