# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.327
metadata : {}


# id : NWRW1800000022.327.1.1
이정은 3R연속 6언더파… 메이저대회 첫 우승;신세계배 KLPGA 골프

이정은	이정은/NNP
17번홀(파4)에서	17/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
이글성	이글/NNG+성/XSN
승부에	승부/NNG+에/JKB
쐐기를	쐐기/NNG+를/JKO
박았다.	박/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.327.5.4
결국 버디 7개, 보기 1개를 기록한 이정은은 18언더파 198타로 2위 서희경을 2타 차로 따돌렸다.

결국	결국/MAG
버디	버디/NNG
7개,	7/SN+개/NNB+,/SP
보기	보기/NNG
1개를	1/SN+개/NNB+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
이정은은	이정은/NNP+은/JX
18언더파	18/SN+언더/NNG+파/NNG
198타로	198/SN+타/NNG+로/JKB
2위	2/SN+위/NNB
서희경을	서희경/NNP+을/JKO
2타	2/SN+타/NNG
차로	차/NNG+로/JKB
따돌렸다.	따돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.327.6.1
우승 트로피를 들고 집으로 돌아간 이정은과 전화연결이 됐다.

우승	우승/NNG
트로피를	트로피/NNG+를/JKO
들고	들/VV+고/EC
집으로	집/NNG+으로/JKB
돌아간	돌아가/VV+ㄴ/ETM
이정은과	이정은/NNP+과/JKB
전화연결이	전화/NNG+연결/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.327.6.2
그는 전날 밤 꿈 얘기를 했다.

그는	그/NP+는/JX
전날	전날/NNG
밤	밤/NNG
꿈	꿈/NNG
얘기를	얘기/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.327.6.3
"연습장에서 드라이버를 치다 헤드가 깨졌는데, 30번쯤 더 치니 완전히 박살이 나더라고요." 너무나 생생해 꿈같지 않았다고 한다.

"연습장에서	"/SS+연습장/NNG+에서/JKB
드라이버를	드라이버/NNG+를/JKO
치다	치/VV+다/EC
헤드가	헤드/NNG+가/JKS
깨졌는데,	깨지/VV+었/EP+는데/EC+,/SP
30번쯤	30/SN+번/NNB+쯤/XSN
더	더/MAG
치니	치/VV+니/EC
완전히	완전히/MAG
박살이	박살/NNG+이/JKS
나더라고요."	나/VV+더라고/EF+요/JX+./SF+"/SS
너무나	너무나/MAG
생생해	생생하/VA+아/EC
꿈같지	꿈같/VA+지/EC
않았다고	않/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.327.7.1
첫 메이저 대회 우승을 차지한 이정은은 한국여자프로골프(KLPGA) 투어 54홀 최소타(이전 박세리·박지은 등 200타), 최다 언더파 기록(이전 안선주 17언더파)을 모두 갈아치웠다.

첫	첫/MMN
메이저	메이저/NNG
대회	대회/NNG
우승을	우승/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
이정은은	이정은/NNP+은/JX
한국여자프로골프(KLPGA)	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS
투어	투어/NNG
54홀	54/SN+홀/NNG
최소타(이전	최소타/NNG+(/SS+이전/NNG
박세리·박지은	박세리/NNP+·/SP+박지은/NNP
등	등/NNB
200타),	200/SN+타/NNG+)/SS+,/SP
최다	최다/NNG
언더파	언더/NNG+파/NNG
기록(이전	기록/NNG+(/SS+이전/NNG
안선주	안선주/NNP
17언더파)을	17/SN+언더/NNG+파/NNG+)/SS+을/JKO
모두	모두/MAG
갈아치웠다.	갈/VV+아/EC+치우/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.327.8.1
이정은은 상금 1억원에 첫날부터 끝까지 선두를 달리는 '와이어 투 와이어' 우승으로 1000만원 상품권까지 보너스로 받았다.

이정은은	이정은/NNP+은/JX
상금	상금/NNG
1억원에	1/SN+억/NR+원/NNB+에/JKB
첫날부터	첫날/NNG+부터/JX
끝까지	끝/NNG+까지/JX
선두를	선두/NNG+를/JKO
달리는	달리/VV+는/ETM
'와이어	'/SS+와이어/NNG
투	투/NNG
와이어'	와이어/NNG+'/SS
우승으로	우승/NNG+으로/JKB
1000만원	1000/SN+만/NR+원/NNB
상품권까지	상품/NNG+권/XSN+까지/JX
보너스로	보너스/NNG+로/JKB
받았다.	받/VV+았/EP+다/EF+./SF


