# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.369
metadata : {}


# id : NWRW1800000038.369.1.1
"中, 북한 문제 입장 변화… 빨리 시진핑 만날 것"

"中,	"/SS+中/SH+,/SP
그는 "북한이 받아들일 수 있도록 어떤 상황을 만들어 가도록 계속 노력하는 것이 필요한 것이지, 지금 뭐 획기적인 것을 던져가지고 뭐가 나올 수 있느냐"고 했다.

그는	그/NP+는/JX
"북한이	"/SS+북한/NNP+이/JKS
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
어떤	어떤/MMD
상황을	상황/NNG+을/JKO
만들어	만들/VV+어/EC
가도록	가/VX+도록/EC
계속	계속/MAG
노력하는	노력/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
것이지,	것/NNB+이/VCP+지/EC+,/SP
지금	지금/MAG
뭐	뭐/IC
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
던져가지고	던지/VV+어/EC+가지/VX+고/EC
뭐가	뭐/NP+가/JKS
나올	나오/VV+ㄹ/ETM
있느냐"고	있/VA+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.10.1
박 대통령은 "로마 시대에 '그대, 진정 평화를 원한다면 전쟁에 대비하라' 이런 말이 있다"며 "(북한이) 감히 어떻게 침범할 수 있느냐는 생각을 갖도록 우리가 확고한 억지력을 가져야 한다"고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"로마	"/SS+로마/NNP
시대에	시대/NNG+에/JKB
'그대,	'/SS+그대/NP+,/SP
진정	진정/MAG
평화를	평화/NNG+를/JKO
원한다면	원/NNG+하/XSV+ㄴ다면/EC
전쟁에	전쟁/NNG+에/JKB
대비하라'	대비/NNG+하/XSV+라/EF+'/SS
이런	이런/MMD
말이	말/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"(북한이)	"/SS+(/SS+북한/NNP+이/JKS+)/SS
감히	감히/MAG
어떻게	어떻/VA+게/EC
침범할	침범/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있느냐는	있/VA+느냐는/ETM
생각을	생각/NNG+을/JKO
갖도록	갖/VV+도록/EC
우리가	우리/NP+가/JKS
확고한	확고하/VA+ㄴ/ETM
억지력을	억지력/NNG+을/JKO
가져야	가지/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.10.2
또 "저는 반드시 통일이 되어야 한다고 생각하는 사람인데 대한민국 국민이 누리고 있는 자유, 번영을 북한 주민도 누릴 수 있어야 한다"고 말했다.

또	또/MAG
"저는	"/SS+저/NP+는/JX
반드시	반드시/MAG
통일이	통일/NNG+이/JKS
되어야	되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
사람인데	사람/NNG+이/VCP+ㄴ데/EC
대한민국	대한민국/NNP
국민이	국민/NNG+이/JKS
누리고	누리/VV+고/EC
있는	있/VX+는/ETM
자유,	자유/NNG+,/SP
번영을	번영/NNG+을/JKO
북한	북한/NNP
주민도	주민/NNG+도/JX
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.11.1
◇일본, 주변국 상처 들쑤시지 말라

◇일본,	◇/SW+일본/NNP+,/SP
주변국	주변국/NNG
상처	상처/NNG
들쑤시지	들쑤시/VV+지/EC
말라	말/VX+라/EF


# id : NWRW1800000038.369.12.1
박 대통령은 일본의 급속한 우경화에 대해 "미국도 사실은 이 부분에 대해서 걱정을 하고 있다"고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
일본의	일본/NNP+의/JKG
급속한	급속/NNG+하/XSA+ㄴ/ETM
우경화에	우경/NNG+화/XSN+에/JKB
대해	대하/VV+아/EC
"미국도	"/SS+미국/NNP+도/JX
사실은	사실/NNG+은/JX
이	이/MMD
부분에	부분/NNG+에/JKB
대해서	대하/VV+아서/EC
걱정을	걱정/NNG+을/JKO
하고	하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.12.2
그는 "제가 워싱턴포스트지와 인터뷰를 할 때 공개적으로 그런(우경화 문제) 얘기를 했고, (한·미) 정상회담 때도 그 이야기가 나와서 우려했다"며 "일본이 이런 부분에 대해 인식하고 책임 있는 행동을 해주기 바란다"고 했다.

그는	그/NP+는/JX
"제가	"/SS+제/NP+가/JKS
워싱턴포스트지와	워싱턴포스트지/NNP+와/JKB
인터뷰를	인터뷰/NNG+를/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
공개적으로	공개/NNG+적/XSN+으로/JKB
그런(우경화	그런/MMD+(/SS+우경/NNG+화/XSN
문제)	문제/NNG+)/SS
얘기를	얘기/NNG+를/JKO
했고,	하/VV+았/EP+고/EC+,/SP
(한·미)	(/SS+한·미/NNP+)/SS
정상회담	정상/NNG+회담/NNG
때도	때/NNG+도/JX
그	그/MMD
이야기가	이야기/NNG+가/JKS
나와서	나오/VV+아서/EC
우려했다"며	우려/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"일본이	"/SS+일본/NNP+이/JKS
이런	이런/MMD
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
인식하고	인식/NNG+하/XSV+고/EC
책임	책임/NNG
있는	있/VA+는/ETM
행동을	행동/NNG+을/JKO
해주기	하/VV+아/EC+주/VX+기/ETN
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.13.1
이어 박 대통령은 "일본은 자유민주주의라든가 시장경제라든가 여러 가치를 공유하고 안보나 경제에서 서로 협력해 나가야 되는 중요한 나라임에 틀림없다"고 전제한 뒤 "그런데 자꾸 이렇게 아픈 상처를 들쑤셔서 우리 국민을 자극하고 또 우리나라뿐만 아니라 중국 등 마음이 상한 나라들이 있지 않으냐"고 했다.

이어	이어/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
"일본은	"/SS+일본/NNP+은/JX
자유민주주의라든가	자유/NNG+민주주의/NNG+라든가/JC
시장경제라든가	시장/NNG+경제/NNG+라든가/JC
여러	여러/MMN
가치를	가치/NNG+를/JKO
공유하고	공유/NNG+하/XSV+고/EC
안보나	안보/NNG+나/JC
경제에서	경제/NNG+에서/JKB
서로	서로/MAG
협력해	협력/NNG+하/XSV+아/EC
나가야	나가/VX+아야/EC
되는	되/VV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
나라임에	나라/NNG+이/VCP+ㅁ/ETN+에/JKB
틀림없다"고	틀림없/VA+다/EF+"/SS+고/JKQ
전제한	전제/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
"그런데	"/SS+그런데/MAJ
자꾸	자꾸/MAG
이렇게	이렇/VA+게/EC
아픈	아프/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
들쑤셔서	들쑤시/VV+어서/EC
우리	우리/NP
국민을	국민/NNG+을/JKO
자극하고	자극/NNG+하/XSV+고/EC
또	또/MAG
우리나라뿐만	우리나라/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
중국	중국/NNP
등	등/NNB
마음이	마음/NNG+이/JKS
상한	상하/VV+ㄴ/ETM
나라들이	나라/NNG+들/XSN+이/JKS
있지	있/VA+지/EC
않으냐"고	않/VX+으냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.369.14.1
박 대통령은 "동북아나 아시아 나라들이 좋은 일로 힘을 합해 나아가야 하는데, (일본이) 자꾸 걸림돌을 만들고 있는 것"이라며 "일본은 그 경제력에 걸맞은 리더십을 발휘할 의무가 있다"고 강조했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"동북아나	"/SS+동북아/NNP+나/JC
아시아	아시아/NNP
나라들이	나라/NNG+들/XSN+이/JKS
좋은	좋/VA+은/ETM
일로	일/NNG+로/JKB
힘을	힘/NNG+을/JKO
합해	합/NNG+하/XSV+아/EC
나아가야	나아가/VV+아야/EC
하는데,	하/VX+는데/EC+,/SP
(일본이)	(/SS+일본/NNP+이/JKS+)/SS
자꾸	자꾸/MAG
걸림돌을	걸림돌/NNG+을/JKO
만들고	만들/VV+고/EC
있는	있/VX+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"일본은	"/SS+일본/NNP+은/JX
그	그/MMD
경제력에	경제력/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
리더십을	리더십/NNG+을/JKO
발휘할	발휘/NNG+하/XSV+ㄹ/ETM
의무가	의무/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


