# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.382
metadata : {}


# id : NWRW1800000049.382.1.1
野, 8일 저녁부터 국회농성 ‘탄핵대기’

野,	野/SH+,/SP
촛불집회가	촛불/NNG+집회/NNG+가/JKS
예정돼	예정/NNG+되/XSV+어/EC
있어	있/VX+어/EC
국회	국회/NNG
출입이	출입/NNG+이/JKS
어려워질	어렵/VA+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“의원뿐	“/SS+의원/NNG+뿐/JX
아니라	아니/VCN+라/EC
보좌진도	보좌진/NNG+도/JX
안이나	안/NNG+이나/JC
인근에	인근/NNG+에/JKB
머무는	머물/VV+는/ETM
등	등/NNB
24시간	24/SN+시간/NNB
비상체제”라고	비상/NNG+체제/NNG+”/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.382.5.1
밤샘 텐트 농성을 벌이고 있는 국민의당은 국회 경내 전면 개방과 정기국회 회기가 끝나는 9일 밤 12시 넘어 표결이 이어질 가능성에 대비한 임시국회 소집을 제안했다.

밤샘	밤샘/NNG
텐트	텐트/NNG
농성을	농성/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
국민의당은	국민의당/NNP+은/JX
국회	국회/NNG
경내	경내/NNG
전면	전면/NNG
개방과	개방/NNG+과/JC
정기국회	정기/NNG+국회/NNG
회기가	회기/NNG+가/JKS
끝나는	끝나/VV+는/ETM
9일	9/SN+일/NNB
밤	밤/NNG
12시	12/SN+시/NNB
넘어	넘/VV+어/EC
표결이	표결/NNG+이/JKS
이어질	이어지/VV+ㄹ/ETM
가능성에	가능/NNG+성/XSN+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
임시국회	임시/NNG+국회/NNG
소집을	소집/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.382.5.2
정세균 국회의장과 여야 원내대표는 8일 오전 국회 개방 문제를 논의하기로 했다.

정세균	정세균/NNP
국회의장과	국회/NNG+의장/NNG+과/JC
여야	여야/NNG
원내대표는	원내/NNG+대표/NNG+는/JX
8일	8/SN+일/NNB
오전	오전/NNG
국회	국회/NNG
개방	개방/NNG
문제를	문제/NNG+를/JKO
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.382.5.3
국민의당 박지원 원내대표는 “만약 탄핵이 (부결로) 잘못되면 국회가 맨 먼저 불탈 것”이라며 “탄핵이 가결되면 박근혜 한 사람은 죽지만 4999만9999명은 산다”고 말했다.

국민의당	국민의당/NNP
박지원	박지원/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“만약	“/SS+만약/NNG
탄핵이	탄핵/NNG+이/JKS
(부결로)	(/SS+부결/NNG+로/JKB+)/SS
잘못되면	잘못/MAG+되/XSV+면/EC
국회가	국회/NNG+가/JKS
맨	맨/MMA
먼저	먼저/MAG
불탈	불타/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“탄핵이	“/SS+탄핵/NNG+이/JKS
가결되면	가결/NNG+되/XSV+면/EC
박근혜	박근혜/NNP
한	한/MMN
사람은	사람/NNG+은/JX
죽지만	죽/VV+지만/EC
4999만9999명은	4999/SN+만/NR+9999/SN+명/NNB+은/JX
산다”고	살/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


