# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.267
metadata : {}


# id : NWRW1800000041.267.1.1
송은범, 다시 김성근 품으로

송은범,	송은범/NNP+,/SP
유리한	유리/NNG+하/XSA+ㄴ/ETM
고지에	고지/NNG+에/JKB
설	서/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.267.8.2
2010시즌을 앞두고 FA를 선언했던 박한이(삼성), 최기문(당시 롯데), 장성호(당시 KIA)는 FA 시장에 나왔지만 소득 없이 집으로 돌아갔다.

2010시즌을	2010/SN+시즌/NNG+을/JKO
앞두고	앞두/VV+고/EC
FA를	FA/SL+를/JKO
선언했던	선언/NNG+하/XSV+았/EP+던/ETM
박한이(삼성),	박한이/NNP+(/SS+삼성/NNP+)/SS+,/SP
최기문(당시	최기문/NNP+(/SS+당시/NNG
롯데),	롯데/NNP+)/SS+,/SP
장성호(당시	장성호/NNP+(/SS+당시/NNG
KIA)는	KIA/SL+)/SS+는/JX
FA	FA/SL
시장에	시장/NNG+에/JKB
나왔지만	나오/VV+았/EP+지만/EC
소득	소득/NNG
없이	없이/MAG
집으로	집/NNG+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.267.8.3
이들은 모두 1년 단기로 1억5000만∼6억5000만 원에 소속 팀과 재계약했다.

이들은	이/NP+들/XSN+은/JX
모두	모두/MAG
1년	1/SN+년/NNB
단기로	단기/NNG+로/JKB
1억5000만∼6억5000만	1/SN+억/NR+5000/SN+만/NR+∼/SO+6/SN+억/NR+5000/SN+만/NR
원에	원/NNB+에/JKB
소속	소속/NNG
팀과	팀/NNG+과/JKB
재계약했다.	재/XPN+계약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.267.8.4
아예 ‘FA 미아(迷兒)’가 된 사례도 있다.

아예	아예/MAG
‘FA	‘/SS+FA/SL
미아(迷兒)’가	미아/NNG+(/SS+迷兒/SH+)/SS+’/SS+가/JKC
된	되/VV+ㄴ/ETM
사례도	사례/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.267.8.5
2000년부터 역대 FA 138명 가운데 차명주(당시 한화) 노장진(당시 롯데·이상 2006시즌 후) 최영필 이도형(이상 당시 한화, 2010시즌 후) 등 4명은 FA 계약에 실패했다.

2000년부터	2000/SN+년/NNB+부터/JX
역대	역대/NNG
FA	FA/SL
138명	138/SN+명/NNB
가운데	가운데/NNG
차명주(당시	차명주/NNP+(/SS+당시/NNG
한화)	한화/NNP+)/SS
노장진(당시	노장진/NNP+(/SS+당시/NNG
롯데·이상	롯데/NNP+·/SP+이상/NNG
2006시즌	2006/SN+시즌/NNG
후)	후/NNG+)/SS
최영필	최영필/NNP
이도형(이상	이도형/NNP+(/SS+이상/NNG
당시	당시/NNG
한화,	한화/NNP+,/SP
2010시즌	2010/SN+시즌/NNG
등	등/NNB
4명은	4/SN+명/NNB+은/JX
계약에	계약/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.267.9.1
3일까지 다른 구단과 계약하지 못한 FA들은 내년 1월 15일까지 원 소속 구단을 포함한 모든 구단과 협상할 수 있다.

3일까지	3/SN+일/NNB+까지/JX
다른	다른/MMD
구단과	구단/NNG+과/JKB
계약하지	계약/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
FA들은	FA/SL+들/XSN+은/JX
내년	내년/NNG
1월	1/SN+월/NNB
15일까지	15/SN+일/NNB+까지/JX
원	원/NA
소속	소속/NNG
구단을	구단/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
협상할	협상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


