# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.72
metadata : {}


# id : NWRW1800000032.72.1.1
SOC금융, 어윤대의 ‘미소’…씁쓸한 강만수

SOC금융,	SOC/SL+금융/NNG+,/SP
그동안 산업은행은 사회간접자본 금융 시장의 80~90%를 독점해왔으나, 올 들어 국민은행이 산업은행에 강력한 도전장을 내밀고 있다.

그동안	그동안/NNG
산업은행은	산업은행/NNP+은/JX
사회간접자본	사회/NNG+간접/NNG+자본/NNG
금융	금융/NNG
시장의	시장/NNG+의/JKG
80~90%를	80/SN+~/SO+90/SN+%/SW+를/JKO
독점해왔으나,	독점/NNG+하/XSV+아/EC+오/VX+았/EP+으나/EC+,/SP
올	올/NNG
들어	들/VV+어/EC
국민은행이	국민은행/NNP+이/JKS
산업은행에	산업은행/NNP+에/JKB
강력한	강력/NNG+하/XSA+ㄴ/ETM
도전장을	도전장/NNG+을/JKO
내밀고	내밀/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.72.5.2
이찬근 국민은행 대기업금융그룹 부행장은 “산업은행이 독점하고 있는 사회간접자본 금융 시장에서 국민은행이 가시적인 성과를 내고 있다”며 “발전산업 금융의 경우 9월 말까지 나온 6건의 물건 중 국민은행이 4건을 차지하고, 산업은행은 2건을 하는데 그쳤다”고 말했다.

이찬근	이찬근/NNP
국민은행	국민은행/NNP
대기업금융그룹	대/XPN+기업/NNG+금융/NNG+그룹/NNG
부행장은	부행장/NNG+은/JX
“산업은행이	“/SS+산업은행/NNP+이/JKS
독점하고	독점/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사회간접자본	사회/NNG+간접/NNG+자본/NNG
금융	금융/NNG
시장에서	시장/NNG+에서/JKB
국민은행이	국민은행/NNP+이/JKS
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
성과를	성과/NNG+를/JKO
내고	내/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“발전산업	“/SS+발전/NNG+산업/NNG
금융의	금융/NNG+의/JKG
경우	경우/NNG
9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
나온	나오/VV+ㄴ/ETM
6건의	6/SN+건/NNB+의/JKG
물건	물건/NNG
중	중/NNB
4건을	4/SN+건/NNB+을/JKO
차지하고,	차지/NNG+하/XSV+고/EC+,/SP
산업은행은	산업은행/NNP+은/JX
2건을	2/SN+건/NNB+을/JKO
하는데	하/VV+는데/EC
그쳤다”고	그치/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.72.5.3
또 다른 국민은행 부행장은 “어윤대 회장이 소매금융 중심의 국민은행을 기업금융으로 외연을 확대하는데 적극 독려했기 때문”이라고 강조했다.

또	또/MAG
다른	다른/MMD
국민은행	국민은행/NNP
부행장은	부행장/NNG+은/JX
“어윤대	“/SS+어윤대/NNP
회장이	회장/NNG+이/JKS
소매금융	소매/NNG+금융/NNG
중심의	중심/NNG+의/JKG
국민은행을	국민은행/NNP+을/JKO
기업금융으로	기업/NNG+금융/NNG+으로/JKB
외연을	외연/NNG+을/JKO
확대하는데	확대/NNG+하/XSV+는데/EC
적극	적극/NNG
독려했기	독려/NNG+하/XSV+았/EP+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.72.6.1
국민은행은 사회간접자본 금융 가운데서도 발전산업 금융에 괄목할만한 성과를 내고 있다.

국민은행은	국민은행/NNP+은/JX
사회간접자본	사회/NNG+간접/NNG+자본/NNG
금융	금융/NNG
가운데서도	가운데/NNG+서/JKB+도/JX
발전산업	발전/NNG+산업/NNG
금융에	금융/NNG+에/JKB
괄목할만한	괄목/NNG+하/XSV+ㄹ/ETM+만/NNB+하/XSA+ㄴ/ETM
성과를	성과/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.72.6.2
국민은행은 지난 7월 1조3000억원 규모의 1500㎿급 동두천 액화천연가스(LNG) 복합화력발전소 프로젝트의 금융자문 및 주선기관으로 삼성생명과 공동 선정된 뒤 여세를 몰아 6000억원 규모의 600㎿급 춘천 액화천연가스 열병합발전소, 4500억원규모 400㎿급 대구혁신도시 액화천연가스 열병합발전소 등을 연이어 수주했다.

국민은행은	국민은행/NNP+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
1조3000억원	1/SN+조/NR+3000/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
1500㎿급	1500/SN+㎿/SW+급/NNG
동두천	동두천/NNP
액화천연가스(LNG)	액화/NNG+천연가스/NNG+(/SS+LNG/SL+)/SS
복합화력발전소	복합/NNG+화력/NNG+발전소/NNG
프로젝트의	프로젝트/NNG+의/JKG
금융자문	금융/NNG+자문/NNG
및	및/MAG
주선기관으로	주선/NNG+기관/NNG+으로/JKB
삼성생명과	삼성생명/NNP+과/JKB
공동	공동/NNG
선정된	선정/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
여세를	여세/NNG+를/JKO
몰아	몰/VV+아/EC
6000억원	6000/SN+억/NR+원/NNB
600㎿급	600/SN+㎿/SW+급/NNG
춘천	춘천/NNP
액화천연가스	액화/NNG+천연가스/NNG
열병합발전소,	열/NNG+병합/NNG+발전소/NNG+,/SP
4500억원규모	4500/SN+억/NR+원/NNB+규모/NNG
400㎿급	400/SN+㎿/SW+급/NNG
대구혁신도시	대구/NNP+혁신/NNG+도시/NNG
열병합발전소	열/NNG+병합/NNG+발전소/NNG
등을	등/NNB+을/JKO
연이어	연잇/VV+어/EC
수주했다.	수주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.72.6.3
최근에는 충남 당진에 지을 예정인 사업비 2조원 규모 1000㎿급 동부그린 석탄화력 발전소를 짓기 위한 금융지원 사업자 선정을 놓고 산업은행과 물밑경쟁을 벌이고 있다.

최근에는	최근/NNG+에/JKB+는/JX
충남	충남/NNP
당진에	당진/NNP+에/JKB
지을	짓/VV+을/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
사업비	사업비/NNG
2조원	2/SN+조/NR+원/NNB
규모	규모/NNG
1000㎿급	1000/SN+㎿/SW+급/NNG
동부그린	동부/NNG+그린/NNG
석탄화력	석탄/NNG+화력/NNG
발전소를	발전소/NNG+를/JKO
짓기	짓/VV+기/ETN
위한	위하/VV+ㄴ/ETM
금융지원	금융/NNG+지원/NNG
사업자	사업자/NNG
선정을	선정/NNG+을/JKO
놓고	놓/VV+고/EC
산업은행과	산업은행/NNP+과/JKB
물밑경쟁을	물밑/NNG+경쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.72.7.1
국민은행의 지난해 발전산업 금융 수주액은 2500억원에 그쳤으나, 올 들어서는 수주액이 10배 이상 뛰어올라 28일 현재 2조5000억원에 이른다.

국민은행의	국민은행/NNP+의/JKG
지난해	지난해/NNG
발전산업	발전/NNG+산업/NNG
금융	금융/NNG
수주액은	수주액/NNG+은/JX
2500억원에	2500/SN+억/NR+원/NNB+에/JKB
그쳤으나,	그치/VV+었/EP+으나/EC+,/SP
올	올/NNG
들어서는	들어서/VV+는/ETM
수주액이	수주액/NNG+이/JKS
10배	10/SN+배/NNG
이상	이상/NNG
뛰어올라	뛰어오르/VV+아/EC
28일	28/SN+일/NNB
현재	현재/MAG
2조5000억원에	2/SN+조/NR+5000/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.72.7.2
국민은행은 내부적으로 올해 발전산업 금융에선 최초로 산업은행을 제칠 것으로 내심 기대하고 있다.

국민은행은	국민은행/NNP+은/JX
내부적으로	내부/NNG+적/XSN+으로/JKB
올해	올해/NNG
발전산업	발전/NNG+산업/NNG
금융에선	금융/NNG+에서/JKB+ㄴ/JX
최초로	최초/NNG+로/JKB
산업은행을	산업은행/NNP+을/JKO
제칠	제치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내심	내심/NNG
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.72.7.3
이에 대한 비판도 있다.

이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
비판도	비판/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.72.7.4
국민은행의 한 관계자는 “실적을 강조하는 어 회장의 눈높이를 맞추기 위해 저가 낙찰로 수주를 하고 있어 실제 수익은 별로 되지 않는다”고 말했다.

국민은행의	국민은행/NNP+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“실적을	“/SS+실적/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
어	어/NNP
회장의	회장/NNG+의/JKG
눈높이를	눈높이/NNG+를/JKO
맞추기	맞추/VV+기/ETN
위해	위하/VV+아/EC
저가	저가/NNG
낙찰로	낙찰/NNG+로/JKB
수주를	수주/NNG+를/JKO
하고	하/VV+고/EC
있어	있/VX+어/EC
실제	실제/NNG
수익은	수익/NNG+은/JX
별로	별로/MAG
되지	되/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.72.8.1
산업은행은 여전히 사회간접자본 금융을 독점적으로 장악하고 있다고 반박한다.

산업은행은	산업은행/NNP+은/JX
여전히	여전히/MAG
사회간접자본	사회/NNG+간접/NNG+자본/NNG
금융을	금융/NNG+을/JKO
독점적으로	독점/NNG+적/XSN+으로/JKB
장악하고	장악/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
반박한다.	반박/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.72.8.2
공세일 산업은행 피에프센터장(부행장)은 “올해 산업은행이 발전산업 금융 시장에서 수주한 금액은 5조4000원에 이른다”며 “국민은행이 최근 열심히 하고 있지만 아직까지는 산업은행에 미치지 못한다”고 말했다.

공세일	공세일/NNP
산업은행	산업은행/NNP
피에프센터장(부행장)은	피에프/NNG+센터장/NNG+(/SS+부행장/NNG+)/SS+은/JX
“올해	“/SS+올해/NNG
산업은행이	산업은행/NNP+이/JKS
발전산업	발전/NNG+산업/NNG
금융	금융/NNG
시장에서	시장/NNG+에서/JKB
수주한	수주/NNG+하/XSV+ㄴ/ETM
금액은	금액/NNG+은/JX
5조4000원에	5/SN+조/NR+4000/SN+원/NNB+에/JKB
이른다”며	이르/VV+ㄴ다/EF+”/SS+며/EC
“국민은행이	“/SS+국민은행/NNP+이/JKS
최근	최근/MAG
열심히	열심히/MAG
하고	하/VV+고/EC
있지만	있/VX+지만/EC
아직까지는	아직/MAG+까지/JX+는/JX
산업은행에	산업은행/NNP+에/JKB
미치지	미치/VV+지/EC
못한다”고	못하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.72.8.3
그러나 산업은행은 내부적으로 불안해 하고 있다.

그러나	그러나/MAJ
산업은행은	산업은행/NNP+은/JX
내부적으로	내부/NNG+적/XSN+으로/JKB
불안해	불안/NNG+하/XSA+아/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.72.8.4
지난해까지만 해도 국내 발전산업 금융을 100% 독차지했지만 올해 들어 독점 구조가 무너지고 있기 때문이다.

지난해까지만	지난해/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
국내	국내/NNG
발전산업	발전/NNG+산업/NNG
금융을	금융/NNG+을/JKO
100%	100/SN+%/SW
독차지했지만	독차지/NNG+하/XSV+았/EP+지만/EC
올해	올해/NNG
들어	들/VV+어/EC
독점	독점/NNG
구조가	구조/NNG+가/JKS
무너지고	무너지/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.72.9.1
소매금융 강화에 신경을 쓰는 강만수 회장에게 화살을 돌리는 분위기도 포착된다.

소매금융	소매/NNG+금융/NNG
강화에	강화/NNG+에/JKB
신경을	신경/NNG+을/JKO
쓰는	쓰/VV+는/ETM
강만수	강만수/NNP
회장에게	회장/NNG+에게/JKB
화살을	화살/NNG+을/JKO
돌리는	돌리/VV+는/ETM
분위기도	분위기/NNG+도/JX
포착된다.	포착/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.72.9.2
우리금융을 인수하려다 좌절했던 강만수 회장은 최근 산은금융 계열사인 대우증권에 소규모 은행 점포를 연 데 이어 전국 우체국 지점 2763곳과 자동화기기 5761대를 이용해 수수료를 물리지 않는 무료 입출금 서비스를 내놓으며 소매금융 행보를 이어가고 있다.

우리금융을	우리금융/NNP+을/JKO
인수하려다	인수/NNG+하/XSV+려다/EC
좌절했던	좌절/NNG+하/XSV+았/EP+던/ETM
강만수	강만수/NNP
회장은	회장/NNG+은/JX
최근	최근/MAG
산은금융	산은금융/NNP
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
대우증권에	대우증권/NNP+에/JKB
소규모	소/XPN+규모/NNG
은행	은행/NNG
점포를	점포/NNG+를/JKO
연	열/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
전국	전국/NNG
우체국	우체국/NNG
지점	지점/NNG
2763곳과	2763/SN+곳/NNG+과/JKB
자동화기기	자동/NNG+화/XSN+기기/NNG
5761대를	5761/SN+대/NNB+를/JKO
이용해	이용/NNG+하/XSV+아/EC
수수료를	수수료/NNG+를/JKO
물리지	물리/VV+지/EC
않는	않/VX+는/ETM
무료	무료/NNG
입출금	입출금/NNG
서비스를	서비스/NNG+를/JKO
내놓으며	내놓/VV+으며/EC
소매금융	소매/NNG+금융/NNG
행보를	행보/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.72.9.3
산은금융의 한 관계자는 “강 회장이 주업(기업금융)을 다져나가기보다 부업(소매금융)에 신경을 쓰다 보니 산업은행의 강점을 다른 시중은행에 뺏기고 있다는 지적이 나온다”고 말했다.

산은금융의	산은금융/NNP+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“강	“/SS+강/NNP
회장이	회장/NNG+이/JKS
주업(기업금융)을	주업/NNG+(/SS+기업/NNG+금융/NNG+)/SS+을/JKO
다져나가기보다	다지/VV+어/EC+나가/VX+기/ETN+보다/JKB
부업(소매금융)에	부업/NNG+(/SS+소매/NNG+금융/NNG+)/SS+에/JKB
신경을	신경/NNG+을/JKO
쓰다	쓰/VV+다/EC
보니	보/VX+니/EC
산업은행의	산업은행/NNP+의/JKG
강점을	강점/NNG+을/JKO
다른	다른/MMD
시중은행에	시중/NNG+은행/NNG+에/JKB
뺏기고	뺏기/VV+고/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
나온다”고	나오/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


