# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.235
metadata : {}


# id : NWRW1800000046.235.1.1
청용, 너마저… 발목 다쳐 대표팀 제외

청용,	청용/NNP+,/SP
팰리스·사진)이	팰리스/NNP+·/SP+사진/NNG+)/SS+이/JKS
이번	이번/NNG
대표팀	대표/NNG+팀/NNG
명단에서	명단/NNG+에서/JKB
제외됐다"며	제외/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"이에	"/SS+이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
대체	대체/NNG
발탁은	발탁/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.235.4.2
이청용은 발목 염좌로 2주 진단을 받았다.

이청용은	이청용/NNP+은/JX
발목	발목/NNG
염좌로	염좌/NNG+로/JKB
2주	2/SN+주/NNB
진단을	진단/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.235.5.1
손흥민(토트넘)의 대표팀 합류 여부도 불투명하다.

손흥민(토트넘)의	손흥민/NNP+(/SS+토트넘/NNP+)/SS+의/JKG
대표팀	대표/NNG+팀/NNG
합류	합류/NNG
여부도	여부/NNG+도/JX
불투명하다.	불/XPN+투명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.235.5.2
손흥민은 지난 27일 맨체스터 시티와의 프리미어리그 경기에서 발을 다쳤다.

손흥민은	손흥민/NNP+은/JX
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
맨체스터	맨체스터/NNP
시티와의	시티/NNP+와/JKB+의/JKG
프리미어리그	프리미어리그/NNG
경기에서	경기/NNG+에서/JKB
발을	발/NNG+을/JKO
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.235.5.3
마우리시오 포체티노 토트넘 감독은 1일 AS모나코와의 유로파리그 원정 경기를 앞둔 기자회견에서 "손흥민이 발을 다쳐 잉글랜드에 남았다"며 "국가대표 합류도 불가능할 것"이라고 밝혔다.

마우리시오	마우리시오/NNP
포체티노	포체티노/NNP
토트넘	토트넘/NNP
감독은	감독/NNG+은/JX
1일	1/SN+일/NNB
AS모나코와의	AS/SL+모나코/NNP+와/JKB+의/JKG
유로파리그	유로파/NNP+리그/NNG
원정	원정/NNG
경기를	경기/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"손흥민이	"/SS+손흥민/NNP+이/JKS
발을	발/NNG+을/JKO
다쳐	다치/VV+어/EC
잉글랜드에	잉글랜드/NNP+에/JKB
남았다"며	남/VV+았/EP+다/EF+"/SS+며/EC
"국가대표	"/SS+국가/NNG+대표/NNG
합류도	합류/NNG+도/JX
불가능할	불/XPN+가능/NNG+하/XSA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.235.5.4
그는 "손흥민의 부상 회복엔 몇 주가 걸릴 것 같다"고 덧붙였다.

그는	그/NP+는/JX
"손흥민의	"/SS+손흥민/NNP+의/JKG
부상	부상/NNG
회복엔	회복/NNG+에/JKB+ㄴ/JX
몇	몇/NR
주가	주/NNB+가/JKS
걸릴	걸리/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.235.6.1
축구협회는 이에 대해 "손흥민의 경우 경과를 지켜보는 상황이기 때문에 소집 가능 여부는 추후 결정할 예정"이라고 밝혔다.

축구협회는	축구협회/NNP+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
"손흥민의	"/SS+손흥민/NNP+의/JKG
경우	경우/NNG
경과를	경과/NNG+를/JKO
지켜보는	지켜보/VV+는/ETM
상황이기	상황/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
소집	소집/NNG
가능	가능/NNG
여부는	여부/NNG+는/JX
추후	추후/NNG
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.235.7.1
대표팀의 주전 날개 공격수로 최근 좋은 결정력을 보인 손흥민과 이청용이 동시에 빠진다면 슈틸리케호로선 비상일 수밖에 없다.

대표팀의	대표/NNG+팀/NNG+의/JKG
주전	주전/NNG
날개	날개/NNG
공격수로	공격수/NNG+로/JKB
최근	최근/MAG
좋은	좋/VA+은/ETM
결정력을	결정력/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
손흥민과	손흥민/NNP+과/JC
이청용이	이청용/NNP+이/JKS
동시에	동시/NNG+에/JKB
빠진다면	빠지/VV+ㄴ다면/EC
슈틸리케호로선	슈틸리케호/NNP+로서/JKB+ㄴ/JX
비상일	비상/NNG+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.235.7.2
쿠웨이트는 한국과 함께 나란히 3연승을 달리는 G조의 강팀이다.

쿠웨이트는	쿠웨이트/NNP+는/JX
한국과	한국/NNP+과/JKB
함께	함께/MAG
나란히	나란히/MAG
3연승을	3/SN+연승/NNG+을/JKO
달리는	달리/VV+는/ETM
G조의	G/SL+조/NNG+의/JKG
강팀이다.	강팀/NNG+이/VCP+다/EF+./SF


