# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.213
metadata : {}


# id : NWRW1800000026.213.1.1
[뉴스 블로그] 자동차 보험업계 공공의 적 'ND효과(내비게이션+DMB)'

[뉴스	[/SS+뉴스/NNG
사고가	사고/NNG+가/JKS
늘어	늘/VV+어/EC
이유를	이유/NNG+를/JKO
고민하던	고민/NNG+하/XSV+던/ETM
보험	보험/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
만들어냈다고	만들/VV+어/EC+내/VX+었/EP+다고/EC
하네요.	하/VV+네/EF+요/JX+./SF


# id : NWRW1800000026.213.2.4
지난해 교통사고가 약 8% 증가하고 올해도 증가 추세가 계속되는 두 가지 원흉이 바로 내비게이션과 DMB라는 겁니다.

지난해	지난해/NNG
교통사고가	교통사고/NNG+가/JKS
약	약/MMA
8%	8/SN+%/SW
증가하고	증가/NNG+하/XSV+고/EC
올해도	올해/NNG+도/JX
증가	증가/NNG
추세가	추세/NNG+가/JKS
계속되는	계속/NNG+되/XSV+는/ETM
두	두/MMN
가지	가지/NNB
원흉이	원흉/NNG+이/JKS
바로	바로/MAG
내비게이션과	내비게이션/NNG+과/JC
DMB라는	DMB/SL+이/VCP+라는/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.213.3.1
자동차 보험통(通)인 E보험사의 한 임원은 "최근 교통사고 증가 추세는 단순히 경기가 회복돼서 차량 운행이 늘었기 때문이라고 설명하기엔 다소 부족하다"면서 "DMB와 내비게이션 같은 첨단 IT기기가 교통사고 증가에 적잖은 영향을 주는 것 같다"고 말했습니다.

자동차	자동차/NNG
보험통(通)인	보험통/NNG+(/SS+通/SH+)/SS+이/VCP+ㄴ/ETM
E보험사의	E/SL+보험사/NNG+의/JKG
한	한/MMN
임원은	임원/NNG+은/JX
"최근	"/SS+최근/NNG
교통사고	교통사고/NNG
증가	증가/NNG
추세는	추세/NNG+는/JX
단순히	단순히/MAG
경기가	경기/NNG+가/JKS
회복돼서	회복/NNG+되/XSV+어서/EC
차량	차량/NNG
운행이	운행/NNG+이/JKS
늘었기	늘/VV+었/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
설명하기엔	설명/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
다소	다소/MAG
부족하다"면서	부족/NNG+하/XSA+다/EF+"/SS+면서/EC
"DMB와	"/SS+DMB/SL+와/JC
내비게이션	내비게이션/NNG
같은	같/VA+은/ETM
첨단	첨단/NNG
IT기기가	IT/SL+기기/NNG+가/JKS
증가에	증가/NNG+에/JKB
적잖은	적잖/VA+은/ETM
영향을	영향/NNG+을/JKO
주는	주/VV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했습니다.	말/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.213.4.1
내비게이션은 본래 낯선 곳에서 목적지를 찾아가야 하는 운전자에게 도움을 주는 편의장치죠.

내비게이션은	내비게이션/NNG+은/JX
본래	본래/MAG
낯선	낯설/VA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
목적지를	목적지/NNG+를/JKO
찾아가야	찾아가/VV+아야/EC
하는	하/VX+는/ETM
운전자에게	운전자/NNG+에게/JKB
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
편의장치죠.	편의/NNG+장치/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000026.213.4.2
하지만 우리나라에선 속도위반 등 단속 카메라 위치를 알려주는 영리한 도우미 역할을 합니다.

하지만	하지만/MAJ
우리나라에선	우리나라/NNG+에서/JKB+ㄴ/JX
속도위반	속도위반/NNG
등	등/NNB
단속	단속/NNG
카메라	카메라/NNG
위치를	위치/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
영리한	영리하/VA+ㄴ/ETM
도우미	도우미/NNG
역할을	역할/NNG+을/JKO
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.213.4.3
손해보험협회 관계자는 "내비게이션이 없었을 땐 단속 카메라가 어디 있는지 모르니까 늘 조심조심 운전했지만, 지금은 카메라가 없다는 걸 알고 가속페달을 마구 밟기 때문에 사고 위험이 더 높아졌다"고 설명했습니다.

손해보험협회	손해보험협회/NNP
관계자는	관계자/NNG+는/JX
"내비게이션이	"/SS+내비게이션/NNG+이/JKS
없었을	없/VA+었/EP+을/ETM
땐	때/NNG+ㄴ/JX
단속	단속/NNG
카메라가	카메라/NNG+가/JKS
어디	어디/NP
있는지	있/VA+는지/EF
모르니까	모르/VV+니까/EC
늘	늘/MAG
조심조심	조심조심/MAG
운전했지만,	운전/NNG+하/XSV+았/EP+지만/EC+,/SP
지금은	지금/NNG+은/JX
없다는	없/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
알고	알/VV+고/EC
가속페달을	가속/NNG+페달/NNG+을/JKO
마구	마구/MAG
밟기	밟/VV+기/ETN
때문에	때문/NNB+에/JKB
사고	사고/NNG
위험이	위험/NNG+이/JKS
더	더/MAG
높아졌다"고	높아지/VV+었/EP+다/EF+"/SS+고/JKQ
설명했습니다.	설명/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.213.4.4
인간에게 도움이 되어야 할 기계가 오히려 운전자 안전에는 역(逆)효과를 낸다는 거죠.

인간에게	인간/NNG+에게/JKB
도움이	도움/NNG+이/JKC
되어야	되/VV+어야/EC
할	하/VX+ㄹ/ETM
기계가	기계/NNG+가/JKS
오히려	오히려/MAG
운전자	운전자/NNG
안전에는	안전/NNG+에/JKB+는/JX
역(逆)효과를	역/NA+(/SS+逆/SH+)/SS+효과/NNG+를/JKO
낸다는	내/VV+ㄴ다는/ETM
거죠.	거/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000026.213.5.1
운전 중 DMB에 한눈을 파는 사람들이 늘어나는 것도 교통사고 증가 요인으로 꼽힙니다.

운전	운전/NNG
중	중/NNB
DMB에	DMB/SL+에/JKB
한눈을	한눈/NNG+을/JKO
파는	팔/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늘어나는	늘어나/VV+는/ETM
것도	것/NNB+도/JX
교통사고	교통사고/NNG
증가	증가/NNG
요인으로	요인/NNG+으로/JKB
꼽힙니다.	꼽히/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.213.5.2
우리나라 운전자 3명 중 1명꼴로 DMB 단말기를 보유하고 있습니다.

우리나라	우리나라/NNG
운전자	운전자/NNG
3명	3/SN+명/NNB
중	중/NNB
1명꼴로	1/SN+명/NNB+꼴/XSN+로/JKB
DMB	DMB/SL
단말기를	단말기/NNG+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000026.213.5.3
도로에 나가면 DMB를 시청하면서 아찔한 곡예 운전을 펼치는 사람들을 심심치 않게 만납니다.

도로에	도로/NNG+에/JKB
나가면	나가/VV+면/EC
DMB를	DMB/SL+를/JKO
시청하면서	시청/NNG+하/XSV+면서/EC
아찔한	아찔/MAG+하/XSA+ㄴ/ETM
곡예	곡예/NNG
운전을	운전/NNG+을/JKO
펼치는	펼치/VV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
심심치	심심하/VA+지/EC
않게	않/VX+게/EC
만납니다.	만나/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.213.5.4
운전 중 DMB 시청은 면허취소 사유에 해당하는 음주운전(혈중알코올농도 0.1% 상태)보다도 더 위험한 수준인데도 말이죠.

운전	운전/NNG
중	중/NNB
DMB	DMB/SL
시청은	시청/NNG+은/JX
면허취소	면허/NNG+취소/NNG
사유에	사유/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
음주운전(혈중알코올농도	음주/NNG+운전/NNG+(/SS+혈중/NNG+알코올/NNG+농도/NNG
0.1%	0/SN+./SP+1/SN+%/SW
상태)보다도	상태/NNG+)/SS+보다/JKB+도/JX
더	더/MAG
위험한	위험/NNG+하/XSA+ㄴ/ETM
수준인데도	수준/NNG+이/VCP+ㄴ데/EC+도/JX
말이죠.	말/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000026.213.5.5
하지만 아직까지 우리나라는 운전자 DMB시청에 관한 규제책이 마련돼 있지 않습니다.

하지만	하지만/MAJ
아직까지	아직/MAG+까지/JX
우리나라는	우리나라/NNG+는/JX
운전자	운전자/NNG
DMB시청에	DMB/SL+시청/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
규제책이	규제책/NNG+이/JKS
마련돼	마련/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000026.213.5.6
반면 일본 등 선진국에선 운전자 주행 중 화상장치 시청을 규제하고 있습니다.

반면	반면/NNG
일본	일본/NNP
등	등/NNB
선진국에선	선진국/NNG+에서/JKB+ㄴ/JX
운전자	운전자/NNG
주행	주행/NNG
중	중/NNB
화상장치	화상/NNG+장치/NNG
시청을	시청/NNG+을/JKO
규제하고	규제/NNG+하/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000026.213.6.1
김인석 삼성교통안전문화연구소 박사는 "내비게이션과 DMB를 비롯, 스마트폰까지 차량 내 편의장치들은 운전자의 주의를 흩트려 사고 위험을 높인다"면서 "한국은 IT 강국이라면서 정작 이용자들의 안전에 대한 부분은 신경을 쓰지 않고 있다"고 지적했습니다.

김인석	김인석/NNP
삼성교통안전문화연구소	삼성교통안전문화연구소/NNP
박사는	박사/NNG+는/JX
"내비게이션과	"/SS+내비게이션/NNG+과/JC
DMB를	DMB/SL+를/JKO
비롯,	비롯/XR+,/SP
스마트폰까지	스마트폰/NNG+까지/JX
차량	차량/NNG
내	내/NNB
편의장치들은	편의/NNG+장치/NNG+들/XSN+은/JX
운전자의	운전자/NNG+의/JKG
주의를	주의/NNG+를/JKO
흩트려	흩트리/VV+어/EC
사고	사고/NNG
위험을	위험/NNG+을/JKO
높인다"면서	높이/VV+ㄴ다/EF+"/SS+면서/EC
"한국은	"/SS+한국/NNP+은/JX
IT	IT/SL
강국이라면서	강국/NNG+이/VCP+라면서/EC
정작	정작/MAG
이용자들의	이용자/NNG+들/XSN+의/JKG
안전에	안전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부분은	부분/NNG+은/JX
신경을	신경/NNG+을/JKO
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
지적했습니다.	지적/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.213.6.2
운전 중 DMB 시청이나 내비게이션에 의지한 과속 운전 등은 운전자 본인뿐 아니라 다른 사람의 인생까지 송두리째 망가뜨릴 수 있는 나쁜 습관인 만큼 반드시 바로잡는 게 좋겠습니다.

운전	운전/NNG
중	중/NNB
DMB	DMB/SL
시청이나	시청/NNG+이나/JC
내비게이션에	내비게이션/NNG+에/JKB
의지한	의지/NNG+하/XSV+ㄴ/ETM
과속	과속/NNG
등은	등/NNB+은/JX
운전자	운전자/NNG
본인뿐	본인/NNG+뿐/JX
아니라	아니/VCN+라/EC
다른	다른/MMD
사람의	사람/NNG+의/JKG
인생까지	인생/NNG+까지/JX
송두리째	송두리/NNG+째/XSN
망가뜨릴	망가뜨리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
나쁜	나쁘/VA+ㄴ/ETM
습관인	습관/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
반드시	반드시/MAG
바로잡는	바로잡/VV+는/ETM
게	거/NNB+이/JKS
좋겠습니다.	좋/VA+겠/EP+습니다/EF+./SF


