# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.5
metadata : {}


# id : NWRW1800000041.5.1.1
현대오일뱅크-롯데케미칼 합작 ‘현대케미칼’ 출범

현대오일뱅크-롯데케미칼	현대오일뱅크/NNP+-/SO+롯데케미칼/NNP
현대케미칼은 이 공장에서 매년 혼합자일렌 100만 t을 생산해 롯데케미칼 및 현대오일뱅크 자회사인 현대코스모에 공급한다.

현대케미칼은	현대케미칼/NNP+은/JX
이	이/MMD
공장에서	공장/NNG+에서/JKB
매년	매년/MAG
혼합자일렌	혼합/NNG+자일렌/NNG
100만	100/SN+만/NR
t을	t/SL+을/JKO
생산해	생산/NNG+하/XSV+아/EC
롯데케미칼	롯데케미칼/NNP
및	및/MAG
현대오일뱅크	현대오일뱅크/NNP
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
현대코스모에	현대코스모/NNP+에/JKB
공급한다.	공급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.5.5.2
혼합자일렌은 합성섬유나 플라스틱, 휘발유 첨가제 등의 원료다.

혼합자일렌은	혼합/NNG+자일렌/NNG+은/JX
합성섬유나	합성/NNG+섬유/NNG+나/JC
플라스틱,	플라스틱/NNG+,/SP
휘발유	휘발유/NNG
첨가제	첨가제/NNG
등의	등/NNB+의/JKG
원료다.	원료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.5.5.3
지금까지 혼합자일렌을 대부분 수입에 의존했던 현대오일뱅크와 롯데케미칼은 이번 합작을 통해 안정적으로 물량을 확보할 수 있게 됐다.

지금까지	지금/NNG+까지/JX
혼합자일렌을	혼합/NNG+자일렌/NNG+을/JKO
대부분	대/XPN+부분/NNG
수입에	수입/NNG+에/JKB
의존했던	의존/NNG+하/XSV+았/EP+던/ETM
현대오일뱅크와	현대오일뱅크/NNP+와/JC
롯데케미칼은	롯데케미칼/NNP+은/JX
이번	이번/NNG
합작을	합작/NNG+을/JKO
통해	통하/VV+아/EC
안정적으로	안정/NNG+적/XSN+으로/JKB
물량을	물량/NNG+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.5.6.1
또 이 공장에서 생산되는 등유 및 경유(하루 생산량 6만 배럴)는 현대오일뱅크가 전량 수출한다.

또	또/MAG
이	이/MMD
공장에서	공장/NNG+에서/JKB
생산되는	생산/NNG+되/XSV+는/ETM
등유	등유/NNG
및	및/MAG
경유(하루	경유/NNG+(/SS+하루/NNG
생산량	생산량/NNG
6만	6/SN+만/NR
배럴)는	배럴/NNB+)/SS+는/JX
현대오일뱅크가	현대오일뱅크/NNP+가/JKS
전량	전량/NNG
수출한다.	수출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.5.6.2
경질나프타(연산 100만 t 규모)는 롯데케미칼이 공급 받는다.

경질나프타(연산	경질/NNG+나프타/NNG+(/SS+연산/NNG
100만	100/SN+만/NR
t	t/SW
규모)는	규모/NNG+)/SS+는/JX
롯데케미칼이	롯데케미칼/NNP+이/JKS
공급	공급/NNG
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000041.5.7.1
두 회사는 현대케미칼 설립을 통해 연간 2조 원의 수입 대체 효과를 거둘 것으로 예상했다.

두	두/MMN
회사는	회사/NNG+는/JX
현대케미칼	현대케미칼/NNP
설립을	설립/NNG+을/JKO
통해	통하/VV+아/EC
연간	연간/NNG
2조	2/SN+조/NR
원의	원/NNB+의/JKG
수입	수입/NNG
대체	대체/NNG
효과를	효과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.5.7.2
등유 및 경유 판매를 통한 수출 증대 효과도 연간 3조 원에 이를 것으로 추산하고 있다.

등유	등유/NNG
및	및/MAG
경유	경유/NNG
판매를	판매/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
수출	수출/NNG
증대	증대/NNG
효과도	효과/NNG+도/JX
연간	연간/NNG
3조	3/SN+조/NR
원에	원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산하고	추산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.5.8.1
이번 합작법인 설립은 두 업체가 대산석유화학단지에 함께 공장을 둔 인연으로 성사됐다.

이번	이번/NNG
합작법인	합작/NNG+법인/NNG
설립은	설립/NNG+은/JX
두	두/MMN
업체가	업체/NNG+가/JKS
대산석유화학단지에	대산/NNP+석유/NNG+화학/NNG+단지/NNG+에/JKB
함께	함께/MAG
공장을	공장/NNG+을/JKO
둔	두/VV+ㄴ/ETM
인연으로	인연/NNG+으로/JKB
성사됐다.	성사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.5.8.2
권 사장은 “지리적 이점과 서로의 강점을 활용한 협력관계를 지속적으로 확대해 나갈 것”이라고 말했다.

권	권/NNP
사장은	사장/NNG+은/JX
“지리적	“/SS+지리/NNG+적/XSN
이점과	이점/NNG+과/JC
서로의	서로/NNG+의/JKG
강점을	강점/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
협력관계를	협력/NNG+관계/NNG+를/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
확대해	확대/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.5.8.3
허 사장은 “이번 합작이 두 회사가 지속 성장하는 발판이 되고 시장 경쟁력을 높이는 모범 사례가 되길 바란다”고 강조했다.

허	허/NNP
사장은	사장/NNG+은/JX
“이번	“/SS+이번/NNG
합작이	합작/NNG+이/JKS
두	두/MMN
회사가	회사/NNG+가/JKS
지속	지속/NNG
성장하는	성장/NNG+하/XSV+는/ETM
발판이	발판/NNG+이/JKC
되고	되/VV+고/EC
시장	시장/NNG
경쟁력을	경쟁력/NNG+을/JKO
높이는	높이/VV+는/ETM
모범	모범/NNG
사례가	사례/NNG+가/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


