# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.245
metadata : {}


# id : NWRW1800000041.245.1.1
[그런거 野]FA, 대박과 도박 사이

[그런거	[/SS+그런/MMD+거/NNB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.245.3.1
▷올 시즌 전체 576경기 가운데 40% 가까운 218경기(37.8%)를 소화한 2일 현재 이들은 몸값에 걸맞은 활약을 보여주고 있을까.

▷올	▷/SW+올/NNG
시즌	시즌/NNG
전체	전체/NNG
576경기	576/SN+경기/NNG
가운데	가운데/NNG
40%	40/SN+%/SW
가까운	가깝/VA+ㄴ/ETM
218경기(37.8%)를	218/SN+경기/NNG+(/SS+37/SN+./SP+8/SN+%/SW+)/SS+를/JKO
소화한	소화/NNG+하/XSV+ㄴ/ETM
2일	2/SN+일/NNB
현재	현재/MAG
이들은	이/NP+들/XSN+은/JX
몸값에	몸값/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
활약을	활약/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있을까.	있/VX+을까/EF+./SF


# id : NWRW1800000041.245.3.2
4년 동안 75억 원을 받기로 한 롯데 강민호부터 그렇지 못한 것 같다.

4년	4/SN+년/NNB
동안	동안/NNG
75억	75/SN+억/NR
원을	원/NNB+을/JKO
받기로	받/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
롯데	롯데/NNP
강민호부터	강민호/NNP+부터/JX
그렇지	그렇/VA+지/EC
못한	못하/VX+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000041.245.3.3
강민호는 타율 0.229, 6홈런, 18타점, 출루율 0.320(57위)을 기록하고 있다.

강민호는	강민호/NNP+는/JX
타율	타율/NNG
0.229,	0/SN+./SP+229/SN+,/SP
6홈런,	6/SN+홈런/NNG+,/SP
18타점,	18/SN+타점/NNG+,/SP
출루율	출루/NNG+율/XSN
0.320(57위)을	0/SN+./SP+320/SN+(/SS+57/SN+위/NNB+)/SS+을/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.245.3.4
타율과 득점권 타율(0.114)은 규정 타석을 채운 60명 가운데 꼴찌다.

타율과	타율/NNG+과/JC
득점권	득점/NNG+권/XSN
타율(0.114)은	타율/NNG+(/SS+0/SN+./SP+114/SN+)/SS+은/JX
규정	규정/NNG
타석을	타석/NNG+을/JKO
채운	채우/VV+ㄴ/ETM
60명	60/SN+명/NNB
가운데	가운데/NNG
꼴찌다.	꼴찌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.3.5
반면 삼진은 49개로 3위다.

반면	반면/NNG
삼진은	삼진/NNG+은/JX
49개로	49/SN+개/NNB+로/JKB
3위다.	3/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.3.6
삼진 1위(52개)는 NC 나성범인데 그는 타율 0.356(6위), 홈런 13개(3위), 타점 44개(2위), 득점권 타율 0.472(1위)다.

삼진	삼진/NNG
1위(52개)는	1/SN+위/NNB+(/SS+52/SN+개/NNB+)/SS+는/JX
NC	NC/SL
나성범인데	나성범/NNP+이/VCP+ㄴ데/EC
그는	그/NP+는/JX
타율	타율/NNG
0.356(6위),	0/SN+./SP+356/SN+(/SS+6/SN+위/NNB+)/SS+,/SP
홈런	홈런/NNG
13개(3위),	13/SN+개/NNB+(/SS+3/SN+위/NNB+)/SS+,/SP
타점	타점/NNG
44개(2위),	44/SN+개/NNB+(/SS+2/SN+위/NNB+)/SS+,/SP
득점권	득점/NNG+권/XSN
0.472(1위)다.	0/SN+./SP+472/SN+(/SS+1/SN+위/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.3.7
물론 강민호가 도루 저지율 1위에 올라 있는 등 포수로서는 훌륭하다는 평가가 많다.

물론	물론/MAG
강민호가	강민호/NNP+가/JKS
도루	도루/NNG
저지율	저지/NNG+율/XSN
1위에	1/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
등	등/NNB
포수로서는	포수/NNG+로서/JKB+는/JX
훌륭하다는	훌륭하/VA+다는/ETM
평가가	평가/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.245.3.8
연봉 10억 원을 받는데 그마저 못하면 어떡할까.

연봉	연봉/NNG
10억	10/SN+억/NR
원을	원/NNB+을/JKO
받는데	받/VV+는데/EC
그마저	그/NP+마저/JX
못하면	못/MAG+하/XSV+면/EC
어떡할까.	어떡하/VV+ㄹ까/EF+./SF


# id : NWRW1800000041.245.3.9
나성범의 연봉은 7500만 원이다.

나성범의	나성범/NNP+의/JKG
연봉은	연봉/NNG+은/JX
7500만	7500/SN+만/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.4.1
▷연봉으로만 따지면 8억 원으로 FA 가운데 2위인 LG 이병규(9번)의 성적표도 초라하다.

▷연봉으로만	▷/SW+연봉/NNG+으로/JKB+만/JX
따지면	따지/VV+면/EC
8억	8/SN+억/NR
원으로	원/NNB+으로/JKB
FA	FA/SL
가운데	가운데/NNG
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
LG	LG/SL
이병규(9번)의	이병규/NNP+(/SS+9/SN+번/NNB+)/SS+의/JKG
성적표도	성적표/NNG+도/JX
초라하다.	초라하/VA+다/EF+./SF


# id : NWRW1800000041.245.4.2
지난해는 타율 0.348로 타격왕을 차지했지만 올해는 1할 가까이 떨어진 0.250에 그친다.

지난해는	지난해/NNG+는/JX
타율	타율/NNG
0.348로	0/SN+./SP+348/SN+로/JKB
타격왕을	타격왕/NNG+을/JKO
차지했지만	차지/NNG+하/XSV+았/EP+지만/EC
올해는	올해/NNG+는/JX
1할	1/SN+할/NNB
가까이	가까이/MAG
떨어진	떨어지/VV+ㄴ/ETM
0.250에	0/SN+./SP+250/SN+에/JKB
그친다.	그치/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.245.4.3
이병규는 종아리 근육통으로 지난달 26일 1군 엔트리에서 빠졌다.

이병규는	이병규/NNP+는/JX
종아리	종아리/NNG
근육통으로	근육통/NNG+으로/JKB
지난달	지난달/NNG
26일	26/SN+일/NNB
1군	1/SN+군/NNG
엔트리에서	엔트리/NNG+에서/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.245.4.4
삼성 박한이도 아직까지는 본전 생각을 떠올리게 하는 선수다.

삼성	삼성/NNP
박한이도	박한이/NNP+도/JX
아직까지는	아직/MAG+까지/JX+는/JX
본전	본전/NNG
생각을	생각/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
하는	하/VX+는/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.4.5
지난해에는 타율-득점-타점-출루율이 모두 30위 안에 들었지만 올해는 모두 30위 밖으로 밀려났다.

지난해에는	지난해/NNG+에/JKB+는/JX
타율-득점-타점-출루율이	타율/NNG+-/SO+득점/NNG+-/SO+타점/NNG+-/SO+출루/NNG+율/XSN+이/JKS
모두	모두/MAG
30위	30/SN+위/NNB
안에	안/NNG+에/JKB
들었지만	들/VV+었/EP+지만/EC
올해는	올해/NNG+는/JX
밖으로	밖/NNG+으로/JKB
밀려났다.	밀려나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.245.5.1
▷몸값을 하는 선수도 있다.

▷몸값을	▷/SW+몸값/NNG+을/JKO
하는	하/VV+는/ETM
선수도	선수/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.245.5.2
삼성의 왼손 투수 장원삼이 대표적이다.

삼성의	삼성/NNP+의/JKG
왼손	왼손/NNG
투수	투수/NNG
장원삼이	장원삼/NNP+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.5.3
다승 공동 선두(7승)다.

다승	다승/NNG
공동	공동/NNG
선두(7승)다.	선두/NNG+(/SS+7/SN+승/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.5.4
한화가 137억 원을 쏟아 부어 영입한 정근우(70억 원)와 이용규(67억 원)도 제 몫을 하고 있다.

한화가	한화/NNP+가/JKS
137억	137/SN+억/NR
원을	원/NNB+을/JKO
쏟아	쏟/VV+아/EC
부어	붓/VV+어/EC
영입한	영입/NNG+하/XSV+ㄴ/ETM
정근우(70억	정근우/NNP+(/SS+70/SN+억/NR
원)와	원/NNB+)/SS+와/JC
이용규(67억	이용규/NNP+(/SS+67/SN+억/NR
원)도	원/NNB+)/SS+도/JX
제	저/NP+의/JKG
몫을	몫/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.245.5.5
둘은 도루 23개(정근우 15개)와 3루타 7개(정근우 4개)를 합작하며 팀 도루의 62.2%, 팀 3루타의 63.6%를 책임졌다.

둘은	둘/NR+은/JX
도루	도루/NNG
23개(정근우	23/SN+개/NNB+(/SS+정근우/NNP
15개)와	15/SN+개/NNB+)/SS+와/JC
3루타	3루타/NNG
7개(정근우	7/SN+개/NNB+(/SS+정근우/NNP
4개)를	4/SN+개/NNB+)/SS+를/JKO
합작하며	합작/NNG+하/XSV+며/EC
팀	팀/NNG
도루의	도루/NNG+의/JKG
62.2%,	62/SN+./SP+2/SN+%/SW+,/SP
3루타의	3루타/NNG+의/JKG
63.6%를	63/SN+./SP+6/SN+%/SW+를/JKO
책임졌다.	책임지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.245.5.6
LG에서 KIA로 유니폼을 바꿔 입은 이대형도 지난해보다 훨씬 나은 모습을 보여주고 있다.

LG에서	LG/SL+에서/JKB
KIA로	KIA/SL+로/JKB
유니폼을	유니폼/NNG+을/JKO
바꿔	바꾸/VV+어/EC
입은	입/VV+은/ETM
이대형도	이대형/NNP+도/JX
지난해보다	지난해/NNG+보다/JKB
훨씬	훨씬/MAG
나은	낫/VA+은/ETM
모습을	모습/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.245.5.7
3할 가까운 타율(0.298)에 도루와 득점 모두 10위권이다.

3할	3/SN+할/NNB
가까운	가깝/VA+ㄴ/ETM
타율(0.298)에	타율/NNG+(/SS+0/SN+./SP+298/SN+)/SS+에/JKB
도루와	도루/NNG+와/JC
득점	득점/NNG
모두	모두/MAG
10위권이다.	10/SN+위/NNB+권/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.245.5.8
두산에서 NC로 이적한 이종욱과 손시헌도 화려하지는 않지만 내실 있는 방망이와 안정된 수비로 NC의 돌풍을 뒷받침하고 있다.

두산에서	두산/NNP+에서/JKB
NC로	NC/SL+로/JKB
이적한	이적/NNG+하/XSV+ㄴ/ETM
이종욱과	이종욱/NNP+과/JC
손시헌도	손시헌/NNP+도/JX
화려하지는	화려하/VA+지/EC+는/JX
않지만	않/VX+지만/EC
내실	내실/NNG
있는	있/VA+는/ETM
방망이와	방망이/NNG+와/JC
안정된	안정/NNG+되/XSV+ㄴ/ETM
수비로	수비/NNG+로/JKB
NC의	NC/SL+의/JKG
돌풍을	돌풍/NNG+을/JKO
뒷받침하고	뒷받침/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.245.6.1
▷과거에도 실패로 끝난 ‘FA 대박’은 많았다.

▷과거에도	▷/SW+과거/NNG+에/JKB+도/JX
실패로	실패/NNG+로/JKB
끝난	끝나/VV+ㄴ/ETM
‘FA	‘/SS+FA/SL
대박’은	대/XPN+박/NNG+’/SS+은/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.245.6.2
2004년 30억 원(4년)에 LG로 간 진필중은 3시즌 동안 3승 14패 15세이브에 그쳤고 처음으로 40억 원 시대(40억6000만 원·6년)를 연 롯데 정수근도 경기 외적인 문제로 숱한 구설에 오르며 두산 시절의 모습을 보여주지 못했다.

2004년	2004/SN+년/NNB
30억	30/SN+억/NR
원(4년)에	원/NNB+(/SS+4/SN+년/NNB+)/SS+에/JKB
LG로	LG/SL+로/JKB
간	가/VV+ㄴ/ETM
진필중은	진필중/NNP+은/JX
3시즌	3/SN+시즌/NNG
동안	동안/NNG
3승	3/SN+승/NNB
14패	14/SN+패/NNB
15세이브에	15/SN+세이브/NNG+에/JKB
그쳤고	그치/VV+었/EP+고/EC
처음으로	처음/NNG+으로/JKB
40억	40/SN+억/NR
원	원/NNB
시대(40억6000만	시대/NNG+(/SS+40/SN+억/NR+6000/SN+만/NR
원·6년)를	원/NNB+·/SP+6/SN+년/NNB+)/SS+를/JKO
연	열/VV+ㄴ/ETM
롯데	롯데/NNP
정수근도	정수근/NNP+도/JX
경기	경기/NNG
외적인	외/NNG+적/XSN+이/VCP+ㄴ/ETM
문제로	문제/NNG+로/JKB
숱한	숱하/VA+ㄴ/ETM
구설에	구설/NNG+에/JKB
오르며	오르/VV+며/EC
두산	두산/NNP
시절의	시절/NNG+의/JKG
모습을	모습/NNG+을/JKO
보여주지	보이/VV+어/EC+주/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.245.6.3
심정수는 계약 기간 4년 동안 평균 타율 0.254에 시즌당 15.8홈런, 50.1타점을 기록했다.

심정수는	심정수/NNP+는/JX
계약	계약/NNG
기간	기간/NNG
4년	4/SN+년/NNB
동안	동안/NNG
평균	평균/NNG
타율	타율/NNG
0.254에	0/SN+./SP+254/SN+에/JKB
시즌당	시즌/NNG+당/XSN
15.8홈런,	15/SN+./SP+8/SN+홈런/NNG+,/SP
50.1타점을	50/SN+./SP+1/SN+타점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.245.6.4
전성기였던 2003년의 타율 0.335에 53홈런, 142타점과 비교하면 초라하기 그지없다.

전성기였던	전성기/NNG+이/VCP+었/EP+던/ETM
2003년의	2003/SN+년/NNB+의/JKG
타율	타율/NNG
0.335에	0/SN+./SP+335/SN+에/JKB
53홈런,	53/SN+홈런/NNG+,/SP
142타점과	142/SN+타점/NNG+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
초라하기	초라하/VA+기/ETN
그지없다.	그지없/VA+다/EF+./SF


# id : NWRW1800000041.245.6.5
선수들은 ‘FA 대박’에 활짝 웃지만 알 수 없는 미래를 위해 ‘FA 도박’을 하는 구단은 속이 탄다.

선수들은	선수/NNG+들/XSN+은/JX
‘FA	‘/SS+FA/SL
대박’에	대/XPN+박/NNG+’/SS+에/JKB
활짝	활짝/MAG
웃지만	웃/VV+지만/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
미래를	미래/NNG+를/JKO
위해	위하/VV+아/EC
도박’을	도박/NNG+’/SS+을/JKO
하는	하/VV+는/ETM
구단은	구단/NNG+은/JX
속이	속/NNG+이/JKS
탄다.	타/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.245.6.6
매년 비슷한 일이 반복되지만 크게 달라지는 일은 없을 것 같다.

매년	매년/MAG
비슷한	비슷하/VA+ㄴ/ETM
일이	일/NNG+이/JKS
반복되지만	반복/NNG+되/XSV+지만/EC
크게	크/VA+게/EC
달라지는	달라지/VV+는/ETM
일은	일/NNG+은/JX
없을	없/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000041.245.6.7
SK 최정 등 대어급이 많이 나오는 내년 FA 시장은 역대 최고액을 또 바꿔놓을 테니까.

SK	SK/SL
최정	최정/NNP
등	등/NNB
대어급이	대어급/NNG+이/JKS
많이	많이/MAG
나오는	나오/VV+는/ETM
내년	내년/NNG
FA	FA/SL
시장은	시장/NNG+은/JX
역대	역대/NNG
최고액을	최고액/NNG+을/JKO
또	또/MAG
바꿔놓을	바꾸/VV+어/EC+놓/VX+을/ETM
테니까.	터/NNB+이/VCP+니까/EC+./SF


