# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.55
metadata : {}


# id : NWRW1800000025.55.1.1
두근두근… 조마조마… 새벽잠 설쳐도, 점심 걸러도 신났다

두근두근…	두근두근/MAG+…/SE
# id : NWRW1800000025.55.7.2
김연아의 바로 앞에서 경기를 펼친 일본의 아사다 마오가 73.78점의 높은 점수를 거두자 잠시 대합실에는 정적이 흘렀다.

김연아의	김연아/NNP+의/JKG
바로	바로/MAG
앞에서	앞/NNG+에서/JKB
경기를	경기/NNG+를/JKO
펼친	펼치/VV+ㄴ/ETM
일본의	일본/NNP+의/JKG
아사다	아사다/NNP
마오가	마오/NNP+가/JKS
73.78점의	73/SN+./SP+78/SN+점/NNB+의/JKG
높은	높/VA+은/ETM
점수를	점수/NNG+를/JKO
거두자	거두/VV+자/EC
잠시	잠시/MAG
대합실에는	대합실/NNG+에/JKB+는/JX
정적이	정적/NNG+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.7.3
하지만 이어 나온 김연아가 점프를 연달아 성공시키자 박수가 터져 나왔고 아사다보다 높은 78.50점의 점수가 발표되자 “와” 하는 함성이 터져 나왔다.

하지만	하지만/MAJ
이어	잇/VV+어/EC
나온	나오/VV+ㄴ/ETM
김연아가	김연아/NNP+가/JKS
점프를	점프/NNG+를/JKO
연달아	연달/VV+아/EC
성공시키자	성공/NNG+시키/XSV+자/EC
박수가	박수/NNG+가/JKS
터져	터지/VV+어/EC
나왔고	나오/VV+았/EP+고/EC
아사다보다	아사다/NNP+보다/JKB
높은	높/VA+은/ETM
78.50점의	78/SN+./SP+50/SN+점/NNB+의/JKG
점수가	점수/NNG+가/JKS
발표되자	발표/NNG+되/XSV+자/EC
“와”	“/SS+와/IC+”/SS
하는	하/VV+는/ETM
함성이	함성/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.55.8.1
서울 서대문구 신촌동 연세대 세브란스병원 로비의 대형 TV로 경기를 지켜보던 대기자들도 김연아가 세계 최고기록을 갈아 치우자 “잘했다” “장하다”라며 기뻐했다.

서울	서울/NNP
서대문구	서대문구/NNP
신촌동	신촌동/NNP
연세대	연세대/NNP
세브란스병원	세브란스병원/NNP
로비의	로비/NNG+의/JKG
대형	대형/NNG
TV로	TV/SL+로/JKB
경기를	경기/NNG+를/JKO
지켜보던	지켜보/VV+던/ETM
대기자들도	대기자/NNG+들/XSN+도/JX
김연아가	김연아/NNP+가/JKS
세계	세계/NNG
최고기록을	최고/NNG+기록/NNG+을/JKO
갈아	갈/VV+아/EC
치우자	치우/VX+자/EC
“잘했다”	“/SS+잘/MAG+하/XSV+았/EP+다/EF+”/SS
“장하다”라며	“/SS+장하/VA+다/EF+”/SS+이/VCP+라며/EC
기뻐했다.	기뻐하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.55.8.2
차미순 씨(65·여)는 “오른쪽 다리에 풍기가 있어 긴장하거나 신경 쓰면 더 저린다”며 “경기를 보고 있자니 하도 떨리고 다리가 저려서 볼펜으로 찔러가며 봤는데 점수가 잘 나와 좋다”며 웃었다.

차미순	차미순/NNP
씨(65·여)는	씨/NNB+(/SS+65/SN+·/SP+여/NNG+)/SS+는/JX
“오른쪽	“/SS+오른쪽/NNG
다리에	다리/NNG+에/JKB
풍기가	풍기/NNG+가/JKS
있어	있/VA+어/EC
긴장하거나	긴장/NNG+하/XSV+거나/EC
신경	신경/NNG
쓰면	쓰/VV+면/EC
더	더/MAG
저린다”며	저리/VV+ㄴ다/EF+”/SS+며/EC
“경기를	“/SS+경기/NNG+를/JKO
보고	보/VV+고/EC
있자니	있/VX+자니/EC
하도	하도/MAG
떨리고	떨리/VV+고/EC
다리가	다리/NNG+가/JKS
저려서	저리/VA+어서/EC
볼펜으로	볼펜/NNG+으로/JKB
찔러가며	찌르/VV+어/EC+가/VX+며/EC
봤는데	보/VV+았/EP+는데/EC
점수가	점수/NNG+가/JKS
잘	잘/MAG
나와	나오/VV+아/EC
좋다”며	좋/VA+다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.55.9.1
김연아의 모교와 자택이 있는 경기도의 응원 열기는 특히 남달랐다.

김연아의	김연아/NNP+의/JKG
모교와	모교/NNG+와/JC
자택이	자택/NNG+이/JKS
있는	있/VA+는/ETM
경기도의	경기도/NNP+의/JKG
응원	응원/NNG
열기는	열기/NNG+는/JX
특히	특히/MAG
남달랐다.	남다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.55.9.2
김문수 경기지사와 다문화가족, 피겨꿈나무 등 도민 300여 명이 모인 수원시 경기도청 대회의실은 김연아가 1위를 차지하자 열광의 도가니로 변했다.

김문수	김문수/NNP
경기지사와	경기/NNP+지사/NNG+와/JC
다문화가족,	다문화/NNG+가족/NNG+,/SP
피겨꿈나무	피겨/NNG+꿈나무/NNG
등	등/NNB
도민	도민/NNG
300여	300/SN+여/XSN
명이	명/NNB+이/JKS
모인	모이/VV+ㄴ/ETM
수원시	수원시/NNP
경기도청	경기도청/NNP
대회의실은	대/XPN+회의실/NNG+은/JX
김연아가	김연아/NNP+가/JKS
1위를	1/SN+위/NNB+를/JKO
차지하자	차지/NNG+하/XSV+자/EC
열광의	열광/NNG+의/JKG
도가니로	도가니/NNG+로/JKB
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.55.9.3
김연아의 모교인 경기 군포시 수리고에서도 재학생 1000여 명과 김상곤 경기도교육감 등이 체육관과 교실에 모여 손에 땀을 쥐고 경기를 지켜보다 환호했다.

김연아의	김연아/NNP+의/JKG
모교인	모교/NNG+이/VCP+ㄴ/ETM
경기	경기/NNP
군포시	군포시/NNP
수리고에서도	수리고/NNP+에서/JKB+도/JX
재학생	재학/NNG+생/XSN
1000여	1000/SN+여/XSN
명과	명/NNB+과/JC
김상곤	김상곤/NNP
경기도교육감	경기도/NNP+교육감/NNG
등이	등/NNB+이/JKS
체육관과	체육관/NNG+과/JC
교실에	교실/NNG+에/JKB
모여	모이/VV+어/EC
손에	손/NNG+에/JKB
땀을	땀/NNG+을/JKO
쥐고	쥐/VV+고/EC
경기를	경기/NNG+를/JKO
지켜보다	지켜보/VV+다/EC
환호했다.	환호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.55.10.1
김연아의 자택 부근에 위치한 군포시 다산아파트는 원래 이날 오전 9시부터 오후 6시까지 전기 배선공사가 예정돼 있었으나 “김연아 경기는 꼭 봐야 하니 전기를 끊으면 안 된다”는 주민들의 쏟아지는 항의에 결국 공사를 1주일 연기했다.

김연아의	김연아/NNP+의/JKG
자택	자택/NNG
부근에	부근/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
군포시	군포시/NNP
다산아파트는	다산/NNP+아파트/NNG+는/JX
원래	원래/MAG
이날	이날/NNG
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
전기	전기/NNG
배선공사가	배선/NNG+공사/NNG+가/JKS
예정돼	예정/NNG+되/XSV+어/EC
있었으나	있/VX+었/EP+으나/EC
“김연아	“/SS+김연아/NNP
경기는	경기/NNG+는/JX
꼭	꼭/MAG
봐야	보/VV+아야/EC
하니	하/VX+니/EC
전기를	전기/NNG+를/JKO
끊으면	끊/VV+으면/EC
안	안/MAG
된다”는	되/VV+ㄴ다/EF+”/SS+는/ETM
주민들의	주민/NNG+들/XSN+의/JKG
쏟아지는	쏟아지/VV+는/ETM
항의에	항의/NNG+에/JKB
결국	결국/MAG
공사를	공사/NNG+를/JKO
1주일	1/SN+주일/NNB
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.55.10.2
서울 종로구 청진동의 S커피전문점은 김연아의 세계 최고기록을 축하하는 뜻에서 음료수를 주문하면 아메리카노 커피를 무료로 한 잔 더 제공하기도 했다.

서울	서울/NNP
종로구	종로구/NNP
청진동의	청진동/NNP+의/JKG
S커피전문점은	S/SL+커피/NNG+전문점/NNG+은/JX
김연아의	김연아/NNP+의/JKG
세계	세계/NNG
최고기록을	최고/NNG+기록/NNG+을/JKO
축하하는	축하/NNG+하/XSV+는/ETM
뜻에서	뜻/NNG+에서/JKB
음료수를	음료수/NNG+를/JKO
주문하면	주문/NNG+하/XSV+면/EC
아메리카노	아메리카노/NNG
커피를	커피/NNG+를/JKO
무료로	무료/NNG+로/JKB
한	한/MMN
잔	잔/NNG
더	더/MAG
제공하기도	제공/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


