# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.373
metadata : {}


# id : NWRW1800000036.373.1.1
“6·15, 10·4 정신 확고히 지켜야”박근혜, MB와 ‘대북관’ 차별화

“6·15,	“/SS+6/SN+·/SP+15/SN+,/SP
확고하게	확고하/VA+게/EC
지켜야	지키/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
점을	점/NNG+을/JKO
분명히	분명히/MAG
밝힌다”고	밝히/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.373.4.1
박 비대위원장은 이날 서울 여의도 63빌딩에서 열린 ‘핵안보정상회의 기념국제학술회의’ 기조연설에서 “우리의 대북정책도 국민적 공감대를 바탕으로 일관성을 유지하면서 미래지향적으로 진화돼야 한다”며 이렇게 말했다.

박	박/NNP
비대위원장은	비대위원장/NNG+은/JX
이날	이날/NNG
서울	서울/NNP
여의도	여의도/NNP
63빌딩에서	63빌딩/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘핵안보정상회의	‘/SS+핵/NNG+안보/NNG+정상/NNG+회의/NNG
기념국제학술회의’	기념/NNG+국제/NNG+학술회의/NNG+’/SS
기조연설에서	기조연설/NNG+에서/JKB
“우리의	“/SS+우리/NP+의/JKG
대북정책도	대북/NNG+정책/NNG+도/JX
국민적	국민/NNG+적/XSN
공감대를	공감대/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
일관성을	일관/NNG+성/XSN+을/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
미래지향적으로	미래/NNG+지향/NNG+적/XSN+으로/JKB
진화돼야	진화/NNG+되/XSV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.373.4.2
이명박 정부가 그동안 북한이 요구한 ‘6·15 및 10·4 선언 이행’을 거부함으로써 남북관계가 파탄났다는 점에서 박 위원장의 이날 언급은 이명박 정부와 차별성이 있다.

이명박	이명박/NNP
정부가	정부/NNG+가/JKS
그동안	그동안/NNG
북한이	북한/NNP+이/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
‘6·15	‘/SS+6/SN+·/SP+15/SN
및	및/MAG
10·4	10/SN+·/SP+4/SN
선언	선언/NNG
이행’을	이행/NNG+’/SS+을/JKO
거부함으로써	거부/NNG+하/XSV+ㅁ/ETN+으로써/JKB
남북관계가	남북/NNP+관계/NNG+가/JKS
파탄났다는	파탄/NNG+나/VV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
박	박/NNP
위원장의	위원장/NNG+의/JKG
이날	이날/NNG
언급은	언급/NNG+은/JX
정부와	정부/NNG+와/JKB
차별성이	차별/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.373.5.1
박 위원장은 특히 “대한민국은 미국, 중국 등 주변국들과 함께 불신의 악순환을 신뢰의 선순환으로 변환시키는 대장정을 시작해야 하고, 북한의 변화를 촉진하는 ‘길잡이’ 역할을 모색해야 한다”고 지적한 뒤 이를 위한 ‘한반도 신뢰 프로세스’를 제안했다.

박	박/NNP
위원장은	위원장/NNG+은/JX
특히	특히/MAG
“대한민국은	“/SS+대한민국/NNP+은/JX
미국,	미국/NNP+,/SP
중국	중국/NNP
등	등/NNB
주변국들과	주변국/NNG+들/XSN+과/JKB
함께	함께/MAG
불신의	불신/NNG+의/JKG
악순환을	악순환/NNG+을/JKO
신뢰의	신뢰/NNG+의/JKG
선순환으로	선순환/NNG+으로/JKB
변환시키는	변환/NNG+시키/XSV+는/ETM
대장정을	대/XPN+장정/NNG+을/JKO
시작해야	시작/NNG+하/XSV+아야/EC
하고,	하/VX+고/EC+,/SP
북한의	북한/NNP+의/JKG
변화를	변화/NNG+를/JKO
촉진하는	촉진/NNG+하/XSV+는/ETM
‘길잡이’	‘/SS+길잡이/NNG+’/SS
역할을	역할/NNG+을/JKO
모색해야	모색/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적한	지적/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
위한	위하/VV+ㄴ/ETM
‘한반도	‘/SS+한반도/NNP
신뢰	신뢰/NNG
프로세스’를	프로세스/NNG+’/SS+를/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.373.5.2
‘한반도 신뢰 프로세스’와 관련해 그는 “서로 약속을 지키는 데서 시작해야 한다”며 “지금까지 남북한 간에, 그리고 북한이 국제사회와 합의한 기존의 약속들은 기본적으로 존중되어야 한다”고 강조했다.

‘한반도	‘/SS+한반도/NNP
신뢰	신뢰/NNG
프로세스’와	프로세스/NNG+’/SS+와/JKB
관련해	관련/NNG+하/XSV+아/EC
그는	그/NP+는/JX
“서로	“/SS+서로/MAG
약속을	약속/NNG+을/JKO
지키는	지키/VV+는/ETM
데서	데/NNB+서/JKB
시작해야	시작/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“지금까지	“/SS+지금/NNG+까지/JX
남북한	남북한/NNP
간에,	간/NNB+에/JKB+,/SP
그리고	그리고/MAJ
북한이	북한/NNP+이/JKS
국제사회와	국제/NNG+사회/NNG+와/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
기존의	기존/NNG+의/JKG
약속들은	약속/NNG+들/XSN+은/JX
기본적으로	기본/NNG+적/XSN+으로/JKB
존중되어야	존중/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.373.6.1
박 위원장은 이어 “천안함과 연평도 공격으로 불신이 깊어진 남북관계를 조속히 회복하고, 지속가능한 평화와 공동발전의 길로 접어들 수 있도록 저와 새누리당은 열린 자세로 북한의 변화를 위한 노력을 지원하고 협력할 용의가 있다”고 밝혔다.

박	박/NNP
위원장은	위원장/NNG+은/JX
이어	이어/MAG
“천안함과	“/SS+천안함/NNP+과/JC
연평도	연평도/NNP
공격으로	공격/NNG+으로/JKB
불신이	불신/NNG+이/JKS
깊어진	깊어지/VV+ㄴ/ETM
남북관계를	남북/NNP+관계/NNG+를/JKO
조속히	조속히/MAG
회복하고,	회복/NNG+하/XSV+고/EC+,/SP
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
평화와	평화/NNG+와/JC
공동발전의	공동/NNG+발전/NNG+의/JKG
길로	길/NNG+로/JKB
접어들	접어들/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
저와	저/NP+와/JC
새누리당은	새누리당/NNP+은/JX
열린	열리/VV+ㄴ/ETM
자세로	자세/NNG+로/JKB
북한의	북한/NNP+의/JKG
변화를	변화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
노력을	노력/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
협력할	협력/NNG+하/XSV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.373.7.1
한명숙 민주통합당 대표도 이날 같은 학술회의 기조연설에서 “북한의 실질적 비핵화를 이뤄내기 위해서는 남북협력을 확대하고 심화시켜야 한다”며 “새로 등장한 북한 지도자와 대화해야 한다”고 밝혔다.

한명숙	한명숙/NNP
민주통합당	민주통합당/NNP
대표도	대표/NNG+도/JX
이날	이날/NNG
같은	같/VA+은/ETM
학술회의	학술회의/NNG
기조연설에서	기조연설/NNG+에서/JKB
“북한의	“/SS+북한/NNP+의/JKG
실질적	실질/NNG+적/XSN
비핵화를	비핵/NNG+화/XSN+를/JKO
이뤄내기	이루/VV+어/EC+내/VX+기/ETN
위해서는	위하/VV+아서/EC+는/JX
남북협력을	남북/NNP+협력/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
심화시켜야	심화/NNG+시키/XSV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“새로	“/SS+새로/MAG
등장한	등장/NNG+하/XSV+ㄴ/ETM
북한	북한/NNP
지도자와	지도자/NNG+와/JKB
대화해야	대화/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.373.8.1
한 대표는 “북한의 변화를 기다리기만 하는 이명박 정부의 대북정책은 실패했다”며 “민주당은 남북관계 정상화를 추진하고, 남북관계를 가로막고 있는 ‘5·24 대북 제재조치’의 철회를 주도하겠다”고 말했다.

한	한/NNP
대표는	대표/NNG+는/JX
“북한의	“/SS+북한/NNP+의/JKG
변화를	변화/NNG+를/JKO
기다리기만	기다리/VV+기/ETN+만/JX
하는	하/VX+는/ETM
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
대북정책은	대북/NNG+정책/NNG+은/JX
실패했다”며	실패/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“민주당은	“/SS+민주당/NNP+은/JX
남북관계	남북/NNP+관계/NNG
정상화를	정상/NNG+화/XSN+를/JKO
추진하고,	추진/NNG+하/XSV+고/EC+,/SP
남북관계를	남북/NNP+관계/NNG+를/JKO
가로막고	가로막/VV+고/EC
있는	있/VX+는/ETM
‘5·24	‘/SS+5/SN+·/SP+24/SN
대북	대북/NNG
제재조치’의	제재/NNG+조치/NNG+’/SS+의/JKG
철회를	철회/NNG+를/JKO
주도하겠다”고	주도/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


