# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.89
metadata : {}


# id : NWRW1800000054.89.1.1
'가성비' 좋은 맛집 찾으시나요?

'가성비'	'/SS+가성비/NNG+'/SS
이 중 전통 음식 국밥의 약진이 돋보인다.

이	이/NP
중	중/NNB
전통	전통/NNG
음식	음식/NNG
국밥의	국밥/NNG+의/JKG
약진이	약진/NNG+이/JKS
돋보인다.	돋보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.89.4.3
80년 전통의 서울 곰탕집 '하동관', 1949년 개업한 설렁탕집 '마포옥', 돼지 살코기로 끓이는 신개념 돼지국밥 '옥동식' 등 3곳이 새롭게 빕 구르망에 선정됐고, 지난해 선정된 '대성집'(도가니탕)·'이문 설렁탕'까지 합치면 총 5개 국밥집이 올해 빕 구르망 명단에 이름을 올렸다.

80년	80/SN+년/NNB
전통의	전통/NNG+의/JKG
서울	서울/NNP
곰탕집	곰탕집/NNG
'하동관',	'/SS+하동관/NNP+'/SS+,/SP
1949년	1949/SN+년/NNB
개업한	개업/NNG+하/XSV+ㄴ/ETM
설렁탕집	설렁탕/NNG+집/NNG
'마포옥',	'/SS+마포옥/NNP+'/SS+,/SP
돼지	돼지/NNG
살코기로	살코기/NNG+로/JKB
끓이는	끓이/VV+는/ETM
신개념	신/XPN+개념/NNG
돼지국밥	돼지국밥/NNG
'옥동식'	'/SS+옥동식/NNP+'/SS
등	등/NNB
3곳이	3/SN+곳/NNG+이/JKS
새롭게	새롭/VA+게/EC
빕	빕/NNG
구르망에	구르망/NNG+에/JKB
선정됐고,	선정/NNG+되/XSV+었/EP+고/EC+,/SP
지난해	지난해/NNG
선정된	선정/NNG+되/XSV+ㄴ/ETM
'대성집'(도가니탕)·'이문	'/SS+대성집/NNP+'/SS+(/SS+도가니탕/NNG+)/SS+·/SP+'/SS+이문/NNP
설렁탕'까지	설렁탕/NNG+'/SS+까지/JX
합치면	합치/VV+면/EC
총	총/MMA
5개	5/SN+개/NNB
국밥집이	국밥집/NNG+이/JKS
올해	올해/NNG
구르망	구르망/NNG
명단에	명단/NNG+에/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.89.5.1
미쉐린코리아 측은 "한국인의 '솔(soul) 푸드'인 국밥을 자신들만의 노하우로 잘 풀어냈다"고 평가했다.

미쉐린코리아	미쉐린코리아/NNP
측은	측/NNB+은/JX
"한국인의	"/SS+한국인/NNG+의/JKG
'솔(soul)	'/SS+솔/NNG+(/SS+soul/SL+)/SS
푸드'인	푸드/NNG+'/SS+이/VCP+ㄴ/ETM
국밥을	국밥/NNG+을/JKO
자신들만의	자신/NNG+들/XSN+만/JX+의/JKG
노하우로	노하우/NNG+로/JKB
잘	잘/MAG
풀어냈다"고	풀어내/VV+었/EP+다/EF+"/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.89.5.2
평양냉면은 '남포면옥'과 '진미 평양냉면' 2곳이 새롭게 선정돼 지난해에 이어 선정된 '능라도''봉피양''정인면옥''필동면옥'을 합치면 모두 6곳으로 강세를 이어갔다.

평양냉면은	평양냉면/NNG+은/JX
'남포면옥'과	'/SS+남포면옥/NNP+'/SS+과/JC
'진미	'/SS+진미/NNP
평양냉면'	평양냉면/NNG+'/SS
2곳이	2/SN+곳/NNG+이/JKS
새롭게	새롭/VA+게/EC
선정돼	선정/NNG+되/XSV+어/EC
지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
선정된	선정/NNG+되/XSV+ㄴ/ETM
'능라도''봉피양''정인면옥''필동면옥'을	'/SS+능라도/NNP+'/SS+'/SS+봉피양/NNP+'/SS+'/SS+정인면옥/NNP+'/SS+'/SS+필동면옥/NNP+'/SS+을/JKO
합치면	합치/VV+면/EC
모두	모두/MAG
6곳으로	6/SN+곳/NNG+으로/JKB
강세를	강세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.89.6.1
'명동교자'(칼국수), '찬양집'(칼국수), '개성만두 궁' '만족 오향족발' 등 31곳은 2년 연속 이름을 올렸다.

'명동교자'(칼국수),	'/SS+명동교자/NNP+'/SS+(/SS+칼국수/NNG+)/SS+,/SP
'찬양집'(칼국수),	'/SS+찬양집/NNP+'/SS+(/SS+칼국수/NNG+)/SS+,/SP
'개성만두	'/SS+개성/NNP+만두/NNG
궁'	궁/NNP+'/SS
'만족	'/SS+만족/NNG
오향족발'	오향/NNG+족발/NNG+'/SS
등	등/NNB
31곳은	31/SN+곳/NNG+은/JX
2년	2/SN+년/NNB
연속	연속/NNG
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.89.6.2
빕 구르망 식당을 가장 많이 배출한 지역은 유서 깊은 맛집이 밀집한 종로구(14곳)로 '미진'(메밀국수), '삼청동 수제비' 등이 새로 포함됐다.

빕	빕/NNG
구르망	구르망/NNG
식당을	식당/NNG+을/JKO
가장	가장/MAG
많이	많이/MAG
배출한	배출/NNG+하/XSV+ㄴ/ETM
지역은	지역/NNG+은/JX
유서	유서/NNG
깊은	깊/VA+은/ETM
맛집이	맛집/NNG+이/JKS
밀집한	밀집/NNG+하/XSV+ㄴ/ETM
종로구(14곳)로	종로구/NNP+(/SS+14/SN+곳/NNG+)/SS+로/JKB
'미진'(메밀국수),	'/SS+미진/NNP+'/SS+(/SS+메밀국수/NNG+)/SS+,/SP
'삼청동	'/SS+삼청동/NNP
수제비'	수제비/NNG+'/SS
등이	등/NNB+이/JKS
새로	새로/MAG
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.89.6.3
중구가 8곳으로 뒤를 이었다.

중구가	중구/NNP+가/JKS
8곳으로	8/SN+곳/NNG+으로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.89.7.1
식당을 별 1~3개로 평가한 '본편' 격인 '미쉐린 가이드 서울 2018'은 8일 공개된다.

식당을	식당/NNG+을/JKO
별	별/NNG
1~3개로	1/SN+~/SO+3/SN+개/NNB+로/JKB
평가한	평가/NNG+하/XSV+ㄴ/ETM
'본편'	'/SS+본편/NNG+'/SS
격인	격/NNB+이/VCP+ㄴ/ETM
'미쉐린	'/SS+미쉐린/NNP
가이드	가이드/NNP
서울	서울/NNP
2018'은	2018/SN+'/SS+은/JX
8일	8/SN+일/NNB
공개된다.	공개/NNG+되/XSV+ㄴ다/EF+./SF


