# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.49
metadata : {}


# id : NWRW1800000033.49.1.1
中-EU ‘태양광 전쟁’

中-EU	中/SH+-/SO+EU/SL
국가가	국가/NNG+가/JKS
보조금을	보조금/NNG+을/JKO
주고	주/VV+고/EC
있어	있/VX+어/EC
중국산	중국/NNP+산/XSN
광(光)전지	광/NNG+(/SS+光/SH+)/SS+전지/NNG
수출이	수출/NNG+이/JKS
심각한	심각하/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
받고	받/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.49.4.2
선 대변인은 해당 국가를 언급하진 않았지만 신화통신은 이탈리아와 그리스를 거론했다.

선	선/NNP
대변인은	대변인/NNG+은/JX
해당	해당/NNG
국가를	국가/NNG+를/JKO
언급하진	언급/NNG+하/XSV+지/EC+ㄴ/JX
않았지만	않/VX+았/EP+지만/EC
신화통신은	신화통신/NNP+은/JX
이탈리아와	이탈리아/NNP+와/JKB
그리스를	그리스/NNP+를/JKO
거론했다.	거론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.49.4.3
이에 앞서 1일 중국은 태양광 설비의 핵심 재료인 폴리실리콘과 관련해 EU산 제품에 대한 반덤핑 조사에 착수했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
1일	1/SN+일/NNB
중국은	중국/NNP+은/JX
태양광	태양광/NNG
설비의	설비/NNG+의/JKG
핵심	핵심/NNG
재료인	재료/NNG+이/VCP+ㄴ/ETM
폴리실리콘과	폴리실리콘/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
EU산	EU/SL+산/XSN
제품에	제품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반덤핑	반/XPN+덤핑/NNG
조사에	조사/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.49.5.1
이번 제소는 EU와 미국이 중국산 태양광 패널에 제재 조치를 취하려는 데 따른 맞대응으로 해석된다.

이번	이번/NNG
제소는	제소/NNG+는/JX
EU와	EU/SL+와/JC
미국이	미국/NNP+이/JKS
중국산	중국/NNP+산/XSN
태양광	태양광/NNG
패널에	패널/NNG+에/JKB
제재	제재/NNG
조치를	조치/NNG+를/JKO
취하려는	취하/VV+려는/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
맞대응으로	맞대응/NNG+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.49.5.2
EU집행위원회는 9월 중국 태양광 패널 제조업체들의 덤핑 여부를 조사하겠다고 밝혔으며 미국도 지난달 10일 중국산 제품에 250%의 관세를 부과할 방침을 밝혔다.

EU집행위원회는	EU/SL+집행/NNG+위원회/NNG+는/JX
9월	9/SN+월/NNB
중국	중국/NNP
태양광	태양광/NNG
패널	패널/NNG
제조업체들의	제조업체/NNG+들/XSN+의/JKG
덤핑	덤핑/NNG
여부를	여부/NNG+를/JKO
조사하겠다고	조사/NNG+하/XSV+겠/EP+다고/EC
밝혔으며	밝히/VV+었/EP+으며/EC
미국도	미국/NNP+도/JX
지난달	지난달/NNG
10일	10/SN+일/NNB
중국산	중국/NNP+산/XSN
제품에	제품/NNG+에/JKB
250%의	250/SN+%/SW+의/JKG
관세를	관세/NNG+를/JKO
부과할	부과/NNG+하/XSV+ㄹ/ETM
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.49.5.3
미국 국제무역위원회(ITC)는 7일 이 건을 표결에 부친다.

미국	미국/NNP
국제무역위원회(ITC)는	국제무역위원회/NNP+(/SS+ITC/SL+)/SS+는/JX
7일	7/SN+일/NNB
이	이/MMD
건을	건/NNG+을/JKO
표결에	표결/NNG+에/JKB
부친다.	부치/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.49.6.1
태양광을 둘러싼 갈등이 격화되는 이유는 2000년대 초부터 각국이 신재생에너지를 차세대 유망 산업으로 선정하고 집중 육성하는 과정에서 세계적인 공급 과잉이 발생하고 있기 때문이다.

태양광을	태양광/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등이	갈등/NNG+이/JKS
격화되는	격화/NNG+되/XSV+는/ETM
이유는	이유/NNG+는/JX
2000년대	2000/SN+년대/NNB
초부터	초/NNB+부터/JX
각국이	각국/NNG+이/JKS
신재생에너지를	신/XPN+재생/NNG+에너지/NNG+를/JKO
차세대	차세대/NNG
유망	유망/NNG
산업으로	산업/NNG+으로/JKB
선정하고	선정/NNG+하/XSV+고/EC
집중	집중/NNG
육성하는	육성/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
공급	공급/NNG
과잉이	과잉/NNG+이/JKS
발생하고	발생/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.49.6.2
2008년 전 세계 태양광 패널 공급의 20%가량을 차지했던 중국은 지난해에는 시장점유율을 50%가량으로 크게 늘렸다.

2008년	2008/SN+년/NNB
전	전/NNG
세계	세계/NNG
태양광	태양광/NNG
패널	패널/NNG
공급의	공급/NNG+의/JKG
20%가량을	20/SN+%/SW+가량/XSN+을/JKO
차지했던	차지/NNG+하/XSV+았/EP+던/ETM
중국은	중국/NNP+은/JX
지난해에는	지난해/NNG+에/JKB+는/JX
시장점유율을	시장/NNG+점유/NNG+율/XSN+을/JKO
50%가량으로	50/SN+%/SW+가량/XSN+으로/JKB
크게	크/VA+게/EC
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.49.6.3
저가 공세 덕분이다.

저가	저가/NNG
공세	공세/NNG
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.49.6.4
반면 태양광 시장의 선두주자였던 미국과 유럽 기업은 올해 들어서만 40여 개 업체가 문을 닫았다.

반면	반면/NNG
태양광	태양광/NNG
시장의	시장/NNG+의/JKG
선두주자였던	선두/NNG+주자/NNG+이/VCP+었/EP+던/ETM
미국과	미국/NNP+과/JC
유럽	유럽/NNP
기업은	기업/NNG+은/JX
올해	올해/NNG
들어서만	들/VV+어서/EC+만/JX
40여	40/SN+여/XSN
개	개/NNB
업체가	업체/NNG+가/JKS
문을	문/NNG+을/JKO
닫았다.	닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.49.7.1
외견상 중국 기업들이 선전한 듯하지만 올해 8월 청싱(誠興)의 리페이(李飛) 회장이 과당경쟁에 따른 실적 악화로 투신자살하는 등 중국 기업도 적지 않은 타격을 받고 있다.

외견상	외견/NNG+상/XSN
중국	중국/NNP
기업들이	기업/NNG+들/XSN+이/JKS
선전한	선전/NNG+하/XSV+ㄴ/ETM
듯하지만	듯/NNB+하/XSA+지만/EC
올해	올해/NNG
8월	8/SN+월/NNB
청싱(誠興)의	청싱/NNP+(/SS+誠興/SH+)/SS+의/JKG
리페이(李飛)	리페이/NNP+(/SS+李飛/SH+)/SS
회장이	회장/NNG+이/JKS
과당경쟁에	과당/NNG+경쟁/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
실적	실적/NNG
악화로	악화/NNG+로/JKB
투신자살하는	투신자살/NNG+하/XSV+는/ETM
등	등/NNB
기업도	기업/NNG+도/JX
적지	적/VA+지/EC
않은	않/VX+은/ETM
타격을	타격/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


