# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.427
metadata : {}


# id : NWRW1800000048.427.1.1
문-안 ‘담판’ 합의 불발…주류-비주류 오늘 중앙위 총력전

문-안	문/NNP+-/SO+안/NNP
전화와	전화/NNG+와/JC
문자메시지를	문자/NNG+메시지/NNG+를/JKO
돌리며	돌리/VV+며/EC
세	세/NNG
결집을	결집/NNG+을/JKO
총력전을	총력전/NNG+을/JKO
벌이는	벌이/VV+는/ETM
모습이	모습/NNG+이/JKS
연출되기도	연출/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.427.11.1
혁신위가 마련한 공천 혁신안은 중앙위원 576명 가운데 과반인 289명의 찬성이 있어야 가결된다.

혁신위가	혁신위/NNG+가/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
공천	공천/NNG
혁신안은	혁신안/NNG+은/JX
중앙위원	중앙/NNG+위원/NNG
576명	576/SN+명/NNB
가운데	가운데/NNG
과반인	과반/NNG+이/VCP+ㄴ/ETM
289명의	289/SN+명/NNB+의/JKG
찬성이	찬성/NNG+이/JKS
있어야	있/VA+어야/EC
가결된다.	가결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.427.11.2
중앙위원들은 주류 쪽과 비주류 쪽이 반반 정도지만 ‘혁신안 부결 시 당이 쪼개질 수도 있다’는 우려가 확산되면서 주류 쪽에 우세한 분위기라는 게 당 안팎의 대체적 분석이다.

중앙위원들은	중앙/NNG+위원/NNG+들/XSN+은/JX
주류	주류/NNG
쪽과	쪽/NNB+과/JC
비주류	비/XPN+주류/NNG
쪽이	쪽/NNB+이/JKS
반반	반반/NNG
정도지만	정도/NNG+이/VCP+지만/EC
‘혁신안	‘/SS+혁신안/NNG
부결	부결/NNG
시	시/NNB
당이	당/NNG+이/JKS
쪼개질	쪼개지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다’는	있/VA+다/EF+’/SS+는/ETM
우려가	우려/NNG+가/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
쪽에	쪽/NNB+에/JKB
우세한	우세/NNG+하/XSA+ㄴ/ETM
분위기라는	분위기/NNG+이/VCP+라는/ETM
게	거/NNB+이/JKS
당	당/NNG
안팎의	안팎/NNG+의/JKG
대체적	대체/NNG+적/XSN
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.427.12.1
주류 쪽과 혁신위 등은 지난 14일 부산 등 영남과 충남·강원 등 원외지역위원장이기도 한 7개 시·도당 위원장들이 “혁신과 단결 없이 새정치연합의 미래는 없다”는 성명을 낸 점을 강조하며, 문 대표가 전날 중앙위원들에게 혁신안 통과를 호소하는 편지를 보낸 데 이어, 김상곤 혁신위원장도 이날 성명을 내어 “실천하지 않는 한 혁신이 아니다.

주류	주류/NNG
쪽과	쪽/NNB+과/JC
혁신위	혁신위/NNG
등은	등/NNB+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
부산	부산/NNP
등	등/NNB
영남과	영남/NNP+과/JC
충남·강원	충남/NNP+·/SP+강원/NNP
원외지역위원장이기도	원외/NNG+지역/NNG+위원장/NNG+이/VCP+기/ETN+도/JX
한	한/NNG
7개	7/SN+개/NNB
시·도당	시·도/NNG+당/NNG
위원장들이	위원장/NNG+들/XSN+이/JKS
“혁신과	“/SS+혁신/NNG+과/JC
단결	단결/NNG
없이	없이/MAG
새정치연합의	새정치연합/NNP+의/JKG
미래는	미래/NNG+는/JX
없다”는	없/VA+다/EF+”/SS+는/ETM
성명을	성명/NNG+을/JKO
낸	내/VV+ㄴ/ETM
점을	점/NNG+을/JKO
강조하며,	강조/NNG+하/XSV+며/EC+,/SP
문	문/NNP
대표가	대표/NNG+가/JKS
전날	전날/NNG
중앙위원들에게	중앙/NNG+위원/NNG+들/XSN+에게/JKB
혁신안	혁신안/NNG
통과를	통과/NNG+를/JKO
호소하는	호소/NNG+하/XSV+는/ETM
편지를	편지/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
김상곤	김상곤/NNP
혁신위원장도	혁신/NNG+위원장/NNG+도/JX
이날	이날/NNG
내어	내/VV+어/EC
“실천하지	“/SS+실천/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
혁신이	혁신/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000048.427.12.2
기득권을 움켜쥐고는, 계파주의를 이겨내지 않고는 혁신할 수 없다.

기득권을	기득/NNG+권/XSN+을/JKO
움켜쥐고는,	움켜쥐/VV+고/EC+는/JX+,/SP
계파주의를	계파주의/NNG+를/JKO
이겨내지	이기/VV+어/EC+내/VX+지/EC
않고는	않/VX+고/EC+는/JX
혁신할	혁신/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.427.12.3
지금 당장 우리는 혁신의 동아줄을 잡고 일어서야 한다”고 촉구했다.

지금	지금/MAG
당장	당장/NNG
우리는	우리/NP+는/JX
혁신의	혁신/NNG+의/JKG
동아줄을	동아줄/NNG+을/JKO
잡고	잡/VV+고/EC
일어서야	일어서/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.427.13.1
이에 맞서 당내 비주류들은 “혁신안 표결이 당내 갈등을 더 부추기는 방식”이라며 이날도 중앙위 개최 연기 등을 거듭 요구하고 나섰다.

이에	이/NP+에/JKB
맞서	맞서/VV+어/EC
당내	당내/NNG
비주류들은	비/XPN+주류/NNG+들/XSN+은/JX
“혁신안	“/SS+혁신안/NNG
표결이	표결/NNG+이/JKS
갈등을	갈등/NNG+을/JKO
더	더/MAG
부추기는	부추기/VV+는/ETM
방식”이라며	방식/NNG+”/SS+이/VCP+라며/EC
이날도	이날/NNG+도/JX
중앙위	중앙위/NNG
개최	개최/NNG
연기	연기/NNG
등을	등/NNB+을/JKO
거듭	거듭/MAG
요구하고	요구/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.427.13.2
비주류 의원들의 모임인 민주당 집권을 위한 모임(민집모)은 만일 중앙위가 열린다면 혁신안은 무기명 투표로 처리해야 한다는 입장을 거듭 밝히며, 만일 이 조건이 수용되지 않으면 중앙위 도중 집단퇴장하겠다는 뜻을 밝혔다.

비주류	비/XPN+주류/NNG
의원들의	의원/NNG+들/XSN+의/JKG
모임인	모임/NNG+이/VCP+ㄴ/ETM
민주당	민주당/NNP
집권을	집권/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
모임(민집모)은	모임/NNG+(/SS+민집모/NNG+)/SS+은/JX
만일	만일/MAG
중앙위가	중앙위/NNG+가/JKS
열린다면	열리/VV+ㄴ다면/EC
혁신안은	혁신안/NNG+은/JX
무기명	무/XPN+기명/NNG
투표로	투표/NNG+로/JKB
처리해야	처리/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
거듭	거듭/MAG
밝히며,	밝히/VV+며/EC+,/SP
이	이/MMD
조건이	조건/NNG+이/JKS
수용되지	수용/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
중앙위	중앙위/NNG
도중	도중/NNG
집단퇴장하겠다는	집단/NNG+퇴장/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.427.13.3
비주류 쪽에서는 이런 기조로 함께 움직일 중앙위원 규합에 나서고 있다.

비주류	비/XPN+주류/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
이런	이런/MMD
기조로	기조/NNG+로/JKB
함께	함께/MAG
움직일	움직이/VV+ㄹ/ETM
중앙위원	중앙/NNG+위원/NNG
규합에	규합/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


