# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.26
metadata : {}


# id : NWRW1800000053.26.1.1
출범 10년만에 中企 보물창고된 ‘기업마당’

출범	출범/NNG
찾아냈다.	찾아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.26.3.3
김 씨가 주도해 이 프로그램에 신청서를 낸 덕분에 회사는 지원금을 받을 수 있었다.

김	김/NNP
씨가	씨/NNB+가/JKS
주도해	주도/NNG+하/XSV+아/EC
이	이/MMD
프로그램에	프로그램/NNG+에/JKB
신청서를	신청서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
회사는	회사/NNG+는/JX
지원금을	지원금/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.26.3.4
김 씨가 기업마당을 뒤지며 찾아낸 정보로 2009∼2011년 3년간 회사가 받은 정부 지원금만 6000여만 원.

김	김/NNP
씨가	씨/NNB+가/JKS
기업마당을	기업/NNG+마당/NNG+을/JKO
뒤지며	뒤지/VV+며/EC
찾아낸	찾아내/VV+ㄴ/ETM
정보로	정보/NNG+로/JKB
2009∼2011년	2009/SN+∼/SO+2011/SN+년/NNB
3년간	3/SN+년/NNB+간/XSN
회사가	회사/NNG+가/JKS
받은	받/VV+은/ETM
정부	정부/NNG
지원금만	지원금/NNG+만/JX
6000여만	6000/SN+여/XSN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000053.26.3.5
수출의 전 과정을 배우기 시작한 김 씨는 2012년부터 올해까지 총 19건의 다양한 지원 사업에도 선정됐다.

수출의	수출/NNG+의/JKG
전	전/MMN
과정을	과정/NNG+을/JKO
배우기	배우/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
김	김/NNP
씨는	씨/NNB+는/JX
2012년부터	2012/SN+년/NNB+부터/JX
올해까지	올해/NNG+까지/JX
총	총/MMA
19건의	19/SN+건/NNB+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
지원	지원/NNG
사업에도	사업/NNG+에/JKB+도/JX
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.26.3.6
최근 외부 스카우트 제안까지 받게 된 김 씨는 “중소기업인에게 꼭 필요한 정보가 있는 기업마당을 적극 활용하라”고 조언했다.

최근	최근/NNG
외부	외부/NNG
스카우트	스카우트/NNG
제안까지	제안/NNG+까지/JX
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
김	김/NNP
씨는	씨/NNB+는/JX
“중소기업인에게	“/SS+중소기업인/NNG+에게/JKB
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
정보가	정보/NNG+가/JKS
있는	있/VA+는/ETM
기업마당을	기업/NNG+마당/NNG+을/JKO
적극	적극/NNG
활용하라”고	활용/NNG+하/XSV+라/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.26.4.1
중소기업 정보의 허브인 기업마당을 활용하는 중소기업이 늘어나고 있다.

중소기업	중소기업/NNG
정보의	정보/NNG+의/JKG
허브인	허브/NNG+이/VCP+ㄴ/ETM
기업마당을	기업/NNG+마당/NNG+을/JKO
활용하는	활용/NNG+하/XSV+는/ETM
중소기업이	중소기업/NNG+이/JKS
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.26.4.2
각 부처와 지방자치단체, 공공기관 등에 흩어진 정보와 기업이 활용할 만한 지원 프로그램을 한눈에 확인할 수 있기 때문이다.

각	각/MMD
부처와	부처/NNG+와/JC
지방자치단체,	지방/NNG+자치/NNG+단체/NNG+,/SP
공공기관	공공/NNG+기관/NNG
등에	등/NNB+에/JKB
흩어진	흩어지/VV+ㄴ/ETM
정보와	정보/NNG+와/JC
기업이	기업/NNG+이/JKS
활용할	활용/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
지원	지원/NNG
프로그램을	프로그램/NNG+을/JKO
한눈에	한눈/NNG+에/JKB
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.26.4.3
올해 기준 중앙부처와 지방자치단체의 중소기업 지원사업은 모두 1347개에 이른다.

올해	올해/NNG
기준	기준/NNG
중앙부처와	중앙/NNG+부처/NNG+와/JC
지방자치단체의	지방/NNG+자치/NNG+단체/NNG+의/JKG
중소기업	중소기업/NNG
지원사업은	지원/NNG+사업/NNG+은/JX
모두	모두/MAG
1347개에	1347/SN+개/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.26.4.4
특히 현 정부 들어 중소기업 지원정책을 적극 발굴하고 있지만 중소기업인들이 이를 제대로 찾아 활용하기는 쉽지 않다.

특히	특히/MAG
현	현/MMD
정부	정부/NNG
들어	들/VV+어/EC
중소기업	중소기업/NNG
지원정책을	지원/NNG+정책/NNG+을/JKO
적극	적극/NNG
발굴하고	발굴/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
중소기업인들이	중소기업인/NNG+들/XSN+이/JKS
이를	이/NP+를/JKO
제대로	제대로/MAG
찾아	찾/VV+아/EC
활용하기는	활용/NNG+하/XSV+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000053.26.5.1
기업마당은 노무현 정부시절인 2006년에 ‘중소기업 중심의 정책전달체계를 마련하라’는 지시에 따라 당시 중소기업청(현 중소벤처기업부)이 중소기업정책정보시스템을 구축하면서 시작됐다.

기업마당은	기업/NNG+마당/NNG+은/JX
노무현	노무현/NNP
정부시절인	정부/NNG+시절/NNG+이/VCP+ㄴ/ETM
2006년에	2006/SN+년/NNB+에/JKB
‘중소기업	‘/SS+중소기업/NNG
중심의	중심/NNG+의/JKG
정책전달체계를	정책/NNG+전달/NNG+체계/NNG+를/JKO
마련하라’는	마련/NNG+하/XSV+라/EF+’/SS+는/ETM
지시에	지시/NNG+에/JKB
따라	따르/VV+아/EC
당시	당시/NNG
중소기업청(현	중소기업청/NNG+(/SS+현/MMD
중소벤처기업부)이	중소/NNG+벤처/NNG+기업부/NNG+)/SS+이/JKS
중소기업정책정보시스템을	중소기업/NNG+정책/NNG+정보/NNG+시스템/NNG+을/JKO
구축하면서	구축/NNG+하/XSV+면서/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.26.5.2
당시 이름은 스파이(Spi)였다.

당시	당시/NNG
이름은	이름/NNG+은/JX
스파이(Spi)였다.	스파이/NNG+(/SS+Spi/SL+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.26.5.3
이후 기업과 소상공인에게 친근하고 기억하기 쉬운 기업마당으로 이름을 바꿨다.

이후	이후/NNG
기업과	기업/NNG+과/JC
소상공인에게	소/XPN+상공인/NNG+에게/JKB
친근하고	친근하/VA+고/EC
기억하기	기억/NNG+하/XSV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
기업마당으로	기업/NNG+마당/NNG+으로/JKB
이름을	이름/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.26.5.4
현재는 시간과 인력이 부족한 중소기업을 위해 휴대전화 문자메시지로 분야별 정책정보를 정기 발송한다.

현재는	현재/NNG+는/JX
시간과	시간/NNG+과/JC
인력이	인력/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
중소기업을	중소기업/NNG+을/JKO
위해	위하/VV+아/EC
휴대전화	휴대/NNG+전화/NNG
문자메시지로	문자/NNG+메시지/NNG+로/JKB
분야별	분야/NNG+별/XSN
정책정보를	정책/NNG+정보/NNG+를/JKO
정기	정기/NNG
발송한다.	발송/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.26.5.5
모바일용 애플리케이션(앱)도 구축해 활용도를 높였다.

모바일용	모바일/NNG+용/XSN
애플리케이션(앱)도	애플리케이션/NNG+(/SS+앱/NNG+)/SS+도/JX
구축해	구축/NNG+하/XSV+아/EC
활용도를	활용도/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.26.6.1
올해는 홈페이지 화면을 대폭 간소화하고, 대화형 정책검색 기능도 구축했다.

올해는	올해/NNG+는/JX
홈페이지	홈페이지/NNG
화면을	화면/NNG+을/JKO
대폭	대폭/MAG
간소화하고,	간소/NNG+화/XSN+하/XSV+고/EC+,/SP
대화형	대화/NNG+형/XSN
정책검색	정책/NNG+검색/NNG
기능도	기능/NNG+도/JX
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.26.6.2
또 경영지도사, 회계사, 노무사 등 분야별 전문가가 온라인 질의에 24시간 안에 답변하는 기업애로상담 시스템을 만들어 운영 중이다.

또	또/MAG
경영지도사,	경영/NNG+지도사/NNG+,/SP
회계사,	회계사/NNG+,/SP
노무사	노무사/NNG
등	등/NNB
분야별	분야/NNG+별/XSN
전문가가	전문가/NNG+가/JKS
온라인	온라인/NNG
질의에	질의/NNG+에/JKB
24시간	24/SN+시간/NNB
안에	안/NNG+에/JKB
답변하는	답변/NNG+하/XSV+는/ETM
기업애로상담	기업/NNG+애로/NNG+상담/NNG
시스템을	시스템/NNG+을/JKO
만들어	만들/VV+어/EC
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.26.6.3
중기부 측은 “현재 매년 7000여 건의 육성사업, 3000여 건의 교육·세미나·전시회, 900여 건의 정책뉴스 등을 알기 쉽게 가공해 중소기업들에 제공하고 있다”고 밝혔다.

중기부	중기부/NNG
측은	측/NNB+은/JX
“현재	“/SS+현재/MAG
매년	매년/MAG
7000여	7000/SN+여/XSN
건의	건/NNB+의/JKG
육성사업,	육성/NNG+사업/NNG+,/SP
3000여	3000/SN+여/XSN
교육·세미나·전시회,	교육/NNG+·/SP+세미나/NNG+·/SP+전시회/NNG+,/SP
900여	900/SN+여/XSN
정책뉴스	정책/NNG+뉴스/NNG
등을	등/NNB+을/JKO
알기	알/VV+기/ETN
쉽게	쉽/VA+게/EC
가공해	가공/NNG+하/XSV+아/EC
중소기업들에	중소기업/NNG+들/XSN+에/JKB
제공하고	제공/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.26.7.1
시스템을 지속적으로 개선하면서 가시적인 운영성과도 나타나고 있다.

시스템을	시스템/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
개선하면서	개선/NNG+하/XSV+면서/EC
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
운영성과도	운영/NNG+성과/NNG+도/JX
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.26.7.2
지난해 기준으로 기업마당의 연간 방문 수는 855만 건, 누적 가입회원은 10만여 명, 연간 페이지뷰는 1억 건에 이른다.

지난해	지난해/NNG
기준으로	기준/NNG+으로/JKB
기업마당의	기업/NNG+마당/NNG+의/JKG
연간	연간/NNG
방문	방문/NNG
수는	수/NNG+는/JX
855만	855/SN+만/NR
건,	건/NNB+,/SP
누적	누적/NNG
가입회원은	가입/NNG+회원/NNG+은/JX
10만여	10/SN+만/NR+여/XSN
명,	명/NNB+,/SP
페이지뷰는	페이지뷰/NNG+는/JX
1억	1/SN+억/NR
건에	건/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.26.7.3
구축 초기인 2006년 연간 방문 수가 56만 건임을 감안하면 중소기업인들의 활용이 10여 년 만에 급증한 것이다.

구축	구축/NNG
초기인	초기/NNG+이/VCP+ㄴ/ETM
2006년	2006/SN+년/NNB
연간	연간/NNG
방문	방문/NNG
수가	수/NNG+가/JKS
56만	56/SN+만/NR
건임을	건/NNB+이/VCP+ㅁ/ETN+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
중소기업인들의	중소기업인/NNG+들/XSN+의/JKG
활용이	활용/NNG+이/JKS
10여	10/SN+여/XSN
년	년/NNB
만에	만/NNB+에/JKB
급증한	급증/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.26.8.1
충남 천안에 위치한 정보기술(IT) 벤처기업인 앙클 역시 기업마당을 적극 활용해 꾸준히 성장하고 있다.

충남	충남/NNP
천안에	천안/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
벤처기업인	벤처/NNG+기업/NNG+이/VCP+ㄴ/ETM
앙클	앙클/NNP
역시	역시/MAG
기업마당을	기업/NNG+마당/NNG+을/JKO
적극	적극/NNG
활용해	활용/NNG+하/XSV+아/EC
꾸준히	꾸준히/MAG
성장하고	성장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.26.8.2
20011년에 회사를 창업한 한수용 대표는 회사가 성장하다가 어려움에 빠지는 이른바 ‘데스밸리(죽음의 계곡)’를 기업마당을 활용해 극복했다.

20011년에	20011/SN+년/NNB+에/JKB
회사를	회사/NNG+를/JKO
창업한	창업/NNG+하/XSV+ㄴ/ETM
한수용	한수용/NNP
대표는	대표/NNG+는/JX
회사가	회사/NNG+가/JKS
성장하다가	성장/NNG+하/XSV+다가/EC
어려움에	어려움/NNG+에/JKB
빠지는	빠지/VV+는/ETM
이른바	이른바/MAG
‘데스밸리(죽음의	‘/SS+데스/NNG+밸리/NNG+(/SS+죽음/NNG+의/JKG
계곡)’를	계곡/NNG+)/SS+’/SS+를/JKO
기업마당을	기업/NNG+마당/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
극복했다.	극복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.26.8.3
1금융권 대출을 기대조차 하지 않았던 한 대표는 기업마당에서 얻은 정보로 최근 기업은행으로부터 대출 승인을 받기도 했다.

1금융권	1/SN+금융/NNG+권/XSN
대출을	대출/NNG+을/JKO
기대조차	기대/NNG+조차/JX
하지	하/VV+지/EC
않았던	않/VX+았/EP+던/ETM
한	한/NNP
대표는	대표/NNG+는/JX
기업마당에서	기업/NNG+마당/NNG+에서/JKB
얻은	얻/VV+은/ETM
정보로	정보/NNG+로/JKB
최근	최근/NNG
기업은행으로부터	기업은행/NNP+으로부터/JKB
대출	대출/NNG
승인을	승인/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.26.9.1
그는 기업마당을 하루 10분 안팎이라도 꼭 매일 활용하라고 당부한다.

그는	그/NP+는/JX
기업마당을	기업/NNG+마당/NNG+을/JKO
하루	하루/NNG
10분	10/SN+분/NNB
안팎이라도	안팎/NNG+이라도/JX
꼭	꼭/MAG
매일	매일/MAG
활용하라고	활용/NNG+하/XSV+라고/EC
당부한다.	당부/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.26.9.2
한 대표는 “기업마당의 정보를 확인하는 것은 업무시간 중 가장 중요한 일”이라며 “정부로부터 도움을 받기에 스스로 부족하다고 생각해도 일단 뛰어들면 무엇이 부족한지 알게 되고, 노하우를 쌓을 수 있다”고 조언했다.

한	한/NNP
대표는	대표/NNG+는/JX
“기업마당의	“/SS+기업/NNG+마당/NNG+의/JKG
정보를	정보/NNG+를/JKO
확인하는	확인/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
업무시간	업무/NNG+시간/NNG
중	중/NNB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“정부로부터	“/SS+정부/NNG+로부터/JKB
도움을	도움/NNG+을/JKO
받기에	받/VV+기/ETN+에/JKB
스스로	스스로/MAG
부족하다고	부족/NNG+하/XSA+다고/EC
생각해도	생각/NNG+하/XSV+아도/EC
일단	일단/MAG
뛰어들면	뛰어들/VV+면/EC
무엇이	무엇/NP+이/JKS
부족한지	부족/NNG+하/XSA+ㄴ지/EC
알게	알/VV+게/EC
되고,	되/VV+고/EC+,/SP
노하우를	노하우/NNG+를/JKO
쌓을	쌓/VV+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


