# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.116
metadata : {}


# id : NWRW1800000056.116.1.1
조선왕실 보물들은 포장하는 과정도 예술이었다

조선왕실	조선/NNP+왕실/NNG
특별강연이	특별/NNG+강연/NNG+이/JKS
열리며	열리/VV+며/EC
여름방학	여름/NNG+방학/NNG
기간에는	기간/NNG+에/JKB+는/JX
초등학생	초등학생/NNG
체험	체험/NNG
활동도	활동/NNG+도/JX
꾸려진다.	꾸리/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.116.7.8
(02)3701-7500.

(02)3701-7500.	(/SS+02/SN+)/SS+3701/SN+-/SO+7500/SN+./SF


