# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.244
metadata : {}


# id : NWRW1800000041.244.1.1
매킬로이, 파혼충격 사흘 뒤 우승감격

매킬로이,	매킬로이/NNP+,/SP
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.244.6.1
짓궂은 누리꾼들이 이날 소셜네트워크서비스(SNS) 트위터를 통해 보즈니아키에게 “우승을 축하해 주지 않을 거냐”고 물었지만, 프랑스 오픈 테니스 대회에 참가한 보즈니아키는 세리나 윌리엄스(33·미국)와 함께 찍은 사진만 올렸을 뿐 별다른 반응을 보이지는 않았다.

짓궂은	짓궂/VA+은/ETM
누리꾼들이	누리/NNG+꾼/XSN+들/XSN+이/JKS
이날	이날/NNG
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
트위터를	트위터/NNP+를/JKO
통해	통하/VV+아/EC
보즈니아키에게	보즈니아키/NNP+에게/JKB
“우승을	“/SS+우승/NNG+을/JKO
축하해	축하/NNG+하/XSV+아/EC
주지	주/VX+지/EC
않을	않/VX+을/ETM
거냐”고	거/NNB+이/VCP+냐/EF+”/SS+고/JKQ
물었지만,	묻/VV+었/EP+지만/EC+,/SP
프랑스	프랑스/NNP
오픈	오픈/NNG
테니스	테니스/NNG
대회에	대회/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
보즈니아키는	보즈니아키/NNP+는/JX
세리나	세리나/NNP
윌리엄스(33·미국)와	윌리엄스/NNP+(/SS+33/SN+·/SP+미국/NNP+)/SS+와/JKB
함께	함께/MAG
찍은	찍/VV+은/ETM
사진만	사진/NNG+만/JX
올렸을	올리/VV+었/EP+을/ETM
뿐	뿐/NNB
별다른	별다르/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이지는	보이/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


