# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.22
metadata : {}


# id : NWRW1800000049.22.1.1
달아오르는 중소형 보험사 인수전

달아오르는	달아오르/VV+는/ETM
이와 관련해 미래에셋생명은 이날 “인수를 추진 중이나 구체적으로 결정된 바는 없다”고 공시했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
미래에셋생명은	미래에셋생명/NNP+은/JX
이날	이날/NNG
“인수를	“/SS+인수/NNG+를/JKO
추진	추진/NNG
중이나	중/NNB+이/VCP+나/EC
구체적으로	구체/NNG+적/XSN+으로/JKB
결정된	결정/NNG+되/XSV+ㄴ/ETM
바는	바/NNB+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
공시했다.	공시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.22.5.1
PCA생명은 1999년 영국 프루덴셜그룹이 영풍생명을 인수해 설립했으며 총 자산 기준 19위(5월 말 현재)의 중소형 보험사다.

PCA생명은	PCA생명/NNP+은/JX
1999년	1999/SN+년/NNB
영국	영국/NNP
프루덴셜그룹이	프루덴셜그룹/NNP+이/JKS
영풍생명을	영풍생명/NNP+을/JKO
인수해	인수/NNG+하/XSV+아/EC
설립했으며	설립/NNG+하/XSV+았/EP+으며/EC
총	총/MMA
자산	자산/NNG
기준	기준/NNG
19위(5월	19/SN+위/NNB+(/SS+5/SN+월/NNB
말	말/NNB
현재)의	현재/NNG+)/SS+의/JKG
중소형	중소형/NNG
보험사다.	보험사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.22.5.2
골드만삭스는 지난달 PCA생명의 매각을 위해 주요 투자자에게 투자안내서를 발송하고 인수의향서를 받았다.

골드만삭스는	골드만삭스/NNP+는/JX
지난달	지난달/NNG
PCA생명의	PCA생명/NNP+의/JKG
매각을	매각/NNG+을/JKO
위해	위하/VV+아/EC
주요	주요/NNG
투자자에게	투자자/NNG+에게/JKB
투자안내서를	투자/NNG+안내서/NNG+를/JKO
발송하고	발송/NNG+하/XSV+고/EC
인수의향서를	인수/NNG+의향서/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.22.5.3
업계에서는 PCA생명의 매각 가격을 2500억∼3000억 원 수준으로 보고 있다.

업계에서는	업계/NNG+에서/JKB+는/JX
PCA생명의	PCA생명/NNP+의/JKG
매각	매각/NNG
가격을	가격/NNG+을/JKO
2500억∼3000억	2500/SN+억/NR+∼/SO+3000/SN+억/NR
원	원/NNB
수준으로	수준/NNG+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.22.6.1
5월 말 현재 미래에셋생명과 PCA생명의 총자산은 각각 27조3150억 원과 5조2700억 원이다.

5월	5/SN+월/NNB
말	말/NNB
현재	현재/MAG
미래에셋생명과	미래에셋생명/NNP+과/JC
PCA생명의	PCA생명/NNP+의/JKG
총자산은	총자산/NNG+은/JX
각각	각각/MAG
27조3150억	27/SN+조/NR+3150/SN+억/NR
원과	원/NNB+과/JC
5조2700억	5/SN+조/NR+2700/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.22.6.2
미래에셋생명이 PCA생명 인수에 성공한다면 ING생명(30조4866억 원)을 제치고 생보업계 5위로 올라서게 된다.

미래에셋생명이	미래에셋생명/NNP+이/JKS
PCA생명	PCA생명/NNP
인수에	인수/NNG+에/JKB
성공한다면	성공/NNG+하/XSV+ㄴ다면/EC
ING생명(30조4866억	ING생명/NNP+(/SS+30/SN+조/NR+4866/SN+억/NR
원)을	원/NNB+)/SS+을/JKO
제치고	제치/VV+고/EC
생보업계	생보업/NNG+계/XSN
5위로	5/SN+위/NNB+로/JKB
올라서게	올라서/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.22.7.1
ING생명에 대한 본입찰도 이달 진행될 예정이다.

ING생명에	ING생명/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
본입찰도	본입찰/NNG+도/JX
이달	이달/NNG
진행될	진행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.22.7.2
현재 ING생명에 관심을 보이는 업체는 중국계 푸싱그룹과 타이핑생명, 홍콩계 사모펀드인 JD캐피털 등이다.

현재	현재/MAG
ING생명에	ING생명/NNP+에/JKB
관심을	관심/NNG+을/JKO
보이는	보이/VV+는/ETM
업체는	업체/NNG+는/JX
중국계	중국/NNP+계/XSN
푸싱그룹과	푸싱그룹/NNP+과/JC
타이핑생명,	타이핑생명/NNP+,/SP
홍콩계	홍콩/NNP+계/XSN
사모펀드인	사모/NNG+펀드/NNG+이/VCP+ㄴ/ETM
JD캐피털	JD캐피털/NNP
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.22.7.3
업계 안팎에서는 ING생명의 매각 가격이 2조4000억∼4조 원에 이를 것으로 예상하고 있다.

업계	업계/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
ING생명의	ING생명/NNP+의/JKG
매각	매각/NNG
가격이	가격/NNG+이/JKS
2조4000억∼4조	2/SN+조/NR+4000/SN+억/NR+∼/SO+4/SN+조/NR
원에	원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.22.7.4
2014년 4월과 9월 두 차례 매각 시도가 무산된 KDB생명도 이르면 9월 매각 작업이 시작될 것으로 보인다.

2014년	2014/SN+년/NNB
4월과	4/SN+월/NNB+과/JC
9월	9/SN+월/NNB
두	두/MMN
차례	차례/NNG
매각	매각/NNG
시도가	시도/NNG+가/JKS
무산된	무산/NNG+되/XSV+ㄴ/ETM
KDB생명도	KDB생명/NNP+도/JX
이르면	이르/VA+면/EC
작업이	작업/NNG+이/JKS
시작될	시작/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.22.8.1
시장에 생보사 매물이 쌓이고 있지만 저금리 기조로 보험사의 경영 환경은 갈수록 나빠지고 있다.

시장에	시장/NNG+에/JKB
생보사	생보사/NNG
매물이	매물/NNG+이/JKS
쌓이고	쌓이/VV+고/EC
있지만	있/VX+지만/EC
저금리	저/XPN+금리/NNG
기조로	기조/NNG+로/JKB
보험사의	보험사/NNG+의/JKG
경영	경영/NNG
환경은	환경/NNG+은/JX
갈수록	갈수록/MAG
나빠지고	나빠지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.22.8.2
생명보험협회에 따르면 지난해 국내 생명보험사 25곳의 운용자산이익률이 평균 4.0%로 2014년(5.9%)보다 1.9%포인트 하락했다.

생명보험협회에	생명보험협회/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
국내	국내/NNG
생명보험사	생명/NNG+보험사/NNG
25곳의	25/SN+곳/NNG+의/JKG
운용자산이익률이	운용/NNG+자산/NNG+이익/NNG+률/XSN+이/JKS
평균	평균/NNG
4.0%로	4/SN+./SP+0/SN+%/SW+로/JKB
2014년(5.9%)보다	2014/SN+년/NNB+(/SS+5/SN+./SP+9/SN+%/SW+)/SS+보다/JKB
1.9%포인트	1/SN+./SP+9/SN+%포인트/NNG
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.22.8.3
이는 1991년 이후 가장 낮은 수준이다.

이는	이/NP+는/JX
1991년	1991/SN+년/NNB
이후	이후/NNG
가장	가장/MAG
낮은	낮/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.22.9.1
2020년으로 예정된 국제회계기준(IFRS4) 2단계 적용도 보험사엔 부담이 되고 있다.

2020년으로	2020/SN+년/NNB+으로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
국제회계기준(IFRS4)	국제/NNG+회계/NNG+기준/NNG+(/SS+IFRS/SL+4/SN+)/SS
2단계	2/SN+단계/NNG
적용도	적용/NNG+도/JX
보험사엔	보험사/NNG+에/JKB+ㄴ/JX
부담이	부담/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.22.9.2
보험업계 관계자는 “자본금을 대폭 확충해야 하는 토종 보험사들이 인수전에 선뜻 나서지 못하는 틈을 타고 중국계 보험사들이 뛰어들고 있다”고 말했다.

보험업계	보험업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“자본금을	“/SS+자본금/NNG+을/JKO
대폭	대폭/MAG
확충해야	확충/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
토종	토종/NNG
보험사들이	보험사/NNG+들/XSN+이/JKS
인수전에	인수전/NNG+에/JKB
선뜻	선뜻/MAG
나서지	나서/VV+지/EC
못하는	못하/VX+는/ETM
틈을	틈/NNG+을/JKO
타고	타/VV+고/EC
중국계	중국/NNP+계/XSN
뛰어들고	뛰어들/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.22.10.1
실제 중국계 안방보험은 지난해 동양생명을 인수한 데 이어 올 4월 알리안츠생명까지 품에 안았다.

실제	실제/MAG
중국계	중국/NNP+계/XSN
안방보험은	안방보험/NNP+은/JX
지난해	지난해/NNG
동양생명을	동양생명/NNP+을/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올	올/NNG
4월	4/SN+월/NNB
알리안츠생명까지	알리안츠생명/NNP+까지/JX
품에	품/NNG+에/JKB
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.22.10.2
ING생명 역시 중국 및 홍콩계의 3파전이 예상된다.

ING생명	ING생명/NNP
역시	역시/MAG
중국	중국/NNP
및	및/MAG
홍콩계의	홍콩/NNP+계/XSN+의/JKG
3파전이	3파전/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.22.10.3
유력한 국내 후보였던 교보생명은 가격 경쟁력을 극복하지 못하고 중도 탈락했다.

유력한	유력/NNG+하/XSA+ㄴ/ETM
국내	국내/NNG
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
교보생명은	교보생명/NNP+은/JX
가격	가격/NNG
경쟁력을	경쟁력/NNG+을/JKO
극복하지	극복/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
중도	중도/NNG
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.22.10.4
조영현 보험연구원 연구위원은 “중국계 보험사의 진출 등으로 실적 늘리기 경쟁이 심화될 수도 있다”며 “불완전 판매 등의 감독을 더욱 강화해야 한다”고 말했다.

조영현	조영현/NNP
보험연구원	보험연구원/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“중국계	“/SS+중국/NNP+계/XSN
보험사의	보험사/NNG+의/JKG
진출	진출/NNG
등으로	등/NNB+으로/JKB
실적	실적/NNG
늘리기	늘리/VV+기/ETN
경쟁이	경쟁/NNG+이/JKS
심화될	심화/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“불완전	“/SS+불/XPN+완전/NNG
판매	판매/NNG
등의	등/NNB+의/JKG
감독을	감독/NNG+을/JKO
더욱	더욱/MAG
강화해야	강화/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.22.11.1
한편 보험업계에서는 매물이 많아 ‘제값’을 받기 어려울 것이란 전망도 있다.

한편	한편/MAG
보험업계에서는	보험업/NNG+계/XSN+에서/JKB+는/JX
매물이	매물/NNG+이/JKS
많아	많/VA+아/EC
‘제값’을	‘/SS+제값/NNG+’/SS+을/JKO
받기	받/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.22.11.2
알리안츠생명은 35억 원이라는 ‘헐값’에 팔렸으며 ING생명이나 KDB생명 역시 기대하는 매각 가격과 시장의 예상 사이에는 적잖은 차이가 있다는 게 업계 안팎의 분석이다.

알리안츠생명은	알리안츠생명/NNP+은/JX
35억	35/SN+억/NR
원이라는	원/NNB+이/VCP+라는/ETM
‘헐값’에	‘/SS+헐값/NNG+’/SS+에/JKB
팔렸으며	팔리/VV+었/EP+으며/EC
ING생명이나	ING생명/NNP+이나/JC
KDB생명	KDB생명/NNP
역시	역시/MAG
기대하는	기대/NNG+하/XSV+는/ETM
매각	매각/NNG
가격과	가격/NNG+과/JC
시장의	시장/NNG+의/JKG
예상	예상/NNG
사이에는	사이/NNG+에/JKB+는/JX
적잖은	적잖/VA+은/ETM
차이가	차이/NNG+가/JKS
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
업계	업계/NNG
안팎의	안팎/NNG+의/JKG
분석이다.	분석/NNG+이/VCP+다/EF+./SF


