# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.440
metadata : {}


# id : NWRW1800000054.440.1.1
[정치 인사이드] 막 내리는 개헌특위, 내년 선거 주판알 튕기느라 합의 못봐

[정치	[/SS+정치/NNG
연내	연내/NNG
본회의	본회의/NNG
개최	개최/NNG
협상을	협상/NNG+을/JKO
이어갔지만	잇/VV+어/EC+가/VX+았/EP+지만/EC
합의에	합의/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.440.4.2
한국당은 개헌특위를 연장하자고 하고, 민주당은 "'내년 6월 지방선거 때 개헌 국민 투표를 실시한다'는 약속 없이는 개헌특위를 연장할 수 없다"며 맞서고 있기 때문이다.

한국당은	한국당/NNP+은/JX
개헌특위를	개헌/NNG+특위/NNG+를/JKO
연장하자고	연장/NNG+하/XSV+자고/EC
하고,	하/VV+고/EC+,/SP
민주당은	민주당/NNP+은/JX
"'내년	"/SS+'/SS+내년/NNG
6월	6/SN+월/NNB
지방선거	지방/NNG+선거/NNG
때	때/NNG
개헌	개헌/NNG
국민	국민/NNG
투표를	투표/NNG+를/JKO
실시한다'는	실시/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
약속	약속/NNG
없이는	없이/MAG+는/JX
연장할	연장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
맞서고	맞서/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.4.3
이런 상황에서 영세 소상공인 부담을 덜어주는 '전기용품 및 생활용품 안전관리법 개정안', 대학 시간강사 생존권과 관련 있는 이른바 '시간강사법' 등은 국회에 묶여 있다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
영세	영세/NNG
소상공인	소/XPN+상공인/NNG
부담을	부담/NNG+을/JKO
덜어주는	덜/VV+어/EC+주/VX+는/ETM
'전기용품	'/SS+전기용품/NNG
및	및/MAG
생활용품	생활용품/NNG
안전관리법	안전/NNG+관리법/NNG
개정안',	개정안/NNG+'/SS+,/SP
대학	대학/NNG
시간강사	시간/NNG+강사/NNG
생존권과	생존/NNG+권/XSN+과/JKB
관련	관련/NNG
있는	있/VA+는/ETM
이른바	이른바/MAG
'시간강사법'	'/SS+시간/NNG+강사/NNG+법/NNG+'/SS
등은	등/NNB+은/JX
국회에	국회/NNG+에/JKB
묶여	묶이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.440.4.4
이 법안들은 연내 처리가 안 되면 폐기되는 일몰 법안들이다.

이	이/MMD
법안들은	법안/NNG+들/XSN+은/JX
연내	연내/NNG
처리가	처리/NNG+가/JKC
안	안/MAG
되면	되/VV+면/EC
폐기되는	폐기/NNG+되/XSV+는/ETM
일몰	일몰/NNG
법안들이다.	법안/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.4.5
감사원장과 대법관 등의 임명동의안 처리도 늦어지고 있다.

감사원장과	감사원장/NNG+과/JC
대법관	대/XPN+법관/NNG
등의	등/NNB+의/JKG
임명동의안	임명/NNG+동의안/NNG
처리도	처리/NNG+도/JX
늦어지고	늦어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.440.5.1
개헌특위는 작년 탄핵 사태와 맞물리면서 "이제는 제왕적 대통령제를 손질해야 한다"는 여야 공감대 속에 올해 1월 1일 출범했다.

개헌특위는	개헌/NNG+특위/NNG+는/JX
작년	작년/NNG
탄핵	탄핵/NNG
사태와	사태/NNG+와/JKB
맞물리면서	맞물리/VV+면서/EC
"이제는	"/SS+이제/NNG+는/JX
제왕적	제왕/NNG+적/XSN
대통령제를	대통령/NNG+제/XSN+를/JKO
손질해야	손질/NNG+하/XSV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
여야	여야/NNG
공감대	공감대/NNG
속에	속/NNG+에/JKB
올해	올해/NNG
1월	1/SN+월/NNB
1일	1/SN+일/NNB
출범했다.	출범/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.440.5.2
30년이 된 '87년 헌법'을 시대상에 맞게 바꿔야 한다는 주문도 있었다.

30년이	30/SN+년/NNB+이/JKC
된	되/VV+ㄴ/ETM
'87년	'/SS+87/SN+년/NNB
헌법'을	헌법/NNG+'/SS+을/JKO
시대상에	시대상/NNG+에/JKB
맞게	맞/VV+게/EC
바꿔야	바꾸/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주문도	주문/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.440.6.1
이런 분위기 속에 맞이한 지난 대선 때 여야 후보였던 문재인 대통령, 한국당 홍준표 대표, 국민의당 안철수 대표, 바른정당 유승민 대표는 지방선거와 개헌 국민투표를 동시에 치르자고 의견을 모았었다.

이런	이런/MMD
분위기	분위기/NNG
속에	속/NNG+에/JKB
맞이한	맞이하/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
대선	대선/NNG
때	때/NNG
여야	여야/NNG
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
문재인	문재인/NNP
대통령,	대통령/NNG+,/SP
한국당	한국당/NNP
홍준표	홍준표/NNP
대표,	대표/NNG+,/SP
국민의당	국민의당/NNP
안철수	안철수/NNP
바른정당	바른정당/NNP
유승민	유승민/NNP
대표는	대표/NNG+는/JX
지방선거와	지방/NNG+선거/NNG+와/JC
개헌	개헌/NNG
국민투표를	국민/NNG+투표/NNG+를/JKO
동시에	동시/NNG+에/JKB
치르자고	치르/VV+자고/EC
의견을	의견/NNG+을/JKO
모았었다.	모으/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.440.6.2
하지만 당시에도 정부 형태에 대해선 입장이 전부 달랐다.

하지만	하지만/MAJ
당시에도	당시/NNG+에/JKB+도/JX
정부	정부/NNG
형태에	형태/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
입장이	입장/NNG+이/JKS
전부	전부/MAG
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.440.6.3
지난 1년간 여야가 개헌안을 만들지 못한 이유도 정부 형태 때문이다.

지난	지나/VV+ㄴ/ETM
1년간	1/SN+년/NNB+간/XSN
여야가	여야/NNG+가/JKS
개헌안을	개헌안/NNG+을/JKO
만들지	만들/VV+지/EC
못한	못하/VX+ㄴ/ETM
이유도	이유/NNG+도/JX
정부	정부/NNG
형태	형태/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.6.4
문 대통령은 '4년 대통령 중임제'를 주장해왔다.

문	문/NNP
대통령은	대통령/NNG+은/JX
'4년	'/SS+4/SN+년/NNB
대통령	대통령/NNG
중임제'를	중임/NNG+제/XSN+'/SS+를/JKO
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.440.6.5
하지만 민주당도 이에 대해선 반대 의견이 적지 않다.

하지만	하지만/MAJ
민주당도	민주당/NNP+도/JX
이에	이/NP+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
반대	반대/NNG
의견이	의견/NNG+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.440.6.6
한국당, 국민의당, 바른정당은 대선 과정에서 '분권형 대통령제'에 합의했지만 각론에서는 차이가 있다.

한국당,	한국당/NNP+,/SP
국민의당,	국민의당/NNP+,/SP
바른정당은	바른정당/NNP+은/JX
대선	대선/NNG
과정에서	과정/NNG+에서/JKB
'분권형	'/SS+분권/NNG+형/XSN
대통령제'에	대통령/NNG+제/XSN+'/SS+에/JKB
합의했지만	합의/NNG+하/XSV+았/EP+지만/EC
각론에서는	각론/NNG+에서/JKB+는/JX
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.440.6.7
국회가 개헌안 합의를 못 하는 핵심적 이유다.

국회가	국회/NNG+가/JKS
개헌안	개헌안/NNG
합의를	합의/NNG+를/JKO
못	못/MAG
하는	하/VV+는/ETM
핵심적	핵심/NNG+적/XSN
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.7.1
그러자 민주당은 국회가 개헌안 합의를 못 했으니 또 다른 개헌 발의권자인 대통령에게 자체 개헌안을 만들어 6월 국민투표를 하자고 하고 있다.

그러자	그러/VV+자/EC
민주당은	민주당/NNP+은/JX
국회가	국회/NNG+가/JKS
개헌안	개헌안/NNG
합의를	합의/NNG+를/JKO
못	못/MAG
했으니	하/VV+았/EP+으니/EC
또	또/MAG
다른	다른/MMD
개헌	개헌/NNG
발의권자인	발의권자/NNG+이/VCP+ㄴ/ETM
대통령에게	대통령/NNG+에게/JKB
자체	자체/NNG
개헌안을	개헌안/NNG+을/JKO
만들어	만들/VV+어/EC
6월	6/SN+월/NNB
국민투표를	국민/NNG+투표/NNG+를/JKO
하자고	하/VV+자고/EC
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.440.7.2
'대선 공약은 지켜야 한다'는 논리다.

'대선	'/SS+대선/NNG
공약은	공약/NNG+은/JX
지켜야	지키/VV+어야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/ETM
논리다.	논리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.8.1
여당은 그래서 개헌특위를 연장하더라도 시한을 '2월 말'로 못 박아야 한다고 주장한다.

여당은	여당/NNG+은/JX
그래서	그래서/MAJ
개헌특위를	개헌/NNG+특위/NNG+를/JKO
연장하더라도	연장/NNG+하/XSV+더라도/EC
시한을	시한/NNG+을/JKO
'2월	'/SS+2/SN+월/NNB
말'로	말/NNB+'/SS+로/JKB
못	못/NNG
박아야	박/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.440.8.2
그때까지 국회가 개헌안을 못 내면 대통령이 자체 개헌안을 낼 수 있게 시간을 벌어줘야 하기 때문이다.

그때까지	그때/NNG+까지/JX
국회가	국회/NNG+가/JKS
개헌안을	개헌안/NNG+을/JKO
못	못/MAG
내면	내/VV+면/EC
대통령이	대통령/NNG+이/JKS
자체	자체/NNG
낼	내/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
시간을	시간/NNG+을/JKO
벌어줘야	벌/VV+어/EC+주/VX+어야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.9.1
아울러 여당은 한국당이 개헌 투표 때문에 지방선거 투표율이 동반 상승할 것을 우려해 개헌에 소극적인 것으로 보고 있다.

아울러	아울러/MAG
여당은	여당/NNG+은/JX
한국당이	한국당/NNP+이/JKS
개헌	개헌/NNG
투표	투표/NNG
때문에	때문/NNB+에/JKB
지방선거	지방/NNG+선거/NNG
투표율이	투표/NNG+율/XSN+이/JKS
동반	동반/NNG
상승할	상승/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
개헌에	개헌/NNG+에/JKB
소극적인	소극/NNG+적/XSN+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.440.9.2
우원식 원내대표는 이날 당 회의에서 "(야당은) 정치적 셈법 때문에 대선 공약까지 파기하려고 한다"고 했다.

우원식	우원식/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
당	당/NNG
회의에서	회의/NNG+에서/JKB
"(야당은)	"/SS+(/SS+야당/NNG+은/JX+)/SS
정치적	정치/NNG+적/XSN
셈법	셈법/NNG
때문에	때문/NNB+에/JKB
대선	대선/NNG
공약까지	공약/NNG+까지/JX
파기하려고	파기/NNG+하/XSV+려고/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.440.10.1
문제는 민주당이 주장하는 대통령 발의 개헌이 현실적으로 국회 통과가 힘들다는 점이다.

문제는	문제/NNG+는/JX
민주당이	민주당/NNP+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
대통령	대통령/NNG
발의	발의/NNG
개헌이	개헌/NNG+이/JKS
현실적으로	현실/NNG+적/XSN+으로/JKB
국회	국회/NNG
통과가	통과/NNG+가/JKS
힘들다는	힘들/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.10.2
국회 재적 의원 3분의 2(298명 중 199명 이상)가 찬성해야 국민 투표에 부칠 수 있는데 지금의 여소야대 국회에서는 통과 가능성이 낮다.

국회	국회/NNG
재적	재적/NNG
의원	의원/NNG
3분의	3/SN+분/XSN+의/JKG
2(298명	2/SN+(/SS+298/SN+명/NNB
중	중/NNB
199명	199/SN+명/NNB
이상)가	이상/NNG+)/SS+가/JKS
찬성해야	찬성/NNG+하/XSV+아야/EC
국민	국민/NNG
투표에	투표/NNG+에/JKB
부칠	부치/VV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
지금의	지금/NNG+의/JKG
여소야대	여소/NNG+야대/NNG
국회에서는	국회/NNG+에서/JKB+는/JX
통과	통과/NNG
가능성이	가능/NNG+성/XSN+이/JKS
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000054.440.11.1
한국당은 그래서 민주당이 불가능한 것을 알면서도 야당을 '반(反)개헌 세력' '공약 파기 당'으로 몰아붙이려는 속셈에서 대통령발 개헌을 추진한다고 본다.

한국당은	한국당/NNP+은/JX
그래서	그래서/MAJ
민주당이	민주당/NNP+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
것을	것/NNB+을/JKO
알면서도	알/VV+면서/EC+도/JX
야당을	야당/NNG+을/JKO
'반(反)개헌	'/SS+반/XPN+(/SS+反/SH+)/SS+개헌/NNG
세력'	세력/NNG+'/SS
'공약	'/SS+공약/NNG
파기	파기/NNG
당'으로	당/NNG+'/SS+으로/JKB
몰아붙이려는	몰아붙이/VV+려는/ETM
속셈에서	속셈/NNG+에서/JKB
대통령발	대통령/NNG+발/XSN
개헌을	개헌/NNG+을/JKO
추진한다고	추진/NNG+하/XSV+ㄴ다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.440.11.2
그래서 여당이 국회에서의 개헌 논의를 조기에 종료시키고 자꾸 대통령에게 개헌 발의를 맡기자고 하고 있다는 것이다.

그래서	그래서/MAJ
여당이	여당/NNG+이/JKS
국회에서의	국회/NNG+에서/JKB+의/JKG
개헌	개헌/NNG
논의를	논의/NNG+를/JKO
조기에	조기/NNG+에/JKB
종료시키고	종료/NNG+시키/XSV+고/EC
자꾸	자꾸/MAG
대통령에게	대통령/NNG+에게/JKB
발의를	발의/NNG+를/JKO
맡기자고	맡기/VV+자고/EC
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.440.11.3
김성태 원내대표는 이날 기자회견을 갖고 "민주당이 민생은 뒷전이고, 오로지 지방선거 곁다리 정략적 개헌에만 혈안이 됐다"고 했다.

김성태	김성태/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
갖고	갖/VV+고/EC
"민주당이	"/SS+민주당/NNP+이/JKS
민생은	민생/NNG+은/JX
뒷전이고,	뒷전/NNG+이/VCP+고/EC+,/SP
오로지	오로지/MAG
지방선거	지방/NNG+선거/NNG
곁다리	곁다리/NNG
정략적	정략/NNG+적/XSN
개헌에만	개헌/NNG+에/JKB+만/JX
혈안이	혈안/NNG+이/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.440.11.4
야당 관계자는 "대선 때 6월 개헌을 약속하긴 했지만 상황이 달라졌기 때문에 졸속 개헌은 안 된다"며 "대통령이 개헌안을 만들어도 정부 형태 등은 담지 못할 텐데 그렇다면 왜 개헌을 이렇게 서두르겠냐"고 했다.

야당	야당/NNG
관계자는	관계자/NNG+는/JX
"대선	"/SS+대선/NNG
때	때/NNG
6월	6/SN+월/NNB
개헌을	개헌/NNG+을/JKO
약속하긴	약속/NNG+하/XSV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
상황이	상황/NNG+이/JKS
달라졌기	달라지/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
졸속	졸속/NNG
개헌은	개헌/NNG+은/JX
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"대통령이	"/SS+대통령/NNG+이/JKS
개헌안을	개헌안/NNG+을/JKO
만들어도	만들/VV+어도/EC
정부	정부/NNG
형태	형태/NNG
등은	등/NNB+은/JX
담지	담/VV+지/EC
못할	못하/VX+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
그렇다면	그렇/VA+다면/EC
왜	왜/MAG
이렇게	이렇/VA+게/EC
서두르겠냐"고	서두르/VV+겠/EP+냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


