# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.106
metadata : {}


# id : NWRW1800000041.106.1.1
[2015 대학가는길]건국대(서울캠), 수능으로 100% 선발하는 가군 모집인원 늘려

[2015	[/SS+2015/SN
박찬규 입학처장은 “건국대는 나군에 절반 이상의 모집인원을 배정하였으나 일부 우수 자연계열 모집단위를 가군에 배치했으며 다군에는 영어영문학과, 미디어커뮤니케이션학과, 경영·경영정보학부 등의 우수 인문계열 모집단위를 배치해 수험생들이 다양한 선택을 보장했다”며 “예체능계열은 실기일정 등 수험생들의 기회를 넓히기 위해 나군과 다군에 분산 배치했다”고 말했다.

박찬규	박찬규/NNP
입학처장은	입학처장/NNG+은/JX
“건국대는	“/SS+건국대/NNP+는/JX
나군에	나군/NNG+에/JKB
절반	절반/NNG
이상의	이상/NNG+의/JKG
모집인원을	모집/NNG+인원/NNG+을/JKO
배정하였으나	배정/NNG+하/XSV+았/EP+으나/EC
일부	일부/NNG
우수	우수/NNG
자연계열	자연/NNG+계열/NNG
모집단위를	모집/NNG+단위/NNG+를/JKO
가군에	가군/NNG+에/JKB
배치했으며	배치/NNG+하/XSV+았/EP+으며/EC
다군에는	다군/NNG+에/JKB+는/JX
영어영문학과,	영어/NNP+영문학과/NNG+,/SP
미디어커뮤니케이션학과,	미디어/NNG+커뮤니케이션학/NNG+과/NNG+,/SP
경영·경영정보학부	경영/NNG+·/SP+경영/NNG+정보학부/NNG
등의	등/NNB+의/JKG
인문계열	인문/NNG+계열/NNG
배치해	배치/NNG+하/XSV+아/EC
수험생들이	수험/NNG+생/XSN+들/XSN+이/JKS
다양한	다양/NNG+하/XSA+ㄴ/ETM
선택을	선택/NNG+을/JKO
보장했다”며	보장/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“예체능계열은	“/SS+예체능/NNG+계열/NNG+은/JX
실기일정	실기/NNG+일정/NNG
등	등/NNB
수험생들의	수험/NNG+생/XSN+들/XSN+의/JKG
기회를	기회/NNG+를/JKO
넓히기	넓히/VV+기/ETN
위해	위하/VV+아/EC
나군과	나군/NNG+과/JKB
다군에	다군/NNG+에/JKB
분산	분산/NNG
배치했다”고	배치/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.106.6.3
학생부 반영방법도 변경됐다.

학생부	학생부/NNG
반영방법도	반영/NNG+방법/NNG+도/JX
변경됐다.	변경/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.106.7.1
종전까지는 고교 2, 3학년 교과목을 100% 반영했지만 올해는 1학년 20%, 2학년 40%, 3학년 40%로 각각 반영한다.

종전까지는	종전/NNG+까지/JX+는/JX
고교	고교/NNG
2,	2/SN+,/SP
3학년	3/SN+학년/NNG
교과목을	교과목/NNG+을/JKO
100%	100/SN+%/SW
반영했지만	반영/NNG+하/XSV+았/EP+지만/EC
올해는	올해/NNG+는/JX
1학년	1/SN+학년/NNG
20%,	20/SN+%/SW+,/SP
2학년	2/SN+학년/NNG
40%,	40/SN+%/SW+,/SP
40%로	40/SN+%/SW+로/JKB
각각	각각/MAG
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.106.8.1
건국대는 12일 오후 3시에 서울 광진구 건국대 새천년관에서 ‘2015학년도 KU정시맞춤형상담’을 진행한다.

건국대는	건국대/NNP+는/JX
12일	12/SN+일/NNB
오후	오후/NNG
3시에	3/SN+시/NNB+에/JKB
서울	서울/NNP
광진구	광진구/NNP
건국대	건국대/NNP
새천년관에서	새천년관/NNP+에서/JKB
‘2015학년도	‘/SS+2015/SN+학년도/NNG
KU정시맞춤형상담’을	KU/SL+정시/NNG+맞춤/NNG+형/XSN+상담/NNG+’/SS+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.106.8.2
수험생들의 정시 지원에 도움을 주기 위해 열리는 이번 설명회에서는 2015학년도 정시 주요 사항 안내와 일대일 개별 입학 상담 등이 이뤄진다.

수험생들의	수험/NNG+생/XSN+들/XSN+의/JKG
정시	정시/NNG
지원에	지원/NNG+에/JKB
도움을	도움/NNG+을/JKO
주기	주/VV+기/ETN
위해	위하/VV+아/EC
열리는	열리/VV+는/ETM
이번	이번/NNG
설명회에서는	설명회/NNG+에서/JKB+는/JX
2015학년도	2015/SN+학년도/NNG
주요	주요/NNG
사항	사항/NNG
안내와	안내/NNG+와/JC
일대일	일대일/NNG
개별	개별/NNG
입학	입학/NNG
상담	상담/NNG
등이	등/NNB+이/JKS
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.106.8.3
입학과 관련한 더 자세한 사항은 홈페이지(enter.konkuk.ac.kr)에서 확인할 수 있다.

입학과	입학/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
더	더/MAG
자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
홈페이지(enter.konkuk.ac.kr)에서	홈페이지/NNG+(/SS+enter/SL+./SP+konkuk/SL+./SP+ac/SL+./SP+kr/SL+)/SS+에서/JKB
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


