# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.173
metadata : {}


# id : NWRW1800000028.173.1.1
무서운 스님

무서운	무섭/VA+ㄴ/ETM
생활해	생활/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.173.4.4
경찰 관계자는 “조씨가 출가 전 사귀었던 애인의 변심으로 ‘여성 증오심’을 갖게 된 점에 주목해 그동안의 행적을 면밀히 조사하고 있다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“조씨가	“/SS+조/NNP+씨/NNB+가/JKS
출가	출가/NNG
전	전/NNG
사귀었던	사귀/VV+었/EP+던/ETM
애인의	애인/NNG+의/JKG
변심으로	변심/NNG+으로/JKB
‘여성	‘/SS+여성/NNG
증오심’을	증오심/NNG+’/SS+을/JKO
갖게	갖/VV+게/EC
된	되/VV+ㄴ/ETM
점에	점/NNG+에/JKB
주목해	주목/NNG+하/XSV+아/EC
그동안의	그동안/NNG+의/JKG
행적을	행적/NNG+을/JKO
면밀히	면밀히/MAG
조사하고	조사/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


