# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.12
metadata : {}


# id : NWRW1800000046.12.1.1
[깨알지식] 55년전 '순익王' GM, 지금 애플과 비교하면?

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
파이낸셜타임스(FT)가	파이낸셜타임스/NNP+(/SS+FT/SL+)/SS+가/JKS
지난	지나/VV+ㄴ/ETM
60년간	60/SN+년/NNB+간/XSN
미국에서	미국/NNP+에서/JKB
순익	순익/NNG
10위	10/SN+위/NNB
안에	안/NNG+에/JKB
든	들/VV+ㄴ/ETM
기업들을	기업/NNG+들/XSN+을/JKO
통해	통하/VV+아/EC
세계경제를	세계/NNG+경제/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
산업의	산업/NNG+의/JKG
변화를	변화/NNG+를/JKO
살펴봤다.	살펴보/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.12.4.1
1954~61년 미국의 최대 순익 기업은 자동차 기업 제너럴모터스(GM)였다.

1954~61년	1954/SN+~/SO+61/SN+년/NNB
미국의	미국/NNP+의/JKG
최대	최대/NNG
순익	순익/NNG
기업은	기업/NNG+은/JX
자동차	자동차/NNG
기업	기업/NNG
제너럴모터스(GM)였다.	제너럴모터스/NNP+(/SS+GM/SL+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.12.4.2
현재 가치로 환산한 1961년 GM의 순익은 76억달러로 지난해 애플 순익의 5분의 1 수준이었다.

현재	현재/MAG
가치로	가치/NNG+로/JKB
환산한	환산/NNG+하/XSV+ㄴ/ETM
1961년	1961/SN+년/NNB
GM의	GM/SL+의/JKG
순익은	순익/NNG+은/JX
76억달러로	76/SN+억/NR+달러/NNB+로/JKB
지난해	지난해/NNG
애플	애플/NNP
순익의	순익/NNG+의/JKG
5분의	5/SN+분/XSN+의/JKG
1	1/SN
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.12.4.3
당시 직원 수(60만명)로 나눈 1인당 순익은 1만2666달러로 애플의 30분의 1밖에 안 된다.

당시	당시/NNG
직원	직원/NNG
수(60만명)로	수/NNG+(/SS+60/SN+만/NR+명/NNB+)/SS+로/JKB
나눈	나누/VV+ㄴ/ETM
1인당	1/SN+인/NNG+당/XSN
순익은	순익/NNG+은/JX
1만2666달러로	1/SN+만/NR+2666/SN+달러/NNB+로/JKB
애플의	애플/NNP+의/JKG
30분의	30/SN+분/XSN+의/JKG
1밖에	1/SN+밖에/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.12.4.4
FT는 "많은 노동력을 필요로 하는 제조업의 시대가 정보기술의 시대로 완전히 바뀌었다는 의미"라고 전했다.

FT는	FT/SL+는/JX
"많은	"/SS+많/VA+은/ETM
노동력을	노동력/NNG+을/JKO
필요로	필요/NNG+로/JKB
하는	하/VV+는/ETM
제조업의	제조업/NNG+의/JKG
시대가	시대/NNG+가/JKS
정보기술의	정보/NNG+기술/NNG+의/JKG
시대로	시대/NNG+로/JKB
완전히	완전히/MAG
바뀌었다는	바뀌/VV+었/EP+다는/ETM
의미"라고	의미/NNG+"/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.12.5.1
1961년 IBM이 16억달러의 순익을 기록해 앞으로 다가올 컴퓨터 시대를 예고했지만, 당시 순익은 GM의 5분의 1에 불과했다.

1961년	1961/SN+년/NNB
IBM이	IBM/SL+이/JKS
16억달러의	16/SN+억/NR+달러/NNB+의/JKG
순익을	순익/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
앞으로	앞/NNG+으로/JKB
다가올	다가오/VV+ㄹ/ETM
컴퓨터	컴퓨터/NNG
시대를	시대/NNG+를/JKO
예고했지만,	예고/NNG+하/XSV+았/EP+지만/EC+,/SP
당시	당시/NNG
순익은	순익/NNG+은/JX
GM의	GM/SL+의/JKG
5분의	5/SN+분/XSN+의/JKG
1에	1/SN+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.12.5.2
FT는 1980년대에 들어서야 '소비재 시대'가 왔다고 전했다.

FT는	FT/SL+는/JX
1980년대에	1980/SN+년대/NNB+에/JKB
들어서야	들어서/VV+어야/EC
'소비재	'/SS+소비재/NNG
시대'가	시대/NNG+'/SS+가/JKS
왔다고	오/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.12.5.3
담배와 과자 회사를 거느린 필립모리스가 31억달러의 순익을 올리면서 소비재 시대를 열었다는 것이다.

담배와	담배/NNG+와/JC
과자	과자/NNG
회사를	회사/NNG+를/JKO
거느린	거느리/VV+ㄴ/ETM
필립모리스가	필립모리스/NNP+가/JKS
31억달러의	31/SN+억/NR+달러/NNB+의/JKG
순익을	순익/NNG+을/JKO
올리면서	올리/VV+면서/EC
소비재	소비재/NNG
시대를	시대/NNG+를/JKO
열었다는	열/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.12.6.1
2000년대 초반은 2002년 196억달러의 순익을 올린 시티그룹 등 금융기업이 미국의 간판 기업 자리를 차지했지만, 2007년 글로벌 금융 위기 이후 밀려났다고 FT는 전했다.

2000년대	2000/SN+년대/NNB
초반은	초반/NNG+은/JX
2002년	2002/SN+년/NNB
196억달러의	196/SN+억/NR+달러/NNB+의/JKG
순익을	순익/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
시티그룹	시티그룹/NNP
등	등/NNB
금융기업이	금융/NNG+기업/NNG+이/JKS
미국의	미국/NNP+의/JKG
간판	간판/NNG
기업	기업/NNG
자리를	자리/NNG+를/JKO
차지했지만,	차지/NNG+하/XSV+았/EP+지만/EC+,/SP
2007년	2007/SN+년/NNB
글로벌	글로벌/NNG
금융	금융/NNG
위기	위기/NNG
이후	이후/NNG
밀려났다고	밀려나/VV+았/EP+다고/EC
FT는	FT/SL+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.12.7.1
지난 60년간 순익 상위 기업에 꾸준히 이름을 올린 장수 기업도 있다.

지난	지나/VV+ㄴ/ETM
60년간	60/SN+년/NNB+간/XSN
순익	순익/NNG
상위	상위/NNG
기업에	기업/NNG+에/JKB
꾸준히	꾸준히/MAG
이름을	이름/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
장수	장수/NNG
기업도	기업/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.12.7.2
엑슨모빌 등 정유 기업이 그렇다.

엑슨모빌	엑슨모빌/NNP
등	등/NNB
정유	정유/NNG
기업이	기업/NNG+이/JKS
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000046.12.7.3
1961년 59억달러 순익으로 2위였던 엑슨모빌은 111억달러(1986년), 325억달러(2013년) 등 지난 50여년간 순익 10위 밖으로 밀린 적이 한 번도 없었다.

1961년	1961/SN+년/NNB
59억달러	59/SN+억/NR+달러/NNB
순익으로	순익/NNG+으로/JKB
2위였던	2/SN+위/NNB+이/VCP+었/EP+던/ETM
엑슨모빌은	엑슨모빌/NNP+은/JX
111억달러(1986년),	111/SN+억/NR+달러/NNB+(/SS+1986/SN+년/NNB+)/SS+,/SP
325억달러(2013년)	325/SN+억/NR+달러/NNB+(/SS+2013/SN+년/NNB+)/SS
등	등/NNB
지난	지나/VV+ㄴ/ETM
50여년간	50/SN+여/XSN+년/NNB+간/XSN
순익	순익/NNG
10위	10/SN+위/NNB
밖으로	밖/NNG+으로/JKB
밀린	밀리/VV+ㄴ/ETM
적이	적/NNB+이/JKS
한	한/MMN
번도	번/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.12.7.4
FT는 "정유 기업 외에 지난 60년간 순익 간판 기업을 지킨 기업은 없다"고 전했다.

FT는	FT/SL+는/JX
"정유	"/SS+정유/NNG
기업	기업/NNG
외에	외/NNB+에/JKB
지난	지나/VV+ㄴ/ETM
60년간	60/SN+년/NNB+간/XSN
순익	순익/NNG
간판	간판/NNG
기업을	기업/NNG+을/JKO
지킨	지키/VV+ㄴ/ETM
기업은	기업/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


