# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.29
metadata : {}


# id : NWRW1800000029.29.1.1
놀이방… 도서관… 스파… 쇼핑몰 맞아?

놀이방…	놀이방/NNG+…/SE
‘롯데몰	‘/SS+롯데몰/NNP
이시아폴리스점’이	이시아폴리스점/NNP+’/SS+이/JKS
지향하는	지향/NNG+하/XSV+는/ETM
쇼핑	쇼핑/NNG
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.29.3.1
대구시가 포스코건설과 함께 2014년 완성을 목표로 건설 중인 자족형 복합신도시 ‘이시아폴리스’의 한가운데 위치한 롯데몰 이시아폴리스점은 연면적 8만2600m², 매장면적 3만3000m² 규모의 교외형 야외 쇼핑몰이다.

대구시가	대구시/NNP+가/JKS
포스코건설과	포스코건설/NNP+과/JKB
함께	함께/MAG
2014년	2014/SN+년/NNB
완성을	완성/NNG+을/JKO
목표로	목표/NNG+로/JKB
건설	건설/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
자족형	자족/NNG+형/XSN
복합신도시	복합/NNG+신/XPN+도시/NNG
‘이시아폴리스’의	‘/SS+이시아폴리스/NNP+’/SS+의/JKG
한가운데	한/XPN+가운데/NNG
위치한	위치/NNG+하/XSV+ㄴ/ETM
롯데몰	롯데몰/NNP
이시아폴리스점은	이시아폴리스점/NNP+은/JX
연면적	연면적/NNG
8만2600m²,	8/SN+만/NR+2600/SN+m²/SW+,/SP
매장면적	매장/NNG+면적/NNG
3만3000m²	3/SN+만/NR+3000/SN+m²/SW
규모의	규모/NNG+의/JKG
교외형	교외/NNG+형/XSN
야외	야외/NNG
쇼핑몰이다.	쇼핑몰/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.29.3.2
넓은 회랑을 따라서 늘어서있는 3층 규모의 매장에서 자라, 유니클로 등 해외 유명 패스트패션(SPA) 등 패션을 비롯해 뷰티, 잡화, 아웃도어·스포츠웨어 등 총 110여 개 브랜드 제품을 구입할 수 있다.

넓은	넓/VA+은/ETM
회랑을	회랑/NNG+을/JKO
따라서	따르/VV+아서/EC
늘어서있는	늘어서/VV+어/EC+있/VX+는/ETM
3층	3/SN+층/NNG
규모의	규모/NNG+의/JKG
매장에서	매장/NNG+에서/JKB
자라,	자라/NNP+,/SP
유니클로	유니클로/NNP
등	등/NNB
해외	해외/NNG
유명	유명/NNG
패스트패션(SPA)	패스트/NNG+패션/NNG+(/SS+SPA/SL+)/SS
패션을	패션/NNG+을/JKO
비롯해	비롯하/VV+아/EC
뷰티,	뷰티/NNG+,/SP
잡화,	잡화/NNG+,/SP
아웃도어·스포츠웨어	아웃도어/NNG+·/SP+스포츠웨어/NNG
총	총/MMA
110여	110/SN+여/XSN
개	개/NNB
브랜드	브랜드/NNG
제품을	제품/NNG+을/JKO
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.29.4.1
외관만 놓고 보면 파주, 김포 등 수도권 일대에 최근 잇달아 들어선 교외형 아웃렛이나 쇼핑몰과 크게 다를 바 없어 보이지만 가족단위 고객을 위해 쇼핑 이외에 여가를 즐길 수 있게 매장을 구성해 기존 쇼핑몰과의 차별화를 꾀했다.

외관만	외관/NNG+만/JX
놓고	놓/VV+고/EC
보면	보/VX+면/EC
파주,	파주/NNP+,/SP
김포	김포/NNP
등	등/NNB
수도권	수도/NNG+권/XSN
일대에	일대/NNG+에/JKB
최근	최근/MAG
잇달아	잇달/VV+아/EC
들어선	들어서/VV+ㄴ/ETM
교외형	교외/NNG+형/XSN
아웃렛이나	아웃렛/NNG+이나/JC
쇼핑몰과	쇼핑몰/NNG+과/JKB
크게	크/VA+게/EC
다를	다르/VA+ㄹ/ETM
바	바/NNB
없어	없/VA+어/EC
보이지만	보이/VV+지만/EC
가족단위	가족/NNG+단위/NNG
고객을	고객/NNG+을/JKO
위해	위하/VV+아/EC
쇼핑	쇼핑/NNG
이외에	이외/NNG+에/JKB
여가를	여가/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
매장을	매장/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
기존	기존/NNG
쇼핑몰과의	쇼핑몰/NNG+과/JKB+의/JKG
차별화를	차별/NNG+화/XSN+를/JKO
꾀했다.	꾀하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.29.5.1
우선 매장에서 상품 판매공간이 차지하는 비중을 65% 선으로 낮췄다, 나머지는 라이프스타일 센터란 이름에 걸맞게끔 테마형 아동 놀이방, 도서 3000권을 보유한 무료 도서관, 인터넷 사용이 가능한 고객 라운지, 모유 수유실 등으로 구성했다.

우선	우선/MAG
매장에서	매장/NNG+에서/JKB
상품	상품/NNG
판매공간이	판매/NNG+공간/NNG+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중을	비중/NNG+을/JKO
65%	65/SN+%/SW
선으로	선/NNG+으로/JKB
낮췄다,	낮추/VV+었/EP+다/EF+,/SP
나머지는	나머지/NNG+는/JX
라이프스타일	라이프스타일/NNG
센터란	센터/NNG+이/VCP+란/ETM
이름에	이름/NNG+에/JKB
걸맞게끔	걸맞/VA+게끔/EC
테마형	테마/NNG+형/XSN
아동	아동/NNG
놀이방,	놀이방/NNG+,/SP
도서	도서/NNG
3000권을	3000/SN+권/NNB+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
무료	무료/NNG
도서관,	도서관/NNG+,/SP
인터넷	인터넷/NNG
사용이	사용/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
고객	고객/NNG
라운지,	라운지/NNG+,/SP
모유	모유/NNG
수유실	수유실/NNG
등으로	등/NNB+으로/JKB
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.29.5.2
여성을 위한 스파 매장, 인공암벽 등반체험이 가능한 아웃도어 매장, 멀티플렉스 영화관 CGV 등을 입점시켜 가족 단위 고객이 한나절을 보내도 지루함을 느끼지 않도록 쇼핑에 재미와 여가를 결합시키는 데 주력했다.

여성을	여성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
스파	스파/NNG
매장,	매장/NNG+,/SP
인공암벽	인공/NNG+암벽/NNG
등반체험이	등반/NNG+체험/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
아웃도어	아웃도어/NNG
멀티플렉스	멀티플렉스/NNG
영화관	영화관/NNG
CGV	CGV/SL
등을	등/NNB+을/JKO
입점시켜	입점/NNG+시키/XSV+어/EC
가족	가족/NNG
단위	단위/NNG
고객이	고객/NNG+이/JKS
한나절을	한나절/NNG+을/JKO
보내도	보내/VV+어도/EC
지루함을	지루하/VA+ㅁ/ETN+을/JKO
느끼지	느끼/VV+지/EC
않도록	않/VX+도록/EC
쇼핑에	쇼핑/NNG+에/JKB
재미와	재미/NNG+와/JC
여가를	여가/NNG+를/JKO
결합시키는	결합/NNG+시키/XSV+는/ETM
데	데/NNB
주력했다.	주력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.29.6.1
손성희 롯데몰 이시아폴리스 영업팀장은 “매년 1300만여 명이 찾는 팔공산이 가까워서 등산과 쇼핑을 즐기는 인구도 많을 것으로 예상되고, 차량으로 1시간 거리에 인구가 400만 명이 넘는 광역상권의 중심에 입지하고 있어서 앞으로의 성장이 더욱 기대된다”고 말했다.

손성희	손성희/NNP
롯데몰	롯데몰/NNP
이시아폴리스	이시아폴리스/NNP
영업팀장은	영업/NNG+팀장/NNG+은/JX
“매년	“/SS+매년/MAG
1300만여	1300/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
찾는	찾/VV+는/ETM
팔공산이	팔공산/NNP+이/JKS
가까워서	가깝/VA+어서/EC
등산과	등산/NNG+과/JC
쇼핑을	쇼핑/NNG+을/JKO
즐기는	즐기/VV+는/ETM
인구도	인구/NNG+도/JX
많을	많/VA+을/ETM
것으로	것/NNB+으로/JKB
예상되고,	예상/NNG+되/XSV+고/EC+,/SP
차량으로	차량/NNG+으로/JKB
1시간	1/SN+시간/NNB
거리에	거리/NNG+에/JKB
인구가	인구/NNG+가/JKS
400만	400/SN+만/NR
넘는	넘/VV+는/ETM
광역상권의	광역/NNG+상권/NNG+의/JKG
중심에	중심/NNG+에/JKB
입지하고	입지/NNG+하/XSV+고/EC
있어서	있/VX+어서/EC
앞으로의	앞/NNG+으로/JKB+의/JKG
성장이	성장/NNG+이/JKS
더욱	더욱/MAG
기대된다”고	기대/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.29.6.2
롯데몰 이시아폴리스점의 올해 매출목표는 1500억 원.

롯데몰	롯데몰/NNP
이시아폴리스점의	이시아폴리스점/NNP+의/JKG
올해	올해/NNG
매출목표는	매출/NNG+목표/NNG+는/JX
1500억	1500/SN+억/NR
원.	원/NNB+./SF


# id : NWRW1800000029.29.6.3
롯데백화점은 이시아폴리스점에 대한 고객반응을 지켜보면서 향후 수도권에도 라이프스타일 센터 형태의 쇼핑몰을 출점한다는 계획이다.

롯데백화점은	롯데백화점/NNP+은/JX
이시아폴리스점에	이시아폴리스점/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
고객반응을	고객/NNG+반응/NNG+을/JKO
지켜보면서	지켜보/VV+면서/EC
향후	향후/NNG
수도권에도	수도/NNG+권/XSN+에/JKB+도/JX
라이프스타일	라이프스타일/NNG
센터	센터/NNG
형태의	형태/NNG+의/JKG
쇼핑몰을	쇼핑몰/NNG+을/JKO
출점한다는	출점/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


