# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.322
metadata : {}


# id : NWRW1800000056.322.1.1
[특파원 칼럼] “천재라고 생각하고 포기해라” / 조기원

[특파원	[/SS+특파원/NNG
했다”	하/VV+았/EP+다/EF+”/SS
같은	같/VA+은/ETM
헛소문이	헛/XPN+소문/NNG+이/JKS
퍼지면서,	퍼지/VV+면서/EC+,/SP
군경과	군경/NNG+과/JC
일본	일본/NNP
민간인들로	민간인/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘자경단’이	‘/SS+자경단/NNG+’/SS+이/JKS
조선인을	조선인/NNG+을/JKO
학살하던	학살/NNG+하/XSV+던/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.322.4.4
일본도와 ‘도비쿠치’(소방용 도구로 긴 막대에 칼날이 달린 도구)로 무장한 일본인들이 인파 속에서 조선인을 찾기 시작했다.

일본도와	일본도/NNG+와/JC
‘도비쿠치’(소방용	‘/SS+도비쿠치/NNG+’/SS+(/SS+소방/NNG+용/XSN
도구로	도구/NNG+로/JKB
긴	길/VA+ㄴ/ETM
막대에	막대/NNG+에/JKB
칼날이	칼날/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
도구)로	도구/NNG+)/SS+로/JKB
무장한	무장/NNG+하/XSV+ㄴ/ETM
일본인들이	일본인/NNG+들/XSN+이/JKS
인파	인파/NNG
속에서	속/NNG+에서/JKB
조선인을	조선인/NNG+을/JKO
찾기	찾/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.4.5
자경단은 아라카와제방 공사장에서 일하던 조선인 노동자 임선일씨에게 가장 먼저 다가가 일본어로 무언가 말을 걸었다.

자경단은	자경단/NNG+은/JX
아라카와제방	아라카와/NNP+제방/NNG
공사장에서	공사장/NNG+에서/JKB
일하던	일/NNG+하/XSV+던/ETM
조선인	조선인/NNG
노동자	노동자/NNG
임선일씨에게	임선일/NNP+씨/NNB+에게/JKB
가장	가장/MAG
먼저	먼저/MAG
다가가	다가가/VV+아/EC
일본어로	일본어/NNP+로/JKB
무언가	무어/NP+이/VCP+ㄴ가/EF
말을	말/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.4.6
일본어를 몰랐던 임씨는 일본어를 할 줄 알았던 신씨에게 “통역을 해달라”고 외쳤다.

일본어를	일본어/NNP+를/JKO
몰랐던	모르/VV+았/EP+던/ETM
임씨는	임/NNP+씨/NNB+는/JX
할	하/VV+ㄹ/ETM
줄	줄/NNB
알았던	알/VV+았/EP+던/ETM
신씨에게	신/NNP+씨/NNB+에게/JKB
“통역을	“/SS+통역/NNG+을/JKO
해달라”고	하/VV+아/EC+달/VX+라/EF+”/SS+고/JKQ
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.4.7
외침과 거의 동시에 자경단이 일본도로 임씨를 내리쳐 살해했다.

외침과	외침/NNG+과/JKB
거의	거의/MAG
동시에	동시/NNG+에/JKB
자경단이	자경단/NNG+이/JKS
일본도로	일본도/NNG+로/JKB
임씨를	임/NNP+씨/NNB+를/JKO
내리쳐	내리치/VV+어/EC
살해했다.	살해/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.5.1
그는 그대로 있다가는 죽임을 당할 것이라 생각해 아라카와강으로 뛰어들었다.

그는	그/NP+는/JX
그대로	그대로/MAG
있다가는	있/VA+다가/EC+는/JX
죽임을	죽이/VV+ㅁ/ETN+을/JKO
당할	당하/VV+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EC
생각해	생각/NNG+하/XSV+아/EC
아라카와강으로	아라카와강/NNP+으로/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.5.2
다른 조선인들도 뛰어들었다.

다른	다른/MMD
조선인들도	조선인/NNG+들/XSN+도/JX
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.5.3
총성이 들렸고 헤엄을 치던 조선인들이 물밑으로 가라앉았다.

총성이	총성/NNG+이/JKS
들렸고	들리/VV+었/EP+고/EC
헤엄을	헤엄/NNG+을/JKO
치던	치/VV+던/ETM
조선인들이	조선인/NNG+들/XSN+이/JKS
물밑으로	물/NNG+밑/NNG+으로/JKB
가라앉았다.	가라앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.5.4
그는 동생과 함께 갈대밭에 몸을 숨겼지만, 배를 타고 찾아온 자경단에 붙잡혔다.

그는	그/NP+는/JX
동생과	동생/NNG+과/JKB
함께	함께/MAG
갈대밭에	갈대밭/NNG+에/JKB
몸을	몸/NNG+을/JKO
숨겼지만,	숨기/VV+었/EP+지만/EC+,/SP
배를	배/NNG+를/JKO
타고	타/VV+고/EC
찾아온	찾아오/VV+ㄴ/ETM
자경단에	자경단/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.5.5
자경단은 그를 일본도로 내리쳤다.

자경단은	자경단/NNG+은/JX
그를	그/NP+를/JKO
일본도로	일본도/NNG+로/JKB
내리쳤다.	내리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.5.6
그는 일본도를 왼손으로 막았다.

그는	그/NP+는/JX
일본도를	일본도/NNG+를/JKO
왼손으로	왼손/NNG+으로/JKB
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.5.7
왼손 새끼손가락이 잘려나갔다.

왼손	왼손/NNG
새끼손가락이	새끼손가락/NNG+이/JKS
잘려나갔다.	잘리/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.322.5.8
일본도를 빼앗아 저항했으나 소용없었다.

일본도를	일본도/NNG+를/JKO
빼앗아	빼앗/VV+아/EC
저항했으나	저항/NNG+하/XSV+았/EP+으나/EC
소용없었다.	소용없/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.322.5.9
다른 자경단원들까지 합세한 공격을 막아낼 수는 없었고, 기절했다.

다른	다른/MMD
자경단원들까지	자경단원/NNG+들/XSN+까지/JX
합세한	합세/NNG+하/XSV+ㄴ/ETM
공격을	공격/NNG+을/JKO
막아낼	막/VV+아/EC+내/VX+ㄹ/ETM
수는	수/NNB+는/JX
없었고,	없/VA+었/EP+고/EC+,/SP
기절했다.	기절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.5.10
왼쪽 어깨에는 일본도에 베인 큰 상처가 남았고, 머리와 몸 이곳저곳에도 상처가 났다.

왼쪽	왼쪽/NNG
어깨에는	어깨/NNG+에/JKB+는/JX
일본도에	일본도/NNG+에/JKB
베인	베이/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
상처가	상처/NNG+가/JKS
남았고,	남/VV+았/EP+고/EC+,/SP
머리와	머리/NNG+와/JC
몸	몸/NNG
이곳저곳에도	이곳저곳/NNG+에/JKB+도/JX
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.6.1
일본인들은 조선인 주검을 데라지마 경찰서로 옮겼다.

일본인들은	일본인/NNG+들/XSN+은/JX
조선인	조선인/NNG
주검을	주검/NNG+을/JKO
데라지마	데라지마/NNP
경찰서로	경찰서/NNG+로/JKB
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.6.2
주검은, 어시장에서 큰 생선을 갈고리로 찍어서 옮기듯이, 도비쿠치로 옮겼다.

주검은,	주검/NNG+은/JX+,/SP
어시장에서	어시장/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
생선을	생선/NNG+을/JKO
갈고리로	갈고리/NNG+로/JKB
찍어서	찍/VV+어서/EC
옮기듯이,	옮기/VV+듯이/EC+,/SP
도비쿠치로	도비쿠치/NNG+로/JKB
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.6.3
그도 데라지마 경찰서로 옮겨졌다.

그도	그/NP+도/JX
데라지마	데라지마/NNP
경찰서로	경찰서/NNG+로/JKB
옮겨졌다.	옮기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.322.6.4
왼발에는 도비쿠치에 찍힌 상처가 남았다.

왼발에는	왼발/NNG+에/JKB+는/JX
도비쿠치에	도비쿠치/NNG+에/JKB
찍힌	찍히/VV+ㄴ/ETM
상처가	상처/NNG+가/JKS
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.6.5
의식을 잃은 그를 구한 이는 같이 경찰서로 끌려온 동생 훈범씨였다.

의식을	의식/NNG+을/JKO
잃은	잃/VV+은/ETM
그를	그/NP+를/JKO
구한	구하/VV+ㄴ/ETM
이는	이/NNB+는/JX
같이	같이/MAG
경찰서로	경찰서/NNG+로/JKB
끌려온	끌려오/VV+ㄴ/ETM
동생	동생/NNG
훈범씨였다.	훈범/NNP+씨/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.322.6.6
조금 덜 중한 상처를 입은 동생은 생선 쌓아놓듯이 쌓아놓은 시체들 틈바구니에서 형이 “물을 달라”고 하는 소리를 들었다.

조금	조금/MAG
덜	덜/MAG
중한	중하/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
입은	입/VV+은/ETM
동생은	동생/NNG+은/JX
생선	생선/NNG
쌓아놓듯이	쌓/VV+아/EC+놓/VX+듯이/EC
쌓아놓은	쌓/VV+아/EC+놓/VX+은/ETM
시체들	시체/NNG+들/XSN
틈바구니에서	틈바구니/NNG+에서/JKB
형이	형/NNG+이/JKS
“물을	“/SS+물/NNG+을/JKO
달라”고	달/VV+라/EF+”/SS+고/JKQ
하는	하/VV+는/ETM
소리를	소리/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.6.7
동생이 준 물을 먹고 일주일 정도를 버틴 끝에 눈을 떴다.

동생이	동생/NNG+이/JKS
준	주/VV+ㄴ/ETM
물을	물/NNG+을/JKO
먹고	먹/VV+고/EC
일주일	일주일/NNG
정도를	정도/NNG+를/JKO
버틴	버티/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
눈을	눈/NNG+을/JKO
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.322.6.8
의식을 찾은 그에게 총독부 관리가 찾아와 병원에 데려다줄 것이라고 말했다.

의식을	의식/NNG+을/JKO
찾은	찾/VV+은/ETM
그에게	그/NP+에게/JKB
총독부	총독부/NNG
관리가	관리/NNG+가/JKS
찾아와	찾아오/VV+아/EC
병원에	병원/NNG+에/JKB
데려다줄	데려다주/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.6.9
그는 병원으로 이송됐으나 치료는 ‘빨간약’이라고 불리는 소독약을 발라주는 정도였다.

그는	그/NP+는/JX
병원으로	병원/NNG+으로/JKB
이송됐으나	이송/NNG+되/XSV+었/EP+으나/EC
치료는	치료/NNG+는/JX
‘빨간약’이라고	‘/SS+빨간약/NNG+’/SS+이라고/JKQ
불리는	불리/VV+는/ETM
소독약을	소독약/NNG+을/JKO
발라주는	바르/VV+아/EC+주/VX+는/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.322.6.10
간호사들은 간호보다는 조선인들의 동태 감시에 더 신경을 쓰는 눈치였다.

간호사들은	간호사/NNG+들/XSN+은/JX
간호보다는	간호/NNG+보다/JKB+는/JX
조선인들의	조선인/NNG+들/XSN+의/JKG
동태	동태/NNG
감시에	감시/NNG+에/JKB
더	더/MAG
신경을	신경/NNG+을/JKO
쓰는	쓰/VV+는/ETM
눈치였다.	눈치/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.322.6.11
그가 퇴원했을 때 같은 병실에 있던 16명 중 살아남은 사람은 9명이었다.

그가	그/NP+가/JKS
퇴원했을	퇴원/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
같은	같/VA+은/ETM
병실에	병실/NNG+에/JKB
있던	있/VA+던/ETM
16명	16/SN+명/NNB
중	중/NNB
살아남은	살아남/VV+은/ETM
사람은	사람/NNG+은/JX
9명이었다.	9/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.322.7.1
이 이야기는 지난 2일 도쿄 스미다구 아라카와제방에서 시민단체 봉선화가 연 간토대지진 조선인학살 94주기 추도식에서 소개된 신창범씨의 증언이다.

이	이/MMD
이야기는	이야기/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
도쿄	도쿄/NNP
스미다구	스미다구/NNP
아라카와제방에서	아라카와/NNP+제방/NNG+에서/JKB
시민단체	시민/NNG+단체/NNG
봉선화가	봉선화/NNP+가/JKS
연	열/VV+ㄴ/ETM
간토대지진	간토/NNP+대/XPN+지진/NNG
조선인학살	조선인/NNG+학살/NNG
94주기	94/SN+주기/NNB
추도식에서	추도식/NNG+에서/JKB
소개된	소개/NNG+되/XSV+ㄴ/ETM
신창범씨의	신창범/NNP+씨/NNB+의/JKG
증언이다.	증언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.322.7.2
1963년 일본 조선대학교가 수집해 기록한 증언을 다시 소개했다.

1963년	1963/SN+년/NNB
일본	일본/NNP
조선대학교가	조선대학교/NNP+가/JKS
수집해	수집/NNG+하/XSV+아/EC
기록한	기록/NNG+하/XSV+ㄴ/ETM
증언을	증언/NNG+을/JKO
다시	다시/MAG
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.8.1
이날 도쿄 스미다구 아라카와제방 근처 봉숭아꽃이 핀 조선인학살 추도비 앞에서 시민들이 헌화를 했다.

이날	이날/NNG
도쿄	도쿄/NNP
스미다구	스미다구/NNP
아라카와제방	아라카와/NNP+제방/NNG
근처	근처/NNG
봉숭아꽃이	봉숭아꽃/NNG+이/JKS
핀	피/VV+ㄴ/ETM
조선인학살	조선인/NNG+학살/NNG
추도비	추도비/NNG
앞에서	앞/NNG+에서/JKB
시민들이	시민/NNG+들/XSN+이/JKS
헌화를	헌화/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.8.2
추도식에는 창범씨 막내아우의 손자인 창우씨가 참석했다.

추도식에는	추도식/NNG+에/JKB+는/JX
창범씨	창범/NNP+씨/NNB
막내아우의	막내아우/NNG+의/JKG
손자인	손자/NNG+이/VCP+ㄴ/ETM
창우씨가	창우/NNP+씨/NNB+가/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.8.3
창우씨는 “조선인학살에 대한 은폐가 계속되고 있다. 총독부 관리가 ‘천재라고 생각해 포기하라’고 한 말을 듣고 있으면, 고이케 유리코 도쿄도지사가 최근에 한 말이 떠오른다”고 말했다.

창우씨는	창우/NNP+씨/NNB+는/JX
“조선인학살에	“/SS+조선인/NNG+학살/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
은폐가	은폐/NNG+가/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF
총독부	총독부/NNG
관리가	관리/NNG+가/JKS
‘천재라고	‘/SS+천재/NNG+이/VCP+라고/EC
생각해	생각/NNG+하/XSV+아/EC
포기하라’고	포기/NNG+하/XSV+라/EF+’/SS+고/JKQ
한	하/VV+ㄴ/ETM
말을	말/NNG+을/JKO
듣고	듣/VV+고/EC
있으면,	있/VX+으면/EC+,/SP
고이케	고이케/NNP
유리코	유리코/NNP
도쿄도지사가	도쿄/NNP+도지사/NNG+가/JKS
최근에	최근/NNG+에/JKB
말이	말/NNG+이/JKS
떠오른다”고	떠오르/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.322.8.4
고이케 지사는 올해부터 조선인학살 희생자에 대한 추도문을 보내지 않는 이유에 대해서 “지진 피해자 모두에게 추도문을 보내고 따로 (조선인들을 대상으로) 추도문을 보내지 않겠다”고 말했다.

고이케	고이케/NNP
지사는	지사/NNG+는/JX
올해부터	올해/NNG+부터/JX
조선인학살	조선인/NNG+학살/NNG
희생자에	희생자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추도문을	추도문/NNG+을/JKO
보내지	보내/VV+지/EC
않는	않/VX+는/ETM
이유에	이유/NNG+에/JKB
대해서	대하/VV+아서/EC
“지진	“/SS+지진/NNG
피해자	피해자/NNG
모두에게	모두/NNG+에게/JKB
보내고	보내/VV+고/EC
따로	따로/MAG
(조선인들을	(/SS+조선인/NNG+들/XSN+을/JKO
대상으로)	대상/NNG+으로/JKB+)/SS
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


