# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.14
metadata : {}


# id : NWRW1800000033.14.1.1
금감원,감사보고서 활용 요령“감사의견 부적정-한정의견-의견거절 땐 상장폐지 위험”

금감원,감사보고서	금감원/NNG+,/SP+감사/NNG+보고서/NNG
감사를 제대로 진행하지 못했거나 회계기준 위반사항이 있으면 중간 문단에 자세히 기재하기 때문이다.

감사를	감사/NNG+를/JKO
제대로	제대로/MAG
진행하지	진행/NNG+하/XSV+지/EC
못했거나	못하/VX+았/EP+거나/EC
회계기준	회계/NNG+기준/NNG
위반사항이	위반/NNG+사항/NNG+이/JKS
있으면	있/VA+으면/EC
중간	중간/NNG
문단에	문단/NNG+에/JKB
자세히	자세히/MAG
기재하기	기재/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.14.5.3
뒤따르는 의견 문단에서는 감사의견 종류를 알 수 있다.

뒤따르는	뒤따르/VV+는/ETM
의견	의견/NNG
문단에서는	문단/NNG+에서/JKB+는/JX
감사의견	감사/NNG+의견/NNG
종류를	종류/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.14.5.4
특히 상장회사는 감사의견이 부적정, 한정 의견, 의견 거절 등일 때 상장폐지 위험이 발생하므로 주의해야 한다.

특히	특히/MAG
상장회사는	상장/NNG+회사/NNG+는/JX
감사의견이	감사/NNG+의견/NNG+이/JKS
부적정,	부/XPN+적정/NNG+,/SP
한정	한정/NNG
의견,	의견/NNG+,/SP
의견	의견/NNG
거절	거절/NNG
등일	등/NNB+이/VCP+ㄹ/ETM
때	때/NNG
상장폐지	상장/NNG+폐지/NNG
위험이	위험/NNG+이/JKS
발생하므로	발생/NNG+하/XSV+므로/EC
주의해야	주의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.14.6.1
보고서 마지막 부분에 기재되는 특기사항도 살펴볼 필요가 있다.

보고서	보고서/NNG
마지막	마지막/NNG
부분에	부분/NNG+에/JKB
기재되는	기재/NNG+되/XSV+는/ETM
특기사항도	특기/NNG+사항/NNG+도/JX
살펴볼	살펴보/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.14.6.2
비록 감사의견에는 영향이 없지만 특수관계자와의 중요한 거래, 영업환경 및 지배구조의 변경같이 향후 회사의 경영에 중요한 영향을 끼칠 수 있기 때문이다.

비록	비록/MAG
감사의견에는	감사/NNG+의견/NNG+에/JKB+는/JX
영향이	영향/NNG+이/JKS
없지만	없/VA+지만/EC
특수관계자와의	특수/NNG+관계자/NNG+와/JKB+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
거래,	거래/NNG+,/SP
영업환경	영업/NNG+환경/NNG
및	및/MAG
지배구조의	지배/NNG+구조/NNG+의/JKG
변경같이	변경/NNG+같이/JKB
향후	향후/NNG
회사의	회사/NNG+의/JKG
경영에	경영/NNG+에/JKB
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.14.7.1
감사보고서 제출 일자도 확인해야 한다.

감사보고서	감사/NNG+보고서/NNG
제출	제출/NNG
일자도	일자/NNG+도/JX
확인해야	확인/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.14.7.2
일반적으로 감사보고서 제출기간은 정기주총 일주일 전이다.

일반적으로	일반/NNG+적/XSN+으로/JKB
감사보고서	감사/NNG+보고서/NNG
제출기간은	제출/NNG+기간/NNG+은/JX
정기주총	정기/NNG+주총/NNG
일주일	일주일/NNG
전이다.	전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.14.7.3
기한 안에 내지 않았다고 제재를 받는 것은 아니지만 기업의 부실 징후를 감추기 위해 감사보고서를 내지 않는 사례가 많다.

기한	기한/NNG
안에	안/NNG+에/JKB
내지	내/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
제재를	제재/NNG+를/JKO
받는	받/VV+는/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
기업의	기업/NNG+의/JKG
부실	부실/NNG
징후를	징후/NNG+를/JKO
감추기	감추/VV+기/ETN
위해	위하/VV+아/EC
감사보고서를	감사/NNG+보고서/NNG+를/JKO
않는	않/VX+는/ETM
사례가	사례/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.14.7.4
한국거래소가 2008∼2011년 감사의견 관련 상장폐지법인을 분석한 결과 상폐 기업 122개사 중 91개사(74.6%)가 감사보고서 제출 시한을 지키지 않았다.

한국거래소가	한국거래소/NNP+가/JKS
2008∼2011년	2008/SN+∼/SO+2011/SN+년/NNB
감사의견	감사/NNG+의견/NNG
관련	관련/NNG
상장폐지법인을	상장/NNG+폐지/NNG+법인/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
상폐	상폐/NNG
기업	기업/NNG
122개사	122/SN+개사/NNB
중	중/NNB
91개사(74.6%)가	91/SN+개사/NNB+(/SS+74/SN+./SP+6/SN+%/SW+)/SS+가/JKS
감사보고서	감사/NNG+보고서/NNG
제출	제출/NNG
시한을	시한/NNG+을/JKO
지키지	지키/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.14.8.1
감사보고서를 지나치게 맹신하는 것도 금물이다.

감사보고서를	감사/NNG+보고서/NNG+를/JKO
지나치게	지나치/VA+게/EC
맹신하는	맹신/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
금물이다.	금물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.14.8.2
감사보고서는 재무제표가 회계기준에 따라 작성됐는지에 대한 의견일 뿐 회사의 재무건전성이나 경영성과와는 무관하다.

감사보고서는	감사/NNG+보고서/NNG+는/JX
재무제표가	재무제표/NNG+가/JKS
회계기준에	회계/NNG+기준/NNG+에/JKB
따라	따르/VV+아/EC
작성됐는지에	작성/NNG+되/XSV+었/EP+는지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
의견일	의견/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
회사의	회사/NNG+의/JKG
재무건전성이나	재무/NNG+건전/NNG+성/XSN+이나/JC
경영성과와는	경영/NNG+성과/NNG+와/JKB+는/JX
무관하다.	무관하/VA+다/EF+./SF


# id : NWRW1800000033.14.8.3
금감원 관계자는 “표본 추출의 한계나 회사 측의 조직적인 회계분식 은폐 가능성 등 감사보고서의 근본적인 한계를 감안해야 한다”고 말했다.

금감원	금감원/NNG
관계자는	관계자/NNG+는/JX
“표본	“/SS+표본/NNG
추출의	추출/NNG+의/JKG
한계나	한계/NNG+나/JC
회사	회사/NNG
측의	측/NNB+의/JKG
조직적인	조직/NNG+적/XSN+이/VCP+ㄴ/ETM
회계분식	회계/NNG+분식/NNG
은폐	은폐/NNG
가능성	가능/NNG+성/XSN
등	등/NNB
감사보고서의	감사/NNG+보고서/NNG+의/JKG
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
한계를	한계/NNG+를/JKO
감안해야	감안/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


