# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.50
metadata : {}


# id : NWRW1800000056.50.1.1
TV 보면서도 왜 스마트폰을 더듬을까

TV	TV/SL
현상이	현상/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.50.4.2
최근 정보통신정책연구원이 발표한 ‘미디어 동시이용행태 분석’ 보고서는 많은 사람이 여러 미디어를 동시에 이용하는 ‘멀티태스킹’을 하고 있다는 사실을 알려준다.

최근	최근/MAG
정보통신정책연구원이	정보/NNG+통신/NNG+정책/NNG+연구원/NNG+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘미디어	‘/SS+미디어/NNG
동시이용행태	동시/NNG+이용/NNG+행태/NNG
분석’	분석/NNG+’/SS
보고서는	보고서/NNG+는/JX
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
여러	여러/MMN
미디어를	미디어/NNG+를/JKO
동시에	동시/NNG+에/JKB
이용하는	이용/NNG+하/XSV+는/ETM
‘멀티태스킹’을	‘/SS+멀티태스킹/NNG+’/SS+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
알려준다.	알리/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.50.4.3
지난해 미디어패널조사 결과를 보면, 전체 스마트폰 이용시간 중 27.7%는 사용자가 신문·책·잡지, 텔레비전, 피시, 라디오 등 다른 미디어를 사용하는 시간과 겹쳤다.

지난해	지난해/NNG
미디어패널조사	미디어/NNG+패널/NNG+조사/NNG
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
전체	전체/NNG
스마트폰	스마트폰/NNG
이용시간	이용/NNG+시간/NNG
중	중/NNB
27.7%는	27/SN+./SP+7/SN+%/SW+는/JX
사용자가	사용자/NNG+가/JKS
신문·책·잡지,	신문/NNG+·/SP+책/NNG+·/SP+잡지/NNG+,/SP
텔레비전,	텔레비전/NNG+,/SP
피시,	피시/NNG+,/SP
라디오	라디오/NNG
등	등/NNB
다른	다른/MMD
미디어를	미디어/NNG+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
시간과	시간/NNG+과/JKB
겹쳤다.	겹치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.50.4.4
이용자 스스로 텔레비전을 시청하기로 또는 라디오를 듣기로 선택했지만 그에 만족하지 못하고 다시 스마트폰으로 다른 내용의 콘텐츠를 이용하는 현상이다.

이용자	이용자/NNG
스스로	스스로/MAG
텔레비전을	텔레비전/NNG+을/JKO
시청하기로	시청/NNG+하/XSV+기/ETN+로/JKB
또는	또는/MAG
라디오를	라디오/NNG+를/JKO
듣기로	듣/VV+기/ETN+로/JKB
선택했지만	선택/NNG+하/XSV+았/EP+지만/EC
그에	그/NP+에/JKB
만족하지	만족/NNG+하/XSA+지/EC
못하고	못하/VX+고/EC
다시	다시/MAG
스마트폰으로	스마트폰/NNG+으로/JKB
다른	다른/MMD
내용의	내용/NNG+의/JKG
콘텐츠를	콘텐츠/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.50.4.5
이용자들은 스스로 선택한 미디어와 채널인데 왜 그에 집중하는 대신 다시 스마트폰을 꺼내든 것일까?

이용자들은	이용자/NNG+들/XSN+은/JX
스스로	스스로/MAG
선택한	선택/NNG+하/XSV+ㄴ/ETM
미디어와	미디어/NNG+와/JC
채널인데	채널/NNG+이/VCP+ㄴ데/EC
왜	왜/MAG
그에	그/NP+에/JKB
집중하는	집중/NNG+하/XSV+는/ETM
대신	대신/NNG
다시	다시/MAG
스마트폰을	스마트폰/NNG+을/JKO
꺼내든	꺼내/VV+어/EC+들/VV+ㄴ/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000056.50.5.1
미디어패널조사에서 미디어 이용 중 스마트폰으로 멀티태스킹하는 기능은 전화통화, 소셜미디어, 정보콘텐츠 순이었다.

미디어패널조사에서	미디어/NNG+패널/NNG+조사/NNG+에서/JKB
미디어	미디어/NNG
이용	이용/NNG
중	중/NNB
스마트폰으로	스마트폰/NNG+으로/JKB
멀티태스킹하는	멀티태스킹/NNG+하/XSV+는/ETM
기능은	기능/NNG+은/JX
전화통화,	전화/NNG+통화/NNG+,/SP
소셜미디어,	소셜/NNG+미디어/NNG+,/SP
정보콘텐츠	정보/NNG+콘텐츠/NNG
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.50.5.2
새로운 미디어 이용 형태가 만들어지는 셈이다.

새로운	새롭/VA+ㄴ/ETM
미디어	미디어/NNG
이용	이용/NNG
형태가	형태/NNG+가/JKS
만들어지는	만들/VV+어/EC+지/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.50.5.3
단일한 미디어를 이용하던 상황에서 미디어를 보면서 소셜미디어를 통해서 상대의 반응을 보거나 나의 감상을 공유하고 또 미디어에 나온 내용에 대해 검색을 통해서 추가적 정보를 찾는 행위를 동시에 하는 방식으로 변화하고 있다는 의미다.

단일한	단일/NNG+하/XSA+ㄴ/ETM
미디어를	미디어/NNG+를/JKO
이용하던	이용/NNG+하/XSV+던/ETM
상황에서	상황/NNG+에서/JKB
보면서	보/VV+면서/EC
소셜미디어를	소셜/NNG+미디어/NNG+를/JKO
통해서	통하/VV+아서/EC
상대의	상대/NNG+의/JKG
반응을	반응/NNG+을/JKO
보거나	보/VV+거나/EC
나의	나/NP+의/JKG
감상을	감상/NNG+을/JKO
공유하고	공유/NNG+하/XSV+고/EC
또	또/MAG
미디어에	미디어/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
내용에	내용/NNG+에/JKB
대해	대하/VV+아/EC
검색을	검색/NNG+을/JKO
추가적	추가/NNG+적/XSN
정보를	정보/NNG+를/JKO
찾는	찾/VV+는/ETM
행위를	행위/NNG+를/JKO
동시에	동시/NNG+에/JKB
하는	하/VV+는/ETM
방식으로	방식/NNG+으로/JKB
변화하고	변화/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.50.5.4
마치 축구경기를 친구들과 모여서 볼 때 더 즐거운 것과 비슷하다.

마치	마치/MAG
축구경기를	축구/NNG+경기/NNG+를/JKO
친구들과	친구/NNG+들/XSN+과/JKB
모여서	모이/VV+어서/EC
볼	보/VV+ㄹ/ETM
때	때/NNG
더	더/MAG
즐거운	즐겁/VA+ㄴ/ETM
것과	것/NNB+과/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000056.50.5.5
기존엔 일방향적 매스미디어를 이용하는 방법뿐이었으나, 스마트폰과 소셜미디어라는 도구와 네트워크를 접하면서 미디어 이용이 달라진 것이다.

기존엔	기존/NNG+에/JKB+ㄴ/JX
일방향적	일방향/NNG+적/XSN
매스미디어를	매스/NNG+미디어/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
방법뿐이었으나,	방법/NNG+뿐/JX+이/VCP+었/EP+으나/EC+,/SP
스마트폰과	스마트폰/NNG+과/JC
소셜미디어라는	소셜/NNG+미디어/NNG+이/VCP+라는/ETM
도구와	도구/NNG+와/JC
네트워크를	네트워크/NNG+를/JKO
접하면서	접하/VV+면서/EC
미디어	미디어/NNG
이용이	이용/NNG+이/JKS
달라진	달라지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.50.6.1
<생각하지 않는 사람들>에서 니컬러스 카는 인간 두뇌 구조상 멀티태스킹은 환상이자 속임수라고 지적했다.

<생각하지	</SS+생각/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
사람들>에서	사람/NNG+들/XSN+>/SS+에서/JKB
니컬러스	니컬러스/NNP
카는	카/NNP+는/JX
인간	인간/NNG
두뇌	두뇌/NNG
구조상	구조/NNG+상/XSN
멀티태스킹은	멀티태스킹/NNG+은/JX
환상이자	환상/NNG+이/VCP+자/EC
속임수라고	속임수/NNG+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.50.6.2
멀티태스킹은 집중력과 주의력이 떨어질 뿐 아니라, 심층적 사고력을 저해해 ‘생각하지 않는 사람’이 될 수 있다고 경고했다.

멀티태스킹은	멀티태스킹/NNG+은/JX
집중력과	집중력/NNG+과/JC
주의력이	주의력/NNG+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
심층적	심층/NNG+적/XSN
사고력을	사고력/NNG+을/JKO
저해해	저해/NNG+하/XSV+아/EC
‘생각하지	‘/SS+생각/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
사람’이	사람/NNG+’/SS+이/JKS
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.50.7.1
신문이나 책을 읽다가 사전을 찾아보던 것도 사실은 미디어 동시이용이다.

신문이나	신문/NNG+이나/JC
책을	책/NNG+을/JKO
읽다가	읽/VV+다가/EC
사전을	사전/NNG+을/JKO
찾아보던	찾아보/VV+던/ETM
것도	것/NNB+도/JX
사실은	사실/NNG+은/JX
미디어	미디어/NNG
동시이용이다.	동시/NNG+이용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.50.7.2
스마트폰의 다양한 기능과 멀티태스킹이 자체로 좋거나 나쁜 것은 아니다.

스마트폰의	스마트폰/NNG+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
기능과	기능/NNG+과/JC
멀티태스킹이	멀티태스킹/NNG+이/JKS
자체로	자체/NNG+로/JKB
좋거나	좋/VA+거나/EC
나쁜	나쁘/VA+ㄴ/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000056.50.7.3
사용하는 자의 의도와 이해가 더 중요하다.

사용하는	사용/NNG+하/XSV+는/ETM
자의	자/NNB+의/JKG
의도와	의도/NNG+와/JC
이해가	이해/NNG+가/JKS
더	더/MAG
중요하다.	중요/NNG+하/XSA+다/EF+./SF


