# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.203
metadata : {}


# id : NWRW1800000030.203.1.1
양승호에 따뜻하던 그들이… 성적 나쁘자 '협박 문자' 하루 400통

양승호에	양승호/NNP+에/JKB
비난은	비난/NNG+은/JX
새로	새로/MAG
지휘봉을	지휘봉/NNG+을/JKO
잡은	잡/VV+은/ETM
양	양/NNP
감독에게	감독/NNG+에게/JKB
쏠렸고,	쏠리/VV+었/EP+고/EC+,/SP
그의	그/NP+의/JKG
전화번호가	전화번호/NNG+가/JKS
인터넷상에	인터넷/NNG+상/XSN+에/JKB
공개되면서	공개/NNG+되/XSV+면서/EC
'문자	'/SS+문자/NNG
테러'가	테러/NNG+'/SS+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.203.5.4
양승호 감독은 "부산 팬들의 야구 열정은 익히 알고 있었지만 이 정도일 줄은 몰랐다"며 "신고식을 톡톡히 치르고 있다"고 했다.

양승호	양승호/NNP
감독은	감독/NNG+은/JX
"부산	"/SS+부산/NNP
팬들의	팬/NNG+들/XSN+의/JKG
야구	야구/NNG
열정은	열정/NNG+은/JX
익히	익히/MAG
알고	알/VV+고/EC
있었지만	있/VX+었/EP+지만/EC
이	이/MMD
정도일	정도/NNG+이/VCP+ㄹ/ETM
줄은	줄/NNB+은/JX
몰랐다"며	모르/VV+았/EP+다/EF+"/SS+며/EC
"신고식을	"/SS+신고식/NNG+을/JKO
톡톡히	톡톡히/MAG
치르고	치르/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.203.5.5
양 감독은 부산 홈경기 땐 거의 숙소에서 두문불출하다시피 한다.

양	양/NNP
감독은	감독/NNG+은/JX
부산	부산/NNP
홈경기	홈경기/NNG
땐	때/NNG+ㄴ/JX
거의	거의/MAG
숙소에서	숙소/NNG+에서/JKB
두문불출하다시피	두문불출/NNG+하/XSV+다시피/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.203.5.6
자신을 영웅처럼 반겨주던 식당조차 따가운 시선이 두려워 발길을 거의 끊었다.

자신을	자신/NNG+을/JKO
영웅처럼	영웅/NNG+처럼/JKB
반겨주던	반기/VV+어/EC+주/VX+던/ETM
식당조차	식당/NNG+조차/JX
따가운	따갑/VA+ㄴ/ETM
시선이	시선/NNG+이/JKS
두려워	두렵/VA+어/EC
발길을	발길/NNG+을/JKO
거의	거의/MAG
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.203.6.1
롯데는 이대호의 홈런포가 침묵하는 것을 비롯해 김주찬·조성환·홍성흔·강민호 등 중심타자들이 동반 부진에 빠졌다.

롯데는	롯데/NNP+는/JX
이대호의	이대호/NNP+의/JKG
홈런포가	홈런포/NNG+가/JKS
침묵하는	침묵/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
김주찬·조성환·홍성흔·강민호	김주찬/NNP+·/SP+조성환/NNP+·/SP+홍성흔/NNP+·/SP+강민호/NNP
등	등/NNB
중심타자들이	중심/NNG+타자/NNG+들/XSN+이/JKS
동반	동반/NNG
부진에	부진/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.203.6.2
양 감독은 "나보다 더 스트레스받는 사람이 김무관 타격 코치"라며 "김 코치도 롯데에 몸담은 이후 이런 집단 슬럼프는 처음 겪는다고 하더라"고 했다.

양	양/NNP
감독은	감독/NNG+은/JX
"나보다	"/SS+나/NP+보다/JKB
더	더/MAG
스트레스받는	스트레스/NNG+받/XSV+는/ETM
사람이	사람/NNG+이/JKS
김무관	김무관/NNP
타격	타격/NNG
코치"라며	코치/NNG+"/SS+이/VCP+라며/EC
"김	"/SS+김/NNP
코치도	코치/NNG+도/JX
롯데에	롯데/NNP+에/JKB
몸담은	몸담/VV+은/ETM
이후	이후/NNG
이런	이런/MMD
집단	집단/NNG
슬럼프는	슬럼프/NNG+는/JX
처음	처음/NNG
겪는다고	겪/VV+는다고/EC
하더라"고	하/VV+더라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.203.7.1
그는 시즌 전부터 4·5월 5할 승부를 강조했는데 그게 오히려 독이 된 것 같다고 진단했다.

그는	그/NP+는/JX
시즌	시즌/NNG
전부터	전/NNG+부터/JX
4·5월	4/SN+·/SP+5/SN+월/NNB
5할	5/SN+할/NNB
승부를	승부/NNG+를/JKO
강조했는데	강조/NNG+하/XSV+았/EP+는데/EC
그게	그거/NP+이/JKS
오히려	오히려/MAG
독이	독/NNG+이/JKC
된	되/VV+ㄴ/ETM
것	것/NNB
같다고	같/VA+다고/EC
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.203.7.2
선수들의 의욕이 앞서면서 스윙이 커졌고, 그 때문에 밸런스가 무너지는 악순환이 이어졌다는 것이다.

선수들의	선수/NNG+들/XSN+의/JKG
의욕이	의욕/NNG+이/JKS
앞서면서	앞서/VV+면서/EC
스윙이	스윙/NNG+이/JKS
커졌고,	커지/VV+었/EP+고/EC+,/SP
그	그/MMD
때문에	때문/NNB+에/JKB
밸런스가	밸런스/NNG+가/JKS
무너지는	무너지/VV+는/ETM
악순환이	악순환/NNG+이/JKS
이어졌다는	이어지/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.203.7.3
양 감독은 "지금까지 1사 3루에서 점수를 못 뽑은 게 16차례나 됐다"며 "중심 타선조차 찬스에서 병살타 아니면 삼진인 경우가 많았다"고 아쉬워했다.

양	양/NNP
감독은	감독/NNG+은/JX
"지금까지	"/SS+지금/NNG+까지/JX
1사	1/SN+사/NNG
3루에서	3루/NNG+에서/JKB
점수를	점수/NNG+를/JKO
못	못/MAG
뽑은	뽑/VV+은/ETM
게	거/NNB+이/JKS
16차례나	16/SN+차례/NNG+나/JX
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"중심	"/SS+중심/NNG
타선조차	타선/NNG+조차/JX
찬스에서	찬스/NNG+에서/JKB
병살타	병살타/NNG
아니면	아니/VCN+면/EC
삼진인	삼진/NNG+이/VCP+ㄴ/ETM
경우가	경우/NNG+가/JKS
많았다"고	많/VA+았/EP+다/EF+"/SS+고/JKQ
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.203.8.1
양 감독은 "아직 시즌 초반인데 매도 먼저 맞는 게 나은 것 아니냐"며 "팬 여러분께 제대로 된 롯데의 모습을 보여 드리기 위해 최선을 다하겠다"고 말했다.

양	양/NNP
감독은	감독/NNG+은/JX
"아직	"/SS+아직/MAG
시즌	시즌/NNG
초반인데	초반/NNG+이/VCP+ㄴ데/EC
매도	매/NNG+도/JX
먼저	먼저/MAG
맞는	맞/VV+는/ETM
게	거/NNB+이/JKS
나은	낫/VA+은/ETM
것	것/NNB
아니냐"며	아니/VCN+냐/EF+"/SS+며/EC
"팬	"/SS+팬/NNG
여러분께	여러분/NP+께/JKB
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
롯데의	롯데/NNP+의/JKG
모습을	모습/NNG+을/JKO
보여	보이/VV+어/EC
드리기	드리/VV+기/ETN
위해	위하/VV+아/EC
최선을	최선/NNG+을/JKO
다하겠다"고	다/MAG+하/XSV+겠/EP+다/EC+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.203.9.1
SK는 LG를 5대1로 누르고 전날 패배를 되갚았다.

SK는	SK/SL+는/JX
LG를	LG/SL+를/JKO
5대1로	5/SN+대/NNB+1/SN+로/JKB
누르고	누르/VV+고/EC
전날	전날/NNG
패배를	패배/NNG+를/JKO
되갚았다.	되갚/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.203.9.2
LG 출신 좌완 이승호가 친정을 상대로 2007년 7월 13일 KIA전 이후 1378일 만에 승리투수가 됐다.

LG	LG/SL
출신	출신/NNG
좌완	좌완/NNG
이승호가	이승호/NNP+가/JKS
친정을	친정/NNG+을/JKO
상대로	상대/NNG+로/JKB
2007년	2007/SN+년/NNB
7월	7/SN+월/NNB
13일	13/SN+일/NNB
KIA전	KIA전/NNG
이후	이후/NNG
1378일	1378/SN+일/NNB
만에	만/NNB+에/JKB
승리투수가	승리/NNG+투수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.203.9.3
삼성은 차우찬·오승환 등의 호투로 KIA를 4대3으로 눌렀고, 두산은 넥센을 8대1로 대파했다.

삼성은	삼성/NNP+은/JX
차우찬·오승환	차우찬/NNP+·/SP+오승환/NNP
등의	등/NNB+의/JKG
호투로	호투/NNG+로/JKB
KIA를	KIA/SL+를/JKO
4대3으로	4/SN+대/NNB+3/SN+으로/JKB
눌렀고,	누르/VV+었/EP+고/EC+,/SP
두산은	두산/NNP+은/JX
넥센을	넥센/NNP+을/JKO
8대1로	8/SN+대/NNB+1/SN+로/JKB
대파했다.	대파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.203.10.1
롯데 양승호 감독은

롯데	롯데/NNP
양승호	양승호/NNP
감독은	감독/NNG+은/JX


# id : NWRW1800000030.203.11.1
1960년 1월 10일생

1960년	1960/SN+년/NNB
1월	1/SN+월/NNB
10일생	10/SN+일/NNB+생/XSN


# id : NWRW1800000030.203.12.1
신일고·고려대 졸업

신일고·고려대	신일고/NNP+·/SP+고려대/NNP
졸업	졸업/NNG


# id : NWRW1800000030.203.13.1
해태 타이거즈 입단(1983)

해태	해태/NNP
타이거즈	타이거즈/NNP
입단(1983)	입단/NNG+(/SS+1983/SN+)/SS


# id : NWRW1800000030.203.14.1
OB 베어스 이적(1986)

OB	OB/SL
베어스	베어스/NNP
이적(1986)	이적/NNG+(/SS+1986/SN+)/SS


# id : NWRW1800000030.203.15.1
OB 베어스 스카우트(1992~)

OB	OB/SL
베어스	베어스/NNP
스카우트(1992~)	스카우트/NNG+(/SS+1992/SN+~/SO+)/SS


# id : NWRW1800000030.203.16.1
OB 베어스 코치(1995~)

OB	OB/SL
베어스	베어스/NNP
코치(1995~)	코치/NNG+(/SS+1995/SN+~/SO+)/SS


# id : NWRW1800000030.203.17.1
두산 베어스 코치(1999~)

두산	두산/NNP
베어스	베어스/NNP
코치(1999~)	코치/NNG+(/SS+1999/SN+~/SO+)/SS


# id : NWRW1800000030.203.18.1
LG 트윈스 코치(2005~)

LG	LG/SL
트윈스	트윈스/NNP
코치(2005~)	코치/NNG+(/SS+2005/SN+~/SO+)/SS


# id : NWRW1800000030.203.19.1
LG 트윈스 감독 대행(2006)

LG	LG/SL
트윈스	트윈스/NNP
감독	감독/NNG
대행(2006)	대행/NNG+(/SS+2006/SN+)/SS


# id : NWRW1800000030.203.20.1
고려대 야구부 감독(2007~2010)

고려대	고려대/NNP
야구부	야구부/NNG
감독(2007~2010)	감독/NNG+(/SS+2007/SN+~/SO+2010/SN+)/SS


# id : NWRW1800000030.203.21.1
롯데 자이언츠 감독(2010년 10월~)

롯데	롯데/NNP
자이언츠	자이언츠/NNP
감독(2010년	감독/NNG+(/SS+2010/SN+년/NNB
10월~)	10/SN+월/NNB+~/SO+)/SS


