# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.231
metadata : {}


# id : NWRW1800000049.231.1.1
[윤승옥 기자의 야구&]대만에 배운 승부조작, 대만 몰락 따라가나

[윤승옥	[/SS+윤승옥/NNP
국기(國技)는	국기/NNG+(/SS+國技/SH+)/SS+는/JX
야구다.	야구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.231.5.2
1980년대 리틀 야구팀의 국제대회 우승 열기를 등에 업고 1990년 4개 팀으로 구성된 프로 리그가 출범했다.

1980년대	1980/SN+년대/NNB
리틀	리틀/NNG
야구팀의	야구팀/NNG+의/JKG
국제대회	국제/NNG+대회/NNG
우승	우승/NNG
열기를	열기/NNG+를/JKO
등에	등/NNG+에/JKB
업고	업/VV+고/EC
1990년	1990/SN+년/NNB
4개	4/SN+개/NNB
팀으로	팀/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
프로	프로/NNG
리그가	리그/NNG+가/JKS
출범했다.	출범/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.5.3
프로야구는 이듬해 곧장 100만 관중을 돌파할 정도로 기세가 대단했다.

프로야구는	프로/NNG+야구/NNG+는/JX
이듬해	이듬해/NNG
곧장	곧장/MAG
100만	100/SN+만/NR
관중을	관중/NNG+을/JKO
돌파할	돌파/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
기세가	기세/NNG+가/JKS
대단했다.	대단하/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.231.5.4
1997년에는 11개 팀으로 급속히 팽창했다.

1997년에는	1997/SN+년/NNB+에/JKB+는/JX
11개	11/SN+개/NNB
팀으로	팀/NNG+으로/JKB
급속히	급속히/MAG
팽창했다.	팽창/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.5.5
그런데 1995년 164만 명까지 치솟았던 관중이 1997년 60여만 명으로 급락했다.

그런데	그런데/MAJ
1995년	1995/SN+년/NNB
164만	164/SN+만/NR
명까지	명/NNB+까지/JX
치솟았던	치솟/VV+았/EP+던/ETM
관중이	관중/NNG+이/JKS
1997년	1997/SN+년/NNB
60여만	60/SN+여/XSN+만/NR
명으로	명/NNB+으로/JKB
급락했다.	급락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.6.1
승부 조작 때문이었다.

승부	승부/NNG
조작	조작/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.231.6.2
검은 호랑이 사건(1995년)을 시작으로 검은 독수리 사건, 흑사회 사건 등이 1, 2년 사이에 집중적으로 터져 나왔다.

검은	검/VA+은/ETM
호랑이	호랑이/NNG
사건(1995년)을	사건/NNG+(/SS+1995/SN+년/NNB+)/SS+을/JKO
시작으로	시작/NNG+으로/JKB
독수리	독수리/NNG
사건,	사건/NNG+,/SP
흑사회	흑사회/NNP
사건	사건/NNG
등이	등/NNB+이/JKS
1,	1/SN+,/SP
2년	2/SN+년/NNB
사이에	사이/NNG+에/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
터져	터지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.6.3
2000년대 들어 검은 곰 사건(2005년) 이후 검은 고래 사건, 블랙 미디어 사건, 검은 코끼리 사건 등이 이어지며 조용한 날이 없었다.

2000년대	2000/SN+년대/NNB
들어	들/VV+어/EC
검은	검/VA+은/ETM
곰	곰/NNG
사건(2005년)	사건/NNG+(/SS+2005/SN+년/NNB+)/SS
이후	이후/NNG
고래	고래/NNG
사건,	사건/NNG+,/SP
블랙	블랙/NNG
미디어	미디어/NNG
코끼리	코끼리/NNG
사건	사건/NNG
등이	등/NNB+이/JKS
이어지며	이어지/VV+며/EC
조용한	조용하/VA+ㄴ/ETM
날이	날/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.231.6.4
1995년부터 터진 굵직한 승부 조작 사건 6건으로 7개 팀이 사라져 지금은 4개 팀만 남았다.

1995년부터	1995/SN+년/NNB+부터/JX
터진	터지/VV+ㄴ/ETM
굵직한	굵직하/VA+ㄴ/ETM
승부	승부/NNG
조작	조작/NNG
사건	사건/NNG
6건으로	6/SN+건/NNB+으로/JKB
7개	7/SN+개/NNB
팀이	팀/NNG+이/JKS
사라져	사라지/VV+어/EC
지금은	지금/NNG+은/JX
4개	4/SN+개/NNB
팀만	팀/NNG+만/JX
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.7.1
대만 야구라고 처음부터 거창했던 건 아니다.

대만	대만/NNP
야구라고	야구/NNG+이/VCP+라고/EC
처음부터	처음/NNG+부터/JX
거창했던	거창하/VA+았/EP+던/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.231.7.2
그들도 애초에 ‘고의 볼넷’으로 조작을 시작했다.

그들도	그/NP+들/XSN+도/JX
애초에	애초/NNG+에/JKB
‘고의	‘/SS+고의/NNG
볼넷’으로	볼넷/NNG+’/SS+으로/JKB
조작을	조작/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.7.3
이후 득점과 실점이 포함되고, 수비 실책 등으로 베팅 항목이 계속 늘어났다.

이후	이후/NNG
득점과	득점/NNG+과/JC
실점이	실점/NNG+이/JKS
포함되고,	포함/NNG+되/XSV+고/EC+,/SP
수비	수비/NNG
실책	실책/NNG
등으로	등/NNB+으로/JKB
베팅	베팅/NNG
항목이	항목/NNG+이/JKS
계속	계속/MAG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.7.4
(선발) 투수에 이어 야수가 검은 세력의 숙주로 포섭됐고, 나중에는 감독까지 리스트에 올랐다.

(선발)	(/SS+선발/NNG+)/SS
투수에	투수/NNG+에/JKB
이어	잇/VV+어/EC
야수가	야수/NNG+가/JKS
검은	검/VA+은/ETM
세력의	세력/NNG+의/JKG
숙주로	숙주/NNG+로/JKB
포섭됐고,	포섭/NNG+되/XSV+었/EP+고/EC+,/SP
나중에는	나중/NNG+에/JKB+는/JX
감독까지	감독/NNG+까지/JX
리스트에	리스트/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.8.1
1984∼88년 국내 실업야구 한국화장품의 에이스였던 대만 출신 쉬성밍이 길거리에서 흉기에 찔린 것도 승부 조작 때문이었다.

1984∼88년	1984/SN+∼/SO+88/SN+년/NNB
국내	국내/NNG
실업야구	실업/NNG+야구/NNG
한국화장품의	한국/NNP+화장품/NNG+의/JKG
에이스였던	에이스/NNG+이/VCP+었/EP+던/ETM
대만	대만/NNP
출신	출신/NNG
쉬성밍이	쉬성밍/NNP+이/JKS
길거리에서	길거리/NNG+에서/JKB
흉기에	흉기/NNG+에/JKB
찔린	찔리/VV+ㄴ/ETM
것도	것/NNB+도/JX
승부	승부/NNG
조작	조작/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.231.8.2
웨이취안 드래건스 감독이던 1999년 승부 조작을 거부하다 조직폭력배에게 변을 당한 것이다.

웨이취안	웨이취안/NNP
드래건스	드래건스/NNP
감독이던	감독/NNG+이/VCP+던/ETM
1999년	1999/SN+년/NNB
승부	승부/NNG
조작을	조작/NNG+을/JKO
거부하다	거부/NNG+하/XSV+다/EC
조직폭력배에게	조직폭력배/NNG+에게/JKB
변을	변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.231.8.3
지난해 국내 프로야구 진출을 추진했던 거포 린즈성의 경우 조폭들이 그의 어머니에게 저리(低利)로 돈을 빌려준 뒤 이를 빌미로 포섭하려고 했던 것으로 알려졌다.

지난해	지난해/NNG
국내	국내/NNG
프로야구	프로/NNG+야구/NNG
진출을	진출/NNG+을/JKO
추진했던	추진/NNG+하/XSV+았/EP+던/ETM
거포	거포/NNG
린즈성의	린즈성/NNP+의/JKG
경우	경우/NNG
조폭들이	조폭/NNG+들/XSN+이/JKS
그의	그/NP+의/JKG
어머니에게	어머니/NNG+에게/JKB
저리(低利)로	저리/NNG+(/SS+低利/SH+)/SS+로/JKB
돈을	돈/NNG+을/JKO
빌려준	빌려주/VV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
빌미로	빌미/NNG+로/JKB
포섭하려고	포섭/NNG+하/XSV+려고/EC
했던	하/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.231.8.4
선수 가족까지 납치할 정도로 돈 맛에 빠진 조폭들은 수단과 방법을 가리지 않았다.

선수	선수/NNG
가족까지	가족/NNG+까지/JX
납치할	납치/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
돈	돈/NNG
맛에	맛/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
조폭들은	조폭/NNG+들/XSN+은/JX
수단과	수단/NNG+과/JC
방법을	방법/NNG+을/JKO
가리지	가리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.231.9.1
대만 야구 전문가 김윤석 씨는 “2008년 대만 조폭들이 우리나라 검은 세력들에 승부 조작 노하우를 전수해 준 뒤 지금까지도 그 관계를 유지하고 있는 것으로 안다”라고 말했다.

대만	대만/NNP
야구	야구/NNG
전문가	전문가/NNG
김윤석	김윤석/NNP
씨는	씨/NNB+는/JX
“2008년	“/SS+2008/SN+년/NNB
조폭들이	조폭/NNG+들/XSN+이/JKS
우리나라	우리나라/NNG
검은	검/VA+은/ETM
세력들에	세력/NNG+들/XSN+에/JKB
승부	승부/NNG
조작	조작/NNG
노하우를	노하우/NNG+를/JKO
전수해	전수/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
뒤	뒤/NNG
지금까지도	지금/NNG+까지/JX+도/JX
그	그/MMD
관계를	관계/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
안다”라고	알/VV+ㄴ다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.231.9.2
사실이라면 정말 심각한 일이다.

사실이라면	사실/NNG+이/VCP+라면/EC
정말	정말/MAG
심각한	심각하/VA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.231.10.1
대만은 프로리그 사무국이 선수들의 계좌까지 샅샅이 조사하고 있지만, 아직도 승부 조작을 뿌리 뽑지 못하고 있다.

대만은	대만/NNP+은/JX
프로리그	프로/NNG+리그/NNG
사무국이	사무국/NNG+이/JKS
선수들의	선수/NNG+들/XSN+의/JKG
계좌까지	계좌/NNG+까지/JX
샅샅이	샅샅이/MAG
조사하고	조사/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
아직도	아직/MAG+도/JX
승부	승부/NNG
조작을	조작/NNG+을/JKO
뿌리	뿌리/NNG
뽑지	뽑/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.231.10.2
우리는 신인 선수들이 입단할 때 잠시 교육만 하고 만다.

우리는	우리/NP+는/JX
신인	신인/NNG
선수들이	선수/NNG+들/XSN+이/JKS
입단할	입단/NNG+하/XSV+ㄹ/ETM
때	때/NNG
잠시	잠시/MAG
교육만	교육/NNG+만/JX
하고	하/VV+고/EC
만다.	말/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.231.10.3
이제는 현실 인식을 제대로 해야 한다.

이제는	이제/NNG+는/JX
현실	현실/NNG
인식을	인식/NNG+을/JKO
제대로	제대로/MAG
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.231.10.4
승부 조작은 죽느냐, 사느냐의 문제다.

승부	승부/NNG
조작은	조작/NNG+은/JX
죽느냐,	죽/VV+느냐/EF+,/SP
사느냐의	사/VV+느냐/EF+의/JKG
문제다.	문제/NNG+이/VCP+다/EF+./SF


