# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.200
metadata : {}


# id : NWRW1800000046.200.1.1
마지막 태극마크… 회춘한 '차미네이터'

마지막	마지막/NNG

차두리가	차두리/NNP+가/JKS
공을	공/NNG+을/JKO
잡고	잡/VV+고/EC
60여m를	60/SN+여/XSN+m/SW+를/JKO
질주하는	질주/NNG+하/XSV+는/ETM
데	데/NNB
걸린	걸리/VV+ㄴ/ETM
시간은	시간/NNG+은/JX
약	약/MMA
6초.	6/SN+초/NNB+./SF


# id : NWRW1800000046.200.3.4
이는 평균 시속 36㎞ 정도로 세계에서 가장 빠른 축구 선수로 꼽히는 아리언 로번(바이에른 뮌헨)의 기록(시속 37㎞)과 비슷하다.

이는	이/NP+는/JX
평균	평균/NNG
시속	시속/NNG
36㎞	36/SN+㎞/SW
정도로	정도/NNG+로/JKB
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
빠른	빠르/VA+ㄴ/ETM
축구	축구/NNG
선수로	선수/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
아리언	아리언/NNP
로번(바이에른	로번/NNP+(/SS+바이에른/NNP
뮌헨)의	뮌헨/NNP+)/SS+의/JKG
기록(시속	기록/NNG+(/SS+시속/NNG
37㎞)과	37/SN+㎞/SW+)/SS+과/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000046.200.4.1
이번 아시안컵에서만 2어시스트를 기록하며 한국을 4강으로 이끈 차두리지만 앞으로 대표팀에서 그를 볼 기회는 이제 많아야 두 경기다.

이번	이번/NNG
아시안컵에서만	아시안/NNP+컵/NNG+에서/JKB+만/JX
2어시스트를	2/SN+어시스트/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
한국을	한국/NNP+을/JKO
4강으로	4/SN+강/NNB+으로/JKB
이끈	이끌/VV+ㄴ/ETM
차두리지만	차두리/NNP+이/VCP+지만/EC
앞으로	앞/NNG+으로/JKB
대표팀에서	대표/NNG+팀/NNG+에서/JKB
그를	그/NP+를/JKO
볼	보/VV+ㄹ/ETM
기회는	기회/NNG+는/JX
이제	이제/MAG
많아야	많/VA+아야/EC
두	두/MMN
경기다.	경기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.200.4.2
그는 이미 이번 아시안컵을 끝으로 대표팀 유니폼을 벗겠다고 선언했다.

그는	그/NP+는/JX
이미	이미/MAG
이번	이번/NNG
아시안컵을	아시안/NNP+컵/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
대표팀	대표/NNG+팀/NNG
유니폼을	유니폼/NNG+을/JKO
벗겠다고	벗/VV+겠/EP+다고/EC
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.200.4.3
온라인에서는 차두리의 대표팀 은퇴를 반대하는 서명운동까지 펼쳐지고 있다.

온라인에서는	온라인/NNG+에서/JKB+는/JX
차두리의	차두리/NNP+의/JKG
대표팀	대표/NNG+팀/NNG
은퇴를	은퇴/NNG+를/JKO
반대하는	반대/NNG+하/XSV+는/ETM
서명운동까지	서명/NNG+운동/NNG+까지/JX
펼쳐지고	펼쳐지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.200.5.1
◇차미네이터

◇차미네이터	◇/SW+차미네이터/NNP


# id : NWRW1800000046.200.6.1
차두리는 한국 축구 영광의 순간에 빠지지 않는 선수였다.

차두리는	차두리/NNP+는/JX
한국	한국/NNP
축구	축구/NNG
영광의	영광/NNG+의/JKG
순간에	순간/NNG+에/JKB
빠지지	빠지/VV+지/EC
않는	않/VX+는/ETM
선수였다.	선수/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.200.6.2
2002 한·일 월드컵 '4강 신화'와 2010 남아공월드컵 '원정 첫 16강' 당시 그의 활약이 빛났다.

2002	2002/SN
한·일	한·일/NNP
월드컵	월드컵/NNG
'4강	'/SS+4/SN+강/NNB
신화'와	신화/NNG+'/SS+와/JC
2010	2010/SN
남아공월드컵	남아공/NNP+월드컵/NNG
'원정	'/SS+원정/NNG
첫	첫/MMN
16강'	16/SN+강/NNB+'/SS
당시	당시/NNG
그의	그/NP+의/JKG
활약이	활약/NNG+이/JKS
빛났다.	빛나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.200.6.3
181㎝·79㎏으로 체격이 탄탄한 차두리가 빠르게 질주하면 상대 수비수는 나가떨어지기 일쑤였다.

181㎝·79㎏으로	181/SN+㎝/SW+·/SP+79/SN+㎏/SW+으로/JKB
체격이	체격/NNG+이/JKS
탄탄한	탄탄하/VA+ㄴ/ETM
차두리가	차두리/NNP+가/JKS
빠르게	빠르/VA+게/EC
질주하면	질주/NNG+하/XSV+면/EC
상대	상대/NNG
수비수는	수비수/NNG+는/JX
나가떨어지기	나가떨어지/VV+기/ETN
일쑤였다.	일쑤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.200.6.4
팬들은 그를 '차미네이터(차두리+터미네이터)'라 불렀다.

팬들은	팬/NNG+들/XSN+은/JX
그를	그/NP+를/JKO
'차미네이터(차두리+터미네이터)'라	'/SS+차미네이터/NNP+(/SS+차두리/NNP++/SW+터미네이터/NNP+)/SS+'/SS+이/VCP+라/EC
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.200.7.1
차두리는 2014 브라질월드컵 출전으로 '유종의 미'를 거두려 했다.

차두리는	차두리/NNP+는/JX
2014	2014/SN
브라질월드컵	브라질/NNP+월드컵/NNG
출전으로	출전/NNG+으로/JKB
'유종의	'/SS+유종/NNG+의/JKG
미'를	미/NNG+'/SS+를/JKO
거두려	거두/VV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.200.7.2
하지만 결국 대표팀엔 이름을 올리지 못했다.

하지만	하지만/MAJ
결국	결국/MAG
대표팀엔	대표/NNG+팀/NNG+에/JKB+ㄴ/JX
이름을	이름/NNG+을/JKO
올리지	올리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.200.7.3
브라질월드컵 이후 다시 대표팀에 발탁된 그는 "후배들이 잘해주고 있어 이곳에서 과연 내가 무엇을 할 수 있는지 생각해 봐야 한다"며 대표팀 경력을 이어나가는 것에 대한 고민을 드러냈다.

브라질월드컵	브라질/NNP+월드컵/NNG
이후	이후/NNG
다시	다시/MAG
대표팀에	대표/NNG+팀/NNG+에/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
그는	그/NP+는/JX
"후배들이	"/SS+후배/NNG+들/XSN+이/JKS
잘해주고	잘/MAG+하/XSV+아/EC+주/VX+고/EC
있어	있/VX+어/EC
이곳에서	이곳/NP+에서/JKB
과연	과연/MAG
내가	내/NP+가/JKS
무엇을	무엇/NP+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EC
생각해	생각/NNG+하/XSV+아/EC
봐야	보/VX+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
대표팀	대표/NNG+팀/NNG
경력을	경력/NNG+을/JKO
이어나가는	잇/VV+어/EC+나가/VX+는/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
고민을	고민/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.200.7.4
그를 붙잡은 건 울리 슈틸리케(61) 감독이었다.

그를	그/NP+를/JKO
붙잡은	붙잡/VV+은/ETM
건	거/NNB+ㄴ/JX
울리	울리/NNP
슈틸리케(61)	슈틸리케/NNP+(/SS+61/SN+)/SS
감독이었다.	감독/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.200.7.5
"명예로운 은퇴를 돕겠다"며 차두리를 발탁한 슈틸리케 감독은 오른쪽 수비수 차두리에게 활발한 공격 가담을 주문했고, 이는 대성공을 거뒀다.

"명예로운	"/SS+명예/NNG+롭/XSA+ㄴ/ETM
은퇴를	은퇴/NNG+를/JKO
돕겠다"며	돕/VV+겠/EP+다/EF+"/SS+며/EC
차두리를	차두리/NNP+를/JKO
발탁한	발탁/NNG+하/XSV+ㄴ/ETM
슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
오른쪽	오른쪽/NNG
수비수	수비수/NNG
차두리에게	차두리/NNP+에게/JKB
활발한	활발하/VA+ㄴ/ETM
공격	공격/NNG
가담을	가담/NNG+을/JKO
주문했고,	주문/NNG+하/XSV+았/EP+고/EC+,/SP
이는	이/NP+는/JX
대성공을	대/XPN+성공/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.200.7.6
'차미네이터'의 질주가 한국의 승리를 부른 것이다.

'차미네이터'의	'/SS+차미네이터/NNP+'/SS+의/JKG
질주가	질주/NNG+가/JKS
한국의	한국/NNP+의/JKG
승리를	승리/NNG+를/JKO
부른	부르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.200.8.1
◇형님 리더십

◇형님	◇/SW+형/NNG+님/XSN
리더십	리더십/NNG


# id : NWRW1800000046.200.9.1
축구 대표팀은 23일 오전 4강전(26일 오후 6시)이 열리는 호주 시드니로 이동했다.

축구	축구/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
23일	23/SN+일/NNB
오전	오전/NNG
4강전(26일	4/SN+강전/NNB+(/SS+26/SN+일/NNB
오후	오후/NNG
6시)이	6/SN+시/NNB+)/SS+이/JKS
열리는	열리/VV+는/ETM
호주	호주/NNP
시드니로	시드니/NNP+로/JKB
이동했다.	이동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.200.9.2
오후에 현지 적응 훈련을 할 계획이었지만 대표팀을 태우고 멜버른을 떠난 비행기가 경미한 기체 결함으로 회항하는 바람에 시드니 도착이 늦어져 훈련 일정은 취소됐다.

오후에	오후/NNG+에/JKB
현지	현지/NNG
적응	적응/NNG
훈련을	훈련/NNG+을/JKO
할	하/VV+ㄹ/ETM
계획이었지만	계획/NNG+이/VCP+었/EP+지만/EC
대표팀을	대표/NNG+팀/NNG+을/JKO
태우고	태우/VV+고/EC
멜버른을	멜버른/NNP+을/JKO
떠난	떠나/VV+ㄴ/ETM
비행기가	비행기/NNG+가/JKS
경미한	경미하/VA+ㄴ/ETM
기체	기체/NNG
결함으로	결함/NNG+으로/JKB
회항하는	회항/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
시드니	시드니/NNP
도착이	도착/NNG+이/JKS
늦어져	늦어지/VV+어/EC
훈련	훈련/NNG
일정은	일정/NNG+은/JX
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.200.9.3
갑작스러운 돌발 상황에 짜증이 날 법도 하지만 차두리는 평소처럼 생글생글 웃으며 후배들에게 장난을 거는 여유 있는 모습을 보였다.

갑작스러운	갑작스럽/VA+ㄴ/ETM
돌발	돌발/NNG
상황에	상황/NNG+에/JKB
짜증이	짜증/NNG+이/JKS
날	나/VV+ㄹ/ETM
법도	법/NNB+도/JX
하지만	하/VV+지만/EC
차두리는	차두리/NNP+는/JX
평소처럼	평소/NNG+처럼/JKB
생글생글	생글생글/MAG
웃으며	웃/VV+으며/EC
후배들에게	후배/NNG+들/XSN+에게/JKB
장난을	장난/NNG+을/JKO
거는	걸/VV+는/ETM
여유	여유/NNG
있는	있/VA+는/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.200.10.1
차두리는 아시안컵 본선 국내 최고령 출전 기록을 세운 대표팀 최고참이지만 후배들 앞에서 권위를 내세우거나 무게를 잡는 법이 없다.

차두리는	차두리/NNP+는/JX
아시안컵	아시안/NNP+컵/NNG
본선	본선/NNG
국내	국내/NNG
최고령	최/XPN+고령/NNG
출전	출전/NNG
기록을	기록/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
대표팀	대표/NNG+팀/NNG
최고참이지만	최/XPN+고참/NNG+이/VCP+지만/EC
후배들	후배/NNG+들/XSN
앞에서	앞/NNG+에서/JKB
권위를	권위/NNG+를/JKO
내세우거나	내세우/VV+거나/EC
무게를	무게/NNG+를/JKO
잡는	잡/VV+는/ETM
법이	법/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.200.10.2
한때 간장약 광고 모델로 활동하는 등 '활력의 상징'이었던 그답게 훈련장에선 활짝 웃는 모습으로 '분위기 메이커' 역할을 자처한다.

한때	한때/MAG
간장약	간장약/NNG
광고	광고/NNG
모델로	모델/NNG+로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
등	등/NNB
'활력의	'/SS+활력/NNG+의/JKG
상징'이었던	상징/NNG+'/SS+이/VCP+었/EP+던/ETM
그답게	그/NP+답/XSA+게/EC
훈련장에선	훈련장/NNG+에서/JKB+ㄴ/JX
활짝	활짝/MAG
웃는	웃/VV+는/ETM
모습으로	모습/NNG+으로/JKB
'분위기	'/SS+분위기/NNG
메이커'	메이커/NNG+'/SS
역할을	역할/NNG+을/JKO
자처한다.	자처/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.200.10.3
A매치 경험이 적은 후배들에겐 먼저 다가가 "소속팀에서 하던 대로만 하면 된다"며 긴장을 풀어준다.

A매치	A/SL+매치/NNG
경험이	경험/NNG+이/JKS
적은	적/VA+은/ETM
후배들에겐	후배/NNG+들/XSN+에게/JKB+ㄴ/JX
먼저	먼저/MAG
다가가	다가가/VV+아/EC
"소속팀에서	"/SS+소속/NNG+팀/NNG+에서/JKB
하던	하/VV+던/ETM
대로만	대로/NNB+만/JX
하면	하/VV+면/EC
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
긴장을	긴장/NNG+을/JKO
풀어준다.	풀/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.200.11.1
차두리와 띠동갑인 손흥민은 "두리 형은 믿고 기댈 수 있는 친형 같은 사람"이라고 말했다.

차두리와	차두리/NNP+와/JKB
띠동갑인	띠동갑/NNG+이/VCP+ㄴ/ETM
손흥민은	손흥민/NNP+은/JX
"두리	"/SS+두리/NNP
형은	형/NNB+은/JX
믿고	믿/VV+고/EC
기댈	기대/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
친형	친형/NNG
같은	같/VA+은/ETM
사람"이라고	사람/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.200.12.1
◇차범근

◇차범근	◇/SW+차범근/NNP


# id : NWRW1800000046.200.13.1
차두리에게 한국 축구의 전설적 존재인 아버지 차범근(62) 전 대표팀 감독은 언제나 큰 산이었다.

차두리에게	차두리/NNP+에게/JKB
한국	한국/NNP
축구의	축구/NNG+의/JKG
전설적	전설/NNG+적/XSN
존재인	존재/NNG+이/VCP+ㄴ/ETM
아버지	아버지/NNG
차범근(62)	차범근/NNP+(/SS+62/SN+)/SS
전	전/MMD
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
언제나	언제나/MAG
큰	크/VA+ㄴ/ETM
산이었다.	산/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.200.13.2
그는 지난해 K리그 시상식에서 "차범근의 아들로 태어나 축구로 인정받는 것은 정말 힘든 일"이라고 말했다.

그는	그/NP+는/JX
지난해	지난해/NNG
K리그	K/SL+리그/NNG
시상식에서	시상식/NNG+에서/JKB
"차범근의	"/SS+차범근/NNP+의/JKG
아들로	아들/NNG+로/JKB
태어나	태어나/VV+아/EC
축구로	축구/NNG+로/JKB
인정받는	인정/NNG+받/XSV+는/ETM
것은	것/NNB+은/JX
정말	정말/MAG
힘든	힘들/VA+ㄴ/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.200.14.1
하지만 차두리에게 최고의 팬은 역시 '아버지'다.

하지만	하지만/MAJ
차두리에게	차두리/NNP+에게/JKB
최고의	최고/NNG+의/JKG
팬은	팬/NNG+은/JX
역시	역시/MAG
'아버지'다.	'/SS+아버지/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.200.14.2
차두리는 경기 후 항상 아버지에게 먼저 전화를 거는데, 22일 우즈베키스탄전이 끝난 뒤에는 차범근 감독이 "야, 내가 (현역 시절) 하던 걸 네가 하느냐"며 칭찬을 아끼지 않았다고 한다.

차두리는	차두리/NNP+는/JX
경기	경기/NNG
후	후/NNG
항상	항상/MAG
아버지에게	아버지/NNG+에게/JKB
먼저	먼저/MAG
전화를	전화/NNG+를/JKO
거는데,	걸/VV+는데/EC+,/SP
22일	22/SN+일/NNB
우즈베키스탄전이	우즈베키스탄전/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
차범근	차범근/NNP
감독이	감독/NNG+이/JKS
"야,	"/SS+야/IC+,/SP
내가	내/NP+가/JKS
(현역	(/SS+현역/NNG
시절)	시절/NNG+)/SS
하던	하/VV+던/ETM
걸	거/NNB+ㄹ/JKO
네가	네/NP+가/JKS
하느냐"며	하/VV+느냐/EF+"/SS+며/EC
칭찬을	칭찬/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.200.15.1
차두리는 아시안컵을 앞두고 자신의 트위터에 대표팀 선수들과 찍은 사진을 올리며 '나의 마지막 축구 여행!!'이라는 글을 남겼다.

차두리는	차두리/NNP+는/JX
아시안컵을	아시안/NNP+컵/NNG+을/JKO
앞두고	앞두/VV+고/EC
자신의	자신/NNG+의/JKG
트위터에	트위터/NNP+에/JKB
대표팀	대표/NNG+팀/NNG
선수들과	선수/NNG+들/XSN+과/JKB
찍은	찍/VV+은/ETM
사진을	사진/NNG+을/JKO
올리며	올리/VV+며/EC
'나의	'/SS+나/NP+의/JKG
마지막	마지막/NNG
축구	축구/NNG
여행!!'이라는	여행/NNG+!/SF+!/SF+'/SS+이/VCP+라는/ETM
글을	글/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.200.15.2
그가 아시아를 호령했던 아버지도 들어 보지 못한 아시안컵 우승 트로피를 번쩍 들면서 아름답게 이 여행을 마칠 수 있을까.

그가	그/NP+가/JKS
아시아를	아시아/NNP+를/JKO
호령했던	호령/NNG+하/XSV+았/EP+던/ETM
아버지도	아버지/NNG+도/JX
들어	듣/VV+어/EC
보지	보/VX+지/EC
못한	못하/VX+ㄴ/ETM
아시안컵	아시안/NNP+컵/NNG
우승	우승/NNG
트로피를	트로피/NNG+를/JKO
번쩍	번쩍/MAG
들면서	들/VV+면서/EC
아름답게	아름답/VA+게/EC
이	이/MMD
여행을	여행/NNG+을/JKO
마칠	마치/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


