# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.70
metadata : {}


# id : NWRW1800000025.70.1.1
[생각이 쑥쑥!… 열려라, 책세상!]뜨끈… 깍둑… 엄마 입에 손대고 들어봐요

[생각이	[/SS+생각/NNG+이/JKS
# id : NWRW1800000025.70.6.1
초등학교 국어교과서에도 작품이 실린 저자는 ‘야, 아침이다’ ‘즐거운 우리 학교’ ‘시끌벅적 거리 풍경’ 등 11개의 주제로 60여 편의 동시를 실었다.

초등학교	초등학교/NNG
국어교과서에도	국어/NNG+교과서/NNG+에/JKB+도/JX
작품이	작품/NNG+이/JKS
실린	실리/VV+ㄴ/ETM
저자는	저자/NNG+는/JX
‘야,	‘/SS+야/IC+,/SP
아침이다’	아침/NNG+이/VCP+다/EF+’/SS
‘즐거운	‘/SS+즐겁/VA+ㄴ/ETM
우리	우리/NP
학교’	학교/NNG+’/SS
‘시끌벅적	‘/SS+시끌벅적/MAG
거리	거리/NNG
풍경’	풍경/NNG+’/SS
등	등/NNB
11개의	11/SN+개/NNB+의/JKG
주제로	주제/NNG+로/JKB
60여	60/SN+여/XSN
편의	편/NNB+의/JKG
동시를	동시/NNG+를/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.70.6.2
동시를 소리 내어 읽으면서 자연스럽게 다양한 우리말 표현을 익힐 수 있도록 했다.

동시를	동시/NNG+를/JKO
소리	소리/NNG
내어	내/VV+어/EC
읽으면서	읽/VV+으면서/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
우리말	우리말/NNG
표현을	표현/NNG+을/JKO
익힐	익히/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.70.6.3
어휘력이 늘어나면 말하기는 물론 글쓰기 실력도 좋아진다.

어휘력이	어휘력/NNG+이/JKS
늘어나면	늘어나/VV+면/EC
말하기는	말/NNG+하/XSV+기/ETN+는/JX
물론	물론/MAG
글쓰기	글쓰기/NNG
실력도	실력/NNG+도/JX
좋아진다.	좋/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.70.6.4
이제 막 한글을 배우기 시작했거나 깨친 아이들에게 적당하다.

이제	이제/MAG
막	막/MAG
한글을	한글/NNG+을/JKO
배우기	배우/VV+기/ETN
시작했거나	시작/NNG+하/XSV+았/EP+거나/EC
깨친	깨치/VV+ㄴ/ETM
아이들에게	아이/NNG+들/XSN+에게/JKB
적당하다.	적당하/VA+다/EF+./SF


