# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.342
metadata : {}


# id : NWRW1800000038.342.1.1
방통위 핵심기능 안 넘기려는 민주당, '발목잡기' 시선에 곤혹

방통위	방통위/NNG
우원식 원내수석부대표는 국회 기자회견에서 "새누리당이 미래창조과학부로 이관할 것을 고집하고 있는 IPTV(인터넷TV)는 인허가권과 법령 제·개정권을 제외한 모든 기능을 미래부로 이관하도록 양보하겠다"고 했다.

우원식	우원식/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
국회	국회/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"새누리당이	"/SS+새누리당/NNP+이/JKS
미래창조과학부로	미래/NNG+창조/NNG+과학부/NNG+로/JKB
이관할	이관/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
고집하고	고집/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
IPTV(인터넷TV)는	IPTV/SL+(/SS+인터넷/NNG+TV/SL+)/SS+는/JX
인허가권과	인허가/NNG+권/XSN+과/JC
법령	법령/NNG
제·개정권을	제·개정/NNG+권/XSN+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
기능을	기능/NNG+을/JKO
미래부로	미래부/NNG+로/JKB
이관하도록	이관/NNG+하/XSV+도록/EC
양보하겠다"고	양보/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.342.5.2
또 비(非)보도 부문 등 방송의 공공성, 공익성, 공정성과 관련이 없는 방송프로그램공급자(PP)의 업무를 미래부에 이관하도록 하는 협상도 할 용의가 있다고 했다.

또	또/MAG
비(非)보도	비/XPN+(/SS+非/SH+)/SS+보도/NNG
부문	부문/NNG
등	등/NNB
방송의	방송/NNG+의/JKG
공공성,	공공/NNG+성/XSN+,/SP
공익성,	공익/NNG+성/XSN+,/SP
공정성과	공정/NNG+성/XSN+과/JKB
관련이	관련/NNG+이/JKS
없는	없/VA+는/ETM
방송프로그램공급자(PP)의	방송/NNG+프로그램/NNG+공급자/NNG+(/SS+PP/SL+)/SS+의/JKG
업무를	업무/NNG+를/JKO
미래부에	미래부/NNG+에/JKB
이관하도록	이관/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
협상도	협상/NNG+도/JX
할	하/VV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다고	있/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.342.5.3
IPTV는 핵심 쟁점 중 하나였지만 한발 물러선 것이다.

IPTV는	IPTV/SL+는/JX
핵심	핵심/NNG
쟁점	쟁점/NNG
중	중/NNB
하나였지만	하나/NR+이/VCP+었/EP+지만/EC
한발	한발/MAG
물러선	물러서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.342.6.1
정부 조직 개편안 처리가 미뤄져 새 정부 국정 운영과 각 부처 업무가 사실상 마비되는 상황에 빠지면서 민주당에 대한 비판 여론이 커지고 있는 것을 감안한 것으로 보인다.

정부	정부/NNG
조직	조직/NNG
개편안	개편안/NNG
처리가	처리/NNG+가/JKS
미뤄져	미루/VV+어/EC+지/VX+어/EC
새	새/MMA
국정	국정/NNG
운영과	운영/NNG+과/JC
각	각/MMD
부처	부처/NNG
업무가	업무/NNG+가/JKS
사실상	사실/NNG+상/XSN
마비되는	마비/NNG+되/XSV+는/ETM
상황에	상황/NNG+에/JKB
빠지면서	빠지/VV+면서/EC
민주당에	민주당/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
비판	비판/NNG
여론이	여론/NNG+이/JKS
커지고	커지/VV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
감안한	감안/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.342.7.1
그러나 새누리당이 이 제안을 바로 거부하면서 민주당의 고민은 깊어지고 있다.

그러나	그러나/MAJ
새누리당이	새누리당/NNP+이/JKS
이	이/MMD
제안을	제안/NNG+을/JKO
바로	바로/MAG
거부하면서	거부/NNG+하/XSV+면서/EC
민주당의	민주당/NNP+의/JKG
고민은	고민/NNG+은/JX
깊어지고	깊어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.342.8.1
민주당 핵심 관계자는 "시간은 이제 우리 편이 아니다"며 "갈수록 야당이 발목 잡고 있다는 여론이 커질 것 같아 걱정스럽다"고 했다.

민주당	민주당/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
"시간은	"/SS+시간/NNG+은/JX
이제	이제/MAG
우리	우리/NP
편이	편/NNG+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
"갈수록	"/SS+갈수록/MAG
야당이	야당/NNG+이/JKS
발목	발목/NNG
잡고	잡/VV+고/EC
있다는	있/VX+다는/ETM
여론이	여론/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
것	것/NNB
같아	같/VA+아/EC
걱정스럽다"고	걱정/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.342.9.1
더 이상 양보할 카드를 내놓기 힘들다는 점도 민주당의 딜레마다.

더	더/MAG
이상	이상/NNG
양보할	양보/NNG+하/XSV+ㄹ/ETM
카드를	카드/NNG+를/JKO
내놓기	내놓/VV+기/ETN
힘들다는	힘들/VA+다는/ETM
점도	점/NNG+도/JX
민주당의	민주당/NNP+의/JKG
딜레마다.	딜레마/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.342.9.2
너무 물러설 경우 좌파 진영으로부터 "방송의 공정성을 강조해 온 당의 정체성을 깼다"는 역풍을 맞을 수 있다.

너무	너무/MAG
물러설	물러서/VV+ㄹ/ETM
경우	경우/NNG
좌파	좌파/NNG
진영으로부터	진영/NNG+으로부터/JKB
"방송의	"/SS+방송/NNG+의/JKG
공정성을	공정/NNG+성/XSN+을/JKO
강조해	강조/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
당의	당/NNG+의/JKG
정체성을	정체/NNG+성/XSN+을/JKO
깼다"는	깨/VV+었/EP+다/EF+"/SS+는/ETM
역풍을	역풍/NNG+을/JKO
맞을	맞/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.342.9.3
원내 핵심 인사는 "적절한 선에서 빨리 타결하려 하지만, 여당이 받지 않으니 점점 곤란한 상황으로 가고 있다"고 했다.

원내	원내/NNG
핵심	핵심/NNG
인사는	인사/NNG+는/JX
"적절한	"/SS+적절하/VA+ㄴ/ETM
선에서	선/NNG+에서/JKB
빨리	빨리/MAG
타결하려	타결/NNG+하/XSV+려/EC
하지만,	하/VX+지만/EC+,/SP
여당이	여당/NNG+이/JKS
받지	받/VV+지/EC
않으니	않/VX+으니/EC
점점	점점/MAG
곤란한	곤란/NNG+하/XSA+ㄴ/ETM
상황으로	상황/NNG+으로/JKB
가고	가/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


