# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.52
metadata : {}


# id : NWRW1800000052.52.1.1
뜨거운 촛불 민심에…재벌 총수들 다수 “국정조사 증인 서겠다”

뜨거운	뜨겁/VA+ㄴ/ETM
과거 재벌 일가는 청문회에 출석하지 않아 국회의 고발을 감수하는 경우도 있었다.

과거	과거/NNG
재벌	재벌/NNG
일가는	일가/NNG+는/JX
청문회에	청문회/NNG+에/JKB
출석하지	출석/NNG+하/XSV+지/EC
않아	않/VX+아/EC
국회의	국회/NNG+의/JKG
고발을	고발/NNG+을/JKO
감수하는	감수/NNG+하/XSV+는/ETM
경우도	경우/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.52.7.2
하지만 이번에 출석이 불가피하다고 보는 것은 들끓는 여론 등을 감안한 판단으로 풀이된다.

하지만	하지만/MAJ
이번에	이번/NNG+에/JKB
출석이	출석/NNG+이/JKS
불가피하다고	불가피하/VA+다고/EC
보는	보/VV+는/ETM
것은	것/NNB+은/JX
들끓는	들끓/VV+는/ETM
여론	여론/NNG
등을	등/NNB+을/JKO
감안한	감안/NNG+하/XSV+ㄴ/ETM
판단으로	판단/NNG+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.52.7.3
촛불집회 현장에서는 “재벌도 공범”이라는 구호가 나오고 있다.

촛불집회	촛불/NNG+집회/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
“재벌도	“/SS+재벌/NNG+도/JX
공범”이라는	공범/NNG+”/SS+이/VCP+라는/ETM
구호가	구호/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.52.7.4
한 대기업 관계자는 “이 상황에서 안 나간다고 하기가 쉽겠냐”고 말했다.

한	한/MMN
대기업	대/XPN+기업/NNG
관계자는	관계자/NNG+는/JX
“이	“/SS+이/MMD
상황에서	상황/NNG+에서/JKB
안	안/MAG
나간다고	나가/VV+ㄴ다고/EC
하기가	하/VV+기/ETN+가/JKS
쉽겠냐”고	쉽/VA+겠/EP+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.52.8.1
대기업들은 한편으로는 부담이 크다고 주장한다.

대기업들은	대/XPN+기업/NNG+들/XSN+은/JX
한편으로는	한편/NNG+으로/JKB+는/JX
부담이	부담/NNG+이/JKS
크다고	크/VA+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.52.8.2
최근 검찰 조사 때는 검찰의 ‘배려’로 출석 장면이 공개되지 않았지만 국회 청문회는 생중계될 것으로 보이기 때문이다.

최근	최근/NNG
검찰	검찰/NNG
조사	조사/NNG
때는	때/NNG+는/JX
검찰의	검찰/NNG+의/JKG
‘배려’로	‘/SS+배려/NNG+’/SS+로/JKB
출석	출석/NNG
장면이	장면/NNG+이/JKS
공개되지	공개/NNG+되/XSV+지/EC
않았지만	않/VX+았/EP+지만/EC
국회	국회/NNG
청문회는	청문회/NNG+는/JX
생중계될	생/XPN+중계/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이기	보이/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.52.8.3
이미지 실추도 예상되는 데다, 박근혜 대통령과의 면담 등 민감한 내용을 어디까지 말해야 할지도 고민일 수 있다.

이미지	이미지/NNG
실추도	실추/NNG+도/JX
예상되는	예상/NNG+되/XSV+는/ETM
데다,	데/NNB+다/JX+,/SP
박근혜	박근혜/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
면담	면담/NNG
등	등/NNB
민감한	민감/NNG+하/XSA+ㄴ/ETM
내용을	내용/NNG+을/JKO
어디까지	어디/NP+까지/JX
말해야	말/NNG+하/XSV+아야/EC
할지도	하/VX+ㄹ지/EF+도/JX
고민일	고민/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.52.8.4
자칫 부인으로 일관하다 위증 혐의를 받을 가능성도 있다.

자칫	자칫/MAG
부인으로	부인/NNG+으로/JKB
일관하다	일관/NNG+하/XSV+다/EC
위증	위증/NNG
혐의를	혐의/NNG+를/JKO
받을	받/VV+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.52.8.5
한 대기업 관계자는 “특검보다 국정조사가 더 부담스럽다”며 “생중계로 국민들에게 보이는 것도 그렇고, 글로벌 기업 입장에서 파트너사에게 비리 혐의로 비쳐 신인도가 하락할 수 있다”고 말했다.

한	한/MMN
대기업	대/XPN+기업/NNG
관계자는	관계자/NNG+는/JX
“특검보다	“/SS+특검/NNG+보다/JKB
국정조사가	국정/NNG+조사/NNG+가/JKS
더	더/MAG
부담스럽다”며	부담/NNG+스럽/XSA+다/EF+”/SS+며/EC
“생중계로	“/SS+생/XPN+중계/NNG+로/JKB
국민들에게	국민/NNG+들/XSN+에게/JKB
보이는	보이/VV+는/ETM
것도	것/NNB+도/JX
그렇고,	그렇/VA+고/EC+,/SP
글로벌	글로벌/NNG
기업	기업/NNG
입장에서	입장/NNG+에서/JKB
파트너사에게	파트너사/NNG+에게/JKB
비리	비리/NNG
혐의로	혐의/NNG+로/JKB
비쳐	비치/VV+어/EC
신인도가	신인도/NNG+가/JKS
하락할	하락/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.52.9.1
국정조사 뒤에는 특검이 있다.

국정조사	국정/NNG+조사/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
특검이	특검/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.52.9.2
기업인들이 가장 우려하는 것은 뇌물공여 혐의 수사다.

기업인들이	기업인/NNG+들/XSN+이/JKS
가장	가장/MAG
우려하는	우려/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
뇌물공여	뇌물/NNG+공여/NNG
혐의	혐의/NNG
수사다.	수사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.52.9.3
검찰은 20일 중간수사 결과를 발표하며 미르·케이(K)스포츠 재단 출연은 “불이익을 받게 될 것을 두려워하여” 한 것이라며 기업들을 ‘피해자’로 판단했다.

검찰은	검찰/NNG+은/JX
20일	20/SN+일/NNB
중간수사	중간/NNG+수사/NNG
결과를	결과/NNG+를/JKO
발표하며	발표/NNG+하/XSV+며/EC
미르·케이(K)스포츠	미르/NNP+·/SP+케이/NNP+(/SS+K/SL+)/SS+스포츠/NNG
재단	재단/NNG
출연은	출연/NNG+은/JX
“불이익을	“/SS+불/XPN+이익/NNG+을/JKO
받게	받/VV+게/EC
될	되/VV+ㄹ/ETM
것을	것/NNB+을/JKO
두려워하여”	두려워하/VV+아/EC+”/SS
한	하/VV+ㄴ/ETM
것이라며	것/NNB+이/VCP+라며/EC
기업들을	기업/NNG+들/XSN+을/JKO
‘피해자’로	‘/SS+피해자/NNG+’/SS+로/JKB
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.52.9.4
그러나 특검이 같은 입장을 견지하리란 보장이 없다.

그러나	그러나/MAJ
특검이	특검/NNG+이/JKS
같은	같/VA+은/ETM
입장을	입장/NNG+을/JKO
견지하리란	견지/NNG+하/XSV+리란/ETM
보장이	보장/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.52.9.5
이와 관련해 삼성과 롯데가 가장 아슬아슬한 처지에 있다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
삼성과	삼성/NNP+과/JC
롯데가	롯데/NNP+가/JKS
가장	가장/MAG
아슬아슬한	아슬아슬/MAG+하/XSA+ㄴ/ETM
처지에	처지/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.52.9.6
최순실씨 쪽에 직접 돈을 건넨 삼성은 최근에는 삼성물산과 제일모직의 합병에 국민연금이 찬성한 배경을 놓고도 의심을 사고 있다.

최순실씨	최순실/NNP+씨/NNB
쪽에	쪽/NNB+에/JKB
직접	직접/MAG
돈을	돈/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
삼성은	삼성/NNP+은/JX
최근에는	최근/NNG+에/JKB+는/JX
삼성물산과	삼성물산/NNP+과/JC
제일모직의	제일모직/NNP+의/JKG
합병에	합병/NNG+에/JKB
국민연금이	국민연금/NNG+이/JKS
찬성한	찬성/NNG+하/XSV+ㄴ/ETM
배경을	배경/NNG+을/JKO
놓고도	놓/VV+고/EC+도/JX
의심을	의심/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.52.9.7
최씨 쪽에 70억원을 줬다가 돌려받은 롯데는 신동빈 회장에 대한 수사와 관련해 청탁이 있었는지가 의혹의 핵심이다.

최씨	최/NNP+씨/NNB
쪽에	쪽/NNB+에/JKB
70억원을	70/SN+억/NR+원/NNB+을/JKO
줬다가	주/VV+었/EP+다가/EC
돌려받은	돌려받/VV+은/ETM
롯데는	롯데/NNP+는/JX
신동빈	신동빈/NNP
회장에	회장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수사와	수사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
청탁이	청탁/NNG+이/JKS
있었는지가	있/VA+었/EP+는지/EF+가/JKS
의혹의	의혹/NNG+의/JKG
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.52.9.8
배임죄 유죄 판결을 받고 집행유예 중인 김승연 한화 회장은 혹여 추가로 형사처벌을 받으면 집행유예가 취소될 수도 있다.

배임죄	배임죄/NNG
유죄	유죄/NNG
판결을	판결/NNG+을/JKO
받고	받/VV+고/EC
집행유예	집행/NNG+유예/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김승연	김승연/NNP
한화	한화/NNP
회장은	회장/NNG+은/JX
혹여	혹여/MAG
추가로	추가/NNG+로/JKB
형사처벌을	형사/NNG+처벌/NNG+을/JKO
받으면	받/VV+으면/EC
집행유예가	집행/NNG+유예/NNG+가/JKS
취소될	취소/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


