# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.255
metadata : {}


# id : NWRW1800000049.255.1.1
[특파원 칼럼/장원재]탄광의 카나리아 재일교포 60만

[특파원	[/SS+특파원/NNG
날’	날/NNG+’/SS
이후의	이후/NNG+의/JKG
사이비종교	사이비/NNG+종교/NNG
신도들처럼	신도/NNG+들/XSN+처럼/JKB
넷우익들은	넷/NNG+우익/NNG+들/XSN+은/JX
음모론으로	음모/NNG+론/XSN+으로/JKB
빠져들었다.	빠져들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.255.6.4
‘추방설은 사실무근’이라는 정부 해명은 ‘한 번에 잡아들이려는 작전’으로 해석됐다.

‘추방설은	‘/SS+추방설/NNG+은/JX
사실무근’이라는	사실무근/NNG+’/SS+이/VCP+라는/ETM
정부	정부/NNG
해명은	해명/NNG+은/JX
‘한	‘/SS+한/MMN
번에	번/NNB+에/JKB
잡아들이려는	잡아들이/VV+려는/ETM
작전’으로	작전/NNG+’/SS+으로/JKB
해석됐다.	해석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.255.7.1
시간이 더 지나도 재일교포가 추방되지 않자 음모론은 분노로 불타올랐다.

시간이	시간/NNG+이/JKS
더	더/MAG
지나도	지나/VV+아도/EC
재일교포가	재일/NNG+교포/NNG+가/JKS
추방되지	추방/NNG+되/XSV+지/EC
않자	않/VX+자/EC
음모론은	음모/NNG+론/XSN+은/JX
분노로	분노/NNG+로/JKB
불타올랐다.	불타오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.255.7.2
지난해 7월부터 9월까지 1만 건 이상의 ‘메일폭탄’이 접수돼 업무가 마비되자 정부가 신고 접수를 아예 중단해 버린 것이다.

지난해	지난해/NNG
7월부터	7/SN+월/NNB+부터/JX
9월까지	9/SN+월/NNB+까지/JX
1만	1/SN+만/NR
건	건/NNB
이상의	이상/NNG+의/JKG
‘메일폭탄’이	‘/SS+메일/NNG+폭탄/NNG+’/SS+이/JKS
접수돼	접수/NNG+되/XSV+어/EC
업무가	업무/NNG+가/JKS
마비되자	마비/NNG+되/XSV+자/EC
정부가	정부/NNG+가/JKS
신고	신고/NNG
접수를	접수/NNG+를/JKO
아예	아예/MAG
중단해	중단/NNG+하/XSV+아/EC
버린	버리/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.255.7.3
입국관리국 당국자는 “아무리 설명해도 통하지 않았다”며 한숨을 쉬었다.

입국관리국	입국/NNG+관리국/NNG
당국자는	당국자/NNG+는/JX
“아무리	“/SS+아무리/MAG
설명해도	설명/NNG+하/XSV+아도/EC
통하지	통하/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
한숨을	한/XPN+숨/NNG+을/JKO
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.255.7.4
대량 메일을 보낸 이들을 형사처벌할 수 있는지 경찰에 상담할 정도였다.

대량	대량/NNG
메일을	메일/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
형사처벌할	형사/NNG+처벌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EF
경찰에	경찰/NNG+에/JKB
상담할	상담/NNG+하/XSV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.255.8.1
이 문제는 재일교포들에게 단순한 해프닝이 아니었다.

이	이/MMD
문제는	문제/NNG+는/JX
재일교포들에게	재일/NNG+교포/NNG+들/XSN+에게/JKB
단순한	단순/NNG+하/XSA+ㄴ/ETM
해프닝이	해프닝/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000049.255.8.2
사이버 공간의 ‘비난’이 오프라인 거리 시위를 넘어 ‘고발’이라는 적극적인 행동으로 이어졌던 것이다.

사이버	사이버/NNG
공간의	공간/NNG+의/JKG
‘비난’이	‘/SS+비난/NNG+’/SS+이/JKS
오프라인	오프라인/NNG
거리	거리/NNG
시위를	시위/NNG+를/JKO
넘어	넘/VV+어/EC
‘고발’이라는	‘/SS+고발/NNG+’/SS+이/VCP+라는/ETM
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
이어졌던	이어지/VV+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.255.8.3
한 교포는 “간토 대지진(1923년) 당시 조선인 학살이 떠올랐다”고 했다.

한	한/MMN
교포는	교포/NNG+는/JX
“간토	“/SS+간토/NNP
대지진(1923년)	대/XPN+지진/NNG+(/SS+1923/SN+년/NNB+)/SS
당시	당시/NNG
조선인	조선인/NNG
학살이	학살/NNG+이/JKS
떠올랐다”고	떠오르/VV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.255.9.1
넷우익은 일본의 ‘잃어버린 20년’이 낳은 괴물이다.

넷우익은	넷/NNG+우익/NNG+은/JX
일본의	일본/NNP+의/JKG
‘잃어버린	‘/SS+잃어버리/VV+ㄴ/ETM
20년’이	20/SN+년/NNB+’/SS+이/JKS
낳은	낳/VV+은/ETM
괴물이다.	괴물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.255.9.2
경제대국 일본이 1990년대 이후 저성장의 늪에 빠져 자신의 삶은 팍팍한데 식민지였던 한국과 중국이 눈부시게 발전하는 현실을 받아들일 수 없던 넷우익들.

경제대국	경제/NNG+대국/NNG
일본이	일본/NNP+이/JKS
1990년대	1990/SN+년대/NNB
이후	이후/NNG
저성장의	저/XPN+성장/NNG+의/JKG
늪에	늪/NNG+에/JKB
빠져	빠지/VV+어/EC
자신의	자신/NNG+의/JKG
삶은	삶/NNG+은/JX
팍팍한데	팍팍하/VA+ㄴ데/EC
식민지였던	식민지/NNG+이/VCP+었/EP+던/ETM
한국과	한국/NNP+과/JC
중국이	중국/NNP+이/JKS
눈부시게	눈부시/VA+게/EC
발전하는	발전/NNG+하/XSV+는/ETM
현실을	현실/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없던	없/VA+던/ETM
넷우익들.	넷/NNG+우익/NNG+들/XSN+./SF


# id : NWRW1800000049.255.9.3
이들이 키보드 앞에서 ‘모든 악의 원인은 자이니치’라는 음모론을 만들어냈다.

이들이	이/NP+들/XSN+이/JKS
키보드	키보드/NNG
앞에서	앞/NNG+에서/JKB
‘모든	‘/SS+모든/MMN
악의	악/NNG+의/JKG
원인은	원인/NNG+은/JX
자이니치’라는	자이니치/NNG+’/SS+이/VCP+라는/ETM
음모론을	음모/NNG+론/XSN+을/JKO
만들어냈다.	만들/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.255.10.1
사이버 공간에 머물다가 2012년 이명박 대통령의 독도 방문 이후 혐한 감정이 확산되자 거리로 뛰쳐나왔다.

사이버	사이버/NNG
공간에	공간/NNG+에/JKB
머물다가	머물/VV+다가/EC
2012년	2012/SN+년/NNB
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
독도	독도/NNP
방문	방문/NNG
이후	이후/NNG
혐한	혐한/NNG
감정이	감정/NNG+이/JKS
확산되자	확산/NNG+되/XSV+자/EC
거리로	거리/NNG+로/JKB
뛰쳐나왔다.	뛰쳐나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.255.10.2
일본 국민 3분의 2가 한국에 친근감을 느끼지 않는 상황에 자신감을 얻은 것이다.

일본	일본/NNP
국민	국민/NNG
3분의	3/SN+분/XSN+의/JKG
2가	2/SN+가/JKS
한국에	한국/NNP+에/JKB
친근감을	친근감/NNG+을/JKO
느끼지	느끼/VV+지/EC
않는	않/VX+는/ETM
상황에	상황/NNG+에/JKB
자신감을	자신감/NNG+을/JKO
얻은	얻/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.255.10.3
피해자는 고스란히 재일교포와 한국 기업들이었다.

피해자는	피해자/NNG+는/JX
고스란히	고스란히/MAG
재일교포와	재일/NNG+교포/NNG+와/JC
한국	한국/NNP
기업들이었다.	기업/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.255.10.4
한류의 성지였던 신오쿠보는 차이나타운으로 변하고 한류 드라마가 자취를 감췄다.

한류의	한류/NNG+의/JKG
성지였던	성지/NNG+이/VCP+었/EP+던/ETM
신오쿠보는	신오쿠보/NNP+는/JX
차이나타운으로	차이나타운/NNG+으로/JKB
변하고	변하/VV+고/EC
한류	한류/NNG
드라마가	드라마/NNG+가/JKS
자취를	자취/NNG+를/JKO
감췄다.	감추/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.255.10.5
삼성 휴대전화는 로고를 지워야 했다.

삼성	삼성/NNP
휴대전화는	휴대/NNG+전화/NNG+는/JX
로고를	로고/NNG+를/JKO
지워야	지우/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.255.11.1
지난해 말 일본군 위안부 합의가 나오자 재일교포들은 모국(母國) 신문에 광고를 내며 환영했다.

지난해	지난해/NNG
말	말/NNB
일본군	일본군/NNG
위안부	위안부/NNG
합의가	합의/NNG+가/JKS
나오자	나오/VV+자/EC
재일교포들은	재일/NNG+교포/NNG+들/XSN+은/JX
모국(母國)	모국/NNG+(/SS+母國/SH+)/SS
신문에	신문/NNG+에/JKB
광고를	광고/NNG+를/JKO
내며	내/VV+며/EC
환영했다.	환영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.255.11.2
연말연시 모임에선 ‘이제 좀 나아지겠지’ 하는 기대감이 흘렀다.

연말연시	연말연시/NNG
모임에선	모임/NNG+에서/JKB+ㄴ/JX
‘이제	‘/SS+이제/MAG
좀	좀/MAG
나아지겠지’	나아지/VV+겠/EP+지/EF+’/SS
하는	하/VV+는/ETM
기대감이	기대감/NNG+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.255.11.3
그런데 북한의 4차 핵실험이 찬물을 끼얹었다.

그런데	그런데/MAJ
북한의	북한/NNP+의/JKG
4차	4/SN+차/NNB
핵실험이	핵/NNG+실험/NNG+이/JKS
찬물을	찬물/NNG+을/JKO
끼얹었다.	끼얹/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.255.11.4
조선학교에는 학생을 보호하라는 경계령이 떨어졌고 재일조선인총연합회(총련) 본부 앞에서는 시위가 이어지고 있다.

조선학교에는	조선/NNP+학교/NNG+에/JKB+는/JX
학생을	학생/NNG+을/JKO
보호하라는	보호/NNG+하/XSV+라는/ETM
경계령이	경계령/NNG+이/JKS
떨어졌고	떨어지/VV+었/EP+고/EC
재일조선인총연합회(총련)	재일조선인총연합회/NNP+(/SS+총련/NNP+)/SS
본부	본부/NNG
앞에서는	앞/NNG+에서/JKB+는/JX
시위가	시위/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.255.12.1
한 재일교포는 “우익들은 남북을 구분하지 않는다.

한	한/MMN
재일교포는	재일/NNG+교포/NNG+는/JX
“우익들은	“/SS+우익/NNG+들/XSN+은/JX
남북을	남북/NNP+을/JKO
구분하지	구분/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.255.12.2
혐한 감정이 다시 끓어오르지 않을까 걱정”이라고 했다.

혐한	혐한/NNG
감정이	감정/NNG+이/JKS
다시	다시/MAG
끓어오르지	끓어오르/VV+지/EC
않을까	않/VX+을까/EF
걱정”이라고	걱정/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.255.12.3
한일 관계, 북-일 관계가 악화되면 이들이 제일 먼저 고통을 받는다.

한일	한일/NNP
관계,	관계/NNG+,/SP
북-일	북-일/NNP
관계가	관계/NNG+가/JKS
악화되면	악화/NNG+되/XSV+면/EC
이들이	이/NP+들/XSN+이/JKS
제일	제일/MAG
먼저	먼저/MAG
고통을	고통/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000049.255.12.4
재일교포 60만 명은 탄광의 카나리아 같은 존재다.

재일교포	재일/NNG+교포/NNG
60만	60/SN+만/NR
명은	명/NNB+은/JX
탄광의	탄광/NNG+의/JKG
카나리아	카나리아/NNG
같은	같/VA+은/ETM
존재다.	존재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.255.12.5
한국 정부와 국민들이 잊으면 안 된다.

한국	한국/NNP
정부와	정부/NNG+와/JC
국민들이	국민/NNG+들/XSN+이/JKS
잊으면	잊/VV+으면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


