# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.389
metadata : {}


# id : NWRW1800000052.389.1.1
“대립 치닫는 남북 ‘화이부동’으로 다시 화합하기를”

“대립	“/SS+대립/NNG
그는 또 “북한의 붕괴와 흡수통일 환상에 사로잡힐 것이 아니라 우선 남과 북이 차이점은 제쳐두고 서로 오고가고 돕고 나누는 교류부터 필요하다”고 덧붙였다.

그는	그/NP+는/JX
또	또/MAG
“북한의	“/SS+북한/NNP+의/JKG
붕괴와	붕괴/NNG+와/JC
흡수통일	흡수/NNG+통일/NNG
환상에	환상/NNG+에/JKB
사로잡힐	사로잡히/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
우선	우선/MAG
남과	남/NNP+과/JC
북이	북/NNP+이/JKS
차이점은	차이점/NNG+은/JX
제쳐두고	제치/VV+어/EC+두/VX+고/EC
서로	서로/MAG
오고가고	오/VV+고/EC+가/VV+고/EC
돕고	돕/VV+고/EC
나누는	나누/VV+는/ETM
교류부터	교류/NNG+부터/JX
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.389.6.3
‘화이부동’의 실질적 내용으로 ‘한반도 평화프로세스’와 ‘사실상의 통일 상황 조성’을 제시한 것이다.

‘화이부동’의	‘/SS+화이부동/NNG+’/SS+의/JKG
실질적	실질/NNG+적/XSN
내용으로	내용/NNG+으로/JKB
‘한반도	‘/SS+한반도/NNP
평화프로세스’와	평화/NNG+프로세스/NNG+’/SS+와/JC
‘사실상의	‘/SS+사실/NNG+상/XSN+의/JKG
통일	통일/NNG
상황	상황/NNG
조성’을	조성/NNG+’/SS+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.389.6.4
한반도 평화프로세스는 김대중·노무현 정부에서 추진한 대북정책의 핵심기조로서, 평화협정 체결 등을 포함한 북미 적대관계 해소 등을 통해 한반도 냉전구조를 전면적으로 해체해나가자는 정책이다.

한반도	한반도/NNP
평화프로세스는	평화/NNG+프로세스/NNG+는/JX
김대중·노무현	김대중/NNP+·/SP+노무현/NNP
정부에서	정부/NNG+에서/JKB
추진한	추진/NNG+하/XSV+ㄴ/ETM
대북정책의	대북/NNG+정책/NNG+의/JKG
핵심기조로서,	핵심/NNG+기조/NNG+로서/JKB+,/SP
평화협정	평화/NNG+협정/NNG
체결	체결/NNG
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
북미	북미/NNP
적대관계	적대/NNG+관계/NNG
해소	해소/NNG
통해	통하/VV+아/EC
냉전구조를	냉전/NNG+구조/NNG+를/JKO
전면적으로	전면/NNG+적/XSN+으로/JKB
해체해나가자는	해체/NNG+하/XSV+아/EC+나가/VX+자는/ETM
정책이다.	정책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.389.7.1
이날 시상식에는 정규상 성균관대 총장을 비롯해 백낙청 한반도평화포럼 공동이사장, 이종찬 전 국가정보원장, 정세현 전 통일부장관, 송민순 전 외교부장관, 정석구 <한겨레> 편집인 등 50여명이 참석했다.

이날	이날/NNG
시상식에는	시상식/NNG+에/JKB+는/JX
정규상	정규상/NNP
성균관대	성균관대/NNP
총장을	총장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
백낙청	백낙청/NNP
한반도평화포럼	한반도평화포럼/NNP
공동이사장,	공동/NNG+이사장/NNG+,/SP
이종찬	이종찬/NNP
전	전/MMD
국가정보원장,	국가/NNG+정보원장/NNG+,/SP
정세현	정세현/NNP
통일부장관,	통일부/NNG+장관/NNG+,/SP
송민순	송민순/NNP
외교부장관,	외교부/NNG+장관/NNG+,/SP
정석구	정석구/NNP
<한겨레>	</SS+한겨레/NNP+>/SS
편집인	편집인/NNG
등	등/NNB
50여명이	50/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


