# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.175
metadata : {}


# id : NWRW1800000056.175.1.1
“1월 조기 탄핵”…전국 동시다발 집중촛불

“1월	“/SS+1/SN+월/NNB
퇴진행동은 오는 21일을 박 대통령의 1월 조기 탄핵을 관철하기 위한 전국 동시다발 집중촛불의 날로 선포했다.

퇴진행동은	퇴진/NNG+행동/NNG+은/JX
오는	오/VV+는/ETM
21일을	21/SN+일/NNB+을/JKO
박	박/NNP
대통령의	대통령/NNG+의/JKG
1월	1/SN+월/NNB
조기	조기/NNG
탄핵을	탄핵/NNG+을/JKO
관철하기	관철/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
전국	전국/NNG
동시다발	동시다발/NNG
집중촛불의	집중/NNG+촛불/NNG+의/JKG
날로	날/NNG+로/JKB
선포했다.	선포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.175.4.2
이들은 “박근혜 즉각 퇴진, 조기탄핵의 그 날까지 광장에서 촛불을 들 것”이라면서 “새 대한민국을 위한 주권자 대토론과 각계각층의 사회 대개혁 운동을 제안한다”고 밝혔다.

이들은	이/NP+들/XSN+은/JX
“박근혜	“/SS+박근혜/NNP
즉각	즉각/MAG
퇴진,	퇴진/NNG+,/SP
조기탄핵의	조기/NNG+탄핵/NNG+의/JKG
그	그/MMD
날까지	날/NNG+까지/JX
광장에서	광장/NNG+에서/JKB
촛불을	촛불/NNG+을/JKO
들	들/VV+ㄹ/ETM
것”이라면서	것/NNB+”/SS+이/VCP+라면서/EC
“새	“/SS+새/MMA
대한민국을	대한민국/NNP+을/JKO
위한	위하/VV+ㄴ/ETM
주권자	주권자/NNG
대토론과	대/XPN+토론/NNG+과/JC
각계각층의	각계각층/NNG+의/JKG
사회	사회/NNG
대개혁	대/XPN+개혁/NNG
운동을	운동/NNG+을/JKO
제안한다”고	제안/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.175.5.1
지난 7일 광화문에서 분신해 9일 사망한 정원스님의 장례 일정도 확정됐다.

지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
광화문에서	광화문/NNP+에서/JKB
분신해	분신/NNG+하/XSV+아/EC
9일	9/SN+일/NNB
사망한	사망/NNG+하/XSV+ㄴ/ETM
정원스님의	정원/NNP+스님/NNG+의/JKG
장례	장례/NNG
일정도	일정/NNG+도/JX
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.175.5.2
퇴진행동과 범불교시국회의가 공동으로 장례위원회를 구성해, 오는 13일 서울대병원 장례식장에서 추모문화제를 연다.

퇴진행동과	퇴진/NNG+행동/NNG+과/JC
범불교시국회의가	범/XPN+불교/NNG+시국/NNG+회의/NNG+가/JKS
공동으로	공동/NNG+으로/JKB
장례위원회를	장례/NNG+위원회/NNG+를/JKO
구성해,	구성/NNG+하/XSV+아/EC+,/SP
오는	오/VV+는/ETM
13일	13/SN+일/NNB
서울대병원	서울대병원/NNP
장례식장에서	장례식장/NNG+에서/JKB
추모문화제를	추모/NNG+문화제/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.175.5.3
다음날 12시 발인을 해, 오후 1시 조계사 앞에서 노제를, 이어 광화문광장에서 영결식을 진행한다.

다음날	다음날/NNG
12시	12/SN+시/NNB
발인을	발인/NNG+을/JKO
해,	하/VV+아/EC+,/SP
오후	오후/NNG
1시	1/SN+시/NNB
조계사	조계사/NNP
앞에서	앞/NNG+에서/JKB
노제를,	노제/NNG+를/JKO+,/SP
이어	이어/MAG
광화문광장에서	광화문광장/NNP+에서/JKB
영결식을	영결식/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


