# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.71
metadata : {}


# id : NWRW1800000026.71.1.1
[녹색 행복도시 의정부] 4대 하천 생태복원… 생명력 넘치는 도시로

[녹색	[/SS+녹색/NNG
쓰레기로	쓰레기/NNG+로/JKB
몸살을	몸살/NNG+을/JKO
앓던	앓/VV+던/ETM
곳이었다.	곳/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.71.3.3
시는 제2의 청계천을 목표로 백석천을 생태하천으로 복원한다.

시는	시/NNG+는/JX
제2의	제/XPN+2/SN+의/JKG
청계천을	청계천/NNP+을/JKO
목표로	목표/NNG+로/JKB
백석천을	백석천/NNP+을/JKO
생태하천으로	생태/NNG+하천/NNG+으로/JKB
복원한다.	복원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.71.3.4
지난해 4월에는 환경부가 추진하고 있는 도심하천 생태복원사업인 '청계천+20 프로젝트'에 선정되기도 했다.

지난해	지난해/NNG
4월에는	4/SN+월/NNB+에/JKB+는/JX
환경부가	환경부/NNG+가/JKS
추진하고	추진/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
도심하천	도심/NNG+하천/NNG
생태복원사업인	생태/NNG+복원/NNG+사업/NNG+이/VCP+ㄴ/ETM
'청계천+20	'/SS+청계천/NNP++/SW+20/SN
프로젝트'에	프로젝트/NNG+'/SS+에/JKB
선정되기도	선정/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.71.4.1
복원 구간은 전체 하천 5.9㎞ 중 가능동 경민광장에서 중랑천까지 3.5㎞ 구간이다.

복원	복원/NNG
구간은	구간/NNG+은/JX
전체	전체/NNG
하천	하천/NNG
5.9㎞	5/SN+./SP+9/SN+㎞/SW
중	중/NNB
가능동	가능동/NNP
경민광장에서	경민광장/NNP+에서/JKB
중랑천까지	중랑천/NNP+까지/JX
3.5㎞	3/SN+./SP+5/SN+㎞/SW
구간이다.	구간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.71.4.2
총 600억원을 들여 2012년까지 완공할 계획이다.

총	총/MMA
600억원을	600/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
2012년까지	2012/SN+년/NNB+까지/JX
완공할	완공/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.71.4.3
오는 4월 설계와 시공업체를 일괄 입찰해 선정한 뒤 10월에 공사를 시작한다.

오는	오/VV+는/ETM
4월	4/SN+월/NNB
설계와	설계/NNG+와/JC
시공업체를	시공업체/NNG+를/JKO
일괄	일괄/NNG
입찰해	입찰/NNG+하/XSV+아/EC
선정한	선정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
10월에	10/SN+월/NNB+에/JKB
공사를	공사/NNG+를/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.71.5.1
하천 주변에 자연학습장과 생태호수를 만들고 갈대와 야생화도 심을 예정이다.

하천	하천/NNG
주변에	주변/NNG+에/JKB
자연학습장과	자연/NNG+학습장/NNG+과/JC
생태호수를	생태/NNG+호수/NNG+를/JKO
만들고	만들/VV+고/EC
갈대와	갈대/NNG+와/JC
야생화도	야생화/NNG+도/JX
심을	심/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.71.5.2
수질을 스스로 정화할 수 있는 습지 1만5000㎡(약 4500평)도 조성된다.

수질을	수질/NNG+을/JKO
스스로	스스로/MAG
정화할	정화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
습지	습지/NNG
1만5000㎡(약	1/SN+만/NR+5000/SN+㎡/SW+(/SS+약/MMA
4500평)도	4500/SN+평/NNB+)/SS+도/JX
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.71.5.3
1991년 하천을 620m 복개해 만든 시청 앞 주차장(680대)도 걷어낸다.

1991년	1991/SN+년/NNB
하천을	하천/NNG+을/JKO
620m	620/SN+m/SW
복개해	복개/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
시청	시청/NNG
앞	앞/NNG
주차장(680대)도	주차장/NNG+(/SS+680/SN+대/NNB+)/SS+도/JX
걷어낸다.	걷/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.71.5.4
대신 시청 앞 잔디광장 지하에 700대 규모의 주차장을 새로 만들어 주차 문제를 해결한다.

대신	대신/NNG
시청	시청/NNG
앞	앞/NNG
잔디광장	잔디/NNG+광장/NNG
지하에	지하/NNG+에/JKB
700대	700/SN+대/NNB
규모의	규모/NNG+의/JKG
주차장을	주차장/NNG+을/JKO
새로	새로/MAG
만들어	만들/VV+어/EC
주차	주차/NNG
문제를	문제/NNG+를/JKO
해결한다.	해결/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.71.6.1
90년대 하천정비 명목으로 콘크리트 언덕이 설치된 회룡천에서도 곧 흙 냄새를 맡을 수 있다.

90년대	90/SN+년대/NNB
하천정비	하천/NNG+정비/NNG
명목으로	명목/NNG+으로/JKB
콘크리트	콘크리트/NNG
언덕이	언덕/NNG+이/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
회룡천에서도	회룡천/NNP+에서/JKB+도/JX
곧	곧/MAG
흙	흙/NNG
냄새를	냄새/NNG+를/JKO
맡을	맡/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.71.6.2
시는 내년까지 호원동 회룡2교에서 중랑천까지 560m의 자연 생태를 복원한다.

시는	시/NNG+는/JX
내년까지	내년/NNG+까지/JX
호원동	호원동/NNP
회룡2교에서	회룡2교/NNP+에서/JKB
중랑천까지	중랑천/NNP+까지/JX
560m의	560/SN+m/SW+의/JKG
자연	자연/NNG
생태를	생태/NNG+를/JKO
복원한다.	복원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.71.6.3
산책로에는 터널 형태로 물을 뿌리는 '터널분수'가 조성돼 운치를 더한다.

산책로에는	산책로/NNG+에/JKB+는/JX
터널	터널/NNG
형태로	형태/NNG+로/JKB
물을	물/NNG+을/JKO
뿌리는	뿌리/VV+는/ETM
'터널분수'가	'/SS+터널/NNG+분수/NNG+'/SS+가/JKS
조성돼	조성/NNG+되/XSV+어/EC
운치를	운치/NNG+를/JKO
더한다.	더/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.71.7.1
2012년까지 회룡천과 백석천의 복원사업이 마무리 되면 의정부시에는 모두 32㎞에 달하는 하천 자전거 도로가 놓이게 된다.

2012년까지	2012/SN+년/NNB+까지/JX
회룡천과	회룡천/NNP+과/JC
백석천의	백석천/NNP+의/JKG
복원사업이	복원/NNG+사업/NNG+이/JKS
마무리	마무리/NNG
되면	되/VV+면/EC
의정부시에는	의정부시/NNP+에/JKB+는/JX
모두	모두/MAG
32㎞에	32/SN+㎞/SW+에/JKB
달하는	달하/VV+는/ETM
하천	하천/NNG
자전거	자전거/NNG
도로가	도로/NNG+가/JKS
놓이게	놓이/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.71.7.2
건설재난과 김동수 하천관리팀장은 "자전거를 타고 시내 곳곳은 물론 중랑천을 따라 서울까지 다녀올 수 있게 된다"라고 말했다.

건설재난과	건설/NNG+재난/NNG+과/NNG
김동수	김동수/NNP
하천관리팀장은	하천/NNG+관리/NNG+팀장/NNG+은/JX
"자전거를	"/SS+자전거/NNG+를/JKO
타고	타/VV+고/EC
시내	시내/NNG
곳곳은	곳곳/NNG+은/JX
물론	물론/MAG
중랑천을	중랑천/NNP+을/JKO
따라	따르/VV+아/EC
서울까지	서울/NNP+까지/JX
다녀올	다녀오/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다"라고	되/VV+ㄴ다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.71.8.1
최근 144곳이나 늘어난 각종 도심공원 역시 또 다른 공간활용 아이디어를 보여준다.

최근	최근/NNG
144곳이나	144/SN+곳/NNG+이나/JX
늘어난	늘어나/VV+ㄴ/ETM
각종	각종/NNG
도심공원	도심/NNG+공원/NNG
역시	역시/MAG
또	또/MAG
다른	다른/MMD
공간활용	공간/NNG+활용/NNG
아이디어를	아이디어/NNG+를/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.71.8.2
지난해 7월에는 경원선 고가철도 아래에 인라인스케이트장 등을 갖춘 1만7000㎡(약 5100평) 규모의 생활체육공원이 들어섰다.

지난해	지난해/NNG
7월에는	7/SN+월/NNB+에/JKB+는/JX
경원선	경원선/NNP
고가철도	고가/NNG+철도/NNG
아래에	아래/NNG+에/JKB
인라인스케이트장	인라인스케이트장/NNG
등을	등/NNB+을/JKO
갖춘	갖추/VV+ㄴ/ETM
1만7000㎡(약	1/SN+만/NR+7000/SN+㎡/SW+(/SS+약/MMA
5100평)	5100/SN+평/NNB+)/SS
규모의	규모/NNG+의/JKG
생활체육공원이	생활/NNG+체육공원/NNG+이/JKS
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.71.8.3
11월에는 일반인의 출입이 금지됐던 신곡동 배수지에 7200㎡(약 2100평) 규모의 공원을 조성하기도 했다.

11월에는	11/SN+월/NNB+에/JKB+는/JX
일반인의	일반인/NNG+의/JKG
출입이	출입/NNG+이/JKS
금지됐던	금지/NNG+되/XSV+었/EP+던/ETM
신곡동	신곡동/NNP
배수지에	배수지/NNG+에/JKB
7200㎡(약	7200/SN+㎡/SW+(/SS+약/MMA
2100평)	2100/SN+평/NNB+)/SS
규모의	규모/NNG+의/JKG
공원을	공원/NNG+을/JKO
조성하기도	조성/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.71.8.4
이외에도 4곳의 배수지가 국궁장과 야구장 등으로 변신했다.

이외에도	이외/NNG+에/JKB+도/JX
4곳의	4/SN+곳/NNG+의/JKG
배수지가	배수지/NNG+가/JKS
국궁장과	국궁장/NNG+과/JC
야구장	야구장/NNG
등으로	등/NNB+으로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.71.8.5
휴양시설과 국제규격 인조잔디 축구장을 갖춘 직동공원 등도 시내 곳곳에 흩어져 있던 자투리땅을 활용한 경우다.

휴양시설과	휴양/NNG+시설/NNG+과/JC
국제규격	국제/NNG+규격/NNG
인조잔디	인조/NNG+잔디/NNG
축구장을	축구장/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
직동공원	직동공원/NNP
등도	등/NNB+도/JX
시내	시내/NNG
곳곳에	곳곳/NNG+에/JKB
흩어져	흩어지/VV+어/EC
있던	있/VX+던/ETM
자투리땅을	자투리땅/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
경우다.	경우/NNG+이/VCP+다/EF+./SF


