# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.364
metadata : {}


# id : NWRW1800000026.364.1.1
[뉴스 블로그] 깜깜이 타이어 가격… 부르는 게 값

[뉴스	[/SS+뉴스/NNG
"장착하는	"/SS+장착/NNG+하/XSV+는/ETM
것과	것/NNB+과/JC
얼라이먼트(바퀴의	얼라이먼트/NNG+(/SS+바퀴/NNG+의/JKG
기울임	기울이/VV+ㅁ/ETN
각도)	각도/NNG+)/SS
교정까지	교정/NNG+까지/JX
31만원에	31/SN+만/NR+원/NNB+에/JKB
해	하/VV+아/EC
주겠다"고	주/VX+겠/EP+다/EF+"/SS+고/JKQ
하더군요.	하/VV+더군/EF+요/JX+./SF


# id : NWRW1800000026.364.3.5
인터넷 최저가(22만원)보다 비쌌지만, 장착과 정비 비용까지 포함돼 있기 때문에 적당한 가격인지 쉽게 판단하기 어려웠습니다.

인터넷	인터넷/NNG
최저가(22만원)보다	최저/NNG+가/XSN+(/SS+22/SN+만/NR+원/NNB+)/SS+보다/JKB
비쌌지만,	비싸/VA+았/EP+지만/EC+,/SP
장착과	장착/NNG+과/JC
정비	정비/NNG
비용까지	비용/NNG+까지/JX
포함돼	포함/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
적당한	적당하/VA+ㄴ/ETM
가격인지	가격/NNG+이/VCP+ㄴ지/EC
쉽게	쉽/VA+게/EC
판단하기	판단/NNG+하/XSV+기/ETN
어려웠습니다.	어렵/VA+었/EP+습니다/EF+./SF


# id : NWRW1800000026.364.4.1
다음엔 서울 역삼동의 타이어업체 공식 직영점으로 갔습니다.

다음엔	다음/NNG+에/JKB+ㄴ/JX
서울	서울/NNP
역삼동의	역삼동/NNP+의/JKG
타이어업체	타이어/NNG+업체/NNG
공식	공식/NNG
직영점으로	직영점/NNG+으로/JKB
갔습니다.	가/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000026.364.4.2
같은 제품이 장착과 정비를 포함해서 29만원이었습니다.

같은	같/VA+은/ETM
제품이	제품/NNG+이/JKS
장착과	장착/NNG+과/JC
정비를	정비/NNG+를/JKO
포함해서	포함/NNG+하/XSV+아서/EC
29만원이었습니다.	29/SN+만/NR+원/NNB+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000026.364.4.3
전문매장보다 2만원 쌌습니다.

전문매장보다	전문/NNG+매장/NNG+보다/JKB
2만원	2/SN+만/NR+원/NNB
쌌습니다.	싸/VA+았/EP+습니다/EF+./SF


# id : NWRW1800000026.364.4.4
하지만 직영점이라도 '정가'는 없고 지점별로 1만~2만원 정도 가격 차가 있다고 합니다.

하지만	하지만/MAJ
직영점이라도	직영점/NNG+이/VCP+라도/EC
'정가'는	'/SS+정가/NNG+'/SS+는/JX
없고	없/VA+고/EC
지점별로	지점/NNG+별/XSN+로/JKB
1만~2만원	1/SN+만/NR+~/SO+2/SN+만/NR+원/NNB
정도	정도/NNG
가격	가격/NNG
차가	차/NNG+가/JKS
있다고	있/VA+다고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.364.5.1
더 싼 곳이 있었습니다.

더	더/MAG
싼	싸/VA+ㄴ/ETM
곳이	곳/NNG+이/JKS
있었습니다.	있/VA+었/EP+습니다/EF+./SF


# id : NWRW1800000026.364.5.2
서울 양재동에 있는 한 회원제 대형 할인마트에 가보니 같은 제품을 28만원에 판매하고 있었습니다.

서울	서울/NNP
양재동에	양재동/NNP+에/JKB
있는	있/VA+는/ETM
한	한/MMN
회원제	회원/NNG+제/XSN
대형	대형/NNG
할인마트에	할인/NNG+마트/NNG+에/JKB
가보니	가/VV+아/EC+보/VX+니/EC
같은	같/VA+은/ETM
제품을	제품/NNG+을/JKO
28만원에	28/SN+만/NR+원/NNB+에/JKB
판매하고	판매/NNG+하/XSV+고/EC
있었습니다.	있/VX+었/EP+습니다/EF+./SF


# id : NWRW1800000026.364.5.3
하지만 장착은 무료지만 정비 서비스는 제공하지 않았습니다.

하지만	하지만/MAJ
장착은	장착/NNG+은/JX
무료지만	무료/NNG+이/VCP+지만/EC
정비	정비/NNG
서비스는	서비스/NNG+는/JX
제공하지	제공/NNG+하/XSV+지/EC
않았습니다.	않/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000026.364.5.4
같은 타이어 가격이 매장에 따라 최고 10만원 넘게 차이가 난 것입니다.

같은	같/VA+은/ETM
타이어	타이어/NNG
가격이	가격/NNG+이/JKS
매장에	매장/NNG+에/JKB
따라	따르/VV+아/EC
최고	최고/NNG
10만원	10/SN+만/NR+원/NNB
넘게	넘/VV+게/EC
차이가	차이/NNG+가/JKS
난	나/VV+ㄴ/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.364.6.1
소비자에게 타이어 가격은 오리무중입니다.

소비자에게	소비자/NNG+에게/JKB
타이어	타이어/NNG
가격은	가격/NNG+은/JX
오리무중입니다.	오리무중/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.364.6.2
타이어 가격이 '부르는 게 값'인 이유는 판매점이 자율적으로 가격을 정하기 때문입니다.

타이어	타이어/NNG
가격이	가격/NNG+이/JKS
'부르는	'/SS+부르/VV+는/ETM
게	거/NNB+이/JKS
값'인	값/NNG+'/SS+이/VCP+ㄴ/ETM
이유는	이유/NNG+는/JX
판매점이	판매점/NNG+이/JKS
자율적으로	자율/NNG+적/XSN+으로/JKB
가격을	가격/NNG+을/JKO
정하기	정하/VV+기/ETN
때문입니다.	때문/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.364.6.3
타이어업체가 판매점에 공급하는 가격은 같아도 소비자가 구입하는 가격은 매장에 따라 천차만별입니다.

타이어업체가	타이어/NNG+업체/NNG+가/JKS
판매점에	판매점/NNG+에/JKB
공급하는	공급/NNG+하/XSV+는/ETM
가격은	가격/NNG+은/JX
같아도	같/VA+아도/EC
소비자가	소비자/NNG+가/JKS
구입하는	구입/NNG+하/XSV+는/ETM
매장에	매장/NNG+에/JKB
따라	따르/VV+아/EC
천차만별입니다.	천차만별/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.364.7.1
타이어 공급가격은 소비자들에게 공개되지 않습니다.

타이어	타이어/NNG
공급가격은	공급/NNG+가격/NNG+은/JX
소비자들에게	소비자/NNG+들/XSN+에게/JKB
공개되지	공개/NNG+되/XSV+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000026.364.7.2
원자재인 천연고무의 국제 거래가격 변동에 따라 공급가격이 조정되는 경우가 많아서라고 합니다.

원자재인	원자재/NNG+이/VCP+ㄴ/ETM
천연고무의	천연고무/NNG+의/JKG
국제	국제/NNG
거래가격	거래/NNG+가격/NNG
변동에	변동/NNG+에/JKB
따라	따르/VV+아/EC
공급가격이	공급/NNG+가격/NNG+이/JKS
조정되는	조정/NNG+되/XSV+는/ETM
경우가	경우/NNG+가/JKS
많아서라고	많/VA+아서/EC+이/VCP+라고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000026.364.7.3
공급가격을 완전히 공개하지는 못하더라도, 참고할 수 있는 가격지표를 마련하는 등 소비자를 위한 배려가 필요할 것 같습니다.

공급가격을	공급/NNG+가격/NNG+을/JKO
완전히	완전히/MAG
공개하지는	공개/NNG+하/XSV+지/EC+는/JX
못하더라도,	못하/VX+더라도/EC+,/SP
참고할	참고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가격지표를	가격/NNG+지표/NNG+를/JKO
마련하는	마련/NNG+하/XSV+는/ETM
등	등/NNB
소비자를	소비자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
배려가	배려/NNG+가/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
것	것/NNB
같습니다.	같/VA+습니다/EF+./SF


