# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.209
metadata : {}


# id : NWRW1800000038.209.1.1
"전기요금 최대 40% 줄인다" 선전해 석달간 2만대 판매… '폭염 특수' 전기절감기, 실제론 節電 안돼

"전기요금	"/SS+전기/NNG+요금/NNG
"전기절감기는	"/SS+전기/NNG+절감기/NNG+는/JX
전기료	전기료/NNG
책정	책정/NNG
방식을	방식/NNG+을/JKO
시민들이	시민/NNG+들/XSN+이/JKS
잘	잘/MAG
알지	알/VV+ㄹ지/EF
못한다는	못하/VX+ㄴ다는/ETM
점을	점/NNG+을/JKO
노린	노리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전기	전기/NNG
요금을	요금/NNG+을/JKO
절약할	절약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것은	것/NNB+은/JX
전혀	전혀/MAG
사실무근"이라고	사실무근/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.209.4.2
'전기절감기' 판매업체들은 "전자제품을 사용하면 실제로 사용되는 전력 외에 '무효 전력'이 발생하는데, 무효 전력 발생을 줄임으로써 전기료를 절약할 수 있다"고 주장하고 있다.

'전기절감기'	'/SS+전기/NNG+절감기/NNG+'/SS
판매업체들은	판매업체/NNG+들/XSN+은/JX
"전자제품을	"/SS+전자/NNG+제품/NNG+을/JKO
사용하면	사용/NNG+하/XSV+면/EC
실제로	실제로/MAG
사용되는	사용/NNG+되/XSV+는/ETM
전력	전력/NNG
외에	외/NNB+에/JKB
'무효	'/SS+무효/NNG
전력'이	전력/NNG+'/SS+이/JKS
발생하는데,	발생/NNG+하/XSV+는데/EC+,/SP
무효	무효/NNG
발생을	발생/NNG+을/JKO
줄임으로써	줄이/VV+ㅁ/ETN+으로써/JKB
전기료를	전기료/NNG+를/JKO
절약할	절약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.209.4.3
하지만 한전 측은 "무효 전력 발생과 전기료는 전혀 상관이 없다"면서 "가전제품을 움직이는 데 사용되는 유효 전력 외에 무효 전력이 발생하는 것은 사실이지만 전기 요금을 매기는 계량기에는 애초에 유효 전력만 기록되기 때문에 설사 무효 전력을 줄인다고 하더라도 전기 요금은 전혀 달라지지 않는다"고 설명했다.

하지만	하지만/MAJ
한전	한전/NNP
측은	측/NNB+은/JX
"무효	"/SS+무효/NNG
전력	전력/NNG
발생과	발생/NNG+과/JC
전기료는	전기료/NNG+는/JX
전혀	전혀/MAG
상관이	상관/NNG+이/JKS
없다"면서	없/VA+다/EF+"/SS+면서/EC
"가전제품을	"/SS+가전제품/NNG+을/JKO
움직이는	움직이/VV+는/ETM
데	데/NNB
사용되는	사용/NNG+되/XSV+는/ETM
유효	유효/NNG
외에	외/NNB+에/JKB
무효	무효/NNG
전력이	전력/NNG+이/JKS
발생하는	발생/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
사실이지만	사실/NNG+이/VCP+지만/EC
전기	전기/NNG
요금을	요금/NNG+을/JKO
매기는	매기/VV+는/ETM
계량기에는	계량기/NNG+에/JKB+는/JX
애초에	애초/NNG+에/JKB
전력만	전력/NNG+만/JX
기록되기	기록/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
설사	설사/MAG
전력을	전력/NNG+을/JKO
줄인다고	줄이/VV+ㄴ다고/EC
하더라도	하/VV+더라도/EC
요금은	요금/NNG+은/JX
달라지지	달라지/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.209.5.1
전기절감기를 판매하는 A업체는 "무효 전력을 줄여 전기 요금을 줄인다는 게 말이 안 되지 않느냐"고 추궁하자 이를 인정하면서도 "누수 전력을 막고 효율을 높인다.

전기절감기를	전기/NNG+절감기/NNG+를/JKO
판매하는	판매/NNG+하/XSV+는/ETM
A업체는	A/SL+업체/NNG+는/JX
"무효	"/SS+무효/NNG
전력을	전력/NNG+을/JKO
줄여	줄이/VV+어/EC
전기	전기/NNG
요금을	요금/NNG+을/JKO
줄인다는	줄이/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
말이	말/NNG+이/JKS
안	안/MAG
되지	되/VV+지/EC
않느냐"고	않/VX+느냐/EF+"/SS+고/JKQ
추궁하자	추궁/NNG+하/XSV+자/EC
이를	이/NP+를/JKO
인정하면서도	인정/NNG+하/XSV+면서/EC+도/JX
"누수	"/SS+누수/NNG
막고	막/VV+고/EC
효율을	효율/NNG+을/JKO
높인다.	높이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.209.5.2
실제로 우리가 사용해보니 사용 전력량이 30~40% 줄어드는 게 확인됐다"고 주장했다.

실제로	실제로/MAG
우리가	우리/NP+가/JKS
사용해보니	사용/NNG+하/XSV+아/EC+보/VX+니/EC
사용	사용/NNG
전력량이	전력량/NNG+이/JKS
30~40%	30/SN+~/SO+40/SN+%/SW
줄어드는	줄어들/VV+는/ETM
게	거/NNB+이/JKS
확인됐다"고	확인/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.209.5.3
그러나 한전은 "전력 사용 효율은 전자제품 자체의 성능에 따라 결정되는 것이지 외부에 어떤 장치를 꽂는다고 해서 올라가는 게 아니다"라고 일축했다.

그러나	그러나/MAJ
한전은	한전/NNP+은/JX
"전력	"/SS+전력/NNG
사용	사용/NNG
효율은	효율/NNG+은/JX
전자제품	전자/NNG+제품/NNG
자체의	자체/NNG+의/JKG
성능에	성능/NNG+에/JKB
따라	따르/VV+아/EC
결정되는	결정/NNG+되/XSV+는/ETM
것이지	것/NNB+이/VCP+지/EC
외부에	외부/NNG+에/JKB
어떤	어떤/MMD
장치를	장치/NNG+를/JKO
꽂는다고	꽂/VV+는다고/EC
해서	하/VV+아서/EC
올라가는	올라가/VV+는/ETM
게	거/NNB+이/JKC
아니다"라고	아니/VCN+다/EF+"/SS+라고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.209.5.4
서울대 전기공학부 문승일 교수도 "일반 가전제품의 무효 전기량을 개선해 30~40%의 전력량·요금 절감 효과가 있다는 것 자체가 말이 안 되고, 만약 효과가 있다면 어려운 기술도 아닌데 국가에서 이미 다 가정에 달아줬을 것"이라고 말했다.

서울대	서울대/NNP
전기공학부	전기/NNG+공학부/NNG
문승일	문승일/NNP
교수도	교수/NNG+도/JX
"일반	"/SS+일반/NNG
가전제품의	가전제품/NNG+의/JKG
무효	무효/NNG
전기량을	전기량/NNG+을/JKO
개선해	개선/NNG+하/XSV+아/EC
30~40%의	30/SN+~/SO+40/SN+%/SW+의/JKG
전력량·요금	전력량/NNG+·/SP+요금/NNG
절감	절감/NNG
효과가	효과/NNG+가/JKS
있다는	있/VA+다는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
말이	말/NNG+이/JKC
안	안/MAG
되고,	되/VV+고/EC+,/SP
만약	만약/MAG
있다면	있/VA+다면/EC
어려운	어렵/VA+ㄴ/ETM
기술도	기술/NNG+도/JX
아닌데	아니/VCN+ㄴ데/EC
국가에서	국가/NNG+에서/JKB
이미	이미/MAG
다	다/MAG
가정에	가정/NNG+에/JKB
달아줬을	달/VV+아/EC+주/VX+었/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.209.6.1
온라인상에는 전기절감기가 엉터리라는 경험담이 올라오고 있다.

온라인상에는	온라인/NNG+상/XSN+에/JKB+는/JX
전기절감기가	전기/NNG+절감기/NNG+가/JKS
엉터리라는	엉터리/NNG+이/VCP+라는/ETM
경험담이	경험담/NNG+이/JKS
올라오고	올라오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.209.6.2
한 네티즌은 "직접 계량기로 측정해보니 전기절감기 자체의 전력 소모가 심해 전기 요금이 오히려 올라가더라"고 했다.

한	한/MMN
네티즌은	네티즌/NNG+은/JX
"직접	"/SS+직접/MAG
계량기로	계량기/NNG+로/JKB
측정해보니	측정/NNG+하/XSV+아/EC+보/VX+니/EC
전기절감기	전기/NNG+절감기/NNG
자체의	자체/NNG+의/JKG
전력	전력/NNG
소모가	소모/NNG+가/JKS
심해	심하/VA+아/EC
전기	전기/NNG
요금이	요금/NNG+이/JKS
오히려	오히려/MAG
올라가더라"고	올라가/VV+더라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.209.6.3
한국소비자원에도 전기절감기 관련 소비자 민원이 계속 접수되고 있다.

한국소비자원에도	한국소비자원/NNP+에/JKB+도/JX
전기절감기	전기/NNG+절감기/NNG
관련	관련/NNG
소비자	소비자/NNG
민원이	민원/NNG+이/JKS
계속	계속/MAG
접수되고	접수/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.209.6.4
소비자원 관계자는 "전기절감기는 에어컨·선풍기처럼 사람들이 대중적으로 이용하는 정식 등록된 제품이 아니기 때문에 피해를 당해도 상담 자체가 어려운 측면이 있다"고 말했다.

소비자원	소비자원/NNP
관계자는	관계자/NNG+는/JX
"전기절감기는	"/SS+전기/NNG+절감기/NNG+는/JX
에어컨·선풍기처럼	에어컨/NNG+·/SP+선풍기/NNG+처럼/JKB
사람들이	사람/NNG+들/XSN+이/JKS
대중적으로	대중/NNG+적/XSN+으로/JKB
이용하는	이용/NNG+하/XSV+는/ETM
정식	정식/NNG
등록된	등록/NNG+되/XSV+ㄴ/ETM
제품이	제품/NNG+이/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
피해를	피해/NNG+를/JKO
당해도	당하/VV+아도/EC
상담	상담/NNG
자체가	자체/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.209.7.1
당국은 관할이 아니라며 떠넘기기에 급급했다.

당국은	당국/NNG+은/JX
관할이	관할/NNG+이/JKC
아니라며	아니/VCN+라며/EC
떠넘기기에	떠넘기/VV+기/ETN+에/JKB
급급했다.	급급하/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.209.7.2
산업통상자원부 제품안전정책국 관계자들은 "그런 게 있다는 얘기만 들어봤을 뿐 전기기기 품목에 포함돼 있지 않아 우리가 안전인증을 해줄 대상이 아니다" "허위 과장 광고가 문제라면 공정거래위원회 소관"이라고 말했다.

산업통상자원부	산업/NNG+통상/NNG+자원부/NNG
제품안전정책국	제품/NNG+안전/NNG+정책국/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"그런	"/SS+그런/MMD
게	거/NNB+이/JKS
있다는	있/VA+다는/ETM
얘기만	얘기/NNG+만/JX
들어봤을	듣/VV+어/EC+보/VX+았/EP+을/ETM
뿐	뿐/NNB
전기기기	전기/NNG+기기/NNG
품목에	품목/NNG+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
우리가	우리/NP+가/JKS
안전인증을	안전/NNG+인증/NNG+을/JKO
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
대상이	대상/NNG+이/JKC
아니다"	아니/VCN+다/EF+"/SS
"허위	"/SS+허위/NNG
과장	과장/NNG
광고가	광고/NNG+가/JKS
문제라면	문제/NNG+이/VCP+라면/EC
공정거래위원회	공정/NNG+거래/NNG+위원회/NNG
소관"이라고	소관/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.209.7.3
A 업체는 "안전 인증을 신청했지만 받아들여지지 않았다. 국가가 못하고 있는 일을 우리가 하고 있는 것"이라고 주장했다.

A	A/SL
업체는	업체/NNG+는/JX
"안전	"/SS+안전/NNG
인증을	인증/NNG+을/JKO
신청했지만	신청/NNG+하/XSV+았/EP+지만/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF
국가가	국가/NNG+가/JKS
못하고	못/MAG+하/VV+고/EC
있는	있/VX+는/ETM
일을	일/NNG+을/JKO
우리가	우리/NP+가/JKS
하고	하/VV+고/EC
것"이라고	것/NNB+"/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


